Parameter,SNP.error.rate  
SNP model,0.113198425
SNP model,0.057587916
SNP model,0.061049096
SNP model,0.105354059
SNP model,0.052599982
SNP model,0.12192886
SNP model,0.069943198
SNP model,0.091913611
BH_.05 model,0.150748471
BH_.05 model,0.074994617
BH_.05 model,0.089182303
BH_.05 model,0.135927942
BH_.05 model,0.078396837
BH_.05 model,0.159959467
BH_.05 model,0.098180454
BH_.05 model,0.116688654
BH_0.1 model,0.140938447
BH_0.1 model,0.069608391
BH_0.1 model,0.077897876
BH_0.1 model,0.126483641
BH_0.1 model,0.065957775
BH_0.1 model,0.15638116
BH_0.1 model,0.091535825
BH_0.1 model,0.113940076
BH_0.2 model,0.139534884
BH_0.2 model,0.064563892
BH_0.2 model,0.074009578
BH_0.2 model,0.121167725
BH_0.2 model,0.062666451
BH_0.2 model,0.14495353
BH_0.2 model,0.081887841
BH_0.2 model,0.106452816
BH_0.3 model,0.121515877
BH_0.3 model,0.060819228
BH_0.3 model,0.063048424
BH_0.3 model,0.108133248
BH_0.3 model,0.061199723
BH_0.3 model,0.126275062
BH_0.3 model,0.07481636
BH_0.3 model,0.100864553
min_maf_.05,0.119101487
min_maf_.05,0.060854823
min_maf_.05,0.059747693
min_maf_.05,0.101180561
min_maf_.05,0.05621686
min_maf_.05,0.122551154
min_maf_.05,0.069907616
min_maf_.05,0.095970471
write_single_snp,0.06380784
write_single_snp,0.036785031
write_single_snp,0.043081647
write_single_snp,0.077911738
write_single_snp,0.03720969
write_single_snp,0.072458122
write_single_snp,0.04954715
write_single_snp,0.058158585
rx correction,0.050429352
rx correction,0.039183846
rx correction,0.043212649
rx correction,0.073027902
rx correction,0.039238315
rx correction,0.067774377
rx correction,0.051926298
rx correction,0.053653551
