Parameter,SNP.error.rate  
2230,0.163725774
2230,0.121927406
2230,0.110453508
2230,0.157387037
2230,0.108585346
2230,0.130445076
2230,0.093317236
2230,0.099413935
3230,0.172231808
3230,0.114137853
3230,0.116945785
3230,0.154017064
3230,0.105876639
3230,0.108032466
3230,0.101365089
3230,0.100958622
4230,0.199215173
4230,0.123280527
4230,0.117049208
4230,0.151640721
4230,0.108839643
4230,0.100409836
4230,0.109458119
4230,0.105583756
5230,0.230194553
5230,0.131749617
5230,0.14071827
5230,0.161499242
5230,0.128535187
5230,0.098667982
5230,0.120513378
5230,0.112669472
6230,0.241865079
6230,0.149888527
6230,0.156087162
6230,0.173891213
6230,0.143770698
6230,0.088516746
6230,0.130710835
6230,0.110907424
7230,0.238942552
7230,0.1681809
7230,0.161534075
7230,0.175856636
7230,0.155680417
7230,0.082945736
7230,0.154428597
7230,0.112916006
8230,0.255741775
8230,0.186438622
8230,0.167100469
8230,0.185644769
8230,0.160909564
8230,0.081335616
8230,0.153896529
8230,0.114408808
9230,0.230798052
9230,0.20893839
9230,0.19068323
9230,0.191347271
9230,0.175979983
9230,0.091769158
9230,0.155120891
9230,0.107122827
10230,0.215659341
10230,0.238133291
10230,0.205842081
10230,0.200624783
10230,0.188383838
10230,0.102890173
10230,0.141389086
10230,0.0997921
3330,0.210718737
3330,0.135035624
3330,0.135928216
3330,0.175460668
3330,0.138542389
3330,0.137679454
3330,0.116856827
3330,0.119367992
3430,0.230366862
3430,0.16146827
3430,0.147708951
3430,0.195384819
3430,0.143481798
3430,0.134284515
3430,0.141450554
3430,0.131238779
3530,0.24504062
3530,0.185626283
3530,0.15993476
3530,0.206365755
3530,0.166212658
3530,0.160915298
3530,0.157997616
3530,0.145099349
3630,0.245381997
3630,0.193333333
3630,0.162736051
3630,0.215272531
3630,0.173103117
3630,0.161178795
3630,0.155469913
3630,0.152316913
3730,0.243666949
3730,0.20756992
3730,0.184718629
3730,0.219593787
3730,0.179280555
3730,0.17167063
3730,0.15650186
3730,0.151739356
3830,0.241879269
3830,0.203343225
3830,0.174815901
3830,0.231359045
3830,0.186189646
3830,0.199229645
3830,0.173638375
3830,0.17452507
3220,0.161185282
3220,0.114667771
3220,0.111841619
3220,0.152790829
3220,0.105864597
3220,0.121718377
3220,0.098241358
3220,0.113733906
3240,0.171144279
3240,0.120220113
3240,0.11245204
3240,0.146899563
3240,0.101566795
3240,0.120521173
3240,0.100957041
3240,0.10159148
3250,0.170072845
3250,0.115255188
3250,0.107412687
3250,0.155424712
3250,0.103400608
3250,0.110363392
3250,0.09889628
3250,0.105440539
3260,0.152530219
3260,0.116297424
3260,0.111424741
3260,0.144771645
3260,0.102815261
3260,0.1149645
3260,0.100834394
3260,0.104272695
3231,0.125170377
3231,0.077552195
3231,0.085763562
3231,0.117380026
3231,0.072410588
3231,0.10581467
3231,0.074611399
3231,0.100924773
3232,0.116563133
3232,0.060426865
3232,0.066722973
3232,0.109239565
3232,0.060117439
3232,0.113715614
3232,0.070772422
3232,0.085928834
3233,0.113198425
3233,0.057587916
3233,0.061049096
3233,0.105354059
3233,0.052599982
3233,0.12192886
3233,0.069943198
3233,0.091913611
3234,0.113485971
3234,0.055879739
3234,0.056995844
3234,0.105956646
3234,0.086086918
3234,0.279312289
3234,0.117670773
3234,0.15412649
3235,0.143260791
3235,0.070972159
3235,0.075544299
3235,0.165005041
3235,0.079630521
3235,0.253360489
3235,0.111225311
3235,0.144817188
3236,0.154952898
3236,0.072513345
3236,0.076993984
3236,0.173295455
3236,0.077946355
3236,0.251437533
3236,0.114933439
3236,0.149949488
3237,0.159823732
3237,0.073258697
3237,0.076140451
3237,0.182036503
3237,0.077723773
3237,0.24283871
3237,0.116153946
3237,0.154243119
