# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	8	9.9108	0.1112	0.0154	0.9837	0.0047	0.0032	0.0253	0.0113	0.0049	0.9747	0.0113	0.0049	0.0227	0.0078	0.0041	0.9773	0.0078	0.0041	0.0239	0.0086	0.0043	-0.0027	45.2192	0.0154
MRLP	7	7.6964	0.2119	0.0212	0.9867	0.0036	0.0028	0.0153	0.0051	0.0033	0.9847	0.0051	0.0033	0.0191	0.0062	0.0036	0.9809	0.0062	0.0036	0.0205	0.0071	0.0039	0.0141	45.7572	0.0212
STT	8	9.1720	0.6023	0.0358	0.9915	0.0016	0.0018	0.0104	0.0026	0.0024	0.9896	0.0026	0.0024	0.0136	0.0037	0.0028	0.9864	0.0037	0.0028	0.0144	0.0042	0.0030	0.0124	46.3589	0.0358
FSSP	6	9.3100	0.5590	0.0345	0.9866	0.0034	0.0027	0.0157	0.0042	0.0030	0.9843	0.0042	0.0030	0.0198	0.0062	0.0036	0.9802	0.0062	0.0036	0.0210	0.0069	0.0038	0.0127	45.4214	0.0345
HNL	29	9.6433	0.3746	0.0282	0.9457	0.0147	0.0056	0.0703	0.0272	0.0076	0.9297	0.0272	0.0076	0.0734	0.0235	0.0071	0.9266	0.0235	0.0071	0.0776	0.0262	0.0075	0.0191	38.6025	0.0282
MPO	2	9.0488	0.6125	0.0361	0.9931	0.0016	0.0019	0.0066	0.0014	0.0017	0.9934	0.0014	0.0017	0.0105	0.0031	0.0026	0.9895	0.0031	0.0026	0.0111	0.0035	0.0027	0.0134	47.1041	0.0361
OICP	5	9.8535	0.1636	0.0186	0.9907	0.0028	0.0024	0.0127	0.0064	0.0037	0.9873	0.0064	0.0037	0.0129	0.0046	0.0031	0.9871	0.0046	0.0031	0.0136	0.0052	0.0033	0.0070	47.2301	0.0186
IRO	11	9.7070	0.2970	0.0251	0.9794	0.0052	0.0033	0.0273	0.0080	0.0041	0.9727	0.0080	0.0041	0.0300	0.0087	0.0043	0.9700	0.0087	0.0043	0.0316	0.0097	0.0045	0.0137	42.9250	0.0251
HGRF	1	9.5180	0.4374	0.0305	0.9955	0.0013	0.0017	0.0042	0.0012	0.0016	0.9958	0.0012	0.0016	0.0063	0.0022	0.0022	0.9937	0.0022	0.0022	0.0066	0.0025	0.0023	0.0062	48.1520	0.0305
PTP	3	8.7771	0.5396	0.0338	0.9957	0.0012	0.0016	0.0041	0.0009	0.0014	0.9959	0.0009	0.0014	0.0062	0.0020	0.0021	0.9938	0.0020	0.0021	0.0066	0.0023	0.0022	0.0065	47.9482	0.0338
RRL	13	9.6476	0.3436	0.0270	0.9809	0.0036	0.0028	0.0270	0.0063	0.0037	0.9730	0.0063	0.0037	0.0302	0.0076	0.0040	0.9698	0.0076	0.0040	0.0319	0.0085	0.0043	0.0141	42.4056	0.0270
RRO	6	9.5499	0.4523	0.0310	0.9793	0.0051	0.0033	0.0216	0.0062	0.0036	0.9784	0.0062	0.0036	0.0302	0.0093	0.0044	0.9698	0.0093	0.0044	0.0320	0.0104	0.0047	0.0313	44.0998	0.0310
CPS	19	9.6115	0.4338	0.0303	0.9770	0.0052	0.0033	0.0322	0.0092	0.0044	0.9678	0.0092	0.0044	0.0346	0.0099	0.0046	0.9654	0.0099	0.0046	0.0366	0.0111	0.0049	0.0109	42.3660	0.0303
PPNP	12	9.6433	0.3491	0.0272	0.9638	0.0104	0.0047	0.0447	0.0189	0.0063	0.9553	0.0189	0.0063	0.0490	0.0170	0.0060	0.9510	0.0170	0.0060	0.0518	0.0190	0.0063	0.0202	42.4931	0.0272
FPPI	13	9.5223	0.4968	0.0325	0.9615	0.0115	0.0049	0.0479	0.0215	0.0067	0.9521	0.0215	0.0067	0.0511	0.0174	0.0061	0.9489	0.0174	0.0061	0.0542	0.0195	0.0064	0.0192	41.5447	0.0325
CRWA	15	9.6624	0.3432	0.0270	0.9830	0.0039	0.0029	0.0231	0.0069	0.0038	0.9769	0.0069	0.0038	0.0256	0.0075	0.0040	0.9744	0.0075	0.0040	0.0271	0.0084	0.0042	0.0094	44.1242	0.0270
PCRA	12	9.7877	0.2399	0.0226	0.9773	0.0058	0.0035	0.0282	0.0083	0.0042	0.9718	0.0083	0.0042	0.0328	0.0101	0.0046	0.9672	0.0101	0.0046	0.0346	0.0112	0.0049	0.0155	42.9470	0.0226
DHFA	38	9.7091	0.3259	0.0263	0.9434	0.0140	0.0054	0.0802	0.0295	0.0079	0.9198	0.0295	0.0079	0.0790	0.0229	0.0070	0.9210	0.0229	0.0070	0.0834	0.0255	0.0074	0.0093	36.6193	0.0263
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	8	55253.0000	471.0000	37.0000	0.0670	9.9332	0.0852	0.0012	0.9999	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	-0.0000	48.9678	0.0012
MRLP	7	55253.0000	471.0000	34.0000	0.0615	7.8098	0.1540	0.0017	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9725	0.0017
STT	8	55253.0000	471.0000	28.0000	0.0507	9.4497	0.4780	0.0029	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9776	0.0029
FSSP	6	55253.0000	471.0000	37.0000	0.0670	9.5999	0.3691	0.0026	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9697	0.0026
HNL	29	55253.0000	471.0000	103.0000	0.1864	9.7935	0.2361	0.0021	0.9995	0.0001	0.0001	0.0006	0.0003	0.0001	0.9994	0.0003	0.0001	0.0006	0.0002	0.0001	0.9994	0.0002	0.0001	0.0007	0.0003	0.0001	0.0002	48.9121	0.0021
MPO	2	55253.0000	471.0000	21.0000	0.0380	9.3792	0.4799	0.0029	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9839	0.0029
OICP	5	55253.0000	471.0000	19.0000	0.0344	9.9212	0.0923	0.0013	0.9999	0.0000	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9850	0.0013
IRO	11	55253.0000	471.0000	61.0000	0.1104	9.8312	0.1863	0.0018	0.9998	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9485	0.0018
HGRF	1	55253.0000	471.0000	10.0000	0.0181	9.7258	0.2816	0.0023	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9928	0.0023
PTP	3	55253.0000	471.0000	12.0000	0.0217	9.2364	0.5338	0.0031	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9911	0.0031
RRL	13	55253.0000	471.0000	66.0000	0.1195	9.7660	0.2415	0.0021	0.9998	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9441	0.0021
RRO	6	55253.0000	471.0000	52.0000	0.0941	9.7458	0.2689	0.0022	0.9998	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0003	48.9587	0.0022
CPS	19	55253.0000	471.0000	66.0000	0.1195	9.7464	0.2910	0.0023	0.9998	0.0000	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9437	0.0023
PPNP	12	55253.0000	471.0000	66.0000	0.1195	9.8176	0.1954	0.0019	0.9997	0.0001	0.0000	0.0004	0.0002	0.0001	0.9996	0.0002	0.0001	0.0004	0.0002	0.0001	0.9996	0.0002	0.0001	0.0004	0.0002	0.0001	0.0002	48.9450	0.0019
FPPI	13	55253.0000	471.0000	75.0000	0.1357	9.8085	0.2215	0.0020	0.9997	0.0001	0.0000	0.0004	0.0002	0.0001	0.9996	0.0002	0.0001	0.0004	0.0002	0.0001	0.9996	0.0002	0.0001	0.0005	0.0002	0.0001	0.0002	48.9369	0.0020
CRWA	15	55253.0000	471.0000	49.0000	0.0887	9.8066	0.1958	0.0019	0.9999	0.0000	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.0001	48.9586	0.0019
PCRA	12	55253.0000	471.0000	61.0000	0.1104	9.8707	0.1519	0.0017	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9487	0.0017
