# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	453	9.7682	0.2736	0.0039	0.9595	0.0108	0.0008	0.0544	0.0198	0.0011	0.9456	0.0198	0.0011	0.0561	0.0175	0.0010	0.9439	0.0175	0.0010	0.0592	0.0195	0.0011	0.0136	40.0190	0.0039
MRLP	704	7.5259	0.2493	0.0029	0.9659	0.0086	0.0005	0.0364	0.0119	0.0006	0.9636	0.0119	0.0006	0.0487	0.0145	0.0007	0.9513	0.0145	0.0007	0.0522	0.0167	0.0008	0.0440	40.9992	0.0029
STT	583	9.1018	0.6392	0.0046	0.9731	0.0076	0.0005	0.0331	0.0132	0.0007	0.9669	0.0132	0.0007	0.0373	0.0121	0.0006	0.9627	0.0121	0.0006	0.0396	0.0137	0.0007	0.0187	42.9398	0.0046
FSSP	474	9.0212	0.6529	0.0050	0.9690	0.0083	0.0006	0.0332	0.0116	0.0007	0.9668	0.0116	0.0007	0.0436	0.0136	0.0007	0.9564	0.0136	0.0007	0.0463	0.0153	0.0008	0.0376	41.9168	0.0050
HNL	2311	9.2961	0.6019	0.0043	0.9512	0.0126	0.0006	0.0574	0.0197	0.0008	0.9426	0.0197	0.0008	0.0676	0.0206	0.0008	0.9324	0.0206	0.0008	0.0717	0.0231	0.0009	0.0383	38.7192	0.0043
MPO	467	8.9528	0.6292	0.0048	0.9747	0.0068	0.0005	0.0299	0.0115	0.0007	0.9701	0.0115	0.0007	0.0356	0.0114	0.0007	0.9644	0.0114	0.0007	0.0378	0.0128	0.0007	0.0233	43.1287	0.0048
OICP	602	9.5682	0.4446	0.0032	0.9722	0.0080	0.0004	0.0350	0.0144	0.0006	0.9650	0.0144	0.0006	0.0381	0.0129	0.0005	0.9619	0.0129	0.0005	0.0403	0.0144	0.0006	0.0160	43.2097	0.0032
IRO	1569	9.1746	0.5997	0.0038	0.9546	0.0106	0.0005	0.0530	0.0156	0.0006	0.9470	0.0156	0.0006	0.0655	0.0180	0.0007	0.9345	0.0180	0.0007	0.0694	0.0202	0.0007	0.0481	37.3653	0.0038
HGRF	267	9.0667	0.6327	0.0044	0.9863	0.0043	0.0004	0.0169	0.0081	0.0005	0.9831	0.0081	0.0005	0.0184	0.0067	0.0004	0.9816	0.0067	0.0004	0.0196	0.0075	0.0005	0.0084	46.1634	0.0044
PTP	92	8.7723	0.5903	0.0057	0.9868	0.0040	0.0005	0.0154	0.0073	0.0006	0.9846	0.0073	0.0006	0.0180	0.0063	0.0006	0.9820	0.0063	0.0006	0.0192	0.0071	0.0006	0.0117	46.1768	0.0057
RRL	1648	9.1510	0.6018	0.0038	0.9533	0.0109	0.0005	0.0537	0.0158	0.0006	0.9463	0.0158	0.0006	0.0672	0.0185	0.0007	0.9328	0.0185	0.0007	0.0712	0.0208	0.0007	0.0502	37.2949	0.0038
RRO	928	9.1495	0.6326	0.0042	0.9622	0.0100	0.0005	0.0391	0.0131	0.0006	0.9609	0.0131	0.0006	0.0526	0.0165	0.0007	0.9474	0.0165	0.0007	0.0558	0.0185	0.0007	0.0481	40.9467	0.0042
CPS	1981	9.1603	0.6360	0.0041	0.9552	0.0110	0.0005	0.0468	0.0141	0.0006	0.9532	0.0141	0.0006	0.0636	0.0184	0.0007	0.9364	0.0184	0.0007	0.0674	0.0207	0.0007	0.0575	38.6652	0.0041
PPNP	1612	9.2754	0.5895	0.0043	0.9697	0.0088	0.0005	0.0354	0.0143	0.0007	0.9646	0.0143	0.0007	0.0411	0.0140	0.0007	0.9589	0.0140	0.0007	0.0436	0.0157	0.0007	0.0223	42.9782	0.0043
FPPI	1170	9.1402	0.6331	0.0047	0.9714	0.0080	0.0005	0.0324	0.0122	0.0006	0.9676	0.0122	0.0006	0.0396	0.0130	0.0007	0.9604	0.0130	0.0007	0.0420	0.0147	0.0007	0.0264	42.8600	0.0047
CRWA	947	9.1937	0.6094	0.0039	0.9661	0.0088	0.0005	0.0404	0.0139	0.0006	0.9596	0.0139	0.0006	0.0479	0.0147	0.0006	0.9521	0.0147	0.0006	0.0508	0.0166	0.0006	0.0288	41.0337	0.0039
PCRA	1381	9.3775	0.5551	0.0036	0.9539	0.0114	0.0005	0.0550	0.0177	0.0006	0.9450	0.0177	0.0006	0.0652	0.0188	0.0007	0.9348	0.0188	0.0007	0.0691	0.0211	0.0007	0.0402	38.1026	0.0036
DHFA	3403	9.4619	0.5352	0.0039	0.9426	0.0143	0.0006	0.0687	0.0227	0.0008	0.9313	0.0227	0.0008	0.0796	0.0232	0.0008	0.9204	0.0232	0.0008	0.0842	0.0260	0.0009	0.0417	36.7723	0.0039
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	453	2034256.0000	17573.0000	3285.0000	0.1615	9.8223	0.2216	0.0003	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.9227	0.0003
MRLP	704	4254626.0000	29542.0000	5156.0000	0.1212	7.6343	0.2320	0.0002	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0003	48.9452	0.0002
STT	583	4139102.0000	29655.0000	3821.0000	0.0923	9.3228	0.5853	0.0004	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9568	0.0004
FSSP	474	3913888.0000	26041.0000	4021.0000	0.1027	9.2011	0.6267	0.0004	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0003	48.9534	0.0004
HNL	2311	3784269.0000	31842.0000	6979.0000	0.1844	9.4864	0.5089	0.0004	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0003	48.9145	0.0004
MPO	467	3947804.0000	26877.0000	3392.0000	0.0859	9.1960	0.6125	0.0004	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9603	0.0004
OICP	602	5223925.0000	43957.0000	5391.0000	0.1032	9.7426	0.2897	0.0002	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9515	0.0002
IRO	1569	5148198.0000	41516.0000	10324.0000	0.2005	9.4197	0.5047	0.0003	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0004	48.9075	0.0003
HGRF	267	4629996.0000	33171.0000	2005.0000	0.0433	9.3048	0.5749	0.0004	0.9999	0.0000	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0001	0.0000	0.0001	48.9797	0.0004
PTP	92	3302136.0000	18416.0000	1126.0000	0.0341	8.9875	0.6238	0.0004	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9843	0.0004
RRL	1648	5044570.0000	40774.0000	10217.0000	0.2025	9.4074	0.5155	0.0003	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0004	48.9068	0.0003
RRO	928	4688992.0000	36305.0000	6410.0000	0.1367	9.3589	0.5576	0.0003	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0004	48.9386	0.0003
CPS	1981	4723970.0000	36978.0000	8308.0000	0.1759	9.3771	0.5544	0.0003	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0004	48.9205	0.0003
PPNP	1612	3866420.0000	32274.0000	4163.0000	0.1077	9.5364	0.4517	0.0003	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0002	48.9501	0.0003
FPPI	1170	3752939.0000	29141.0000	3860.0000	0.1029	9.4333	0.5216	0.0004	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9527	0.0004
CRWA	947	5055242.0000	40162.0000	6829.0000	0.1351	9.4591	0.4928	0.0003	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0002	48.9373	0.0003
PCRA	1381	5166464.0000	42850.0000	9943.0000	0.1925	9.6018	0.4132	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0003	48.9107	0.0003
