scenario      C1             C2             C3             C4             t2             CA2      
   1           4641           9749           2056            136            112           9962
   1           5857           9913           2663            271            204           9997
   1           6396           9991           2880            908            302           9997
   1           6023           9955           2959            258            237           9996
   1           6433           9967           3128            759            315           9997
   1           6109           9929           2160            312            251           9996
   1           4559           9895           1775            185            160           9996
   1           6193           9957           2768            330            265           9964
   1           6659           9941           3119           1142            247           9997
   1           7594           9971           3109            565            365           9998
   1           5023           9759           2154            149            139           9996
   1           5703           9880           2552            220            139           9992
   1           5397           9856           2198            271            145           9989
   1           6401           9998           2949            360            301           9997
   1           4880           9737           1680            123            130           9988
   1           6153           9958           2938            356            248           9997
   1           4202           9375           1611            114            122           9994
   1           4557           9741           1659            174         93.548           9990
   1           5899           9896           2772            313            184           9995
   1           3775           9673           1659            103         78.127           9995
   1           3708           9334           1197            120         77.308           9994
   1           5930           9978           3009            319            273           9996
   1           9020           9992           4497            905           1575           9997
   1           6281           9970           2405            247            278           9997
   1           6375           9966           3001            340            293           9990
   1           4617           9720           1742            122            106           9993
   1           5878           9904           2402            363            222           9996
   1           6092           9957           2855            274            212           9998
   1           5990           9945           2763            215            198           9980
   1           5525           9858           2657            240            149           9983
   1           6616           9920           2842            201            254           9994
   1           6769           9921           3092            873            246           9998
   1           6563           9961           3091            357            262           9994
   1           7359           9975           3624            330            509           9998
   1           5994           9943           2590            359            299           9997
   1           6800           9953           3036            405            252           9998
   1           5701           9980           3269            242            255           9998
   1           6189           9930           3228            361            266           9996
   1           4203           9682           1738         65.814            102           9996
   1           5025           9820           1923            138         98.155           9994
   1           4121           9781           1581         86.294         92.207           9989
   1           5872           9903           2749            199            239           9994
   1           5917           9935           2664            272            227           9998
   1           5779           9961           2759            173            259           9990
   1           3699           9128           1465            110         70.017           9987
   1           6168           9922           2348            195            197           9996
   1           5943           9846           2661            269            186           9996
   1           7152           9980           3550            434            320           9995
   1           6619           9968           3579            773            515           9982
   1           4497           9817           2069            133            115           9997
   1           4678           9830           2071            170            104           9997
   1           4041           9746           1834         94.627            115           9970
   1           8510           9977           4442           1024           1288           9972
   1           6893           9976           3288            383            381           9996
   1           5952           9988           3247            369            307           9997
   1           5837           9927           3000            300            246           9997
   1           7377           9995           3930            488            458           9994
   1           4620           9709           1905            149            111           9989
   1           6063           9941           2368            324            190           9997
   1           5719           9921           2853            293            259           9996
   1           6240           9941           2820            259            259           9995
   1           5633           9862           1964            195            182           9997
