scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   2            883           5405            765            616         99.819          10000           4513         98.768
   2            922           8373            901            517            102          10000           4437         95.396
   2            937           3255            789            447         92.810           9999           3893         75.676
   2            599           4892            721            642         73.303          10000           4174         58.263
   2            805           3313            976            355         85.999          10000           3998         95.178
   2            870           7688           1052            603            107          10000           4569         44.006
   2            416           3503            990            524         88.530           9999           4290         36.474
   2            855           1611            819            402         62.515          10000           4174         58.098
   2            915           9960           1110            993            113          10000           4679         67.705
   2            774           5201            906            467         82.568          10000           4436         71.808
   2            761           3808            950            414         81.974          10000           4305         73.522
   2            692           3177            585            422         73.401          10000           4491         19.244
   2            699           4670            745            405         78.337          10000           4168         40.413
   2            924           5992           1075            363         91.376          10000           4149         73.506
   2            714           4255            789            476         84.632          10000           4244         94.374
   2            940           5251            912            476         99.526          10000           4479         72.800
   2            793           9378            864            427         91.422          10000           4381            128
   2           1009           8677            761            680            107          10000           4681         71.546
   2           1434           7644           1267            909            131          10000           4464         45.207
   2            945           6023            857            553         86.622          10000           4405         27.149
   2            885           8983           1013            552         84.706          10000           4541            119
   2            686           5680            519            466         97.859           9999           4022         96.818
   2           1079           6370           1248           1445         99.937          10000           4528         66.447
   2            571           4385            881            577         90.280          10000           4376         62.916
   2            511           2501            707            238         72.499           9999           3787         53.302
   2            553           4520            877            283         77.759          10000           4197         77.794
   2           1069           9668            650            875         95.383          10000           4332         71.883
   2            891           5309           1223            378            100           9999           4397         65.073
   2            741           3526            993            525         76.553          10000           4321         20.466
   2            808           7164            751            249         87.676          10000           4486         76.023
   2            589           2866            661            256         69.223           9999           4191         71.156
   2            545           2388            609            325         67.387          10000           3576         88.581
   2            620           4532           1106            413         87.679          10000           4520         70.879
   2            834           6261            756            478            102          10000           4561         90.818
   2            569           4743            606            338         69.679          10000           3955         37.593
   2            848           6880            515            602         87.728          10000           4538         81.873
   2            457           5088           1044            433         98.866          10000           4337            109
   2            616           2627            623            286         66.442           9999           3957         56.026
   2           1236           7771           1064            825         96.663          10000           4606         61.981
   2            612           4553            629            288         82.857          10000           4171         84.100
   2            711           3913            607            450         80.426          10000           4320         71.248
