     n             scenario 1                 scenario 2                 scenario 3       
      5      0.0000 [0.0000,0.0000]     1.0000 [1.0000,1.0000]     0.0000 [0.0000,0.0000]  
     10      0.0000 [0.0000,0.0000]     0.9000 [0.6370,1.0000]     0.1000 [0.0000,0.3630]  
     15      0.0000 [0.0000,0.0000]     0.8667 [0.5687,1.0000]     0.1333 [0.0000,0.4313]  
     20      0.0000 [0.0000,0.0000]     0.8000 [0.4494,1.0000]     0.2000 [0.0000,0.5506]  
     25      0.0000 [0.0000,0.0000]     0.8400 [0.5187,1.0000]     0.1600 [0.0000,0.4813]  
     30      0.0000 [0.0000,0.0000]     0.8333 [0.5067,1.0000]     0.1667 [0.0000,0.4933]  
     35      0.0000 [0.0000,0.0000]     0.8286 [0.4982,1.0000]     0.1714 [0.0000,0.5018]  
     40      0.0000 [0.0000,0.0000]     0.7500 [0.3704,1.0000]     0.2500 [0.0000,0.6296]  
     45      0.0000 [0.0000,0.0000]     0.7778 [0.4134,1.0000]     0.2222 [0.0000,0.5866]  
     50      0.0000 [0.0000,0.0000]     0.7800 [0.4169,1.0000]     0.2200 [0.0000,0.5831]  
     55      0.0000 [0.0000,0.0000]     0.7818 [0.4198,1.0000]     0.2182 [0.0000,0.5802]  
     60      0.0000 [0.0000,0.0000]     0.7667 [0.3959,1.0000]     0.2333 [0.0000,0.6041]  
     65      0.0000 [0.0000,0.0000]     0.7538 [0.3763,1.0000]     0.2462 [0.0000,0.6237]  
     70      0.0000 [0.0000,0.0000]     0.7571 [0.3813,1.0000]     0.2429 [0.0000,0.6187]  
     75      0.0000 [0.0000,0.0000]     0.7600 [0.3856,1.0000]     0.2400 [0.0000,0.6144]  
     80      0.0000 [0.0000,0.0000]     0.7625 [0.3895,1.0000]     0.2375 [0.0000,0.6105]  
     85      0.0000 [0.0000,0.0000]     0.7529 [0.3749,1.0000]     0.2471 [0.0000,0.6251]  
     90      0.0000 [0.0000,0.0000]     0.7667 [0.3959,1.0000]     0.2333 [0.0000,0.6041]  
     95      0.0000 [0.0000,0.0000]     0.7684 [0.3987,1.0000]     0.2316 [0.0000,0.6013]  
    100      0.0000 [0.0000,0.0000]     0.7600 [0.3856,1.0000]     0.2400 [0.0000,0.6144]  
    105      0.0000 [0.0000,0.0000]     0.7429 [0.3598,1.0000]     0.2571 [0.0000,0.6402]  
    110      0.0000 [0.0000,0.0000]     0.7364 [0.3502,1.0000]     0.2636 [0.0000,0.6498]  
    115      0.0000 [0.0000,0.0000]     0.7217 [0.3289,1.0000]     0.2783 [0.0000,0.6711]  
    120      0.0000 [0.0000,0.0000]     0.7333 [0.3457,1.0000]     0.2667 [0.0000,0.6543]  
    125      0.0000 [0.0000,0.0000]     0.7360 [0.3496,1.0000]     0.2640 [0.0000,0.6504]  
    130      0.0000 [0.0000,0.0000]     0.7462 [0.3647,1.0000]     0.2538 [0.0000,0.6353]  
    135      0.0000 [0.0000,0.0000]     0.7556 [0.3789,1.0000]     0.2444 [0.0000,0.6211]  
    140      0.0071 [0.0000,0.0810]     0.7429 [0.3598,1.0000]     0.2500 [0.0000,0.6296]  
    145      0.0069 [0.0000,0.0794]     0.7448 [0.3627,1.0000]     0.2483 [0.0000,0.6270]  
    150      0.0133 [0.0000,0.1139]     0.7467 [0.3654,1.0000]     0.2400 [0.0000,0.6144]  
    155      0.0129 [0.0000,0.1118]     0.7484 [0.3680,1.0000]     0.2387 [0.0000,0.6124]  
    160      0.0125 [0.0000,0.1099]     0.7375 [0.3518,1.0000]     0.2500 [0.0000,0.6296]  
    165      0.0121 [0.0000,0.1080]     0.7394 [0.3546,1.0000]     0.2485 [0.0000,0.6273]  
    170      0.0118 [0.0000,0.1063]     0.7235 [0.3315,1.0000]     0.2647 [0.0000,0.6514]  
    175      0.0114 [0.0000,0.1046]     0.7200 [0.3264,1.0000]     0.2686 [0.0000,0.6571]  
    180      0.0167 [0.0000,0.1289]     0.7167 [0.3217,1.0000]     0.2667 [0.0000,0.6543]  
    185      0.0162 [0.0000,0.1269]     0.7189 [0.3249,1.0000]     0.2649 [0.0000,0.6516]  
    190      0.0158 [0.0000,0.1251]     0.7158 [0.3204,1.0000]     0.2684 [0.0000,0.6568]  
    195      0.0154 [0.0000,0.1233]     0.7026 [0.3019,1.0000]     0.2821 [0.0000,0.6765]  
    200      0.0150 [0.0000,0.1215]     0.6900 [0.2846,1.0000]     0.2950 [0.0000,0.6947]  
    205      0.0146 [0.0000,0.1199]     0.6829 [0.2750,1.0000]     0.3024 [0.0000,0.7050]  
    210      0.0190 [0.0000,0.1389]     0.6762 [0.2660,1.0000]     0.3048 [0.0000,0.7082]  
    215      0.0186 [0.0000,0.1370]     0.6791 [0.2699,1.0000]     0.3023 [0.0000,0.7049]  
    220      0.0182 [0.0000,0.1353]     0.6773 [0.2675,1.0000]     0.3045 [0.0000,0.7079]  
    225      0.0178 [0.0000,0.1336]     0.6756 [0.2652,1.0000]     0.3067 [0.0000,0.7108]  
    230      0.0174 [0.0000,0.1320]     0.6783 [0.2688,1.0000]     0.3043 [0.0000,0.7077]  
    235      0.0170 [0.0000,0.1304]     0.6851 [0.2780,1.0000]     0.2979 [0.0000,0.6987]  
    240      0.0167 [0.0000,0.1289]     0.6875 [0.2812,1.0000]     0.2958 [0.0000,0.6959]  
    245      0.0163 [0.0000,0.1274]     0.6898 [0.2843,1.0000]     0.2939 [0.0000,0.6932]  
    250      0.0160 [0.0000,0.1260]     0.6920 [0.2873,1.0000]     0.2920 [0.0000,0.6905]  
    255      0.0157 [0.0000,0.1246]     0.6902 [0.2849,1.0000]     0.2941 [0.0000,0.6935]  
    260      0.0154 [0.0000,0.1233]     0.6923 [0.2878,1.0000]     0.2923 [0.0000,0.6910]  
    265      0.0151 [0.0000,0.1220]     0.6906 [0.2854,1.0000]     0.2943 [0.0000,0.6938]  
    270      0.0148 [0.0000,0.1207]     0.6926 [0.2881,1.0000]     0.2926 [0.0000,0.6914]  
    275      0.0145 [0.0000,0.1195]     0.6945 [0.2908,1.0000]     0.2909 [0.0000,0.6890]  
    280      0.0143 [0.0000,0.1183]     0.6929 [0.2885,1.0000]     0.2929 [0.0000,0.6917]  
    285      0.0175 [0.0000,0.1326]     0.6912 [0.2863,1.0000]     0.2912 [0.0000,0.6895]  
    290      0.0172 [0.0000,0.1313]     0.6862 [0.2795,1.0000]     0.2966 [0.0000,0.6969]  
    295      0.0237 [0.0000,0.1571]     0.6847 [0.2775,1.0000]     0.2915 [0.0000,0.6899]  
    300      0.0233 [0.0000,0.1557]     0.6833 [0.2756,1.0000]     0.2933 [0.0000,0.6924]  
    305      0.0262 [0.0000,0.1663]     0.6852 [0.2782,1.0000]     0.2885 [0.0000,0.6857]  
    310      0.0258 [0.0000,0.1648]     0.6839 [0.2763,1.0000]     0.2903 [0.0000,0.6882]  
    315      0.0254 [0.0000,0.1633]     0.6825 [0.2745,1.0000]     0.2921 [0.0000,0.6906]  
    320      0.0281 [0.0000,0.1730]     0.6844 [0.2770,1.0000]     0.2875 [0.0000,0.6842]  
    325      0.0277 [0.0000,0.1715]     0.6800 [0.2711,1.0000]     0.2923 [0.0000,0.6910]  
    330      0.0273 [0.0000,0.1700]     0.6727 [0.2614,1.0000]     0.3000 [0.0000,0.7017]  
    335      0.0269 [0.0000,0.1686]     0.6687 [0.2561,1.0000]     0.3045 [0.0000,0.7078]  
    340      0.0265 [0.0000,0.1672]     0.6706 [0.2586,1.0000]     0.3029 [0.0000,0.7057]  
    345      0.0261 [0.0000,0.1658]     0.6667 [0.2535,1.0000]     0.3072 [0.0000,0.7116]  
    350      0.0257 [0.0000,0.1645]     0.6686 [0.2560,1.0000]     0.3057 [0.0000,0.7095]  
    355      0.0282 [0.0000,0.1732]     0.6704 [0.2584,1.0000]     0.3014 [0.0000,0.7036]  
    360      0.0278 [0.0000,0.1718]     0.6722 [0.2608,1.0000]     0.3000 [0.0000,0.7017]  
    365      0.0301 [0.0000,0.1800]     0.6658 [0.2523,1.0000]     0.3041 [0.0000,0.7073]  
    370      0.0297 [0.0000,0.1786]     0.6703 [0.2582,1.0000]     0.3000 [0.0000,0.7017]  
    375      0.0320 [0.0000,0.1863]     0.6693 [0.2570,1.0000]     0.2987 [0.0000,0.6998]  
    380      0.0368 [0.0000,0.2020]     0.6632 [0.2489,1.0000]     0.3000 [0.0000,0.7017]  
    385      0.0390 [0.0000,0.2086]     0.6623 [0.2478,1.0000]     0.2987 [0.0000,0.6999]  
    390      0.0410 [0.0000,0.2149]     0.6641 [0.2501,1.0000]     0.2949 [0.0000,0.6946]  
    395      0.0405 [0.0000,0.2133]     0.6658 [0.2524,1.0000]     0.2937 [0.0000,0.6929]  
    400      0.0400 [0.0000,0.2118]     0.6650 [0.2513,1.0000]     0.2950 [0.0000,0.6947]  
    405      0.0420 [0.0000,0.2178]     0.6642 [0.2502,1.0000]     0.2938 [0.0000,0.6931]  
    410      0.0439 [0.0000,0.2235]     0.6634 [0.2492,1.0000]     0.2927 [0.0000,0.6915]  
    415      0.0482 [0.0000,0.2359]     0.6602 [0.2451,1.0000]     0.2916 [0.0000,0.6899]  
    420      0.0500 [0.0000,0.2410]     0.6595 [0.2442,1.0000]     0.2905 [0.0000,0.6884]  
    425      0.0518 [0.0000,0.2460]     0.6588 [0.2433,1.0000]     0.2894 [0.0000,0.6869]  
    430      0.0512 [0.0000,0.2443]     0.6535 [0.2364,1.0000]     0.2953 [0.0000,0.6952]  
    435      0.0506 [0.0000,0.2426]     0.6552 [0.2385,1.0000]     0.2943 [0.0000,0.6937]  
    440      0.0500 [0.0000,0.2410]     0.6568 [0.2407,1.0000]     0.2932 [0.0000,0.6922]  
    445      0.0494 [0.0000,0.2395]     0.6562 [0.2398,1.0000]     0.2944 [0.0000,0.6939]  
    450      0.0489 [0.0000,0.2379]     0.6578 [0.2419,1.0000]     0.2933 [0.0000,0.6924]  
    455      0.0484 [0.0000,0.2364]     0.6593 [0.2439,1.0000]     0.2923 [0.0000,0.6910]  
    460      0.0500 [0.0000,0.2410]     0.6565 [0.2403,1.0000]     0.2935 [0.0000,0.6926]  
    465      0.0495 [0.0000,0.2395]     0.6581 [0.2423,1.0000]     0.2925 [0.0000,0.6912]  
    470      0.0511 [0.0000,0.2440]     0.6596 [0.2442,1.0000]     0.2894 [0.0000,0.6868]  
    475      0.0505 [0.0000,0.2425]     0.6568 [0.2407,1.0000]     0.2926 [0.0000,0.6914]  
    480      0.0542 [0.0000,0.2526]     0.6542 [0.2373,1.0000]     0.2917 [0.0000,0.6901]  
    485      0.0536 [0.0000,0.2510]     0.6557 [0.2392,1.0000]     0.2907 [0.0000,0.6888]  
    490      0.0531 [0.0000,0.2495]     0.6531 [0.2358,1.0000]     0.2939 [0.0000,0.6932]  
    495      0.0566 [0.0000,0.2591]     0.6505 [0.2326,1.0000]     0.2929 [0.0000,0.6918]  
    500      0.0600 [0.0000,0.2682]     0.6460 [0.2268,1.0000]     0.2940 [0.0000,0.6933]  
