scenario      C1            C2            C3            C4            t2           CA2            t1           CA1         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  2            2357          8590           928          5240          4744            63           121         10000      0.540217      0.459058      0.750362      0.740942      0.089764      0.078467      0.168197      0.153104      0.008505      0.007365      0.014396      0.015133      0.041272      0.042446      0.041988      0.039663      0.533333      0.731522      0.502899      0.750725      0.492391      0.613043      0.015745      0.060885      0.100329      0.052889      0.090093      0.087317      0.000387      0.005881      0.016178      0.003881      0.014069      0.010405      0.007382      0.016346      0.049874      0.013184      0.045732      0.037078      0.303986      0.465580      0.281159      0.401812      0.200362      0.491304      0.000985      0.003984      0.009614      0.003304      0.008429      0.016372      0.000012      0.000152      0.001578      0.000117      0.001371      0.002483      0.000686      0.002129      0.006911      0.001977      0.006740      0.008328
  2             731          4235           630           526          4198            38            89         10000      0.528261      0.272101      0.659783      0.935507      0.125586      0.083623      0.171543      0.245450      0.012198      0.007104      0.012989      0.026828      0.059244      0.060869      0.058362      0.015830      0.317029      0.618478      0.600362      0.626812      0.539493      0.641304      0.026387      0.075901      0.143762      0.049950      0.114837      0.154517      0.001086      0.007108      0.062415      0.004313      0.054898      0.055594      0.018060      0.028958      0.057453      0.018641      0.052883      0.058727      0.139855      0.404348      0.447101      0.196377      0.190942      0.578623      0.002742      0.006336      0.057697      0.003266      0.037257      0.075587      0.000109      0.000275      0.039687      0.000116      0.027602      0.050387      0.002359      0.003774      0.031901      0.002627      0.030143      0.031851
  2             691          4337           622           451          4178            77            77         10000      0.539130      0.270652      0.652536      0.940217      0.118375      0.081167      0.163043      0.217220      0.011327      0.007161      0.013429      0.027772      0.054555      0.059199      0.056652      0.012986      0.346377      0.611232      0.609058      0.641667      0.556884      0.643478      0.024766      0.075254      0.141986      0.048469      0.119288      0.154053      0.001071      0.006797      0.067216      0.003880      0.060298      0.062893      0.016206      0.029256      0.055508      0.017368      0.052858      0.059333      0.146377      0.401449      0.456522      0.198551      0.188043      0.569928      0.002274      0.006668      0.061233      0.003598      0.039899      0.080944      0.000075      0.000454      0.045480      0.000220      0.031231      0.056814      0.001942      0.003991      0.033279      0.002885      0.032396      0.034812
  2            1160          5537           517           748          4600            79            94         10000      0.479348      0.300000      0.701449      0.911957      0.108855      0.081474      0.177398      0.221533      0.010185      0.007248      0.014935      0.025202      0.056676      0.057032      0.052962      0.019505      0.387681      0.633333      0.575725      0.658333      0.553261      0.664493      0.020854      0.071490      0.126026      0.053703      0.111754      0.147099      0.000637      0.007471      0.050831      0.005313      0.047491      0.048721      0.012785      0.026213      0.053470      0.018349      0.049925      0.053936      0.152536      0.382246      0.380072      0.237681      0.200725      0.602174      0.001685      0.006320      0.041397      0.004047      0.031011      0.069117      0.000033      0.000352      0.027698      0.000215      0.021689      0.042440      0.001428      0.003904      0.025663      0.003085      0.024786      0.027497
  2             520          2138           532           235          4186            82            77         10000      0.536594      0.269565      0.609783      0.963406      0.140028      0.093261      0.166133      0.210062      0.012876      0.008228      0.013783      0.024286      0.064890      0.068121      0.064828      0.007687      0.310145      0.553623      0.596014      0.565217      0.517754      0.617754      0.032984      0.080786      0.138765      0.053695      0.108723      0.146147      0.001561      0.007563      0.064255      0.004512      0.055537      0.060622      0.022790      0.036061      0.056059      0.023346      0.052431      0.061477      0.144203      0.369203      0.476087      0.171377      0.209420      0.548913      0.003436      0.008027      0.066368      0.004447      0.042105      0.078897      0.000126      0.000492      0.049852      0.000252      0.033770      0.057023      0.002941      0.005063      0.034771      0.003685      0.033287      0.035590
  2             719          4450           642           456          4347            41            80         10000      0.515942      0.259058      0.663043      0.954710      0.122188      0.080007      0.156518      0.242421      0.011012      0.007248      0.012400      0.028406      0.059146      0.059281      0.052740      0.010979      0.319928      0.599638      0.596014      0.653623      0.572826      0.672101      0.024044      0.062265      0.125841      0.044410      0.110116      0.139788      0.000902      0.004973      0.057226      0.002863      0.054101      0.056984      0.016386      0.024929      0.050838      0.015382      0.047039      0.051914      0.126087      0.391667      0.450725      0.184058      0.193841      0.597826      0.002060      0.005182      0.052671      0.002693      0.034603      0.073162      0.000043      0.000190      0.038698      0.000102      0.026873      0.052141      0.001800      0.003154      0.028931      0.002198      0.027896      0.029424
  2            1077          5101           762           801          4495            53           105         10000      0.509058      0.304710      0.677536      0.908696      0.115309      0.084635      0.175651      0.215241      0.010984      0.007775      0.015109      0.025387      0.056610      0.058846      0.056641      0.019652      0.364493      0.606159      0.580435      0.638768      0.539855      0.647101      0.024766      0.074432      0.131859      0.053742      0.113269      0.145122      0.000953      0.006352      0.053621      0.004190      0.048917      0.048497      0.015811      0.029314      0.055324      0.019413      0.052120      0.056577      0.161594      0.389130      0.405797      0.234058      0.201449      0.574275      0.002119      0.006688      0.046366      0.004171      0.033446      0.068547      0.000045      0.000295      0.030712      0.000186      0.023146      0.041778      0.001777      0.004086      0.027551      0.003196      0.026708      0.029182
  2             756          9534           841           618          4537            91           103         10000      0.582971      0.251812      0.659420      0.925000      0.136137      0.082392      0.170089      0.238148      0.015061      0.008311      0.014531      0.025195      0.056773      0.061644      0.057929      0.017861      0.309783      0.615942      0.623188      0.650362      0.548551      0.636957      0.025294      0.078044      0.158293      0.047336      0.121612      0.150350      0.001129      0.006616      0.063646      0.003545      0.054371      0.054784      0.017522      0.029973      0.059646      0.016550      0.054902      0.059759      0.151449      0.440942      0.492391      0.183696      0.161232      0.568841      0.002954      0.007641      0.064225      0.003353      0.036285      0.075790      0.000118      0.000399      0.042159      0.000152      0.025871      0.048797      0.002507      0.004277      0.032601      0.002737      0.030435      0.032705
  2             347          1661           158           290          3801            60            54         10000      0.552174      0.254710      0.748551      0.953986      0.139777      0.088369      0.223012      0.232111      0.013986      0.007580      0.018737      0.029160      0.062596      0.065861      0.056076      0.010680      0.282246      0.605797      0.597826      0.564130      0.493841      0.706522      0.033675      0.099667      0.166297      0.064145      0.121431      0.234089      0.001539      0.014178      0.080250      0.009224      0.066518      0.090869      0.024207      0.039289      0.066880      0.027959      0.061464      0.072771      0.121739      0.452174      0.473551      0.201449      0.176449      0.670290      0.003643      0.014631      0.083669      0.007597      0.049971      0.142548      0.000163      0.001642      0.061892      0.000921      0.040402      0.093240      0.003199      0.008015      0.044047      0.006067      0.041154      0.047000
  2             808          6580           515           320          4301            75            77         10000      0.498913      0.225000      0.664130      0.965217      0.117214      0.079007      0.169744      0.234162      0.011193      0.007215      0.014591      0.026447      0.058734      0.061231      0.057012      0.008145      0.340580      0.591304      0.611232      0.642754      0.569203      0.673551      0.021381      0.072175      0.134033      0.051717      0.113891      0.160512      0.000766      0.007095      0.064966      0.004456      0.059572      0.066687      0.014130      0.029498      0.052108      0.018476      0.049064      0.057924      0.112681      0.376812      0.439855      0.162681      0.165942      0.605072      0.001927      0.006927      0.058419      0.003807      0.038068      0.087064      0.000050      0.000430      0.044908      0.000220      0.030839      0.062436      0.001710      0.004317      0.032723      0.003187      0.031751      0.034384
