scenario      C1             C2             C3             C4             t2             CA2      
   1           5523           9304           1643           2934            751           9972
   1           5895           9555           1755           3236            832           9998
   1           6598           9973           2304           3560           1120           9999
   1           5195           9293           1280           2266            758           9997
   1           5999           9784           1645           2408            857           9998
   1           7370           9991           2640           7237           1339           9999
   1           5146           9479           1582           2244            672           9994
   1           6999           9917           1950           2503           1086           9909
   1           7025           9836           1939           4616           1004           9999
   1           5572           9182           1664           1796            687           9981
   1           5755           9782           1787           2650            912           9997
   1           6405           9912           1984           3186           1046           9998
   1           6093           9841           1803           3306            958           9998
   1           6183           9712           2151           2385            983           9999
   1           6406           9682           2036           2989            992           9994
   1           4388           8918           1040           1775            607           9993
   1           6198           9696           1816           3222           1069           9998
   1           4821           9311           1539           2446            670           9982
   1           4694           8863           1387           2018            613           9998
   1           6433           9920           1924           3247           1047           9999
   1           5318           9647           1453           2273            878           9998
   1           5592           9663           1537           2483            810           9998
   1           6438           9810           2091           2916           1050           9999
   1           4735           9192           1536           1661            729           9995
   1           6436           9955           2108           7836           1171           9998
   1           3726           8801            822           1190            528           9998
   1           6234           9679           1533           3286            948           9998
   1           6150           9417           1662           3054            830           9998
   1           5690           9636           1699           1886            815           9998
   1           3235           8516            626            961            449           9997
   1           5869           9951           1845           3827           1012           9998
   1           5839           9751           1523           2612            974           9997
   1           6234           9910           1908           3446           1047           9998
   1           6178           9819           1651           3284           1024           9997
   1           6283           9999           2666           3412           1073           9999
   1           6391           9837           1959           8839           1010           9999
   1           5781           9769           1449           3121            961           9998
   1           6068           9863           1819           2849           1057           9999
   1           6629           9854           2336           2914           1063           9998
   1           6806           9914           2050           2959            958           9999
   1           6108           9279           1785           2449            857           9997
   1           3983           9277           1149           1323            626           9998
   1           5589           9702           1538           2008            780           9998
   1           6146           9907           2032           2906           1030           9997
   1           5821           9750           1891           2644            979           9999
   1           6704           9987           2119           2823           1089           9999
   1           5827           9732           1839           3154            816           9999
   1           5546           9809           1946           2593            908           9999
   1           4648           9114           1257           2244            754           9998
   1           4583           9436           1184           1284            681           9998
   1           6823           9818           2415           6729           1033           9998
   1           6600           9862           1950           3902           1017           9999
   1           5866           9890           1774           2544           1025           9999
   1           5756           9955           2563           2573            910           9999
   1           5806           9697           1710           3020            912           9998
   1           4926           9671           1549           2201            793           9997
   1           6666           9904           1992           3210           1088           9998
   1           6327           9932           2587           3855            999           9999
   1           6071           9907           2016           2459           1111           9999
   1           6415           9849           1665           4630           1033           9999
   1           6164           9900           1938           2602           1024           9998
   1           6351           9818           1918           3063            940           9998
   1           6610           9843           2028           3390            871           9999
   1           4270           9440           1360           1321            742           9998
   1           5739           8878           1431           2388            639           9998
   1           6255           9837           1655           2438            961           9998
   1           4945           9169           1058           1294            686           9997
   1           5915           9796           1998           4054           1033           9999
   1           6708           9871           2595           5968           1179           9978
   1           6694           9953           2298           5231           1141           9998
   1           5069           9726           1752           2082            820           9999
   1           5659           9342           1585           2078            745           9998
   1           6003           9624           1618           1955            915           9998
   1           6475           9873           1999           3069            950           9997
   1           5639           9347           1651           1961            899           9998
   1           5712           9352           1661           1570            775           9998
   1           5289           9833           1636           2442            928           9998
   1           5478           9657           1406           2340            900           9999
   1           5635           9724           1459           2936            815           9998
   1           5908           9922           1699           2510           1129           9998
   1           6093           9677           1506           2747            905           9999
   1           6662           9896           2117           2487            983           9999
   1           4288           8116            899           1034            492           9997
   1           6286           9636           1509           2011            851           9998
   1           2606           7083            680           1113            358           9995
   1           5372           9866           2329           3000            924           9998
   1           6480           9950           2042           1859            939           9999
   1           7127           9795           2253           5185           1138           9998
   1           6901           9976           1688           3373           1050           9999
   1           5955           9857           2082           2879            903           9999
   1           4928           9268           1055           1408            652           9997
   1           6842           9769           2129           3828           1131           9998
   1           6454           9926           1599           2715            983           9998
   1           5740           9366           1159           1899            826           9998
   1           6371           9974           1963           2674            995           9999
   1           5827           9800           1637           1650            815           9998
   1           5832           9603           1734           2002            940           9999
   1           4968           9377           1583           2132            925           9998
   1           6457           9982           1700           6478           1044           9998
   1           5494           9578           1822           2314            849           9999
   1           7180           9935           2596           6326           1131           9999
   1           4430           8713           1095           1390            620           9998
   1           6793           9762           1910           2852           1007           9999
   1           3470           6769            640           1423            376           9998
