scenario      C1             C2             C3             C4             t1             CA1            t2             CA2      
   2           1671           5553            569           2842            103          10000           3577         23.064
   2           2996           6367           1251           4874            167           9999           4073            101
   2           3507           9444            828           4544            207           9999           4433         60.752
   2           3755           9897            858           5527            200          10000           5284            319
   2           4148           8961           1115           5429            216          10000           4812         89.909
   2           3477           9259            796           4806            180           9998           4121            235
   2           3980           9065            948           4828            188          10000           4651            342
   2           2215           5259            442           3487            120           9998           3641         39.525
   2           5266           9885            957           5605            213          10000           5323            203
   2           3717           9003           1018           6063            267           9999           5312            270
   2           4176           9952           1340           4313            209          10000           4752            203
   2           2060           3537            238           3422         95.845           9995           2928         61.599
   2           3040           8982            674           8305            223           9998           4873            521
   2           5504           9970           1518           6144            241          10000           5775            160
   2           3672           9616            986           5826            187           9999           4991            237
   2           2828           8748            595           4107            164           9998           4316            138
   2           4207           9486            522           6080            182          10000           4825         91.638
   2           5079           9684            860           8634            237           9999           5257            113
   2           4247           9172            843           7042            220          10000           5230         62.711
   2           4184           8958            997           4167            197           9999           4886            341
   2           3698           8961            867           5117            190          10000           5318            192
   2           4565           9483            922           5389            218           9998           5018            262
   2           3521           9132            651           3713            203           9999           4662         89.374
   2           3171           9211            600           4855            185           9999           4550            261
   2           3573           8021            664           2893            158           9999           4380            218
   2           4943           9492           1093           6311            261           9999           5057            198
   2           7492           9229            986           5658            236          10000           5246         91.270
   2           3741           9575           1003           3810            208           9999           5092            147
   2           1774           4340            315           2551         93.890           9996           2723            134
   2           7825           9614           1063           7783            223          10000           5404            257
   2           3310           9437            514           4980            204          10000           4733            154
   2           4485           9218            856           5695            213          10000           5088            218
   2           2778           8038            457           4067            161           9998           4389         26.276
   2           5265           9583            899           5827            228          10000           5586            236
   2           2706           6099            353           4165            137           9998           3688            150
   2           4623           9882            992           5824            250           9998           4847            151
   2           2694           5391            492           4048            121          10000           4003            159
   2           4102           9147            810           5522            192           9999           4816            283
   2           4211           9385            981           5511            223          10000           5303         51.238
   2           3934           6089            466           4268            152          10000           4459            159
   2           2984           9273            574           5538            183           9999           4869            194
   2           4298           9592            899           6027            254           9999           5079         79.583
   2           2380           7811            422           2703            167           9999           4142            174
   2           4005           9797            894           5651            219           9999           5068            288
   2           5646           9721           1072           7286            251           9998           5673         22.124
