     n             scenario 1                 scenario 2                 scenario 3       
      5      0.0000 [0.0000,0.0000]     1.0000 [1.0000,1.0000]     0.0000 [0.0000,0.0000]  
     10      0.0000 [0.0000,0.0000]     0.7000 [0.2983,1.0000]     0.3000 [0.0000,0.7017]  
     15      0.0000 [0.0000,0.0000]     0.7333 [0.3457,1.0000]     0.2667 [0.0000,0.6543]  
     20      0.0500 [0.0000,0.2410]     0.7500 [0.3704,1.0000]     0.2000 [0.0000,0.5506]  
     25      0.0400 [0.0000,0.2118]     0.8000 [0.4494,1.0000]     0.1600 [0.0000,0.4813]  
     30      0.0333 [0.0000,0.1907]     0.7667 [0.3959,1.0000]     0.2000 [0.0000,0.5506]  
     35      0.0286 [0.0000,0.1746]     0.7714 [0.4034,1.0000]     0.2000 [0.0000,0.5506]  
     40      0.0250 [0.0000,0.1618]     0.7750 [0.4090,1.0000]     0.2000 [0.0000,0.5506]  
     45      0.0222 [0.0000,0.1514]     0.7778 [0.4134,1.0000]     0.2000 [0.0000,0.5506]  
     50      0.0200 [0.0000,0.1427]     0.7600 [0.3856,1.0000]     0.2200 [0.0000,0.5831]  
     55      0.0182 [0.0000,0.1353]     0.7455 [0.3636,1.0000]     0.2364 [0.0000,0.6088]  
     60      0.0167 [0.0000,0.1289]     0.7500 [0.3704,1.0000]     0.2333 [0.0000,0.6041]  
     65      0.0308 [0.0000,0.1821]     0.7385 [0.3532,1.0000]     0.2308 [0.0000,0.6001]  
     70      0.0286 [0.0000,0.1746]     0.7143 [0.3183,1.0000]     0.2571 [0.0000,0.6402]  
     75      0.0267 [0.0000,0.1679]     0.7200 [0.3264,1.0000]     0.2533 [0.0000,0.6346]  
     80      0.0250 [0.0000,0.1618]     0.7250 [0.3336,1.0000]     0.2500 [0.0000,0.6296]  
     85      0.0353 [0.0000,0.1970]     0.6824 [0.2743,1.0000]     0.2824 [0.0000,0.6769]  
     90      0.0444 [0.0000,0.2251]     0.6667 [0.2535,1.0000]     0.2889 [0.0000,0.6862]  
     95      0.0421 [0.0000,0.2181]     0.6632 [0.2489,1.0000]     0.2947 [0.0000,0.6944]  
    100      0.0400 [0.0000,0.2118]     0.6700 [0.2578,1.0000]     0.2900 [0.0000,0.6877]  
    105      0.0381 [0.0000,0.2059]     0.6667 [0.2535,1.0000]     0.2952 [0.0000,0.6951]  
    110      0.0545 [0.0000,0.2536]     0.6455 [0.2261,1.0000]     0.3000 [0.0000,0.7017]  
    115      0.0522 [0.0000,0.2471]     0.6609 [0.2459,1.0000]     0.2870 [0.0000,0.6835]  
    120      0.0583 [0.0000,0.2638]     0.6667 [0.2535,1.0000]     0.2750 [0.0000,0.6664]  
    125      0.0560 [0.0000,0.2575]     0.6720 [0.2605,1.0000]     0.2720 [0.0000,0.6621]  
    130      0.0692 [0.0000,0.2917]     0.6615 [0.2468,1.0000]     0.2692 [0.0000,0.6580]  
    135      0.0667 [0.0000,0.2853]     0.6519 [0.2343,1.0000]     0.2815 [0.0000,0.6757]  
    140      0.0714 [0.0000,0.2972]     0.6500 [0.2319,1.0000]     0.2786 [0.0000,0.6715]  
    145      0.0759 [0.0000,0.3079]     0.6483 [0.2297,1.0000]     0.2759 [0.0000,0.6676]  
    150      0.0733 [0.0000,0.3018]     0.6533 [0.2362,1.0000]     0.2733 [0.0000,0.6640]  
    155      0.0839 [0.0000,0.3268]     0.6452 [0.2258,1.0000]     0.2710 [0.0000,0.6606]  
    160      0.0813 [0.0000,0.3207]     0.6500 [0.2319,1.0000]     0.2687 [0.0000,0.6573]  
    165      0.0848 [0.0000,0.3291]     0.6485 [0.2300,1.0000]     0.2667 [0.0000,0.6543]  
    170      0.0882 [0.0000,0.3369]     0.6412 [0.2207,1.0000]     0.2706 [0.0000,0.6600]  
    175      0.0857 [0.0000,0.3311]     0.6400 [0.2193,1.0000]     0.2743 [0.0000,0.6654]  
    180      0.0833 [0.0000,0.3256]     0.6333 [0.2109,1.0000]     0.2833 [0.0000,0.6783]  
    185      0.0811 [0.0000,0.3203]     0.6270 [0.2031,1.0000]     0.2919 [0.0000,0.6904]  
    190      0.0842 [0.0000,0.3276]     0.6158 [0.1894,1.0000]     0.3000 [0.0000,0.7017]  
    195      0.0821 [0.0000,0.3226]     0.6205 [0.1952,1.0000]     0.2974 [0.0000,0.6981]  
    200      0.0800 [0.0000,0.3178]     0.6150 [0.1885,1.0000]     0.3050 [0.0000,0.7086]  
    205      0.0780 [0.0000,0.3132]     0.6244 [0.1999,1.0000]     0.2976 [0.0000,0.6983]  
    210      0.0762 [0.0000,0.3087]     0.6238 [0.1992,1.0000]     0.3000 [0.0000,0.7017]  
    215      0.0744 [0.0000,0.3045]     0.6186 [0.1928,1.0000]     0.3070 [0.0000,0.7113]  
    220      0.0818 [0.0000,0.3221]     0.6091 [0.1814,1.0000]     0.3091 [0.0000,0.7142]  
    225      0.0800 [0.0000,0.3178]     0.6089 [0.1811,1.0000]     0.3111 [0.0000,0.7169]  
    230      0.0783 [0.0000,0.3137]     0.6130 [0.1861,1.0000]     0.3087 [0.0000,0.7136]  
    235      0.0766 [0.0000,0.3097]     0.6128 [0.1858,1.0000]     0.3106 [0.0000,0.7163]  
    240      0.0833 [0.0000,0.3256]     0.6042 [0.1755,1.0000]     0.3125 [0.0000,0.7188]  
    245      0.0816 [0.0000,0.3216]     0.6000 [0.1706,1.0000]     0.3184 [0.0000,0.7267]  
    250      0.0800 [0.0000,0.3178]     0.5960 [0.1659,1.0000]     0.3240 [0.0000,0.7342]  
    255      0.0824 [0.0000,0.3233]     0.6000 [0.1706,1.0000]     0.3176 [0.0000,0.7257]  
    260      0.0846 [0.0000,0.3286]     0.5923 [0.1616,1.0000]     0.3231 [0.0000,0.7330]  
    265      0.0868 [0.0000,0.3336]     0.5925 [0.1617,1.0000]     0.3208 [0.0000,0.7299]  
    270      0.0889 [0.0000,0.3383]     0.5963 [0.1662,1.0000]     0.3148 [0.0000,0.7219]  
    275      0.0909 [0.0000,0.3429]     0.5927 [0.1621,1.0000]     0.3164 [0.0000,0.7240]  
    280      0.0929 [0.0000,0.3473]     0.5893 [0.1581,1.0000]     0.3179 [0.0000,0.7260]  
    285      0.0947 [0.0000,0.3514]     0.5860 [0.1542,1.0000]     0.3193 [0.0000,0.7279]  
    290      0.0966 [0.0000,0.3554]     0.5793 [0.1466,1.0000]     0.3241 [0.0000,0.7344]  
    295      0.1017 [0.0000,0.3666]     0.5763 [0.1431,1.0000]     0.3220 [0.0000,0.7316]  
    300      0.1067 [0.0000,0.3772]     0.5767 [0.1436,1.0000]     0.3167 [0.0000,0.7244]  
    305      0.1082 [0.0000,0.3805]     0.5803 [0.1478,1.0000]     0.3115 [0.0000,0.7174]  
    310      0.1161 [0.0000,0.3970]     0.5774 [0.1444,1.0000]     0.3065 [0.0000,0.7106]  
    315      0.1175 [0.0000,0.3997]     0.5714 [0.1377,1.0000]     0.3111 [0.0000,0.7169]  
    320      0.1187 [0.0000,0.4023]     0.5750 [0.1417,1.0000]     0.3063 [0.0000,0.7103]  
    325      0.1231 [0.0000,0.4110]     0.5754 [0.1421,1.0000]     0.3015 [0.0000,0.7038]  
    330      0.1273 [0.0000,0.4194]     0.5727 [0.1391,1.0000]     0.3000 [0.0000,0.7017]  
