scenario      C1            C2            C3            C4            t2           CA2            t1           CA1         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  2            5716          9278           745          6901          4903           286           246          9998      0.516667      0.494565      0.830797      0.727536      0.091262      0.086784      0.226969      0.142299      0.009506      0.009227      0.020405      0.013911      0.044110      0.043863      0.038404      0.038771      0.542029      0.725725      0.482971      0.731522      0.481884      0.667391      0.017248      0.078314      0.093248      0.074227      0.085488      0.106410      0.000508      0.011864      0.014281      0.010790      0.012683      0.017015      0.007937      0.021480      0.048212      0.019928      0.044293      0.038747      0.300362      0.471739      0.250000      0.451449      0.228261      0.561594      0.001416      0.009694      0.009819      0.009368      0.009530      0.027383      0.000038      0.001387      0.002014      0.001275      0.001875      0.006673      0.000991      0.005124      0.007365      0.005139      0.007355      0.012005
  2            4147          9645           694          5909          5030           197           256          9998      0.556522      0.470652      0.828623      0.738406      0.103250      0.084466      0.228884      0.160944      0.011594      0.008730      0.019863      0.016410      0.045789      0.044712      0.039225      0.042102      0.509058      0.719203      0.497464      0.728985      0.488043      0.663768      0.019958      0.087953      0.109320      0.076952      0.095879      0.114530      0.000716      0.012535      0.018408      0.011927      0.016128      0.017572      0.009820      0.024697      0.054938      0.020855      0.049086      0.041953      0.301087      0.498913      0.298188      0.424638      0.212681      0.570652      0.001895      0.011146      0.013283      0.008928      0.011076      0.030138      0.000048      0.001673      0.002632      0.001492      0.002364      0.007273      0.001325      0.005585      0.009322      0.005143      0.008720      0.012940
  2            3729          9405           440          4773          5272           139           210          9990      0.512319      0.437681      0.851087      0.762319      0.099369      0.089021      0.248912      0.165188      0.010607      0.009589      0.023832      0.018157      0.048460      0.050058      0.037066      0.039262      0.505072      0.714855      0.500000      0.715942      0.488406      0.704348      0.019808      0.087074      0.105555      0.077714      0.095808      0.136634      0.000609      0.016306      0.020710      0.013669      0.018134      0.026921      0.009825      0.024829      0.052777      0.022075      0.049015      0.044059      0.259420      0.472464      0.279348      0.406884      0.204710      0.617391      0.001570      0.013341      0.014704      0.011333      0.012943      0.044681      0.000028      0.002636      0.004030      0.002262      0.003394      0.014469      0.001162      0.007038      0.010597      0.006722      0.010293      0.017095
  2            2058          9390           873          4995          4646            85           180         10000      0.594203      0.423188      0.772826      0.748913      0.110068      0.081219      0.187973      0.157552      0.010278      0.007588      0.015118      0.016431      0.044665      0.046848      0.042703      0.039559      0.470290      0.693841      0.492754      0.714130      0.478261      0.628261      0.020119      0.076633      0.103970      0.060336      0.090841      0.094460      0.000691      0.008838      0.018192      0.006157      0.015407      0.013234      0.010701      0.023462      0.052738      0.017248      0.047395      0.039598      0.295290      0.516304      0.344565      0.371739      0.173551      0.523188      0.001697      0.007734      0.013238      0.005087      0.009608      0.021752      0.000038      0.000699      0.002942      0.000461      0.002093      0.004875      0.001196      0.003741      0.008676      0.003196      0.007941      0.010371
  2            7012          9445          1110          7759          5253           272           253         10000      0.514493      0.510870      0.796739      0.721377      0.087212      0.087125      0.196201      0.150786      0.010037      0.009301      0.018174      0.016092      0.042342      0.042616      0.039880      0.042012      0.563768      0.751087      0.498913      0.746014      0.488043      0.636957      0.017031      0.070213      0.099667      0.064913      0.089861      0.091635      0.000484      0.008762      0.015713      0.007754      0.013837      0.014023      0.007454      0.017477      0.049942      0.016487      0.046005      0.037617      0.311594      0.462681      0.243841      0.460507      0.240217      0.526087      0.001293      0.006724      0.010284      0.006738      0.010023      0.022849      0.000023      0.000744      0.001687      0.000838      0.001832      0.005465      0.000891      0.003613      0.007776      0.003638      0.007615      0.010837
  2            4860          9815           970          5916          5380           152           236         10000      0.547464      0.479710      0.786957      0.730797      0.095810      0.090021      0.200925      0.160037      0.010665      0.009861      0.018984      0.017719      0.043358      0.046837      0.042806      0.043083      0.540580      0.732971      0.494928      0.723913      0.468841      0.635870      0.018225      0.074980      0.108587      0.062163      0.096491      0.103466      0.000495      0.009377      0.019470      0.007500      0.016752      0.015397      0.008393      0.020022      0.054844      0.017162      0.051252      0.042661      0.314493      0.480435      0.281159      0.425362      0.213406      0.520290      0.001416      0.007245      0.012875      0.006113      0.011727      0.025313      0.000022      0.000851      0.002349      0.000587      0.002054      0.005164      0.000971      0.003764      0.009255      0.003513      0.009224      0.012143
  2            2462          7620           544          3883          3922           138           133          9999      0.518116      0.419565      0.804348      0.778623      0.093474      0.077563      0.197797      0.168319      0.008896      0.007250      0.018105      0.018212      0.045043      0.045020      0.038699      0.037262      0.477174      0.710870      0.522464      0.718841      0.509783      0.669928      0.018310      0.068418      0.101607      0.058798      0.089638      0.102816      0.000522      0.008804      0.018895      0.007274      0.016254      0.015830      0.009606      0.019782      0.048521      0.016532      0.043942      0.038109      0.247464      0.466304      0.300725      0.380797      0.202174      0.585870      0.001198      0.006583      0.011888      0.005582      0.010134      0.026941      0.000015      0.000702      0.002336      0.000684      0.002022      0.005667      0.000902      0.003515      0.008313      0.003456      0.008085      0.011157
  2            3320          8455           390          3854          5218            57           181         10000      0.503986      0.424275      0.838768      0.776812      0.099058      0.088480      0.242052      0.176572      0.010454      0.008783      0.021936      0.018926      0.049134      0.050940      0.039027      0.039409      0.496015      0.702899      0.498551      0.689855      0.478623      0.680435      0.018978      0.083958      0.108986      0.074694      0.097222      0.129337      0.000552      0.016431      0.021037      0.013667      0.018360      0.023182      0.009579      0.024944      0.054651      0.023166      0.050689      0.045174      0.247464      0.468478      0.280797      0.391667      0.201087      0.615580      0.001367      0.013114      0.014018      0.011409      0.012219      0.041615      0.000021      0.002416      0.003105      0.002185      0.002757      0.011335      0.001029      0.006970      0.010082      0.006945      0.009762      0.015998
  2            2216          7937           233          4417          3996            98           137         10000      0.540580      0.412319      0.869928      0.753261      0.097002      0.079491      0.254128      0.149503      0.009219      0.007488      0.024150      0.016047      0.044564      0.046715      0.033055      0.036888      0.475000      0.726812      0.498551      0.707609      0.480435      0.720290      0.018869      0.086126      0.093099      0.072121      0.081441      0.115649      0.000537      0.017275      0.015620      0.013588      0.013361      0.020393      0.009933      0.023529      0.046684      0.021088      0.042314      0.036874      0.261232      0.508696      0.299638      0.385507      0.171377      0.627899      0.001384      0.013225      0.010510      0.009967      0.008226      0.033330      0.000024      0.002519      0.002037      0.001907      0.001491      0.007875      0.001022      0.006497      0.007361      0.006125      0.006816      0.012414
  2            1792          7216           288          2552          3376           175           145          9997      0.548913      0.395290      0.869928      0.798913      0.097066      0.072189      0.242636      0.180507      0.008783      0.006129      0.022803      0.019674      0.043785      0.043653      0.031560      0.036298      0.414493      0.700725      0.538768      0.699275      0.526087      0.734420      0.020793      0.080604      0.101628      0.069622      0.086971      0.130741      0.000684      0.015980      0.020950      0.013407      0.018059      0.023966      0.012227      0.024123      0.046874      0.020937      0.041217      0.037801      0.220290      0.504710      0.355435      0.360870      0.202174      0.674638      0.001532      0.012478      0.014597      0.009124      0.010653      0.043092      0.000034      0.002525      0.004106      0.001841      0.002915      0.012000      0.001194      0.006180      0.009409      0.005831      0.008499      0.014021
