scenario      C1             C2             C3             C4             t2             CA2      
   2           7771           9892            975           1559            826           9942
   2           8343           9927           1003           1336            981           9990
   2           8907          10000           1640           3291           1445           9997
   2           8704           9964           1598           2328           1260           9896
   2           8993           9975           1777           2684           1128           9989
   2           8800           9970           1674           2876           1248           9997
   2           9074           9999           1877           4426           1493           9998
   2           8891           9946           1500           2421           1081           9997
   2           9069           9987           1930           2468           1406           9997
   2           9247           9990           2048           3628           1586           9998
   2           8933           9994           1755           3282           1475           9995
   2           9043           9984           1464           3309           1481           9991
   2           8692           9892           1093           1368           1032           9996
   2           8548           9948           1583           2524           1030           9992
   2           8906           9973           1355           2265           1194           9996
   2           8909           9989           1545           3021           1256           9997
   2           9333           9997           2904           5902           1781           9995
   2           8504           9945           1451           2368           1154           9996
   2           8469           9957           1287           1607           1054           9996
   2           9285           9989           2354           4282           1630           9995
   2           8920           9960           1362           1850           1240           9996
   2           8474           9929           1254           1504           1007           9997
   2           8624           9932            973           2144            986           9996
   2           9273           9995           2092           3995           1573           9998
   2           8704           9978           1521           3251           1448           9990
   2           9040           9992           2067           2859           1394           9997
   2           9030           9993           1448           2846           1187           9998
   2           8587           9957           1236           1381           1187           9996
   2           8975           9974           1652           3111           1518           9997
   2           9320           9992           1901           9866           1598           9997
   2           8615           9943           1289           2286           1068           9994
   2           8389           9853           1154           1413            846           9996
   2           8634           9921           1236           1236            982           9997
   2           8812           9969           1848           3116           1274           9997
   2           9978           9972           1934           3176           1426           9992
   2           8978           9947           1713           1916           1192           9996
   2           8392           9961           1483           2287           1184           9985
   2           8501           9913           1204           2033            995           9996
   2           8997          10000           1607           2897           1351           9992
   2           9420           9995           1668           3331           1551           9992
   2           8642           9871           1429           1913           1051           9996
   2           9024           9981           2071           3492           1497           9997
   2           7631           9922           1102           2238            928           9992
   2           8167           9875           1215           1707            886           9983
   2           8816           9966           1538           3450           1190           9996
   2           8755           9889           1596           2926           1019           9923
   2           8103           9897            707            949            760           9997
   2           8997           9994           1676           2800           1435           9939
   2           9060           9966           1707           2812           1349           9998
   2           8521           9909           1142           1604            842           9982
   2           8812           9963           1149           2548           1371           9996
   2           9140           9991           1875           3218           1675           9998
   2           8110           9916            998           1569            797           9948
   2           6404           9871            706           1479            622           9994
   2           8503           9839           1062            998            784           9994
   2           8317           9911           1082           1231            871           9984
   2           8928           9986           1665           2799           1241           9998
   2           9235           9997           1712           3114           1379           9997
   2           8808           9980           1260           2515           1236           9997
   2           9060           9980           1433           3185           1330           9997
   2           8749           9961           1642           2954           1199           9980
   2           8876           9964           1382           2851           1293           9997
   2           8605           9961            790           2026           1095           9998
   2           9132           9987           1914           2688           1458           9996
   2           8732           9978           1332           2510           1164           9995
   2           8993           9977           1630           2543           1143           9993
   2           9132           9997           1836           3358           1437           9997
   2           9530           9995           2016           4056           1486           9998
   2           8429           9958           1532           2754           1187           9996
   2           9153           9991           1767           3480           1602           9997
   2           8759           9943           1470           1968           1179           9991
   2           9141           9993           1599           2950           1274           9997
   2           8982           9988           1516           2902           1196           9997
   2           8868           9984           1772           4455           1353           9998
   2           8020           9837            642            990            830           9995
   2           8754           9950           1294           2242           1134           9997
   2           8945           9962           1806           2527           1253           9997
   2           9030           9944           1636           1444           1211           9997
   2           8845           9960           1664           3615           1192           9998
   2           9076           9980           1850           4106           1484           9997
   2           9116           9970           1669           3118           1315           9997
   2           9162           9983           1813           3079           1343           9998
   2           8758           9978           1844           2538           1320           9996
   2           9082           9997           1456           2748           1468           9994
   2           8601           9882           1002           1420            981           9951
   2           9007           9973           1623           3193           1377           9996
   2           8582           9852           1067            718            902           9995
   2           8902           9974           1684           3201           1248           9995
   2           8707           9876           1298           1623           1027           9996
   2           9076           9996           2239           3732           1385           9997
   2           8741           9961           1373           2437           1224           9992
   2           8222           9817           1175           1995            793           9995
   2           9016           9997           2350           2674           1479           9995
   2           8054           9940           1230           2111           1018           9996
   2           9025           9969           1443           2229           1329           9996
   2           9379           9990           2034           4108           1500           9997
   2           8831           9884           1526           3021           1060           9981
   2           7446           9769            565            722            590           9993
   2           8450           9805            764           1015            904           9994
   2           8764           9938           1450           2022           1315           9995
   2           9596           9988           1786           4747           1838           9995
   2           9554           9993           1878           3071           1540           9997
   2           8838           9953           1413           2498           1277           9988
   2           9040           9982           1593           4088           1431           9996
   2           8996           9972           1670           2069           1234           9996
   2           8964           9984           1325           3818           1215           9997
   2           8116           9955           1558           2112           1150           9997
   2           7801           9784           1179           2372            858           9993
   2           8303           9967           1504           2269           1265           9995
   2           8960           9987           2006           3078           1467           9996
   2           9062           9969           2316           4070           1552           9988
   2           8359           9934           1180           1350            977           9997
   2           7869           9848            883           1346            760           9996
   2           8628           9880            972           2123            961           9997
   2           8806           9946           1425           2094           1151           9996
   2           8369           9924           1189           2154           1036           9995
   2           9185           9990           1228           3022           1315           9998
   2           8182           9842            868           1415            746           9997
   2           8936           9971           1459           2906           1295           9997
   2           9333           9990           2388           7317           1986           9992
   2           8232           9922            872           1079            952           9996
   2           9035           9974           1652           3269           1338           9997
   2           8741           9954           1510           1516           1197           9997
   2           8909           9969           1495           2347           1286           9996
   2           9250           9992           1739           4027           1369           9995
   2           8153           9928           1393           1958            926           9998
   2           8951           9970           1576           2310           1469           9997
   2           8722           9967           1530           3804           1294           9996
