scenario      C1            C2            C3            C4            t2           CA2         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  1            9310            90          9530           661          3120          8788      0.327536      0.992754      0.485145      0.935870      0.180335      0.191264      0.231374      0.299481      0.028061      0.026197      0.027528      0.026758      0.121269      0.001386      0.119124      0.019206      0.431522      0.348551      0.515942      0.461957      0.822826      0.526449      0.225225      0.116240      0.223621      0.317356      0.774298      0.238181      0.077282      0.016456      0.070927      0.094816      0.118343      0.076632      0.128362      0.075724      0.108246      0.170751      0.137185      0.119263      0.301812      0.059783      0.280072      0.460145      0.821377      0.435507      0.119396      0.027787      0.108980      0.156024      0.693606      0.137606      0.065147      0.005377      0.055652      0.079219      0.177970      0.066744      0.083361      0.026126      0.078458      0.084230      0.123894      0.077677
  2            4209          1517          1101          5612          7818          3980      0.616667      0.844565      0.912681      0.613406      0.188684      0.203079      0.257459      0.224947      0.028314      0.029144      0.026521      0.026051      0.072329      0.031566      0.022481      0.086963      0.494203      0.606884      0.394565      0.718478      0.481159      0.577174      0.265449      0.329289      0.235469      0.477599      0.296314      0.289722      0.104675      0.120537      0.066391      0.161974      0.095453      0.104483      0.134456      0.129449      0.142561      0.134455      0.153740      0.129955      0.427174      0.482971      0.267029      0.677174      0.439130      0.491304      0.167835      0.189393      0.096735      0.346808      0.155481      0.182068      0.099527      0.113017      0.045267      0.186190      0.086382      0.101857      0.096140      0.097921      0.070904      0.111959      0.087205      0.092617
  1             878          3840          2455          6227          3564           997      0.888768      0.618478      0.794565      0.630797      0.187744      0.131633      0.216787      0.158738      0.027126      0.020579      0.024796      0.017342      0.020883      0.050221      0.044536      0.058607      0.534058      0.711232      0.553986      0.606522      0.457971      0.593841      0.140192      0.279733      0.191288      0.157067      0.112807      0.116120      0.053002      0.083758      0.052556      0.038353      0.017412      0.026702      0.065321      0.080778      0.085317      0.061803      0.061144      0.052464      0.506159      0.676812      0.519203      0.434783      0.285507      0.451449      0.073619      0.128049      0.070111      0.042216      0.021262      0.041044      0.043599      0.070453      0.040412      0.016354      0.005645      0.015800      0.036356      0.041384      0.033709      0.023861      0.015191      0.022515
  1             173          7638           100          9541           549          9923      0.875000      0.197464      0.963043      0.318478      0.315507      0.193781      0.326437      0.229855      0.027124      0.028302      0.027720      0.026560      0.039438      0.155516      0.012064      0.156651      0.193841      0.769203      0.311232      0.420290      0.474275      0.438406      0.166881      0.632163      0.264259      0.202972      0.051447      0.227878      0.047369      0.138291      0.064868      0.059988      0.002991      0.068221      0.134654      0.145901      0.182013      0.117665      0.027047      0.137552      0.172101      0.755797      0.288043      0.183696      0.036232      0.302174      0.087234      0.548455      0.105814      0.105583      0.010102      0.123089      0.035027      0.183190      0.043340      0.050282      0.000710      0.057707      0.072221      0.133934      0.075335      0.086188      0.009743      0.085894
  1            8637          9816          3483          3606          7581          9889      0.566304      0.561957      0.843116      0.814493      0.183944      0.185075      0.271475      0.248100      0.028371      0.027428      0.028324      0.027356      0.079776      0.081071      0.042590      0.046024      0.330435      0.597826      0.573551      0.588043      0.561957      0.709420      0.125957      0.239009      0.220213      0.215353      0.210058      0.321922      0.029896      0.072839      0.064589      0.063557      0.063380      0.103519      0.084428      0.096123      0.093910      0.088716      0.092014      0.099143      0.230072      0.442754      0.423188      0.446014      0.421377      0.656522      0.052203      0.105304      0.094416      0.098101      0.096752      0.211590      0.018905      0.051259      0.043518      0.045250      0.045973      0.103933      0.040192      0.058680      0.054460      0.054346      0.055983      0.072677
  1             928          9093          1271          5022           819          8397      0.662319      0.261957      0.648913      0.472826      0.278745      0.188742      0.305064      0.257350      0.027475      0.028147      0.024213      0.027038      0.094127      0.139300      0.107104      0.135668      0.251812      0.573551      0.456159      0.485145      0.499638      0.535145      0.103797      0.257439      0.188979      0.116835      0.068222      0.136994      0.020242      0.055340      0.034178      0.021395      0.006070      0.023212      0.077773      0.109785      0.102774      0.060153      0.034136      0.066661      0.183333      0.499638      0.372101      0.194203      0.135870      0.388406      0.045769      0.120149      0.067580      0.039295      0.014846      0.061363      0.012873      0.039827      0.019266      0.009413      0.001440      0.014846      0.037378      0.060118      0.042434      0.031664      0.012829      0.037574
  2            9716          4361          5763          2103          6971          6219      0.517029      0.716667      0.732246      0.880797      0.158765      0.205364      0.236131      0.251156      0.025642      0.028172      0.026308      0.026268      0.076679      0.058186      0.063225      0.029939      0.414855      0.513406      0.591304      0.564493      0.661594      0.660145      0.143522      0.172757      0.229837      0.227807      0.301492      0.281052      0.038415      0.044960      0.079163      0.064561      0.107505      0.100712      0.084293      0.084062      0.093934      0.099212      0.102027      0.099896      0.287319      0.317029      0.404348      0.488406      0.585870      0.607609      0.059174      0.057247      0.104369      0.102543      0.177641      0.183718      0.025264      0.024114      0.057375      0.047466      0.100071      0.098005      0.042172      0.039098      0.062168      0.052498      0.073567      0.072089
  2             818          2736          2227          6389          7728           633      0.903623      0.711957      0.809783      0.600362      0.185627      0.176754      0.235381      0.179590      0.030626      0.025572      0.026763      0.020264      0.017890      0.050913      0.044774      0.071771      0.606159      0.706522      0.512681      0.596014      0.403261      0.531159      0.235385      0.375249      0.241256      0.259039      0.178455      0.176176      0.097162      0.123627      0.073821      0.086236      0.045180      0.056130      0.092704      0.110127      0.117569      0.104648      0.106491      0.089492      0.584420      0.673551      0.478986      0.505072      0.314493      0.401449      0.149956      0.213714      0.100969      0.123920      0.062125      0.082975      0.093921      0.125261      0.063111      0.069610      0.030462      0.043801      0.062319      0.069767      0.052606      0.061332      0.042587      0.049665
  1            4741          9996           592          9497          5193          5338      0.687319      0.523188      0.974638      0.658696      0.187086      0.146550      0.188981      0.201666      0.029081      0.022142      0.024601      0.024561      0.058498      0.069877      0.004793      0.068829      0.357609      0.747826      0.524638      0.661594      0.462681      0.701087      0.100056      0.279288      0.162713      0.205394      0.114118      0.231087      0.021856      0.104671      0.031934      0.086030      0.019741      0.087924      0.064347      0.070429      0.077348      0.069506      0.061318      0.075606      0.280072      0.640942      0.408696      0.480435      0.269565      0.616667      0.036476      0.155856      0.045724      0.101392      0.026903      0.132059      0.012482      0.091555      0.014064      0.064772      0.006956      0.078105      0.026260      0.055961      0.027037      0.052680      0.019651      0.050623
  1            4749           858          4370          1118          2768          2719      0.468478      0.863406      0.635870      0.860870      0.154066      0.214165      0.203043      0.251195      0.023817      0.029618      0.023177      0.027153      0.081890      0.029254      0.073934      0.034949      0.478623      0.429348      0.569565      0.556159      0.739493      0.617391      0.155183      0.127317      0.173880      0.224938      0.346110      0.179873      0.048257      0.021099      0.049196      0.064515      0.115833      0.055244      0.081134      0.072654      0.074844      0.099837      0.090164      0.074295      0.359783      0.206159      0.361594      0.521377      0.707971      0.525000      0.070658      0.029295      0.064735      0.097279      0.213188      0.091397      0.035429      0.007892      0.030003      0.050427      0.116474      0.044560      0.045237      0.023255      0.041327      0.046595      0.062257      0.043413
