scenario      C1            C2            C3            C4            t2           CA2         HP0_1_1       HP0_1_2       HP0_1_3       HP0_1_4       HM1_1_1       HM1_1_2       HM1_1_3       HM1_1_4       HV1_1_1       HV1_1_2       HV1_1_3       HV1_1_4       HMO_1_1       HMO_1_2       HMO_1_3       HMO_1_4      FP0_1_1&2     FP0_1_1&3     FP0_1_1&4     FP0_1_2&3     FP0_1_2&4     FP0_1_3&4     FM1_1_1&2     FM1_1_1&3     FM1_1_1&4     FM1_1_2&3     FM1_1_2&4     FM1_1_3&4     FV1_1_1&2     FV1_1_1&3     FV1_1_1&4     FV1_1_2&3     FV1_1_2&4     FV1_1_3&4     FMO_1_1&2     FMO_1_1&3     FMO_1_1&4     FMO_1_2&3     FMO_1_2&4     FMO_1_3&4     NP0_1_1&2     NP0_1_1&3     NP0_1_1&4     NP0_1_2&3     NP0_1_2&4     NP0_1_3&4     NM1_1_1&2     NM1_1_1&3     NM1_1_1&4     NM1_1_2&3     NM1_1_2&4     NM1_1_3&4     NV1_1_1&2     NV1_1_1&3     NV1_1_1&4     NV1_1_2&3     NV1_1_2&4     NV1_1_3&4     NMO_1_1&2     NMO_1_1&3     NMO_1_1&4     NMO_1_2&3     NMO_1_2&4     NMO_1_3&4   
  1            8430          9909          2047            71           568         10000      0.305797      0.295652      0.589130      0.985870      0.183193      0.178314      0.275316      0.316360      0.027144      0.027265      0.025974      0.021742      0.127173      0.125595      0.113119      0.004470      0.375725      0.550725      0.513768      0.543116      0.514130      0.607609      0.029681      0.082187      0.203054      0.078834      0.203301      0.298732      0.001501      0.009520      0.061162      0.009477      0.062759      0.084595      0.018593      0.036925      0.098732      0.036018      0.098778      0.121225      0.070652      0.229348      0.297826      0.219203      0.286232      0.571014      0.006597      0.019826      0.105832      0.019445      0.102537      0.188640      0.000419      0.002845      0.052139      0.002701      0.051202      0.084550      0.006131      0.015279      0.074313      0.015197      0.073188      0.080924
  1            7624          9938          2540            77           938          9979      0.356522      0.331522      0.618841      0.995652      0.182902      0.182555      0.275114      0.288223      0.027294      0.027119      0.026148      0.039032      0.117693      0.122034      0.104862      0.001253      0.305435      0.537319      0.547464      0.529348      0.529348      0.632246      0.040889      0.104348      0.195590      0.094928      0.194692      0.302747      0.002976      0.015652      0.060929      0.013252      0.059971      0.088126      0.028430      0.048280      0.088512      0.044678      0.091632      0.115066      0.077174      0.264130      0.345290      0.247464      0.322464      0.599638      0.009899      0.027397      0.099814      0.026468      0.097415      0.191471      0.000954      0.005076      0.050637      0.004558      0.048946      0.089232      0.009135      0.020161      0.065349      0.019918      0.066002      0.076658
  1            6598          9736          1816            29           519          9999      0.307246      0.269565      0.564493      0.998913      0.191216      0.182815      0.283031      0.281462      0.027855      0.026972      0.027059      0.043281      0.132465      0.133535      0.123262      0.000306      0.324275      0.522464      0.507246      0.539855      0.483333      0.585145      0.030709      0.087076      0.216112      0.077485      0.208828      0.308277      0.001397      0.010092      0.067080      0.007905      0.067320      0.085727      0.020784      0.041582      0.106490      0.035654      0.107895      0.132805      0.064855      0.226449      0.300362      0.200000      0.263768      0.546014      0.007144      0.021465      0.116999      0.018362      0.110245      0.193475      0.000341      0.002475      0.059649      0.001977      0.057325      0.085880      0.006681      0.016604      0.081857      0.014689      0.081166      0.087835
  1            8038          9874          1730           107           603         10000      0.288406      0.291667      0.606159      0.968478      0.186734      0.185754      0.295348      0.348738      0.027406      0.027415      0.024969      0.019242      0.132879      0.131576      0.116320      0.010993      0.343116      0.528261      0.494203      0.547464      0.497826      0.606159      0.030186      0.093611      0.200081      0.086143      0.202789      0.306704      0.001538      0.012366      0.060630      0.011348      0.060703      0.081725      0.019894      0.044160      0.101201      0.038983      0.101835      0.125348      0.056159      0.231159      0.274638      0.234783      0.280072      0.579710      0.007191      0.024665      0.102286      0.022941      0.102536      0.196505      0.000435      0.003635      0.050104      0.003607      0.049959      0.084410      0.006789      0.018963      0.074195      0.017555      0.073818      0.082732
  1            6646          9993          2118           118           756         10000      0.345652      0.298913      0.605072      0.973188      0.193101      0.185285      0.284276      0.308137      0.028649      0.027578      0.025578      0.030867      0.126355      0.129901      0.112268      0.008262      0.311594      0.526087      0.531884      0.519928      0.498188      0.613043      0.039497      0.106301      0.210271      0.093078      0.196946      0.297690      0.002955      0.015005      0.062466      0.011499      0.059438      0.081978      0.027276      0.050377      0.098431      0.044684      0.098830      0.120478      0.075000      0.260870      0.332246      0.221739      0.286232      0.579348      0.010459      0.027865      0.109560      0.024466      0.100152      0.187955      0.001040      0.004279      0.052883      0.003574      0.048273      0.083207      0.009678      0.020596      0.073159      0.019041      0.071485      0.079064
  1            7203          9896          1171            93           567         10000      0.295652      0.273551      0.639130      0.979348      0.187978      0.183957      0.296666      0.328874      0.027102      0.027529      0.025932      0.028653      0.132402      0.133636      0.107058      0.006792      0.321377      0.510145      0.491304      0.523188      0.496015      0.643478      0.031310      0.104877      0.191768      0.102994      0.194573      0.333739      0.001498      0.016763      0.057249      0.014983      0.056718      0.090048      0.021293      0.051375      0.097552      0.049109      0.098062      0.123580      0.052899      0.234058      0.289130      0.217029      0.266304      0.615942      0.007331      0.032399      0.101441      0.030650      0.095967      0.221808      0.000415      0.006510      0.048965      0.005911      0.045867      0.095385      0.006943      0.024815      0.072111      0.024009      0.070410      0.085187
  1            6896          9754          1790            59           514         10000      0.285145      0.275725      0.575000      0.990580      0.192753      0.187816      0.286965      0.315383      0.028952      0.028218      0.025587      0.024828      0.137791      0.136031      0.121960      0.002971      0.363768      0.542029      0.493116      0.545652      0.490217      0.593116      0.030885      0.086603      0.202514      0.081699      0.202825      0.298924      0.001654      0.010543      0.058031      0.008744      0.059739      0.080020      0.019672      0.039662      0.102651      0.037120      0.103397      0.126501      0.062319      0.218841      0.276812      0.213406      0.268116      0.561232      0.007317      0.021620      0.104571      0.020571      0.102547      0.186374      0.000478      0.002833      0.049702      0.002448      0.049893      0.081089      0.006866      0.016904      0.075625      0.016181      0.075052      0.081775
  1            6879          9915          2091           492           652          9997      0.317391      0.307971      0.582609      0.782971      0.195002      0.193363      0.281678      0.329735      0.028966      0.028573      0.025869      0.024097      0.133110      0.133813      0.117570      0.071562      0.348913      0.528623      0.522826      0.534058      0.509058      0.601449      0.035884      0.093836      0.145698      0.086042      0.143597      0.204380      0.002215      0.012228      0.031440      0.009708      0.031257      0.044635      0.023416      0.044232      0.069523      0.040091      0.070498      0.085232      0.089855      0.240580      0.286594      0.235507      0.279710      0.530435      0.009215      0.024951      0.058696      0.022632      0.059290      0.111600      0.000718      0.003995      0.018042      0.003071      0.018707      0.036932      0.008390      0.018948      0.041874      0.017302      0.042749      0.052444
  1            6732          9919          1182            74           468          9999      0.278261      0.250725      0.629710      0.979348      0.191360      0.186090      0.302168      0.337561      0.027817      0.027978      0.024758      0.021831      0.138112      0.139433      0.111890      0.006971      0.350000      0.521015      0.476449      0.525725      0.472101      0.628261      0.028152      0.095101      0.197900      0.093771      0.200438      0.333601      0.001238      0.013797      0.058565      0.012420      0.059315      0.087825      0.018350      0.045552      0.103610      0.044473      0.105811      0.127518      0.040217      0.232246      0.269203      0.206159      0.243841      0.604348      0.006455      0.028943      0.105497      0.027532      0.101776      0.220272      0.000343      0.005308      0.050382      0.004634      0.049067      0.093578      0.006200      0.022231      0.077097      0.021866      0.076959      0.087151
  1            6296          9924          1949            91           552          9999      0.309783      0.276812      0.549275      0.972464      0.198242      0.192943      0.283381      0.328055      0.028471      0.028147      0.025233      0.028475      0.136830      0.139534      0.127727      0.009033      0.325725      0.504348      0.492391      0.532609      0.478623      0.564855      0.031666      0.088592      0.213122      0.080902      0.208389      0.299647      0.001557      0.010983      0.064279      0.009564      0.062015      0.083933      0.021409      0.043911      0.108182      0.037813      0.108649      0.136469      0.066667      0.227174      0.300362      0.204710      0.269203      0.530435      0.007812      0.024203      0.117369      0.021591      0.110112      0.195583      0.000473      0.003320      0.056810      0.003021      0.053003      0.084878      0.007291      0.018714      0.082116      0.017179      0.080469      0.091910
  1            3643          9857          1245            28           419          9999      0.328623      0.210145      0.573188      0.997464      0.211120      0.184971      0.296927      0.169515      0.028054      0.027520      0.025070      0.014615      0.141741      0.146101      0.126732      0.000430      0.296014      0.493478      0.471377      0.511594      0.444928      0.587319      0.035134      0.102801      0.212274      0.083969      0.201556      0.318723      0.001916      0.014688      0.063867      0.010265      0.061212      0.082008      0.024810      0.052071      0.112213      0.041011      0.111878      0.134765      0.049275      0.253985      0.319928      0.157971      0.202174      0.556884      0.008726      0.030856      0.124935      0.023102      0.102897      0.198142      0.000538      0.005165      0.060598      0.003640      0.051124      0.085563      0.008296      0.023019      0.084965      0.019452      0.082094      0.087800
  1            9285          9978          3750           149           747         10000      0.315580      0.341667      0.561957      0.958333      0.181722      0.188832      0.258912      0.328546      0.028244      0.028483      0.027454      0.026026      0.124374      0.124314      0.113415      0.013689      0.342029      0.560507      0.529710      0.557971      0.534783      0.598913      0.032150      0.076503      0.185929      0.075080      0.193076      0.258012      0.001788      0.008453      0.053503      0.007734      0.055998      0.073893      0.021177      0.033622      0.087440      0.033187      0.089822      0.108253      0.084420      0.225000      0.304348      0.245652      0.327899      0.542754      0.007872      0.017404      0.089815      0.018229      0.094560      0.151426      0.000573      0.002243      0.041981      0.002186      0.044754      0.067425      0.007210      0.013495      0.062480      0.013758      0.063554      0.069239
  1            8544          9897          2848            74           614          9999      0.310507      0.310870      0.561957      0.989493      0.183782      0.182425      0.268923      0.234089      0.029230      0.027919      0.025531      0.030882      0.126716      0.125715      0.117800      0.002460      0.356884      0.558333      0.532246      0.563768      0.514130      0.582971      0.031488      0.079607      0.208426      0.072885      0.204789      0.279581      0.001828      0.008432      0.062195      0.007374      0.063135      0.081195      0.020308      0.035160      0.097492      0.031795      0.099501      0.120747      0.075000      0.224275      0.300362      0.230072      0.300362      0.545290      0.007508      0.016630      0.105368      0.016398      0.106538      0.172435      0.000480      0.001749      0.051658      0.001818      0.052766      0.079494      0.006948      0.012900      0.073719      0.012637      0.074538      0.078408
  1            7713          9913          2263           224           938          9995      0.343841      0.338043      0.630072      0.947826      0.188516      0.189329      0.291791      0.333275      0.028346      0.028459      0.025637      0.022156      0.123697      0.125327      0.107941      0.017388      0.302174      0.540217      0.544565      0.541304      0.532246      0.636594      0.040180      0.109252      0.194210      0.102862      0.194656      0.292989      0.002847      0.016316      0.054290      0.014664      0.054896      0.076712      0.028083      0.050232      0.088450      0.047182      0.091051      0.110402      0.079710      0.262681      0.327174      0.260507      0.322101      0.603623      0.010877      0.029516      0.093911      0.029365      0.095289      0.183254      0.000990      0.005347      0.042785      0.005147      0.043251      0.075580      0.010013      0.021773      0.063185      0.021715      0.064631      0.072638
  1            7728          9915          9875           103           565         10000      0.321014      0.313043      0.444928      0.971014      0.186869      0.182953      0.232510      0.316736      0.027547      0.027384      0.026870      0.023389      0.126882      0.125681      0.129060      0.009181      0.379348      0.555797      0.517754      0.570290      0.512319      0.522101      0.031396      0.055707      0.193142      0.049570      0.191579      0.214302      0.001719      0.003309      0.057186      0.002940      0.058076      0.064613      0.019543      0.024745      0.093142      0.021301      0.093429      0.112353      0.104348      0.198551      0.308696      0.189493      0.301812      0.433696      0.007640      0.010244      0.098782      0.009309      0.096744      0.121116      0.000526      0.000646      0.047201      0.000627      0.046863      0.053649      0.006851      0.008210      0.068289      0.007545      0.067545      0.068589
  1            7881          9938          2060            90           544         10000      0.288406      0.288043      0.560145      0.975725      0.191927      0.192064      0.281543      0.319370      0.028838      0.027926      0.025680      0.023441      0.136574      0.136741      0.123838      0.007753      0.353623      0.549275      0.495652      0.526087      0.480797      0.572101      0.030328      0.084007      0.205486      0.077587      0.200737      0.285777      0.001515      0.009282      0.058216      0.008021      0.057821      0.080293      0.019637      0.037864      0.103636      0.036770      0.104223      0.127875      0.066304      0.220290      0.275000      0.211957      0.275725      0.535507      0.007791      0.021329      0.104119      0.019467      0.103455      0.179818      0.000566      0.002947      0.048813      0.002328      0.048482      0.078775      0.007277      0.016630      0.075487      0.015341      0.074930      0.083524
  1            7712          9981          2271            89           610          9998      0.304348      0.294928      0.576087      0.984420      0.183715      0.186911      0.279408      0.294817      0.027936      0.027656      0.025306      0.027198      0.127802      0.131786      0.118445      0.004593      0.338043      0.544928      0.510507      0.538406      0.488768      0.596014      0.032725      0.086903      0.193410      0.078921      0.189716      0.279993      0.001758      0.010341      0.058324      0.008655      0.055928      0.077626      0.021686      0.039547      0.094673      0.036429      0.096989      0.118490      0.065580      0.231884      0.293478      0.222464      0.283696      0.556159      0.007580      0.021312      0.098606      0.020617      0.096846      0.168826      0.000485      0.002825      0.048266      0.002926      0.046050      0.076863      0.007088      0.016378      0.069667      0.016038      0.069371      0.074932
  1            5888          9865          1880            52           513         10000      0.315217      0.251812      0.562319      0.993478      0.199558      0.186688      0.282242      0.289588      0.029263      0.027857      0.026233      0.032943      0.136654      0.139678      0.123532      0.001889      0.334058      0.537319      0.496739      0.531884      0.466667      0.583333      0.033132      0.089050      0.208850      0.073862      0.199157      0.304298      0.001991      0.010730      0.061075      0.008558      0.059857      0.085013      0.022076      0.041202      0.105106      0.034576      0.106217      0.132855      0.056159      0.246377      0.306159      0.189493      0.246014      0.544203      0.008583      0.023640      0.113484      0.018359      0.102957      0.191910      0.000682      0.003191      0.053990      0.002256      0.050144      0.086344      0.008104      0.017850      0.078740      0.014880      0.077628      0.087472
  1            5068          9719           298            30           362          9999      0.276449      0.200000      0.757971      0.997101      0.195221      0.182830      0.324897      0.402101      0.027443      0.027285      0.023413      0.013144      0.141252      0.146264      0.078634      0.001166      0.315217      0.481522      0.469203      0.468478      0.438768      0.715942      0.027525      0.140426      0.205771      0.134581      0.200626      0.500635      0.001319      0.031085      0.062450      0.028795      0.061454      0.122671      0.018878      0.072808      0.109223      0.071582      0.112597      0.144023      0.029348      0.247826      0.269565      0.176449      0.194203      0.707246      0.006693      0.057719      0.112428      0.052541      0.102440      0.398149      0.000400      0.018143      0.055749      0.016460      0.051264      0.156531      0.006501      0.043436      0.082121      0.043270      0.082546      0.116560
  1            7213          9921          1753            71           486         10000      0.290580      0.280435      0.571739      0.981522      0.189309      0.187001      0.283251      0.339079      0.029221      0.028040      0.026328      0.024150      0.134299      0.134559      0.121305      0.006266      0.368116      0.552899      0.503986      0.537681      0.488768      0.588768      0.027119      0.082804      0.213840      0.076895      0.208070      0.312026      0.001215      0.009871      0.064178      0.008483      0.063502      0.087394      0.017166      0.037022      0.106068      0.035550      0.106372      0.134307      0.065217      0.221739      0.280072      0.214130      0.269565      0.550725      0.006658      0.019712      0.111507      0.019261      0.107936      0.202290      0.000395      0.002431      0.053987      0.002371      0.052783      0.089464      0.006228      0.015362      0.080277      0.015151      0.078840      0.090884
  1            7197          9921          1861            76           555          9999      0.293841      0.264130      0.568841      0.981522      0.197439      0.192123      0.294289      0.287971      0.029517      0.029094      0.026338      0.023911      0.139423      0.141377      0.126886      0.005321      0.348913      0.536957      0.495652      0.531159      0.477536      0.582246      0.031054      0.090244      0.209316      0.086157      0.205085      0.308771      0.001693      0.011576      0.057834      0.010291      0.057660      0.080079      0.020264      0.041787      0.105568      0.040394      0.107150      0.133130      0.059058      0.224638      0.285507      0.201087      0.254348      0.547101      0.007759      0.023922      0.110340      0.023090      0.104570      0.190433      0.000526      0.003232      0.050522      0.002992      0.048103      0.081332      0.007303      0.018548      0.078837      0.018447      0.077973      0.086247
  1            5679          9765          1403            45           393         10000      0.281884      0.235870      0.562319      0.992391      0.195023      0.189785      0.280421      0.323961      0.027662      0.028615      0.026757      0.020469      0.140049      0.145021      0.122735      0.002465      0.360507      0.510870      0.469565      0.506884      0.448188      0.578623      0.029171      0.084002      0.206666      0.074858      0.203534      0.319348      0.001258      0.009732      0.063564      0.008560      0.061424      0.090605      0.018687      0.041088      0.109623      0.036914      0.112313      0.139194      0.058696      0.215580      0.273913      0.176087      0.228623      0.541304      0.007111      0.023176      0.113811      0.020884      0.106866      0.206575      0.000437      0.003183      0.056583      0.002883      0.051736      0.093587      0.006694      0.018196      0.082636      0.017214      0.082434      0.094755
  1            7408          9947          3520            95           691         10000      0.355435      0.300725      0.529348      0.986957      0.198021      0.189259      0.265626      0.350318      0.029084      0.028955      0.026327      0.029333      0.127638      0.132344      0.125017      0.004569      0.331884      0.530072      0.523551      0.531884      0.509783      0.564493      0.035669      0.083985      0.219686      0.074275      0.215402      0.280263      0.002149      0.009047      0.067666      0.007283      0.064515      0.080168      0.023896      0.039467      0.104669      0.034769      0.105594      0.127946      0.094203      0.239493      0.342029      0.204348      0.290580      0.511957      0.009516      0.019818      0.121513      0.017661      0.111016      0.170673      0.000773      0.002449      0.060074      0.002112      0.054152      0.076587      0.008623      0.015072      0.079952      0.014058      0.078757      0.083296
  1            8046         10000          3092          3881           762         10000      0.386232      0.369928      0.601812      0.571377      0.189092      0.184256      0.267364      0.258230      0.028961      0.028181      0.027177      0.024944      0.116059      0.116095      0.106461      0.110683      0.390942      0.582971      0.562681      0.590942      0.577174      0.617391      0.036134      0.082946      0.077417      0.076376      0.074217      0.089544      0.002363      0.008948      0.007816      0.007280      0.006515      0.009895      0.022073      0.034591      0.033856      0.031242      0.031381      0.037278      0.150725      0.297101      0.282609      0.285507      0.273913      0.452536      0.009003      0.018465      0.017201      0.017883      0.017068      0.033079      0.000757      0.001955      0.001968      0.002030      0.001873      0.004864      0.007650      0.012979      0.012346      0.012777      0.012405      0.018230
  1            4818          9810          1859            48           405         10000      0.314493      0.227536      0.515580      0.990580      0.207735      0.186069      0.273080      0.277437      0.028092      0.028147      0.025896      0.021129      0.142404      0.143732      0.132286      0.002614      0.328986      0.526449      0.476812      0.549638      0.465217      0.543478      0.031451      0.085198      0.210572      0.070757      0.207901      0.288717      0.001674      0.009860      0.060744      0.007249      0.061342      0.082258      0.021150      0.040345      0.110169      0.031866      0.111182      0.138396      0.056522      0.232609      0.306159      0.166667      0.220652      0.499275      0.007999      0.022393      0.118187      0.017722      0.104675      0.180357      0.000516      0.003182      0.056053      0.002249      0.051037      0.081964      0.007547      0.017201      0.082003      0.014782      0.081579      0.090309
  1            5960          9870          1408            42           474         10000      0.288043      0.255072      0.585145      0.994565      0.197450      0.192178      0.293156      0.350930      0.028586      0.028520      0.025881      0.030704      0.140576      0.143159      0.121617      0.001907      0.333696      0.515580      0.476812      0.531522      0.467391      0.596739      0.031668      0.088943      0.199343      0.081742      0.199349      0.308911      0.001529      0.012098      0.057288      0.009743      0.056603      0.082373      0.021123      0.043086      0.104294      0.038294      0.106175      0.129720      0.046377      0.227899      0.280435      0.204348      0.247464      0.565942      0.007345      0.024547      0.106197      0.022584      0.100667      0.195238      0.000381      0.003254      0.049767      0.003066      0.046901      0.083670      0.007005      0.018980      0.076416      0.017977      0.075792      0.084744
  1            7541          9977          2283            85           766         10000      0.326812      0.310507      0.613043      0.989130      0.191262      0.186242      0.281209      0.307386      0.027177      0.027166      0.024962      0.035794      0.128755      0.128412      0.108816      0.003341      0.298188      0.536594      0.508696      0.531884      0.498551      0.618478      0.035229      0.089269      0.217781      0.085220      0.216869      0.325881      0.001836      0.011109      0.069086      0.009892      0.070870      0.095342      0.024762      0.041368      0.106997      0.039893      0.108749      0.129644      0.071014      0.251449      0.314493      0.237681      0.298188      0.584783      0.008640      0.022455      0.120004      0.022402      0.117109      0.216871      0.000595      0.003337      0.061345      0.003137      0.060801      0.100448      0.008026      0.016809      0.082264      0.017094      0.082189      0.090049
