# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP1	16	1.0000	0.0000	0.0000	0.9776	0.0107	0.0011	0.0449	0.0429	0.0022	0.9551	0.0429	0.0022	0.0224	0.0107	0.0011	0.9776	0.0107	0.0011	0.0449	0.0429	0.0022	0.0000	46.8064	0.0000
TGCP2	17	1.0000	0.0000	0.0000	0.9789	0.0101	0.0011	0.0423	0.0405	0.0021	0.9577	0.0405	0.0021	0.0211	0.0101	0.0011	0.9789	0.0101	0.0011	0.0423	0.0405	0.0021	0.0000	46.9332	0.0000
TGCP3	0	1.0000	0.0000	0.0000	0.9823	0.0085	0.0010	0.0353	0.0341	0.0020	0.9647	0.0341	0.0020	0.0177	0.0085	0.0010	0.9823	0.0085	0.0010	0.0353	0.0341	0.0020	0.0000	47.2754	0.0000
TGCP4	2	1.0000	0.0000	0.0000	0.9814	0.0090	0.0010	0.0372	0.0358	0.0020	0.9628	0.0358	0.0020	0.0186	0.0090	0.0010	0.9814	0.0090	0.0010	0.0372	0.0358	0.0020	0.0000	47.1831	0.0000
TGCP5	1	1.0000	0.0000	0.0000	0.9820	0.0087	0.0010	0.0360	0.0347	0.0020	0.9640	0.0347	0.0020	0.0180	0.0087	0.0010	0.9820	0.0087	0.0010	0.0360	0.0347	0.0020	0.0000	47.2401	0.0000
TGCP6	1	1.0000	0.0000	0.0000	0.9814	0.0090	0.0010	0.0373	0.0359	0.0020	0.9627	0.0359	0.0020	0.0186	0.0090	0.0010	0.9814	0.0090	0.0010	0.0373	0.0359	0.0020	0.0000	47.1792	0.0000
TGCP7	2	1.0000	0.0000	0.0000	0.9813	0.0090	0.0010	0.0375	0.0361	0.0020	0.9625	0.0361	0.0020	0.0187	0.0090	0.0010	0.9813	0.0090	0.0010	0.0375	0.0361	0.0020	0.0000	47.1692	0.0000
TGCP8	0	1.0000	0.0000	0.0000	0.9843	0.0076	0.0009	0.0314	0.0304	0.0019	0.9686	0.0304	0.0019	0.0157	0.0076	0.0009	0.9843	0.0076	0.0009	0.0314	0.0304	0.0019	0.0000	47.4686	0.0000
TGCP9	13	1.0000	0.0000	0.0000	0.9822	0.0086	0.0010	0.0356	0.0344	0.0020	0.9644	0.0344	0.0020	0.0178	0.0086	0.0010	0.9822	0.0086	0.0010	0.0356	0.0344	0.0020	0.0000	47.2600	0.0000
TGCP10	3	1.0000	0.0000	0.0000	0.9827	0.0084	0.0010	0.0346	0.0334	0.0019	0.9654	0.0334	0.0019	0.0173	0.0084	0.0010	0.9827	0.0084	0.0010	0.0346	0.0334	0.0019	0.0000	47.3098	0.0000
MRLP123	96	1.0000	0.0000	0.0000	0.9828	0.0083	0.0006	0.0344	0.0333	0.0013	0.9656	0.0333	0.0013	0.0172	0.0083	0.0006	0.9828	0.0083	0.0006	0.0344	0.0333	0.0013	0.0000	47.3142	0.0000
MRLP124	75	1.0000	0.0000	0.0000	0.9839	0.0078	0.0006	0.0321	0.0311	0.0012	0.9679	0.0311	0.0012	0.0161	0.0078	0.0006	0.9839	0.0078	0.0006	0.0321	0.0311	0.0012	0.0000	47.4275	0.0000
MRLP125	83	1.0000	0.0000	0.0000	0.9866	0.0065	0.0006	0.0269	0.0261	0.0011	0.9731	0.0261	0.0011	0.0134	0.0065	0.0006	0.9866	0.0065	0.0006	0.0269	0.0261	0.0011	0.0000	47.6865	0.0000
