	TGCP	MRLP	STT	FSSP	HNL	MPO	OICP	IRO	HGRF	PTP	RRL	RRO	CPS	PPNP	FPPI	CRWA	PCRA	DHFA
TGCP		0.118707	0.192179	0.148807	0.477524	0.1871	0.101195	0.0992501	0.174155	0.151033	0.124286	0.191145	0.162513	0.555149	0.537254	0.145427	0.134848	0.458123
MRLP			0.16391	0.124003	0.467909	0.161797	0.168182	0.113327	0.200245	0.173279	0.108328	0.204057	0.17451	0.533686	0.515231	0.16941	0.0965357	0.450188
STT				0.161708	0.50777	0.0539122	0.255988	0.133164	0.297609	0.25443	0.143526	0.249492	0.177536	0.597211	0.555735	0.230378	0.158541	0.479164
FSSP					0.486909	0.16095	0.194202	0.108264	0.219088	0.187214	0.122339	0.216388	0.157861	0.569127	0.531368	0.177916	0.127782	0.462916
HNL						0.513373	0.528902	0.425824	0.580782	0.562037	0.416655	0.472341	0.450058	0.229399	0.252882	0.476354	0.430062	0.157931
MPO							0.255341	0.13454	0.294085	0.25981	0.144026	0.254554	0.179278	0.599481	0.55697	0.234635	0.159423	0.483376
OICP								0.137795	0.211112	0.179214	0.163327	0.26183	0.210104	0.624978	0.609707	0.206872	0.16401	0.499665
IRO									0.199051	0.148955	0.0749521	0.142297	0.106842	0.486467	0.481577	0.10948	0.0830598	0.400112
HGRF										0.147249	0.203586	0.339541	0.279307	0.674208	0.657084	0.283634	0.208005	0.55594
PTP											0.173652	0.304926	0.220657	0.669147	0.621998	0.247245	0.187761	0.534828
RRL												0.115424	0.098308	0.488632	0.4643	0.122599	0.0841677	0.403135
RRO													0.171316	0.557288	0.547292	0.179041	0.134106	0.467314
CPS														0.507096	0.501303	0.188338	0.127017	0.419028
PPNP															0.221879	0.563111	0.506204	0.22142
FPPI																0.552399	0.484749	0.237056
CRWA																	0.127057	0.46925
PCRA																		0.414957
