# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	1370	9.6294	0.4156	0.0038	0.9473	0.0135	0.0007	0.0677	0.0242	0.0009	0.9323	0.0242	0.0009	0.0727	0.0217	0.0009	0.9273	0.0217	0.0009	0.0769	0.0242	0.0009	0.0262	37.5775	0.0038
MRLP	1175	7.5039	0.2500	0.0027	0.9598	0.0100	0.0005	0.0426	0.0147	0.0006	0.9574	0.0147	0.0006	0.0570	0.0167	0.0007	0.9430	0.0167	0.0007	0.0612	0.0192	0.0007	0.0519	39.7721	0.0027
STT	989	9.0085	0.6615	0.0042	0.9691	0.0086	0.0005	0.0385	0.0162	0.0007	0.9615	0.0162	0.0007	0.0427	0.0137	0.0006	0.9573	0.0137	0.0006	0.0453	0.0154	0.0006	0.0211	42.0522	0.0042
FSSP	770	8.9552	0.6471	0.0046	0.9649	0.0093	0.0005	0.0381	0.0143	0.0007	0.9619	0.0143	0.0007	0.0491	0.0152	0.0007	0.9509	0.0152	0.0007	0.0521	0.0171	0.0007	0.0408	41.1111	0.0046
HNL	3244	9.2270	0.6305	0.0039	0.9508	0.0127	0.0006	0.0567	0.0195	0.0007	0.9433	0.0195	0.0007	0.0682	0.0207	0.0007	0.9318	0.0207	0.0007	0.0722	0.0232	0.0008	0.0421	38.6718	0.0039
MPO	753	8.8753	0.6331	0.0044	0.9711	0.0077	0.0005	0.0344	0.0139	0.0007	0.9656	0.0139	0.0007	0.0406	0.0128	0.0006	0.9594	0.0128	0.0006	0.0431	0.0144	0.0007	0.0270	42.3076	0.0044
OICP	1183	9.4448	0.5404	0.0030	0.9667	0.0095	0.0004	0.0407	0.0171	0.0005	0.9593	0.0171	0.0005	0.0453	0.0151	0.0005	0.9547	0.0151	0.0005	0.0480	0.0169	0.0005	0.0220	42.1860	0.0030
IRO	2647	9.0599	0.6299	0.0035	0.9470	0.0122	0.0005	0.0583	0.0170	0.0006	0.9417	0.0170	0.0006	0.0761	0.0203	0.0006	0.9239	0.0203	0.0006	0.0807	0.0229	0.0007	0.0650	35.8049	0.0035
HGRF	536	9.0269	0.6383	0.0039	0.9833	0.0053	0.0004	0.0217	0.0115	0.0005	0.9783	0.0115	0.0005	0.0222	0.0080	0.0004	0.9778	0.0080	0.0004	0.0236	0.0090	0.0005	0.0078	45.5671	0.0039
PTP	170	8.7343	0.5857	0.0052	0.9843	0.0048	0.0005	0.0195	0.0103	0.0007	0.9805	0.0103	0.0007	0.0213	0.0074	0.0006	0.9787	0.0074	0.0006	0.0226	0.0084	0.0006	0.0115	45.6397	0.0052
RRL	2800	9.0359	0.6276	0.0035	0.9452	0.0126	0.0005	0.0594	0.0173	0.0006	0.9406	0.0173	0.0006	0.0784	0.0210	0.0006	0.9216	0.0210	0.0006	0.0831	0.0236	0.0007	0.0677	35.7269	0.0035
RRO	1532	9.0689	0.6492	0.0038	0.9580	0.0109	0.0005	0.0423	0.0142	0.0006	0.9577	0.0142	0.0006	0.0586	0.0179	0.0006	0.9414	0.0179	0.0006	0.0622	0.0202	0.0007	0.0577	40.0424	0.0038
CPS	2829	9.0709	0.6548	0.0038	0.9494	0.0123	0.0005	0.0504	0.0153	0.0006	0.9496	0.0153	0.0006	0.0715	0.0204	0.0007	0.9285	0.0204	0.0007	0.0758	0.0229	0.0007	0.0708	37.6319	0.0038
PPNP	2494	9.2119	0.6148	0.0038	0.9690	0.0090	0.0005	0.0356	0.0145	0.0006	0.9644	0.0145	0.0006	0.0419	0.0143	0.0006	0.9581	0.0143	0.0006	0.0445	0.0161	0.0006	0.0240	42.8680	0.0038
FPPI	2499	9.0841	0.6432	0.0041	0.9690	0.0087	0.0005	0.0363	0.0148	0.0006	0.9637	0.0148	0.0006	0.0426	0.0140	0.0006	0.9574	0.0140	0.0006	0.0452	0.0158	0.0006	0.0256	42.4252	0.0041
CRWA	1577	9.0929	0.6373	0.0035	0.9609	0.0101	0.0004	0.0450	0.0158	0.0006	0.9550	0.0158	0.0006	0.0550	0.0166	0.0006	0.9450	0.0166	0.0006	0.0583	0.0187	0.0006	0.0380	40.0206	0.0035
PCRA	2508	9.2403	0.6228	0.0033	0.9461	0.0130	0.0005	0.0604	0.0190	0.0006	0.9396	0.0190	0.0006	0.0760	0.0213	0.0006	0.9240	0.0213	0.0006	0.0805	0.0240	0.0007	0.0568	36.5788	0.0033
DHFA	5645	9.3954	0.5748	0.0035	0.9413	0.0145	0.0006	0.0686	0.0224	0.0007	0.9314	0.0224	0.0007	0.0815	0.0235	0.0007	0.9185	0.0235	0.0007	0.0863	0.0264	0.0007	0.0478	36.4832	0.0035
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
TGCP	1370	3556370.0000	28397.0000	6803.0000	0.1913	9.7141	0.3437	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0002	48.9095	0.0003
MRLP	1175	5948690.0000	35161.0000	7076.0000	0.1190	7.6012	0.2398	0.0002	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0003	48.9463	0.0002
STT	989	5880392.0000	36925.0000	5449.0000	0.0927	9.1316	0.6894	0.0003	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0001	48.9566	0.0003
FSSP	770	5413467.0000	31055.0000	5328.0000	0.0984	9.0663	0.6359	0.0003	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9553	0.0003
HNL	3244	5152931.0000	41225.0000	9112.0000	0.1768	9.3960	0.5680	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0003	48.9184	0.0003
MPO	753	5532453.0000	32832.0000	4724.0000	0.0854	9.0233	0.6780	0.0004	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9606	0.0004
OICP	1183	7650205.0000	59454.0000	8625.0000	0.1127	9.6129	0.4208	0.0002	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0002	48.9474	0.0002
IRO	2647	7183288.0000	51837.0000	14711.0000	0.2048	9.2632	0.5888	0.0003	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.0005	48.9067	0.0003
HGRF	536	6840426.0000	41894.0000	3038.0000	0.0444	9.2249	0.6131	0.0003	0.9999	0.0000	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	48.9790	0.0003
PTP	170	4338020.0000	21470.0000	1548.0000	0.0357	8.8874	0.6382	0.0004	0.9999	0.0000	0.0000	0.0001	0.0001	0.0000	0.9999	0.0001	0.0000	0.0001	0.0000	0.0000	0.9999	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	48.9834	0.0004
RRL	2800	7072624.0000	51564.0000	14744.0000	0.2085	9.2573	0.5931	0.0003	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0005	48.9052	0.0003
RRO	1532	6416643.0000	44917.0000	8854.0000	0.1380	9.2401	0.6148	0.0003	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0004	48.9384	0.0003
CPS	2829	6437980.0000	45542.0000	11316.0000	0.1758	9.2487	0.6186	0.0003	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0005	48.9214	0.0003
PPNP	2494	5386400.0000	43069.0000	5671.0000	0.1053	9.4613	0.5068	0.0003	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.0002	48.9513	0.0003
FPPI	2499	5631928.0000	38964.0000	5498.0000	0.0976	9.3598	0.5643	0.0003	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0002	48.9549	0.0003
CRWA	1577	7111316.0000	50777.0000	9791.0000	0.1377	9.3194	0.5773	0.0003	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0002	0.0000	0.0003	48.9366	0.0003
PCRA	2508	7407885.0000	56231.0000	14985.0000	0.2023	9.4504	0.5328	0.0003	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0006	0.0002	0.0000	0.9994	0.0002	0.0000	0.0006	0.0002	0.0000	0.0004	48.9073	0.0003
