populations -P /work/LAS/kjroe-lab/jmahguib/UCSStacks_outputs/TrkNbr_1083n1282_L1n2_PrelimPops -O /work/LAS/kjroe-lab/jmahguib/Stacks_Populations_outputs/TrkNbr_1083n1282_L1n2_PrelimPops_for_Genodive_MinSampSizeRuns -M /work/LAS/kjroe-lab/jmahguib/PopMaps/Webbhelix/PopMaps_TrkNbr_1083n1282_L1n2_PrelimPops_MinSampSizeRuns/PopMap_TrkNbr_1083n1282_L1n2_PrelimPops_S24.txt -b 22540000 -t 20 -k -p 3 -r 0.80 --write_single_snp --fstats --plink --structure --genepop --vcf --phylip_var
populations version 1.46 executed 2019-12-02 16:15:30

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	1383
1	331395
2	58904
3	36822
4	28925
5	25133
6	22580
7	21484
8	20987
9	18765
10	18312
11	17840
12	17616
13	17305
14	17370
15	17467
16	18328
17	17200
18	17857
19	18951
20	20025
21	21875
22	24134
23	27286
24	36626
25	9329
26	9251
27	9158
28	8967
29	8687
30	8567
31	8591
32	8361
33	8171
34	7986
35	7854
36	7384
37	7226
38	7080
39	6737
40	6566
41	6291
42	6194
43	5962
44	5727
45	5509
46	5451
47	5084
48	4875
49	4454
50	4220
51	4062
52	4018
53	3918
54	3797
55	3690
56	3809
57	3670
58	3605
59	3729
60	3725
61	3709
62	4091
63	4220
64	4385
65	4667
66	4986
67	5726
68	6004
69	6386
70	6308
71	5609
72	3746
73	1574
74	1353
75	1330
76	1295
77	1336
78	1282
79	1334
80	1296
81	1341
82	1255
83	1373
84	1335
85	1288
86	1200
87	1297
88	1216
89	1232
90	1198
91	1049
92	974
93	791
94	607
95	398
96	193
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	1106493
1	22047
2	9995
3	6346
4	4700
5	3633
6	3088
7	2474
8	2192
9	1897
10	1665
11	1483
12	1303
13	1173
14	1097
15	918
16	910
17	763
18	722
19	656
20	594
21	554
22	493
23	465
24	437
25	404
26	324
27	303
28	311
29	300
30	226
31	259
32	246
33	249
34	208
35	199
36	216
37	170
38	146
39	146
40	162
41	150
42	158
43	170
44	156
45	148
46	112
47	116
48	101
49	107
50	107
51	112
52	122
53	96
54	91
55	87
56	98
57	84
58	95
59	74
60	84
61	67
62	60
63	68
64	59
65	71
66	76
67	67
68	50
69	55
70	57
71	83
72	130
73	55
74	40
75	34
76	37
77	31
78	28
79	43
80	31
81	30
82	21
83	25
84	23
85	26
86	21
87	23
88	16
89	12
90	17
91	10
92	19
93	13
94	13
95	13
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	1106493
1	22047
2	9995
3	6346
4	4700
5	3633
6	3088
7	2474
8	2192
9	1897
10	1665
11	1483
12	1303
13	1173
14	1097
15	918
16	910
17	763
18	722
19	656
20	594
21	554
22	493
23	465
24	437
25	404
26	324
27	303
28	311
29	300
30	226
31	259
32	246
33	249
34	208
35	199
36	216
37	170
38	146
39	146
40	162
41	150
42	158
43	170
44	156
45	148
46	112
47	116
48	101
49	107
50	107
51	112
52	122
53	96
54	91
55	87
56	98
57	84
58	95
59	74
60	84
61	67
62	60
63	68
64	59
65	71
66	76
67	67
68	50
69	55
70	57
71	83
72	130
73	55
74	40
75	34
76	37
77	31
78	28
79	43
80	31
81	30
82	21
83	25
84	23
85	26
86	21
87	23
88	16
89	12
90	17
91	10
92	19
93	13
94	13
95	13
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
60	80
61	305
62	680
63	1279
64	2415
65	3551
66	4323
67	5139
68	5513
69	5562
70	5313
71	4364
72	2384
80	2
81	4
82	24
83	44
84	142
85	331
86	520
87	780
88	849
89	1040
90	1110
91	1025
92	974
93	791
94	607
95	398
96	193
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	44407
1	2753
2	1035
3	563
4	331
5	183
6	146
7	88
8	59
9	48
10	32
11	19
12	17
13	17
14	13
15	11
16	3
17	3
18	5
20	4
21	1
22	2
23	1
27	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	36067
1	3655
2	1488
3	718
4	404
5	210
6	134
7	74
8	51
9	58
10	67
11	80
12	101
13	117
14	207
15	332
16	502
17	910
18	1502
19	2350
20	143
21	120
22	78
23	66
24	121
25	72
