# This document produced by the Structure Harvester,
# http://taylor0.biology.ucla.edu/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing 
# STRUCTURE output and implementing the Evanno method. 
# Conservation Genetics Resources vol. 4 (2) pp. 359-361 doi: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# Plot version: vA.1 November 2012
# Web version: v0.6.94 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
# K	Reps	Mean LnP(K)	Stdev LnP(K)	Ln'(K)	|Ln''(K)|	Delta K
##########
1	20	-187245.7250	4.7012	NA	NA	NA
2	20	-173387.3300	7823.4975	13858.395000	4051.535000	0.517867
3	20	-163580.4700	1383.0858	9806.860000	4834.210000	3.495235
4	20	-158607.8200	14960.3990	4972.650000	102592.940000	6.857634
5	20	-256228.1100	417467.6419	-97620.290000	121588.015000	0.291251
6	20	-232260.3850	372613.2301	23967.725000	8381.315000	0.022493
7	20	-216673.9750	176991.8889	15586.410000	442932.690000	2.502559
8	20	-644020.2550	1112337.1560	-427346.280000	745899.900000	0.670570
9	20	-325466.6350	289773.2080	318553.620000	307446.665000	1.060991
10	20	-314359.6800	203576.1582	11106.955000	371642.425000	1.825569
11	20	-674895.1500	1016053.9361	-360535.470000	732614.580000	0.721039
12	20	-302816.0400	223298.4178	372079.110000	1054915.365000	4.724240
13	20	-985652.2950	1631343.1070	-682836.255000	NA	NA
