# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 21:14:22 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	20	-187245.725000	4.701162
2	20	-173387.330000	7823.497529
3	20	-163580.470000	1383.085785
4	20	-158607.820000	14960.398956
5	20	-256228.110000	417467.641914
6	20	-232260.385000	372613.230138
7	20	-216673.975000	176991.888860
8	20	-644020.255000	1112337.156048
9	20	-325466.635000	289773.207994
10	20	-314359.680000	203576.158175
11	20	-674895.150000	1016053.936114
12	20	-302816.040000	223298.417791
13	20	-985652.295000	1631343.106989

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_12_f	12	1	-187246.2	-185163.2	4165.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_3_f	3	1	-187236.9	-185163.0	4147.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_5_f	5	1	-187249.0	-185163.2	4171.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_4_f	4	1	-187244.2	-185163.3	4161.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_15_f	15	1	-187241.9	-185163.1	4157.6
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_16_f	16	1	-187252.4	-185163.2	4178.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_10_f	10	1	-187251.1	-185163.3	4175.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_6_f	6	1	-187244.1	-185163.1	4161.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_14_f	14	1	-187245.0	-185163.2	4163.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_1_f	1	1	-187249.3	-185163.3	4171.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_18_f	18	1	-187242.9	-185163.1	4159.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_11_f	11	1	-187246.8	-185163.3	4167.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_19_f	19	1	-187240.6	-185163.1	4155.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_8_f	8	1	-187247.1	-185163.4	4167.5
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_2_f	2	1	-187247.0	-185163.1	4167.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_17_f	17	1	-187251.1	-185163.3	4175.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-13TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_7_f	7	1	-187243.1	-185163.2	4159.8
