# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2021-Feb-21 22:40:20 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	12	-187246.216667	3.822620
2	12	-175714.341667	7035.062071
3	12	-163403.891667	1753.279190
4	12	-161302.216667	18863.413546
5	12	-325081.600000	536746.072887
6	12	-287962.183333	480990.935736
7	12	-243785.658333	218364.143687
8	12	-739796.950000	1257515.576902
9	12	-426226.283333	339679.406535
10	12	-300035.825000	199241.303775
11	12	-865664.766667	1280406.556898
12	12	-325680.816667	221127.001673
13	12	-1244654.775000	2042564.575270
14	12	-1372840.916667	1861127.319499
15	12	-1481313.708333	1607612.133759
16	12	-612707.308333	703484.752423
17	12	-703916.750000	1090998.439342
18	12	-1695892.158333	2048094.887948

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_1_f	1	1	-187249.3	-185163.3	4171.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_4_f	4	1	-187244.2	-185163.3	4161.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_11_f	11	1	-187246.8	-185163.3	4167.1
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_2_f	2	1	-187247.0	-185163.1	4167.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_9_f	9	1	-187249.8	-185163.1	4173.3
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_12_f	12	1	-187246.2	-185163.2	4165.9
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_10_f	10	1	-187251.1	-185163.3	4175.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_7_f	7	1	-187243.1	-185163.2	4159.8
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_3_f	3	1	-187236.9	-185163.0	4147.7
TrkNbr-1524n1282n1083_Unix_Structure_K1-18_Runs1-12TrkNbr-1524n1282n1083_AllPops_Structure_BI100000_MCMC500000_K1_run_8_f	8	1	-187247.1	-185163.4	4167.5
