Obs_____	TGCP_____	STT_____	MPO_____	PTP_____
MPO_WM482	0.171801	0.065137	0.000000	0.183140
MPO_WM487	0.164998	0.060107	0.000000	0.179927
MPO_WM486	0.156902	0.065702	0.000000	0.188970
MPO_WM482	0.169290	0.067353	0.000000	0.189057
MPO_WM483	0.167276	0.070932	0.000000	0.194482
MPO_WM482	0.159880	0.063756	0.000000	0.190514
MPO_WM482	0.165068	0.061633	0.000000	0.189930
MPO_WM482	0.165894	0.059054	0.000000	0.192192
MPO_WM484	0.174300	0.065997	0.000000	0.195869
MPO_WM484	0.164829	0.058226	0.000000	0.197079
MPO_WM483	0.166311	0.063009	0.000000	0.190910
MPO_WM485	0.157247	0.067832	0.000000	0.187505
MPO_WM482	0.166459	0.069342	0.000000	0.193780
MPO_WM482	0.178118	0.065477	0.000000	0.197327
MPO_WM483	0.161837	0.064980	0.000000	0.190912
MPO_WM485	0.157857	0.075802	0.000000	0.187431
MPO_WM488	0.167678	0.070894	0.000000	0.192507
MPO_WM489	0.168115	0.060917	0.000000	0.184617
MPO_WM486	0.160675	0.064939	0.000000	0.192843
MPO_WM482	0.160072	0.063859	0.000000	0.188235
MPO_WM483	0.151325	0.063866	0.000000	0.200085
MPO_WM486	0.169501	0.055822	0.000000	0.186450
MPO_WM489	0.166964	0.059944	0.000000	0.183203
MPO_WM484	0.162382	0.065617	0.000000	0.190644
MPO_WM482	0.165909	0.070565	0.000000	0.182964
MPO_WM491	0.161894	0.064130	0.000000	0.184772
MPO_WM483	0.173106	0.077808	0.000000	0.199460
MPO_WM483	0.166450	0.071831	0.000000	0.197341
MPO_WM483	0.173968	0.064373	0.000000	0.200032
MPO_WM484	0.156670	0.066759	0.000000	0.198761
MPO_WM482	0.171085	0.069933	0.000000	0.194466
MPO_WM482	0.166464	0.058063	0.000000	0.186387
MPO_WM483	0.167981	0.063994	0.000000	0.187149
MPO_WM486	0.166262	0.064419	0.000000	0.199180
MPO_WM485	0.178148	0.074985	0.000000	0.195504
MPO_WM482	0.173546	0.068274	0.000000	0.193304
MPO_WM484	0.169035	0.071331	0.000000	0.195620
MPO_WM482	0.170934	0.063557	0.000000	0.188527
MPO_WM490	0.154198	0.066140	0.000000	0.192477
MPO_WM482	0.169835	0.061230	0.000000	0.181439
MPO_WM484	0.165487	0.060204	0.000000	0.191661
MPO_WM484	0.169919	0.065201	0.000000	0.190492
MPO_WM483	0.162186	0.068520	0.000000	0.198353
MPO_WM482	0.169566	0.065788	0.000000	0.191947
MPO_WM485	0.167138	0.061527	0.000000	0.194421
MPO_WM485	0.165958	0.063329	0.000000	0.190774
MPO_WM484	0.165396	0.060715	0.000000	0.180953
MPO_WM482	0.159727	0.064611	0.000000	0.190487
MPO_WM482	0.163084	0.058116	0.000000	0.178589
MPO_WM482	0.175593	0.069408	0.000000	0.190616
MPO_WM484	0.170091	0.064320	0.000000	0.181293
MPO_WM483	0.176587	0.061893	0.000000	0.186483
MPO_WM482	0.175037	0.064176	0.000000	0.195135
MPO_WM483	0.167392	0.062947	0.000000	0.191183
MPO_WM482	0.172985	0.066701	0.000000	0.187199
MPO_WM482	0.166472	0.062150	0.000000	0.185763
MPO_WM483	0.176412	0.064917	0.000000	0.189921
