Obs_____	TGCP_____	STT_____	MPO_____	PTP_____
TGCP_WM1	0.000000	0.164855	0.163829	0.184631
TGCP_WM1	0.000000	0.171327	0.164183	0.189326
TGCP_WM12	0.000000	0.173008	0.168214	0.186428
TGCP_WM10	0.000000	0.169859	0.172861	0.196454
TGCP_WM1	0.000000	0.169527	0.164905	0.183956
TGCP_WM1	0.000000	0.169254	0.171244	0.189267
TGCP_WM1	0.000000	0.167876	0.165502	0.185146
TGCP_WM11	0.000000	0.168843	0.170287	0.178850
TGCP_WM1	0.000000	0.175197	0.168173	0.188655
TGCP_WM10	0.000000	0.163128	0.159032	0.190811
TGCP_WM10	0.000000	0.166548	0.164901	0.190486
TGCP_WM11	0.000000	0.167818	0.165515	0.182515
TGCP_WM1	0.000000	0.169603	0.171475	0.187760
TGCP_WM1	0.000000	0.174553	0.170427	0.189815
TGCP_WM11	0.000000	0.168652	0.165759	0.189578
TGCP_WM10	0.000000	0.163204	0.167701	0.182939
TGCP_WM1	0.000000	0.172607	0.163311	0.193214
TGCP_WM1	0.000000	0.173514	0.169136	0.188741
TGCP_WM1	0.000000	0.167634	0.165325	0.192006
TGCP_WM1	0.000000	0.170749	0.164614	0.185185
TGCP_WM1	0.000000	0.170715	0.171703	0.192265
TGCP_WM1	0.000000	0.168458	0.170318	0.191749
TGCP_WM1	0.000000	0.167454	0.168744	0.183660
TGCP_WM10	0.000000	0.168002	0.161254	0.187047
TGCP_WM13	0.000000	0.167496	0.169511	0.185805
TGCP_WM1	0.000000	0.168195	0.169589	0.180874
TGCP_WM1	0.000000	0.168113	0.166449	0.188593
TGCP_WM1	0.000000	0.170428	0.173396	0.190757
TGCP_WM10	0.000000	0.159294	0.156109	0.173688
TGCP_WM12	0.000000	0.165269	0.167412	0.193157
TGCP_WM10	0.000000	0.166698	0.163126	0.184571
TGCP_WM1	0.000000	0.167985	0.165634	0.192824
TGCP_WM12	0.000000	0.163661	0.164636	0.182595
TGCP_WM1	0.000000	0.174245	0.168955	0.191096
TGCP_WM10	0.000000	0.164006	0.162848	0.180336
TGCP_WM11	0.000000	0.173781	0.175033	0.190813
TGCP_WM1	0.000000	0.169492	0.166819	0.184198
TGCP_WM1	0.000000	0.172900	0.167415	0.185087
TGCP_WM1	0.000000	0.165082	0.162468	0.184214
TGCP_WM1	0.000000	0.169297	0.163080	0.187190
TGCP_WM1	0.000000	0.165570	0.165168	0.185142
TGCP_WM12	0.000000	0.165343	0.164732	0.180518
TGCP_WM10	0.000000	0.169054	0.165460	0.190546
TGCP_WM13	0.000000	0.165895	0.166072	0.181778
TGCP_WM14	0.000000	0.168467	0.165503	0.184157
TGCP_WM10	0.000000	0.172350	0.167969	0.182199
TGCP_WM1	0.000000	0.165080	0.166735	0.187335
TGCP_WM1	0.000000	0.168631	0.172099	0.186246
TGCP_WM10	0.000000	0.169124	0.168990	0.187250
TGCP_WM1	0.000000	0.171261	0.168598	0.188088
TGCP_WM1	0.000000	0.164793	0.166315	0.188319
TGCP_WM12	0.000000	0.171988	0.172584	0.194703
TGCP_WM11	0.000000	0.171050	0.166359	0.181094
TGCP_WM10	0.000000	0.169313	0.160050	0.181516
TGCP_WM12	0.000000	0.171454	0.162903	0.182475
TGCP_WM10	0.000000	0.168651	0.170724	0.189338
TGCP_WM1	0.000000	0.165663	0.162781	0.182981
TGCP_WM10	0.000000	0.166225	0.166268	0.186092
TGCP_WM1	0.000000	0.178309	0.169871	0.193889
TGCP_WM11	0.000000	0.166055	0.160243	0.180089
TGCP_WM1	0.000000	0.163142	0.160584	0.184952
TGCP_WM1	0.000000	0.170089	0.165486	0.189743
TGCP_WM10	0.000000	0.169515	0.167136	0.188731
TGCP_WM1	0.000000	0.161930	0.162795	0.188921
TGCP_WM1	0.000000	0.164628	0.166712	0.186834
TGCP_WM10	0.000000	0.168669	0.160254	0.182609
TGCP_WM10	0.000000	0.173747	0.161916	0.182742
TGCP_WM1	0.000000	0.167857	0.165645	0.185049
TGCP_WM1	0.000000	0.165916	0.164833	0.185837
TGCP_WM1	0.000000	0.167687	0.169380	0.184692
TGCP_WM10	0.000000	0.163275	0.162517	0.183253
TGCP_WM11	0.000000	0.177508	0.170472	0.192430
TGCP_WM1	0.000000	0.166211	0.167823	0.186173
TGCP_WM18	0.000000	0.172650	0.164325	0.188163
TGCP_WM1	0.000000	0.171788	0.168194	0.190235
TGCP_WM1	0.000000	0.179294	0.168627	0.191657
TGCP_WM1	0.000000	0.170460	0.168680	0.191349
TGCP_WM1	0.000000	0.172655	0.166559	0.185394
TGCP_WM1	0.000000	0.173889	0.167562	0.187091
TGCP_WM11	0.000000	0.168144	0.167171	0.195062
TGCP_WM12	0.000000	0.163869	0.164117	0.184222
TGCP_WM1	0.000000	0.169962	0.167643	0.184242
TGCP_WM1	0.000000	0.165636	0.159644	0.186181
TGCP_WM11	0.000000	0.171957	0.169192	0.179992
TGCP_WM1	0.000000	0.173110	0.168424	0.187147
TGCP_WM10	0.000000	0.167576	0.165486	0.183707
TGCP_WM1	0.000000	0.172592	0.167815	0.183613
TGCP_WM1	0.000000	0.168991	0.169293	0.186207
TGCP_WM11	0.000000	0.174507	0.165414	0.182273
TGCP_WM1	0.000000	0.165099	0.163251	0.188407
TGCP_WM1	0.000000	0.172824	0.166549	0.183854
TGCP_WM1	0.000000	0.168896	0.159467	0.179410
TGCP_WM10	0.000000	0.165436	0.162513	0.183966
TGCP_WM1	0.000000	0.168600	0.164187	0.185133
TGCP_WM10	0.000000	0.166301	0.165144	0.184305
TGCP_WM1	0.000000	0.162275	0.159387	0.185161
TGCP_WM1	0.000000	0.164018	0.161375	0.181325
TGCP_WM10	0.000000	0.172657	0.168239	0.193850
TGCP_WM10	0.000000	0.170993	0.168596	0.187574
TGCP_WM10	0.000000	0.171148	0.167513	0.190722
