Population	Num	Eff_num	Ho	Hs	Gis
TGCP_WM1	1.598	1.228	0.151	0.153	0.014
TGCP_WM1	1.589	1.230	0.152	0.154	0.014
TGCP_WM1	1.607	1.232	0.152	0.155	0.022
TGCP_WM12	1.612	1.231	0.155	0.155	0.005
TGCP_WM1	1.593	1.231	0.153	0.154	0.013
TGCP_WM1	1.608	1.232	0.154	0.156	0.014
TGCP_WM1	1.615	1.237	0.158	0.159	0.006
TGCP_WM1	1.596	1.231	0.152	0.154	0.018
TGCP_WM1	1.605	1.233	0.156	0.156	-0.001
TGCP_WM1	1.593	1.231	0.155	0.154	-0.005
TGCP_WM1	1.615	1.234	0.155	0.157	0.011
TGCP_WM11	1.608	1.234	0.157	0.157	0.004
TGCP_WM10	1.598	1.229	0.153	0.154	0.007
TGCP_WM1	1.610	1.234	0.156	0.157	0.002
TGCP_WM10	1.605	1.234	0.155	0.156	0.006
TGCP_WM10	1.602	1.233	0.154	0.156	0.017
TGCP_WM11	1.601	1.231	0.154	0.155	0.008
TGCP_WM1	1.596	1.230	0.152	0.154	0.013
TGCP_WM1	1.609	1.233	0.155	0.157	0.014
TGCP_WM1	1.600	1.232	0.153	0.155	0.017
TGCP_WM1	1.580	1.230	0.154	0.154	-0.002
TGCP_WM10	1.614	1.232	0.153	0.156	0.021
TGCP_WM10	1.607	1.233	0.155	0.156	0.008
TGCP_WM1	1.602	1.232	0.152	0.156	0.027
TGCP_WM1	1.607	1.232	0.154	0.156	0.015
TGCP_WM1	1.608	1.233	0.155	0.156	0.010
TGCP_WM1	1.603	1.233	0.156	0.157	0.007
TGCP_WM10	1.610	1.232	0.153	0.156	0.019
TGCP_WM11	1.594	1.231	0.151	0.155	0.023
TGCP_WM1	1.601	1.231	0.153	0.155	0.013
TGCP_WM1	1.588	1.231	0.155	0.155	-0.001
TGCP_WM10	1.598	1.230	0.154	0.154	0.002
TGCP_WM1	1.621	1.233	0.156	0.157	0.010
TGCP_WM12	1.612	1.234	0.156	0.157	0.009
TGCP_WM1	1.585	1.227	0.150	0.152	0.016
TGCP_WM1	1.613	1.233	0.155	0.157	0.014
TGCP_WM10	1.604	1.234	0.154	0.157	0.018
TGCP_WM1	1.615	1.235	0.156	0.158	0.011
TGCP_WM1	1.594	1.228	0.154	0.154	-0.001
TGCP_WM1	1.601	1.234	0.154	0.157	0.013
TGCP_WM11	1.601	1.233	0.156	0.156	-0.002
TGCP_WM1	1.581	1.229	0.151	0.153	0.013
TGCP_WM1	1.593	1.231	0.152	0.154	0.016
TGCP_WM1	1.603	1.233	0.155	0.156	0.006
TGCP_WM1	1.597	1.230	0.151	0.154	0.019
TGCP_WM1	1.594	1.229	0.150	0.153	0.020
TGCP_WM1	1.603	1.231	0.153	0.155	0.012
TGCP_WM10	1.610	1.234	0.154	0.157	0.022
TGCP_WM1	1.611	1.236	0.158	0.158	0.002
