Population	Num	Eff_num	Ho	Hs	Gis
MPO_WM482	1.562	1.173	0.107	0.121	0.115
MPO_WM482	1.571	1.174	0.108	0.122	0.112
MPO_WM484	1.548	1.169	0.102	0.118	0.137
MPO_WM483	1.567	1.172	0.108	0.121	0.113
MPO_WM482	1.575	1.175	0.112	0.123	0.093
MPO_WM482	1.557	1.173	0.108	0.121	0.105
MPO_WM482	1.543	1.168	0.104	0.118	0.122
MPO_WM482	1.551	1.170	0.103	0.119	0.139
MPO_WM483	1.544	1.170	0.104	0.119	0.122
MPO_WM482	1.569	1.176	0.111	0.123	0.100
MPO_WM482	1.570	1.174	0.109	0.122	0.106
MPO_WM482	1.552	1.171	0.106	0.120	0.114
MPO_WM482	1.556	1.170	0.104	0.120	0.128
MPO_WM482	1.559	1.172	0.107	0.121	0.116
MPO_WM483	1.560	1.172	0.108	0.121	0.103
MPO_WM482	1.563	1.172	0.106	0.121	0.126
MPO_WM482	1.574	1.177	0.111	0.124	0.102
MPO_WM482	1.553	1.169	0.102	0.119	0.140
MPO_WM482	1.545	1.167	0.100	0.118	0.146
MPO_WM483	1.569	1.173	0.108	0.122	0.114
MPO_WM483	1.542	1.169	0.103	0.118	0.132
MPO_WM482	1.548	1.168	0.101	0.118	0.145
MPO_WM482	1.564	1.175	0.109	0.122	0.107
MPO_WM483	1.537	1.168	0.102	0.118	0.136
MPO_WM482	1.562	1.173	0.108	0.121	0.111
MPO_WM482	1.559	1.172	0.106	0.120	0.118
MPO_WM483	1.538	1.168	0.101	0.118	0.139
MPO_WM482	1.554	1.173	0.108	0.121	0.106
MPO_WM484	1.549	1.169	0.102	0.118	0.137
MPO_WM482	1.565	1.175	0.110	0.122	0.102
MPO_WM482	1.573	1.175	0.110	0.123	0.104
MPO_WM482	1.571	1.176	0.111	0.123	0.098
MPO_WM482	1.563	1.173	0.108	0.121	0.112
MPO_WM482	1.551	1.171	0.106	0.120	0.116
MPO_WM483	1.564	1.172	0.105	0.121	0.126
MPO_WM482	1.551	1.169	0.103	0.119	0.138
MPO_WM482	1.568	1.174	0.109	0.122	0.108
MPO_WM482	1.553	1.174	0.108	0.122	0.110
MPO_WM482	1.543	1.171	0.106	0.119	0.106
MPO_WM482	1.566	1.173	0.108	0.122	0.116
MPO_WM483	1.566	1.175	0.108	0.122	0.116
MPO_WM482	1.558	1.173	0.108	0.121	0.107
MPO_WM482	1.554	1.172	0.105	0.120	0.125
MPO_WM482	1.560	1.172	0.105	0.121	0.128
MPO_WM482	1.555	1.171	0.105	0.120	0.119
MPO_WM482	1.564	1.174	0.108	0.122	0.111
MPO_WM483	1.558	1.171	0.106	0.120	0.119
MPO_WM482	1.565	1.174	0.107	0.122	0.118
MPO_WM482	1.560	1.173	0.107	0.121	0.116
MPO_WM482	1.563	1.175	0.112	0.122	0.085
MPO_WM484	1.567	1.172	0.106	0.121	0.128
MPO_WM482	1.558	1.172	0.106	0.121	0.118
MPO_WM482	1.552	1.172	0.106	0.120	0.122
MPO_WM482	1.533	1.165	0.100	0.116	0.132
MPO_WM482	1.543	1.168	0.101	0.118	0.141
MPO_WM482	1.563	1.175	0.108	0.122	0.115
MPO_WM482	1.564	1.171	0.105	0.120	0.126
MPO_WM483	1.541	1.167	0.102	0.117	0.129
MPO_WM482	1.560	1.174	0.110	0.122	0.097
MPO_WM482	1.559	1.171	0.105	0.120	0.127
MPO_WM484	1.570	1.173	0.107	0.122	0.123
MPO_WM482	1.549	1.168	0.102	0.118	0.138
MPO_WM482	1.533	1.166	0.099	0.116	0.148
MPO_WM482	1.569	1.175	0.110	0.123	0.107
MPO_WM483	1.560	1.172	0.108	0.121	0.104
MPO_WM483	1.556	1.172	0.108	0.121	0.109
MPO_WM482	1.537	1.167	0.101	0.117	0.136
MPO_WM482	1.542	1.169	0.103	0.118	0.130
MPO_WM482	1.553	1.172	0.107	0.120	0.113
MPO_WM482	1.550	1.169	0.104	0.119	0.125
MPO_WM483	1.546	1.168	0.103	0.118	0.125
MPO_WM482	1.551	1.171	0.105	0.119	0.124
MPO_WM482	1.545	1.168	0.102	0.118	0.131
MPO_WM482	1.542	1.169	0.103	0.118	0.130
MPO_WM483	1.568	1.173	0.107	0.122	0.123
