Population	Num	Eff_num	Ho	Hs	Gis
PTP_WM722	1.246	1.085	0.051	0.057	0.096
PTP_WM721	1.241	1.083	0.050	0.056	0.108
PTP_WM721	1.241	1.084	0.050	0.056	0.104
PTP_WM721	1.244	1.084	0.050	0.056	0.111
PTP_WM721	1.241	1.083	0.049	0.056	0.120
PTP_WM721	1.240	1.083	0.050	0.056	0.100
PTP_WM721	1.240	1.084	0.050	0.056	0.111
PTP_WM722	1.237	1.083	0.050	0.056	0.110
PTP_WM721	1.246	1.084	0.051	0.056	0.103
PTP_WM721	1.240	1.084	0.050	0.056	0.109
PTP_WM721	1.240	1.083	0.050	0.056	0.112
PTP_WM721	1.232	1.082	0.048	0.055	0.118
PTP_WM721	1.246	1.084	0.051	0.057	0.106
PTP_WM722	1.246	1.085	0.051	0.057	0.100
PTP_WM721	1.245	1.085	0.051	0.057	0.106
PTP_WM721	1.246	1.084	0.050	0.056	0.103
PTP_WM721	1.239	1.083	0.049	0.056	0.111
PTP_WM721	1.237	1.083	0.050	0.055	0.105
PTP_WM721	1.247	1.085	0.050	0.057	0.118
PTP_WM721	1.237	1.083	0.049	0.055	0.111
PTP_WM721	1.246	1.084	0.051	0.057	0.102
PTP_WM721	1.247	1.085	0.051	0.057	0.101
PTP_WM721	1.241	1.083	0.050	0.056	0.108
PTP_WM722	1.246	1.084	0.051	0.056	0.092
PTP_WM721	1.241	1.083	0.049	0.056	0.121
PTP_WM721	1.242	1.084	0.050	0.056	0.111
PTP_WM721	1.246	1.084	0.051	0.056	0.093
PTP_WM721	1.241	1.084	0.050	0.056	0.107
PTP_WM721	1.246	1.085	0.050	0.057	0.115
PTP_WM721	1.237	1.082	0.049	0.055	0.113
PTP_WM721	1.240	1.084	0.049	0.056	0.117
PTP_WM721	1.244	1.084	0.051	0.056	0.099
PTP_WM721	1.233	1.082	0.048	0.055	0.122
PTP_WM721	1.244	1.084	0.051	0.056	0.104
PTP_WM721	1.246	1.084	0.051	0.057	0.106
PTP_WM721	1.246	1.084	0.051	0.056	0.093
PTP_WM721	1.239	1.083	0.049	0.056	0.116
PTP_WM721	1.238	1.083	0.050	0.056	0.108
PTP_WM721	1.245	1.085	0.050	0.057	0.120
PTP_WM721	1.240	1.084	0.050	0.056	0.110
PTP_WM721	1.242	1.083	0.049	0.056	0.118
PTP_WM721	1.246	1.085	0.051	0.057	0.109
PTP_WM721	1.247	1.085	0.051	0.057	0.105
PTP_WM721	1.242	1.083	0.050	0.056	0.112
PTP_WM721	1.242	1.084	0.050	0.056	0.111
PTP_WM721	1.236	1.082	0.049	0.055	0.120
PTP_WM721	1.245	1.085	0.051	0.057	0.111
PTP_WM721	1.246	1.084	0.050	0.057	0.110
PTP_WM721	1.242	1.083	0.050	0.056	0.102
PTP_WM721	1.232	1.082	0.048	0.055	0.118
PTP_WM721	1.235	1.082	0.049	0.055	0.118
PTP_WM721	1.243	1.083	0.051	0.056	0.097
PTP_WM721	1.238	1.084	0.049	0.056	0.117
PTP_WM722	1.240	1.083	0.050	0.056	0.110
PTP_WM721	1.235	1.082	0.049	0.055	0.113
PTP_WM721	1.239	1.083	0.050	0.056	0.105
PTP_WM722	1.246	1.085	0.051	0.057	0.109
PTP_WM721	1.242	1.084	0.050	0.056	0.112
PTP_WM721	1.242	1.083	0.050	0.056	0.104
PTP_WM721	1.240	1.084	0.050	0.056	0.107
PTP_WM721	1.246	1.085	0.051	0.057	0.105
PTP_WM721	1.237	1.082	0.049	0.055	0.120
PTP_WM721	1.240	1.084	0.050	0.056	0.110
PTP_WM721	1.240	1.084	0.050	0.056	0.110
PTP_WM721	1.244	1.084	0.051	0.056	0.099
PTP_WM721	1.244	1.084	0.050	0.056	0.112
PTP_WM721	1.246	1.085	0.051	0.057	0.105
PTP_WM721	1.242	1.083	0.050	0.056	0.102
PTP_WM721	1.246	1.085	0.051	0.057	0.096
PTP_WM721	1.242	1.083	0.049	0.056	0.118
PTP_WM721	1.233	1.082	0.048	0.055	0.122
PTP_WM721	1.246	1.084	0.051	0.057	0.098
PTP_WM721	1.238	1.083	0.049	0.056	0.116
PTP_WM721	1.243	1.084	0.050	0.056	0.117
PTP_WM721	1.244	1.084	0.050	0.056	0.113
PTP_WM721	1.246	1.084	0.050	0.057	0.117
PTP_WM721	1.246	1.085	0.052	0.057	0.099
PTP_WM721	1.233	1.083	0.048	0.055	0.119
PTP_WM721	1.242	1.083	0.049	0.056	0.118
PTP_WM721	1.244	1.084	0.050	0.056	0.113
PTP_WM721	1.246	1.085	0.051	0.057	0.099
PTP_WM721	1.246	1.084	0.051	0.056	0.093
PTP_WM721	1.247	1.085	0.051	0.057	0.111
PTP_WM721	1.246	1.085	0.051	0.057	0.103
PTP_WM721	1.246	1.084	0.051	0.057	0.101
PTP_WM721	1.238	1.083	0.050	0.056	0.108
