Population	Num	Eff_num	Ho	Hs	Gis
STT_WM183	1.576	1.182	0.114	0.125	0.087
STT_WM184	1.585	1.183	0.115	0.126	0.082
STT_WM183	1.586	1.183	0.115	0.126	0.083
STT_WM183	1.580	1.182	0.115	0.125	0.080
STT_WM183	1.586	1.184	0.116	0.127	0.084
STT_WM183	1.587	1.184	0.116	0.126	0.080
STT_WM183	1.577	1.182	0.115	0.125	0.080
STT_WM183	1.567	1.179	0.111	0.123	0.097
STT_WM183	1.587	1.184	0.116	0.127	0.082
STT_WM183	1.585	1.183	0.115	0.126	0.087
STT_WM183	1.583	1.183	0.115	0.126	0.081
STT_WM184	1.576	1.181	0.114	0.124	0.084
STT_WM183	1.583	1.182	0.114	0.125	0.088
STT_WM183	1.577	1.181	0.115	0.124	0.080
STT_WM183	1.586	1.183	0.115	0.126	0.085
STT_WM183	1.574	1.181	0.113	0.124	0.093
STT_WM183	1.587	1.184	0.117	0.127	0.078
STT_WM183	1.578	1.183	0.115	0.125	0.085
STT_WM183	1.580	1.182	0.115	0.125	0.080
STT_WM183	1.585	1.183	0.116	0.126	0.081
STT_WM183	1.567	1.180	0.112	0.124	0.091
STT_WM183	1.587	1.184	0.117	0.127	0.076
STT_WM183	1.578	1.183	0.115	0.125	0.082
STT_WM183	1.574	1.180	0.113	0.124	0.090
STT_WM183	1.588	1.184	0.117	0.127	0.077
STT_WM183	1.577	1.181	0.115	0.124	0.080
STT_WM183	1.577	1.181	0.114	0.124	0.084
STT_WM183	1.587	1.184	0.117	0.127	0.079
STT_WM183	1.587	1.184	0.116	0.126	0.079
STT_WM183	1.579	1.183	0.115	0.125	0.083
STT_WM183	1.577	1.181	0.115	0.124	0.080
STT_WM184	1.585	1.184	0.116	0.126	0.078
STT_WM183	1.577	1.181	0.115	0.125	0.078
STT_WM183	1.577	1.183	0.115	0.125	0.079
STT_WM183	1.587	1.184	0.117	0.127	0.079
STT_WM183	1.586	1.184	0.116	0.126	0.080
STT_WM184	1.582	1.182	0.114	0.125	0.087
STT_WM183	1.587	1.184	0.117	0.126	0.077
STT_WM183	1.587	1.185	0.117	0.127	0.076
STT_WM183	1.587	1.185	0.117	0.127	0.076
STT_WM183	1.577	1.183	0.115	0.125	0.083
STT_WM183	1.587	1.184	0.116	0.126	0.080
STT_WM183	1.580	1.181	0.114	0.124	0.084
STT_WM183	1.587	1.184	0.117	0.126	0.074
STT_WM183	1.587	1.184	0.117	0.127	0.075
STT_WM183	1.577	1.180	0.114	0.124	0.083
STT_WM183	1.577	1.183	0.115	0.125	0.081
STT_WM183	1.583	1.182	0.115	0.125	0.086
STT_WM184	1.586	1.184	0.116	0.126	0.079
STT_WM184	1.577	1.182	0.113	0.125	0.089
STT_WM183	1.578	1.181	0.114	0.125	0.089
STT_WM183	1.587	1.184	0.117	0.126	0.074
STT_WM183	1.587	1.184	0.117	0.127	0.079
STT_WM183	1.577	1.182	0.114	0.125	0.085
STT_WM183	1.578	1.182	0.115	0.125	0.083
STT_WM183	1.588	1.185	0.118	0.127	0.075
STT_WM183	1.587	1.183	0.116	0.126	0.079
STT_WM183	1.577	1.181	0.114	0.124	0.088
STT_WM183	1.577	1.182	0.115	0.125	0.079
STT_WM183	1.586	1.184	0.117	0.127	0.079
STT_WM183	1.577	1.182	0.113	0.125	0.091
STT_WM185	1.585	1.183	0.115	0.126	0.083
STT_WM183	1.576	1.182	0.114	0.125	0.087
STT_WM183	1.580	1.182	0.115	0.125	0.082
STT_WM183	1.583	1.184	0.116	0.126	0.083
STT_WM183	1.587	1.184	0.116	0.126	0.080
STT_WM183	1.582	1.183	0.115	0.126	0.087
STT_WM183	1.586	1.183	0.115	0.126	0.085
STT_WM183	1.587	1.184	0.116	0.126	0.082
STT_WM183	1.577	1.182	0.115	0.125	0.083
STT_WM183	1.588	1.185	0.117	0.127	0.075
STT_WM183	1.587	1.185	0.118	0.127	0.075
STT_WM183	1.586	1.184	0.116	0.127	0.079
STT_WM183	1.577	1.182	0.114	0.125	0.085
STT_WM184	1.586	1.184	0.116	0.126	0.079
STT_WM183	1.583	1.182	0.114	0.125	0.088
STT_WM183	1.587	1.185	0.117	0.127	0.076
STT_WM183	1.583	1.182	0.114	0.126	0.089
STT_WM183	1.586	1.184	0.117	0.127	0.079
STT_WM183	1.575	1.181	0.114	0.124	0.085
STT_WM183	1.587	1.184	0.117	0.127	0.073
STT_WM183	1.586	1.184	0.116	0.126	0.082
STT_WM183	1.571	1.180	0.112	0.123	0.090
STT_WM183	1.578	1.183	0.115	0.125	0.085
STT_WM183	1.587	1.184	0.116	0.127	0.082
STT_WM183	1.588	1.185	0.118	0.127	0.074
STT_WM183	1.579	1.181	0.114	0.124	0.084
STT_WM183	1.587	1.184	0.117	0.127	0.079
STT_WM183	1.573	1.180	0.113	0.124	0.087
STT_WM184	1.585	1.183	0.115	0.126	0.085
STT_WM183	1.587	1.184	0.116	0.126	0.077
STT_WM183	1.587	1.185	0.118	0.127	0.074
STT_WM183	1.588	1.185	0.118	0.127	0.074
STT_WM183	1.588	1.185	0.117	0.127	0.077
STT_WM183	1.587	1.183	0.116	0.126	0.080
STT_WM183	1.586	1.184	0.117	0.126	0.078
STT_WM184	1.585	1.184	0.117	0.126	0.077
STT_WM183	1.584	1.183	0.115	0.126	0.083
STT_WM183	1.586	1.184	0.116	0.126	0.080
STT_WM183	1.588	1.185	0.118	0.127	0.072
