PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
MPO_PTP_Rep001	0.183706	0.19181	0.18314	0.193881	0.188969	0.192717	0.18784	0.188413	0.186576	0.187538
MPO_PTP_Rep002	0.171824	0.20551	0.179927	0.190734	0.180697	0.187455	0.187656	0.186181	0.187892	0.188135
MPO_PTP_Rep003	0.198021	0.19627	0.18897	0.18791	0.188302	0.191657	0.187988	0.191486	0.189673	0.189554
MPO_PTP_Rep004	0.185286	0.195754	0.189057	0.191335	0.197084	0.19059	0.189577	0.1895	0.188305	0.189426
MPO_PTP_Rep005	0.193162	0.193938	0.194482	0.186064	0.182864	0.189633	0.192405	0.187609	0.186818	0.18867
MPO_PTP_Rep006	0.19048	0.184588	0.190514	0.187395	0.191724	0.193254	0.191189	0.188959	0.187445	0.189279
MPO_PTP_Rep007	0.191014	0.193939	0.18993	0.188178	0.193508	0.193481	0.190413	0.190874	0.189441	0.189952
MPO_PTP_Rep008	0.189818	0.186376	0.192192	0.189726	0.189415	0.195641	0.192171	0.186952	0.189658	0.187768
MPO_PTP_Rep009	0.176986	0.188204	0.195869	0.186286	0.186266	0.193526	0.187529	0.192829	0.188993	0.189738
MPO_PTP_Rep010	0.196235	0.199072	0.197079	0.191671	0.187761	0.191202	0.191457	0.190819	0.188425	0.189135
MPO_PTP_Rep011	0.189793	0.198517	0.19091	0.186899	0.185158	0.187562	0.191328	0.188088	0.19009	0.189846
MPO_PTP_Rep012	0.20684	0.189364	0.187505	0.192775	0.188759	0.189869	0.188181	0.188253	0.189836	0.189639
MPO_PTP_Rep013	0.184436	0.195968	0.19378	0.18886	0.201121	0.193584	0.188204	0.191493	0.188292	0.190374
MPO_PTP_Rep014	0.187966	0.194181	0.197327	0.189393	0.189383	0.187062	0.191312	0.188933	0.187109	0.189549
MPO_PTP_Rep015	0.190713	0.186487	0.190912	0.196097	0.191489	0.186726	0.190574	0.188674	0.189933	0.188492
MPO_PTP_Rep016	0.177179	0.190918	0.187431	0.194265	0.189549	0.184765	0.189871	0.191323	0.190312	0.191492
MPO_PTP_Rep017	0.183057	0.190087	0.192507	0.199376	0.186754	0.189292	0.190373	0.189064	0.188953	0.189383
MPO_PTP_Rep018	0.207336	0.183571	0.184617	0.192454	0.181826	0.19431	0.189019	0.186352	0.188764	0.190387
MPO_PTP_Rep019	0.18924	0.194248	0.192843	0.18758	0.191067	0.189693	0.19321	0.190106	0.186435	0.189049
MPO_PTP_Rep020	0.186238	0.190464	0.188235	0.192457	0.18473	0.192894	0.190606	0.185349	0.190421	0.190359
MPO_PTP_Rep021	0.188976	0.180212	0.200085	0.187299	0.188219	0.196717	0.189342	0.193985	0.190158	0.189861
MPO_PTP_Rep022	0.222487	0.186098	0.18645	0.194814	0.196911	0.186216	0.187739	0.191967	0.187967	0.189299
MPO_PTP_Rep023	0.195975	0.194812	0.183203	0.194353	0.187681	0.186889	0.186569	0.187727	0.190236	0.188392
MPO_PTP_Rep024	0.197574	0.192774	0.190644	0.187462	0.184936	0.190172	0.18936	0.190748	0.190109	0.18766
MPO_PTP_Rep025	0.215023	0.194222	0.182964	0.184034	0.192725	0.194493	0.186419	0.192847	0.192009	0.188465
MPO_PTP_Rep026	0.193317	0.200146	0.184772	0.189678	0.187181	0.184666	0.191817	0.189622	0.189652	0.187626
MPO_PTP_Rep027	0.181987	0.189305	0.19946	0.190765	0.19318	0.191709	0.18895	0.188312	0.190177	0.190039
MPO_PTP_Rep028	0.19674	0.192879	0.197341	0.184197	0.188629	0.182326	0.188074	0.189643	0.187899	0.191988
MPO_PTP_Rep029	0.177279	0.18903	0.200032	0.192921	0.187437	0.191009	0.189323	0.188997	0.192786	0.188935
MPO_PTP_Rep030	0.176789	0.192262	0.198761	0.190171	0.189522	0.191171	0.193607	0.187643	0.190962	0.190977
MPO_PTP_Rep031	0.195197	0.18783	0.194466	0.192803	0.191581	0.191115	0.190514	0.188442	0.188272	0.190451
MPO_PTP_Rep032	0.198918	0.198627	0.186387	0.191544	0.192222	0.193157	0.188193	0.189276	0.188509	0.188516
MPO_PTP_Rep033	0.179128	0.194523	0.187149	0.196861	0.188504	0.189676	0.18714	0.1886	0.190209	0.188873
MPO_PTP_Rep034	0.176801	0.194653	0.19918	0.191337	0.19006	0.193198	0.190326	0.189445	0.188466	0.190148
MPO_PTP_Rep035	0.17603	0.192061	0.195504	0.186407	0.186709	0.191005	0.191285	0.187405	0.19285	0.189546
MPO_PTP_Rep036	0.184769	0.187016	0.193304	0.196988	0.187401	0.191617	0.189534	0.189246	0.190143	0.189736
