PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
STT_MPO_Rep001	0.077663	0.068513	0.065137	0.060918	0.062327	0.065968	0.06305	0.062502	0.063835	0.063753
STT_MPO_Rep002	0.051973	0.08116	0.060107	0.064188	0.063238	0.065106	0.066412	0.062021	0.064005	0.064333
STT_MPO_Rep003	0.077064	0.070117	0.065702	0.066589	0.064842	0.066065	0.062003	0.063522	0.065598	0.064236
STT_MPO_Rep004	0.059373	0.069124	0.067353	0.062977	0.061992	0.066046	0.063608	0.065459	0.063155	0.064576
STT_MPO_Rep005	0.056961	0.061053	0.070932	0.063248	0.05879	0.060109	0.065627	0.06413	0.063642	0.06431
STT_MPO_Rep006	0.059268	0.059286	0.063756	0.066377	0.060556	0.067948	0.065631	0.067717	0.063226	0.063992
STT_MPO_Rep007	0.070459	0.062292	0.061633	0.064432	0.068213	0.066972	0.064516	0.063097	0.065718	0.064833
STT_MPO_Rep008	0.075991	0.065927	0.059054	0.066158	0.067621	0.068415	0.063668	0.062542	0.06554	0.063692
STT_MPO_Rep009	0.064814	0.061533	0.065997	0.069979	0.062599	0.068194	0.065705	0.067169	0.065124	0.064283
STT_MPO_Rep010	0.069783	0.069208	0.058226	0.066343	0.062031	0.065931	0.068757	0.066943	0.066075	0.062533
STT_MPO_Rep011	0.057735	0.064471	0.063009	0.0656	0.068239	0.063699	0.06388	0.065557	0.065883	0.06356
STT_MPO_Rep012	0.070694	0.060663	0.067832	0.063003	0.064894	0.06633	0.066164	0.065152	0.064308	0.064659
STT_MPO_Rep013	0.044483	0.067314	0.069342	0.061907	0.073228	0.062066	0.067136	0.063863	0.064294	0.064088
STT_MPO_Rep014	0.075803	0.065534	0.065477	0.068769	0.061066	0.065183	0.065948	0.064482	0.061139	0.06486
STT_MPO_Rep015	0.0681	0.054898	0.06498	0.060892	0.065066	0.065563	0.064116	0.064806	0.064454	0.063431
STT_MPO_Rep016	0.048778	0.066093	0.075802	0.058924	0.063203	0.064065	0.060907	0.063098	0.066135	0.064527
STT_MPO_Rep017	0.059366	0.064666	0.070894	0.065799	0.065688	0.06311	0.064162	0.065343	0.065345	0.06446
STT_MPO_Rep018	0.06659	0.058624	0.060917	0.063436	0.067011	0.068146	0.063588	0.064086	0.063666	0.064571
STT_MPO_Rep019	0.069821	0.064995	0.064939	0.069189	0.0613	0.065509	0.062384	0.064114	0.063324	0.064497
STT_MPO_Rep020	0.057105	0.062129	0.063859	0.064575	0.05821	0.066341	0.069975	0.063458	0.064645	0.065024
STT_MPO_Rep021	0.060145	0.069821	0.063866	0.06422	0.066188	0.067862	0.063398	0.067784	0.064996	0.064987
STT_MPO_Rep022	0.079026	0.059406	0.055822	0.066166	0.069291	0.069013	0.062743	0.062661	0.063	0.064026
STT_MPO_Rep023	0.074552	0.06345	0.059944	0.061434	0.066539	0.061576	0.062602	0.066034	0.06593	0.065172
