PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
STT_PTP_Rep001	0.203359	0.208766	0.199147	0.202153	0.194678	0.200936	0.200773	0.20061	0.199203	0.202628
STT_PTP_Rep002	0.187443	0.19773	0.194161	0.199002	0.201254	0.202502	0.202833	0.204964	0.202665	0.202668
STT_PTP_Rep003	0.221871	0.197104	0.203642	0.21312	0.203651	0.199917	0.200781	0.202102	0.204156	0.202743
STT_PTP_Rep004	0.202718	0.212678	0.206039	0.197515	0.203503	0.20006	0.202351	0.20653	0.203503	0.203364
STT_PTP_Rep005	0.221026	0.206496	0.204371	0.20913	0.207167	0.200168	0.202576	0.204368	0.202192	0.201714
STT_PTP_Rep006	0.213456	0.212407	0.198227	0.199815	0.199264	0.206804	0.20274	0.203349	0.20105	0.201285
STT_PTP_Rep007	0.205556	0.197847	0.204299	0.207921	0.205811	0.202139	0.206449	0.200567	0.202867	0.204196
STT_PTP_Rep008	0.199977	0.205504	0.205583	0.215188	0.201606	0.206691	0.199632	0.203422	0.202133	0.20412
STT_PTP_Rep009	0.210048	0.197518	0.201042	0.207621	0.206052	0.20353	0.203181	0.206146	0.202061	0.202183
STT_PTP_Rep010	0.203216	0.200719	0.198184	0.207786	0.205238	0.200201	0.203457	0.202566	0.201088	0.202217
STT_PTP_Rep011	0.208443	0.204895	0.209195	0.207523	0.204255	0.205092	0.206669	0.201633	0.204575	0.203156
STT_PTP_Rep012	0.210175	0.204295	0.206927	0.201963	0.195767	0.198897	0.206224	0.202249	0.204352	0.205208
STT_PTP_Rep013	0.189467	0.205825	0.206586	0.201509	0.202373	0.201237	0.206833	0.204537	0.201407	0.201999
STT_PTP_Rep014	0.191507	0.209174	0.207198	0.198357	0.200229	0.203256	0.203971	0.202597	0.203288	0.203168
STT_PTP_Rep015	0.20142	0.199883	0.199741	0.205729	0.198514	0.201352	0.199185	0.204668	0.202227	0.201265
STT_PTP_Rep016	0.202209	0.201797	0.206798	0.194298	0.1995	0.200039	0.200102	0.202135	0.202501	0.203432
STT_PTP_Rep017	0.200474	0.196047	0.198798	0.207047	0.201791	0.199464	0.205019	0.203784	0.204017	0.202301
STT_PTP_Rep018	0.202384	0.202187	0.205155	0.207332	0.201615	0.199314	0.206603	0.202312	0.200615	0.204805
STT_PTP_Rep019	0.240378	0.21293	0.196812	0.208025	0.205871	0.203752	0.203264	0.200144	0.199726	0.202493
STT_PTP_Rep020	0.199379	0.19611	0.199858	0.203343	0.200657	0.20236	0.202118	0.202333	0.203117	0.201941
STT_PTP_Rep021	0.194214	0.197764	0.201449	0.195582	0.20268	0.201085	0.200082	0.207071	0.201391	0.205655
STT_PTP_Rep022	0.203416	0.196531	0.198587	0.206753	0.204848	0.204308	0.202166	0.204658	0.202272	0.202262
STT_PTP_Rep023	0.210879	0.202492	0.208057	0.204257	0.202825	0.203275	0.198167	0.205744	0.203407	0.202935
STT_PTP_Rep024	0.217049	0.210698	0.211755	0.203552	0.210559	0.202116	0.20007	0.202869	0.202097	0.202409
STT_PTP_Rep025	0.210125	0.211266	0.197321	0.206601	0.201716	0.200397	0.203931	0.204166	0.200767	0.201539
STT_PTP_Rep026	0.200339	0.199987	0.202412	0.198648	0.199164	0.195463	0.202793	0.205852	0.203516	0.20358
STT_PTP_Rep027	0.209813	0.196883	0.217324	0.20102	0.198082	0.204249	0.201834	0.200283	0.200824	0.204744
STT_PTP_Rep028	0.195028	0.215429	0.217295	0.206091	0.199528	0.20183	0.201266	0.204446	0.200545	0.203182
STT_PTP_Rep029	0.21954	0.192923	0.209632	0.201468	0.206867	0.2075	0.201533	0.200079	0.204509	0.201179
STT_PTP_Rep030	0.201699	0.201448	0.198847	0.200214	0.196059	0.205499	0.203923	0.199312	0.200656	0.203068
STT_PTP_Rep031	0.194081	0.199619	0.207088	0.199576	0.201342	0.199406	0.203397	0.207821	0.204186	0.203768
STT_PTP_Rep032	0.23362	0.213966	0.20261	0.203801	0.202905	0.206308	0.198763	0.201769	0.200359	0.201736
STT_PTP_Rep033	0.224349	0.197482	0.2116	0.200001	0.206448	0.20261	0.200114	0.202308	0.202883	0.204878
STT_PTP_Rep034	0.190573	0.201329	0.200959	0.204743	0.200577	0.204207	0.204442	0.202305	0.202804	0.204074
STT_PTP_Rep035	0.195295	0.211543	0.194725	0.207982	0.198664	0.20396	0.204933	0.202123	0.20388	0.201647
STT_PTP_Rep036	0.205345	0.212769	0.21651	0.20033	0.198328	0.204308	0.197994	0.201733	0.202945	0.203409
STT_PTP_Rep037	0.216685	0.197906	0.214073	0.200625	0.203507	0.20683	0.202417	0.202292	0.201661	0.202968
STT_PTP_Rep038	0.216113	0.220238	0.204189	0.20558	0.20351	0.198183	0.20633	0.203362	0.202705	0.203487
STT_PTP_Rep039	0.219576	0.195901	0.204307	0.202282	0.200812	0.202791	0.201953	0.200948	0.202142	0.201604
STT_PTP_Rep040	0.211269	0.208657	0.19143	0.20518	0.206784	0.204838	0.201589	0.202761	0.200664	0.202297
STT_PTP_Rep041	0.198892	0.212057	0.202538	0.202216	0.206906	0.203413	0.201378	0.200883	0.204308	0.202787
STT_PTP_Rep042	0.186822	0.205531	0.198704	0.196595	0.198637	0.201249	0.203092	0.202997	0.205208	0.200895
STT_PTP_Rep043	0.213601	0.19496	0.196755	0.199924	0.201157	0.201107	0.199495	0.205473	0.203506	0.202853
STT_PTP_Rep044	0.210237	0.202114	0.200441	0.20095	0.202838	0.200341	0.199146	0.204511	0.201452	0.201326
STT_PTP_Rep045	0.211542	0.195904	0.194029	0.195668	0.201366	0.20866	0.203433	0.202886	0.202426	0.201955
STT_PTP_Rep046	0.224273	0.218777	0.208695	0.201065	0.20254	0.202054	0.204479	0.207477	0.203844	0.204196
STT_PTP_Rep047	0.196434	0.214281	0.200458	0.204086	0.201584	0.200889	0.20445	0.199413	0.202092	0.203592
STT_PTP_Rep048	0.212262	0.208241	0.203458	0.209187	0.204906	0.204696	0.206164	0.201571	0.206465	0.201695
STT_PTP_Rep049	0.219556	0.209467	0.197331	0.207854	0.20364	0.198734	0.20321	0.200236	0.202376	0.202506
STT_PTP_Rep050	0.201686	0.207426	0.19982	0.204257	0.210063	0.199516	0.200652	0.201107	0.205652	0.204503
STT_PTP_Rep051	0.207704	0.204853	0.197802	0.201276	0.206137	0.194983	0.203079	0.203771	0.205403	0.203382
STT_PTP_Rep052	0.19227	0.183179	0.195344	0.213478	0.201452	0.200173	0.20213	0.200459	0.201755	0.202516
STT_PTP_Rep053	0.20655	0.193948	0.204784	0.203092	0.202815	0.198522	0.19775	0.202963	0.202642	0.202708
STT_PTP_Rep054	0.204946	0.211543	0.197884	0.195522	0.200943	0.199944	0.202308	0.201642	0.203909	0.20369
STT_PTP_Rep055	0.214155	0.210096	0.201331	0.202221	0.203779	0.203268	0.200903	0.19849	0.202036	0.202653
STT_PTP_Rep056	0.200621	0.192623	0.206556	0.200496	0.201775	0.201201	0.203788	0.206537	0.202344	0.2037
STT_PTP_Rep057	0.203014	0.198164	0.197624	0.209415	0.198673	0.20326	0.202958	0.20421	0.203543	0.20123
STT_PTP_Rep058	0.184134	0.200407	0.206056	0.207463	0.20711	0.205022	0.200999	0.204199	0.20349	0.203064
STT_PTP_Rep059	0.22143	0.205242	0.206646	0.202287	0.209022	0.198859	0.198837	0.203167	0.204855	0.203873
STT_PTP_Rep060	0.225439	0.203871	0.198502	0.190278	0.201659	0.204927	0.202191	0.204303	0.201878	0.202294
STT_PTP_Rep061	0.218615	0.202259	0.214542	0.206381	0.202647	0.199629	0.202406	0.202347	0.202913	0.20269
STT_PTP_Rep062	0.204694	0.193678	0.206708	0.206353	0.210751	0.201141	0.199334	0.204332	0.203613	0.202648
STT_PTP_Rep063	0.198831	0.193449	0.207879	0.20369	0.203569	0.201406	0.200687	0.206078	0.200655	0.203509
STT_PTP_Rep064	0.18825	0.188643	0.203511	0.206407	0.203143	0.204359	0.207027	0.201231	0.201161	0.203156
STT_PTP_Rep065	0.201756	0.199727	0.196978	0.197667	0.205371	0.200423	0.205812	0.202275	0.202647	0.202301
STT_PTP_Rep066	0.198115	0.189399	0.193579	0.20421	0.206608	0.20718	0.201935	0.20161	0.203743	0.20222
STT_PTP_Rep067	0.202841	0.201734	0.206699	0.199817	0.203854	0.199154	0.200146	0.206156	0.203406	0.202817
STT_PTP_Rep068	0.196309	0.209362	0.205151	0.205321	0.207402	0.206141	0.202767	0.201138	0.20287	0.201353
STT_PTP_Rep069	0.225437	0.212277	0.20791	0.207743	0.204054	0.19976	0.203783	0.20086	0.205162	0.202736
STT_PTP_Rep070	0.198367	0.210942	0.206803	0.20058	0.19904	0.202346	0.199992	0.201289	0.20173	0.203393
STT_PTP_Rep071	0.202867	0.20331	0.206475	0.200497	0.203183	0.20687	0.205248	0.204275	0.206049	0.202692
STT_PTP_Rep072	0.196015	0.198811	0.201875	0.200797	0.205125	0.206972	0.200814	0.206865	0.203443	0.201126
STT_PTP_Rep073	0.210109	0.210141	0.207311	0.199538	0.20083	0.198458	0.203246	0.20217	0.205378	0.201429
STT_PTP_Rep074	0.198349	0.195805	0.205701	0.208368	0.204779	0.200591	0.201268	0.203199	0.201677	0.203236
STT_PTP_Rep075	0.223004	0.216482	0.209897	0.205996	0.205657	0.200872	0.204883	0.203835	0.202837	0.202414
STT_PTP_Rep076	0.202305	0.219935	0.207127	0.212011	0.202591	0.203264	0.201265	0.202931	0.202544	0.201455
STT_PTP_Rep077	0.208196	0.204604	0.196557	0.199472	0.203147	0.20458	0.199669	0.199842	0.205767	0.201972
STT_PTP_Rep078	0.21605	0.192472	0.207422	0.202815	0.20055	0.198067	0.203471	0.203435	0.202845	0.202662
STT_PTP_Rep079	0.186769	0.215053	0.20726	0.217249	0.209091	0.197346	0.201625	0.199614	0.20421	0.201559
STT_PTP_Rep080	0.167503	0.212271	0.203038	0.204902	0.203319	0.203941	0.207306	0.200658	0.204725	0.203232
STT_PTP_Rep081	0.206245	0.194067	0.207958	0.198243	0.206216	0.20693	0.206029	0.201243	0.201817	0.202165
STT_PTP_Rep082	0.202627	0.189176	0.20802	0.210295	0.203853	0.201747	0.200969	0.202825	0.20488	0.203848
STT_PTP_Rep083	0.212182	0.202622	0.194293	0.198027	0.204676	0.202479	0.200928	0.198255	0.201908	0.203401
STT_PTP_Rep084	0.191673	0.195513	0.193935	0.199228	0.198823	0.201063	0.198178	0.200745	0.202102	0.20332
STT_PTP_Rep085	0.193754	0.205998	0.190225	0.204895	0.205086	0.197972	0.203411	0.20431	0.204226	0.201822
STT_PTP_Rep086	0.197758	0.210944	0.204966	0.199049	0.203996	0.204214	0.207098	0.20314	0.203849	0.202827
STT_PTP_Rep087	0.200715	0.206095	0.194189	0.211989	0.206616	0.202539	0.201717	0.202526	0.205008	0.203014
STT_PTP_Rep088	0.223105	0.210512	0.203279	0.206661	0.200872	0.205274	0.200614	0.200747	0.200866	0.202224
STT_PTP_Rep089	0.214228	0.201093	0.20071	0.200686	0.207791	0.200567	0.201483	0.202984	0.203054	0.202809
STT_PTP_Rep090	0.19643	0.204094	0.201474	0.19682	0.203521	0.200501	0.203056	0.204334	0.20255	0.202796
STT_PTP_Rep091	0.214181	0.197307	0.208672	0.204622	0.200333	0.203444	0.200411	0.202282	0.201805	0.202235
STT_PTP_Rep092	0.205965	0.211619	0.20264	0.202553	0.209701	0.204338	0.202204	0.203996	0.204052	0.202172
STT_PTP_Rep093	0.205825	0.208764	0.199575	0.19963	0.205331	0.202751	0.200035	0.202316	0.201086	0.200879
STT_PTP_Rep094	0.196452	0.209267	0.196923	0.209586	0.212277	0.201505	0.19995	0.20191	0.203422	0.202194
STT_PTP_Rep095	0.204645	0.201461	0.191004	0.204336	0.200946	0.200664	0.201604	0.202588	0.20214	0.202207
STT_PTP_Rep096	0.20058	0.192317	0.208975	0.196871	0.205218	0.202826	0.200967	0.202326	0.20247	0.201971
STT_PTP_Rep097	0.204336	0.205819	0.203717	0.19712	0.201613	0.201774	0.201581	0.201545	0.200999	0.202677
