PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
TGCP_MPO_Rep001	0.153292	0.171508	0.171801	0.171534	0.163829	0.169264	0.166753	0.168444	0.167818	0.167525
TGCP_MPO_Rep002	0.145516	0.182743	0.164998	0.16994	0.164183	0.168483	0.164043	0.165203	0.167049	0.167258
TGCP_MPO_Rep003	0.184146	0.167653	0.156902	0.170457	0.168214	0.171073	0.168266	0.165285	0.16687	0.166305
TGCP_MPO_Rep004	0.161654	0.162794	0.16929	0.172348	0.172861	0.173442	0.168462	0.167222	0.16576	0.168811
TGCP_MPO_Rep005	0.166734	0.178367	0.167276	0.168724	0.164905	0.166862	0.166226	0.166257	0.167457	0.16711
TGCP_MPO_Rep006	0.165336	0.16994	0.15988	0.161539	0.171244	0.167015	0.166736	0.165913	0.167445	0.166687
TGCP_MPO_Rep007	0.176454	0.170048	0.165068	0.170839	0.165502	0.164647	0.167933	0.167687	0.168166	0.16669
TGCP_MPO_Rep008	0.173488	0.16684	0.165894	0.166873	0.170287	0.174773	0.166835	0.164656	0.164984	0.166726
TGCP_MPO_Rep009	0.166837	0.16436	0.1743	0.165811	0.168173	0.170253	0.164315	0.170313	0.167132	0.167814
TGCP_MPO_Rep010	0.159873	0.162997	0.164829	0.163769	0.159032	0.16423	0.168078	0.165234	0.167454	0.167737
TGCP_MPO_Rep011	0.174291	0.170692	0.166311	0.16407	0.164901	0.164528	0.167321	0.16601	0.166315	0.167933
TGCP_MPO_Rep012	0.15397	0.166039	0.157247	0.17255	0.165515	0.171368	0.170215	0.165513	0.168135	0.1661
TGCP_MPO_Rep013	0.153557	0.170721	0.166459	0.166598	0.171475	0.16763	0.167993	0.166429	0.167902	0.166078
TGCP_MPO_Rep014	0.15545	0.168956	0.178118	0.168273	0.170427	0.168938	0.164424	0.166136	0.166513	0.166647
TGCP_MPO_Rep015	0.174518	0.168308	0.161837	0.166134	0.165759	0.169419	0.170788	0.168411	0.167615	0.166808
TGCP_MPO_Rep016	0.158193	0.17088	0.157857	0.162095	0.167701	0.163291	0.1635	0.167212	0.168398	0.169064
TGCP_MPO_Rep017	0.160556	0.161398	0.167678	0.170611	0.163311	0.168862	0.16929	0.16801	0.169411	0.166699
TGCP_MPO_Rep018	0.176818	0.175125	0.168115	0.16732	0.169136	0.164368	0.165958	0.165579	0.16938	0.167909
TGCP_MPO_Rep019	0.158973	0.157664	0.160675	0.166727	0.165325	0.166425	0.16663	0.168154	0.167281	0.168529
TGCP_MPO_Rep020	0.157955	0.16967	0.160072	0.162358	0.164614	0.167287	0.168208	0.166142	0.16796	0.166805
TGCP_MPO_Rep021	0.168404	0.158665	0.151325	0.168197	0.171703	0.163982	0.167997	0.167083	0.166623	0.167297
TGCP_MPO_Rep022	0.190785	0.173155	0.169501	0.159338	0.170318	0.166519	0.164956	0.16983	0.166956	0.167602
TGCP_MPO_Rep023	0.178887	0.18086	0.166964	0.166119	0.168744	0.164381	0.164018	0.165445	0.169109	0.167412
TGCP_MPO_Rep024	0.153195	0.163966	0.162382	0.164354	0.161254	0.164886	0.167027	0.167507	0.166177	0.167235
TGCP_MPO_Rep025	0.164075	0.1729	0.165909	0.171421	0.169511	0.168224	0.164907	0.166664	0.167648	0.168166
TGCP_MPO_Rep026	0.156577	0.16898	0.161894	0.158294	0.169589	0.1741	0.1681	0.171916	0.16827	0.167079
TGCP_MPO_Rep027	0.181203	0.174991	0.173106	0.164573	0.166449	0.165478	0.167659	0.17016	0.167264	0.166292
TGCP_MPO_Rep028	0.173739	0.167377	0.16645	0.171104	0.173396	0.161957	0.167445	0.167145	0.16437	0.168841
TGCP_MPO_Rep029	0.145177	0.161306	0.173968	0.167388	0.156109	0.167607	0.167933	0.165579	0.167709	0.167159
TGCP_MPO_Rep030	0.167797	0.167945	0.15667	0.169768	0.167412	0.167567	0.164144	0.166321	0.168429	0.168784
TGCP_MPO_Rep031	0.162102	0.160814	0.171085	0.16523	0.163126	0.163818	0.166328	0.163273	0.166533	0.168027
TGCP_MPO_Rep032	0.156898	0.161181	0.166464	0.165248	0.165634	0.161273	0.165586	0.169085	0.165514	0.165945
TGCP_MPO_Rep033	0.154825	0.182704	0.167981	0.165598	0.164636	0.165698	0.166943	0.165262	0.168597	0.165401
TGCP_MPO_Rep034	0.166679	0.171219	0.166262	0.16784	0.168955	0.166269	0.165975	0.166168	0.166226	0.166701
TGCP_MPO_Rep035	0.158285	0.163975	0.178148	0.154213	0.162848	0.168989	0.166693	0.166168	0.167761	0.168287
TGCP_MPO_Rep036	0.147179	0.166057	0.173546	0.171817	0.175033	0.168658	0.166666	0.166302	0.166664	0.166519
TGCP_MPO_Rep037	0.168886	0.173648	0.169035	0.168038	0.166819	0.162822	0.16642	0.166725	0.166464	0.169423
TGCP_MPO_Rep038	0.169135	0.170224	0.170934	0.166653	0.167415	0.165347	0.163501	0.169859	0.167027	0.167941
TGCP_MPO_Rep039	0.181238	0.165327	0.154198	0.16322	0.162468	0.167185	0.164269	0.169979	0.168165	0.166239
TGCP_MPO_Rep040	0.160933	0.178764	0.169835	0.166018	0.16308	0.167772	0.167958	0.166318	0.164971	0.168508
TGCP_MPO_Rep041	0.174937	0.191825	0.165487	0.163862	0.165168	0.170042	0.169774	0.166785	0.164972	0.166665
TGCP_MPO_Rep042	0.185839	0.157451	0.169919	0.171722	0.164732	0.169297	0.168518	0.166446	0.166979	0.167998
TGCP_MPO_Rep043	0.155564	0.171528	0.162186	0.171031	0.16546	0.171471	0.171651	0.167379	0.166312	0.166552
TGCP_MPO_Rep044	0.168036	0.159864	0.169566	0.168659	0.166072	0.163997	0.167833	0.164202	0.168966	0.166988
