PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
TGCP_PTP_Rep001	0.17703	0.195554	0.181906	0.183638	0.184631	0.185139	0.18597	0.185951	0.186641	0.185586
TGCP_PTP_Rep002	0.168991	0.203061	0.183781	0.186845	0.189326	0.184911	0.18593	0.189382	0.188034	0.186719
TGCP_PTP_Rep003	0.20753	0.184567	0.175779	0.186807	0.186428	0.182426	0.189007	0.18653	0.183	0.186313
TGCP_PTP_Rep004	0.192732	0.185743	0.176988	0.186391	0.196454	0.186755	0.188145	0.187124	0.188723	0.186134
TGCP_PTP_Rep005	0.191663	0.193475	0.186766	0.190919	0.183956	0.187077	0.188397	0.187735	0.186335	0.186372
TGCP_PTP_Rep006	0.187305	0.191655	0.178844	0.180603	0.189267	0.179565	0.181622	0.186355	0.186098	0.1874
TGCP_PTP_Rep007	0.171274	0.198867	0.183634	0.190335	0.185146	0.179443	0.189563	0.184838	0.186679	0.188275
TGCP_PTP_Rep008	0.175675	0.195029	0.179785	0.185022	0.17885	0.191651	0.185293	0.185141	0.183866	0.187712
TGCP_PTP_Rep009	0.18144	0.180632	0.193079	0.184154	0.188655	0.189782	0.185087	0.185762	0.185437	0.187751
TGCP_PTP_Rep010	0.180417	0.184778	0.182433	0.183049	0.190811	0.180745	0.189809	0.185635	0.185279	0.189204
TGCP_PTP_Rep011	0.204379	0.192581	0.197009	0.178817	0.190486	0.182014	0.192009	0.185121	0.184992	0.189639
TGCP_PTP_Rep012	0.18738	0.176992	0.183119	0.194611	0.182515	0.182311	0.188558	0.182956	0.18683	0.18968
TGCP_PTP_Rep013	0.177159	0.178041	0.168876	0.188969	0.18776	0.189542	0.190111	0.190269	0.18491	0.186901
TGCP_PTP_Rep014	0.155406	0.183545	0.189781	0.183375	0.189815	0.186573	0.17829	0.187835	0.187112	0.185137
TGCP_PTP_Rep015	0.177822	0.179118	0.174244	0.192241	0.189578	0.191394	0.190377	0.191156	0.18828	0.188656
TGCP_PTP_Rep016	0.20014	0.196158	0.171072	0.173481	0.182939	0.185386	0.183672	0.184054	0.190091	0.186899
TGCP_PTP_Rep017	0.174322	0.189376	0.191682	0.191786	0.193214	0.189298	0.187644	0.190406	0.189862	0.186969
TGCP_PTP_Rep018	0.209856	0.192638	0.190362	0.19783	0.188741	0.182212	0.185859	0.17957	0.191692	0.189229
TGCP_PTP_Rep019	0.194655	0.179583	0.184605	0.18779	0.192006	0.184831	0.184398	0.190855	0.186258	0.188083
TGCP_PTP_Rep020	0.169834	0.188099	0.174888	0.176509	0.185185	0.180326	0.190424	0.187925	0.187699	0.186997
TGCP_PTP_Rep021	0.170414	0.169839	0.184741	0.180289	0.192265	0.185315	0.193991	0.188318	0.186912	0.187932
