PairwisePops	x04SubSamp	x06SubSamp	x08SubSamp	x10SubSamp	x12SubSamp	x14SubSamp	x16SubSamp	x18SubSamp	x20SubSamp	x22SubSamp
TGCP_STT_Rep001	0.17451	0.177122	0.169934	0.172301	0.164855	0.168005	0.167963	0.168652	0.167349	0.170785
TGCP_STT_Rep002	0.157164	0.180918	0.169646	0.166858	0.171327	0.170192	0.169708	0.170754	0.171346	0.169667
TGCP_STT_Rep003	0.161372	0.165605	0.167262	0.169844	0.173008	0.166164	0.170255	0.168365	0.170736	0.167592
TGCP_STT_Rep004	0.166831	0.154924	0.165691	0.173321	0.169859	0.172329	0.171287	0.169162	0.171164	0.168812
TGCP_STT_Rep005	0.16193	0.173491	0.174468	0.175517	0.169527	0.165106	0.167954	0.172026	0.168834	0.169366
TGCP_STT_Rep006	0.145834	0.169893	0.162845	0.167615	0.169254	0.170937	0.169409	0.171923	0.16991	0.168909
TGCP_STT_Rep007	0.181204	0.171615	0.163354	0.166847	0.167876	0.167226	0.168067	0.168193	0.16848	0.169737
TGCP_STT_Rep008	0.171937	0.166962	0.157558	0.172948	0.168843	0.176452	0.169787	0.170667	0.169531	0.169322
TGCP_STT_Rep009	0.183909	0.167969	0.177552	0.174462	0.175197	0.165676	0.167967	0.169841	0.170722	0.169614
TGCP_STT_Rep010	0.16528	0.163999	0.163309	0.16957	0.163128	0.168978	0.171505	0.168174	0.170759	0.170329
TGCP_STT_Rep011	0.171741	0.173334	0.17049	0.169381	0.166548	0.165489	0.170825	0.170146	0.169436	0.170862
TGCP_STT_Rep012	0.163703	0.168714	0.163642	0.171129	0.167818	0.168065	0.171628	0.171395	0.170485	0.170369
TGCP_STT_Rep013	0.149714	0.172103	0.165043	0.165349	0.169603	0.167837	0.173156	0.171625	0.168992	0.168455
TGCP_STT_Rep014	0.159727	0.169014	0.181053	0.167338	0.174553	0.174467	0.168383	0.169452	0.169764	0.167934
TGCP_STT_Rep015	0.159927	0.169075	0.158178	0.165318	0.168652	0.17258	0.172514	0.174488	0.168202	0.169151
TGCP_STT_Rep016	0.162579	0.17991	0.172829	0.158749	0.163204	0.167761	0.166917	0.167764	0.169307	0.168846
TGCP_STT_Rep017	0.158615	0.163575	0.173812	0.172513	0.172607	0.168061	0.171015	0.171418	0.172549	0.168855
TGCP_STT_Rep018	0.170158	0.179239	0.17153	0.168139	0.173514	0.167536	0.16846	0.167292	0.170902	0.170347
TGCP_STT_Rep019	0.168338	0.163443	0.167927	0.167705	0.167634	0.167944	0.166697	0.168058	0.169663	0.169394
TGCP_STT_Rep020	0.155896	0.172049	0.161287	0.167329	0.170749	0.167133	0.173481	0.167862	0.16847	0.169952
TGCP_STT_Rep021	0.153168	0.155845	0.164009	0.174907	0.170715	0.163809	0.172236	0.170306	0.168756	0.170999
TGCP_STT_Rep022	0.172279	0.170281	0.170326	0.170508	0.168458	0.168081	0.171271	0.168154	0.168593	0.169566
TGCP_STT_Rep023	0.187005	0.172312	0.175748	0.167142	0.167454	0.167674	0.168737	0.170329	0.171052	0.171502
TGCP_STT_Rep024	0.164802	0.166154	0.164909	0.169674	0.168002	0.166385	0.169005	0.168779	0.168676	0.170952
TGCP_STT_Rep025	0.169111	0.178048	0.169326	0.176765	0.167496	0.168421	0.166116	0.170933	0.168471	0.169379
TGCP_STT_Rep026	0.148851	0.169134	0.163245	0.164094	0.168195	0.16902	0.1727	0.175489	0.169193	0.169125
TGCP_STT_Rep027	0.194248	0.185598	0.171774	0.165568	0.168113	0.168766	0.171661	0.169524	0.170016	0.170166
TGCP_STT_Rep028	0.180694	0.169593	0.167283	0.172353	0.170428	0.172105	0.17212	0.1707	0.165633	0.169129
TGCP_STT_Rep029	0.175128	0.162104	0.172311	0.168566	0.159294	0.171985	0.171812	0.16674	0.169447	0.168655
TGCP_STT_Rep030	0.183016	0.173721	0.165083	0.168499	0.165269	0.168891	0.168326	0.168669	0.169633	0.171606
TGCP_STT_Rep031	0.160036	0.161931	0.167746	0.16436	0.166698	0.16941	0.170667	0.17094	0.168964	0.170224
TGCP_STT_Rep032	0.159621	0.161257	0.171165	0.167495	0.167985	0.164757	0.166785	0.169811	0.168231	0.168694
TGCP_STT_Rep033	0.160984	0.173087	0.170141	0.168969	0.163661	0.169332	0.163792	0.169103	0.169117	0.170552
TGCP_STT_Rep034	0.166122	0.17147	0.17088	0.176003	0.174245	0.170431	0.168505	0.169628	0.168712	0.169643
TGCP_STT_Rep035	0.163704	0.171937	0.169491	0.161045	0.164006	0.171701	0.167121	0.166002	0.169593	0.171074
TGCP_STT_Rep036	0.162434	0.158776	0.178123	0.168497	0.173781	0.169077	0.164992	0.1693	0.1701	0.170006
TGCP_STT_Rep037	0.179404	0.16154	0.168227	0.165692	0.169492	0.166813	0.172103	0.168664	0.168803	0.171051
TGCP_STT_Rep038	0.165761	0.188913	0.174777	0.170775	0.1729	0.16713	0.165368	0.171455	0.169362	0.168288
TGCP_STT_Rep039	0.175891	0.169383	0.165454	0.164198	0.165082	0.171016	0.167318	0.170053	0.169623	0.168196
TGCP_STT_Rep040	0.151184	0.173068	0.164396	0.167741	0.169297	0.170588	0.168932	0.167736	0.168651	0.168962
TGCP_STT_Rep041	0.169871	0.184012	0.163754	0.165798	0.16557	0.172131	0.171855	0.170015	0.169032	0.16938
TGCP_STT_Rep042	0.183653	0.171823	0.164218	0.17268	0.165343	0.173303	0.172696	0.167027	0.170026	0.170277
TGCP_STT_Rep043	0.16122	0.157805	0.161325	0.173829	0.169054	0.16779	0.168747	0.168811	0.16708	0.167232
TGCP_STT_Rep044	0.18214	0.169468	0.167852	0.171254	0.165895	0.168581	0.166261	0.167725	0.171334	0.1686
TGCP_STT_Rep045	0.16004	0.15354	0.162418	0.168255	0.168467	0.167581	0.169997	0.16719	0.169168	0.167669
TGCP_STT_Rep046	0.173151	0.167688	0.175221	0.164641	0.17235	0.167516	0.168582	0.172879	0.171552	0.169912
