Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
MPO_Rep001	0.11	0.058	0.096	0.131	0.152	0.163	0.118	0.146	0.115	0.136	0.119
MPO_Rep002	0.157	0.108	0.095	0.165	0.14	0.106	0.121	0.092	0.112	0.126	0.112
MPO_Rep003	0.225	0.105	0.13	0.107	0.128	0.142	0.121	0.126	0.137	0.136	0.119
MPO_Rep004	0.017	0.123	0.079	0.126	0.189	0.158	0.114	0.103	0.113	0.118	0.132
MPO_Rep005	0.029	0.099	0.147	0.105	0.118	0.106	0.149	0.116	0.093	0.122	0.124
MPO_Rep006	0.259	0.119	0.133	0.096	0.126	0.188	0.109	0.131	0.105	0.127	0.119
MPO_Rep007	0.093	0.127	0.109	0.13	0.08	0.113	0.129	0.147	0.122	0.108	0.113
MPO_Rep008	0.076	0.193	0.064	0.085	0.099	0.111	0.092	0.119	0.139	0.113	0.112
MPO_Rep009	0.169	0.115	0.148	0.105	0.087	0.105	0.145	0.113	0.122	0.133	0.124
MPO_Rep010	0.184	0.231	0.072	0.178	0.128	0.114	0.13	0.104	0.1	0.115	0.134
MPO_Rep011	0.096	0.089	0.101	0.093	0.148	0.093	0.124	0.113	0.106	0.116	0.126
MPO_Rep012	0.058	0.188	0.123	0.105	0.119	0.15	0.147	0.147	0.114	0.145	0.119
MPO_Rep013	0.088	0.212	0.108	0.059	0.108	0.124	0.127	0.12	0.128	0.122	0.123
MPO_Rep014	0.146	0.237	0.109	0.13	0.129	0.173	0.121	0.129	0.116	0.138	0.132
MPO_Rep015	0.228	0.102	0.118	0.158	0.133	0.09	0.097	0.124	0.103	0.116	0.118
MPO_Rep016	0.257	0.163	0.107	0.072	0.174	0.157	0.132	0.16	0.126	0.12	0.134
MPO_Rep017	0.296	0.07	0.106	0.057	0.171	0.098	0.109	0.108	0.102	0.122	0.112
MPO_Rep018	0.08	0.037	0.175	0.107	0.115	0.067	0.108	0.138	0.14	0.126	0.123
MPO_Rep019	0.222	0.145	0.11	0.182	0.072	0.104	0.103	0.138	0.146	0.121	0.127
MPO_Rep020	0.151	0.06	0.153	0.089	0.162	0.121	0.13	0.094	0.114	0.124	0.118
MPO_Rep021	0.221	0.102	0.072	0.143	0.121	0.101	0.131	0.139	0.132	0.117	0.119
MPO_Rep022	0.146	0.072	0.08	0.183	0.176	0.099	0.103	0.103	0.145	0.127	0.134
MPO_Rep023	0.088	0.153	0.14	0.091	0.145	0.102	0.097	0.139	0.107	0.136	0.112
MPO_Rep024	0.096	0.108	0.148	0.092	0.095	0.103	0.112	0.134	0.136	0.129	0.113
MPO_Rep025	0.096	0.201	0.092	0.102	0.102	0.125	0.135	0.117	0.111	0.129	0.123
MPO_Rep026	-0.013	0.129	0.084	0.067	0.109	0.085	0.129	0.133	0.118	0.114	0.135
MPO_Rep027	0.1	0.067	0.162	0.103	0.129	0.115	0.128	0.14	0.139	0.134	0.122
MPO_Rep028	0.181	0.146	0.126	0.129	0.089	0.115	0.13	0.12	0.106	0.126	0.134
MPO_Rep029	-0.006	0.087	0.116	0.166	0.15	0.138	0.123	0.129	0.137	0.141	0.116
MPO_Rep030	0.193	0.112	0.106	0.117	0.147	0.111	0.127	0.121	0.102	0.118	0.131
MPO_Rep031	0.134	0.11	0.092	0.082	0.108	0.11	0.1	0.128	0.104	0.131	0.122
MPO_Rep032	0.255	0.232	0.106	0.14	0.123	0.103	0.142	0.128	0.098	0.109	0.133
MPO_Rep033	0.114	0.101	0.109	0.131	0.165	0.122	0.12	0.147	0.112	0.151	0.118
MPO_Rep034	0.177	0.13	0.112	0.152	0.168	0.126	0.146	0.143	0.116	0.126	0.127
MPO_Rep035	0.213	0.093	0.075	0.037	0.105	0.132	0.098	0.148	0.126	0.12	0.124
MPO_Rep036	0.151	0.059	0.085	0.136	0.121	0.13	0.114	0.151	0.138	0.126	0.112
MPO_Rep037	0.146	0.164	0.157	0.14	0.15	0.13	0.1	0.12	0.108	0.117	0.125
MPO_Rep038	0.214	0.168	0.104	0.129	0.11	0.127	0.098	0.156	0.11	0.123	0.116
MPO_Rep039	0.032	0.131	0.127	0.126	0.082	0.105	0.118	0.12	0.106	0.112	0.118
MPO_Rep040	0.071	0.079	0.173	0.087	0.107	0.133	0.161	0.097	0.116	0.099	0.126
MPO_Rep041	0.1	0.097	0.146	0.129	0.141	0.122	0.115	0.123	0.116	0.127	0.12
MPO_Rep042	0.061	0.065	0.135	0.14	0.114	0.142	0.121	0.092	0.107	0.121	0.12
MPO_Rep043	0.207	0.165	0.167	0.166	0.11	0.104	0.148	0.136	0.125	0.113	0.127
MPO_Rep044	0.106	0.071	0.143	0.141	0.113	0.156	0.131	0.106	0.128	0.126	0.133
MPO_Rep045	0.13	0.119	0.107	0.126	0.078	0.102	0.098	0.148	0.119	0.108	0.11
MPO_Rep046	0.213	0.087	0.162	0.082	0.118	0.118	0.142	0.119	0.111	0.135	0.112
MPO_Rep047	0.067	0.142	0.167	0.087	0.115	0.155	0.097	0.113	0.119	0.119	0.126
MPO_Rep048	0.1	0.068	0.106	0.119	0.144	0.158	0.129	0.139	0.118	0.13	0.109
MPO_Rep049	0.109	0.162	0.104	0.09	0.151	0.12	0.074	0.103	0.116	0.12	0.121
MPO_Rep050	0.181	0.208	0.087	0.153	0.15	0.096	0.117	0.116	0.085	0.126	0.128
MPO_Rep051	0.157	0.109	0.065	0.096	0.106	0.099	0.116	0.124	0.128	0.115	0.11
MPO_Rep052	0.166	0.213	0.119	0.12	0.146	0.131	0.116	0.118	0.118	0.124	0.129
MPO_Rep053	0.115	0.122	0.081	0.166	0.068	0.116	0.129	0.133	0.122	0.106	0.128
MPO_Rep054	0.142	0.117	0.106	0.171	0.161	0.113	0.085	0.139	0.132	0.113	0.116
MPO_Rep055	0.32	0.076	0.071	0.085	0.111	0.101	0.158	0.138	0.141	0.131	0.116
MPO_Rep056	0.076	0.228	0.155	0.155	0.181	0.141	0.094	0.135	0.115	0.112	0.139
MPO_Rep057	0.134	0.215	0.183	0.119	0.157	0.089	0.085	0.127	0.126	0.127	0.132
MPO_Rep058	0.029	0.118	0.086	0.211	0.134	0.117	0.11	0.1	0.129	0.133	0.126
MPO_Rep059	0.07	0.172	0.152	0.076	0.136	0.1	0.12	0.115	0.097	0.128	0.117
MPO_Rep060	0.29	0.178	0.151	0.162	0.078	0.126	0.159	0.134	0.127	0.125	0.114
MPO_Rep061	0.046	0.168	0.087	0.153	0.134	0.114	0.106	0.148	0.123	0.116	0.108
