Population	Hs_02SubSamp	Hs_04SubSamp	Hs_06SubSamp	Hs_08SubSamp	Hs_10SubSamp	Hs_12SubSamp	Hs_14SubSamp	Hs_16SubSamp	Hs_18SubSamp	Hs_20SubSamp	Hs_22SubSamp
MPO_Rep001	0.109	0.129	0.12	0.117	0.12	0.116	0.119	0.118	0.121	0.12	0.121
MPO_Rep002	0.134	0.128	0.12	0.113	0.118	0.12	0.119	0.124	0.122	0.118	0.121
MPO_Rep003	0.11	0.119	0.111	0.12	0.121	0.12	0.119	0.117	0.118	0.12	0.12
MPO_Rep004	0.141	0.127	0.123	0.12	0.11	0.116	0.12	0.122	0.121	0.118	0.118
MPO_Rep005	0.123	0.122	0.116	0.123	0.121	0.122	0.115	0.12	0.123	0.121	0.12
MPO_Rep006	0.105	0.114	0.123	0.12	0.123	0.109	0.12	0.117	0.121	0.12	0.12
MPO_Rep007	0.105	0.11	0.118	0.123	0.127	0.123	0.116	0.118	0.118	0.122	0.121
MPO_Rep008	0.127	0.106	0.126	0.121	0.119	0.122	0.122	0.119	0.119	0.121	0.121
MPO_Rep009	0.105	0.12	0.116	0.123	0.127	0.124	0.116	0.118	0.119	0.12	0.12
MPO_Rep010	0.112	0.109	0.122	0.111	0.116	0.121	0.122	0.122	0.123	0.12	0.118
MPO_Rep011	0.118	0.124	0.118	0.131	0.118	0.126	0.121	0.121	0.122	0.121	0.119
MPO_Rep012	0.129	0.119	0.124	0.121	0.118	0.119	0.12	0.118	0.12	0.117	0.12
MPO_Rep013	0.123	0.117	0.125	0.125	0.124	0.117	0.118	0.122	0.12	0.12	0.119
MPO_Rep014	0.111	0.101	0.121	0.12	0.119	0.114	0.12	0.116	0.121	0.118	0.119
MPO_Rep015	0.095	0.118	0.122	0.116	0.118	0.123	0.123	0.118	0.121	0.122	0.121
MPO_Rep016	0.099	0.12	0.117	0.123	0.114	0.117	0.121	0.116	0.121	0.118	0.117
MPO_Rep017	0.099	0.129	0.125	0.127	0.109	0.12	0.12	0.12	0.124	0.12	0.12
MPO_Rep018	0.117	0.128	0.111	0.121	0.118	0.129	0.118	0.119	0.119	0.118	0.12
MPO_Rep019	0.101	0.125	0.121	0.116	0.127	0.119	0.124	0.116	0.118	0.121	0.119
MPO_Rep020	0.102	0.136	0.117	0.131	0.118	0.121	0.117	0.121	0.122	0.12	0.121
MPO_Rep021	0.102	0.127	0.123	0.118	0.118	0.121	0.118	0.119	0.118	0.119	0.119
MPO_Rep022	0.103	0.117	0.123	0.112	0.115	0.123	0.124	0.121	0.118	0.12	0.119
MPO_Rep023	0.123	0.112	0.114	0.123	0.117	0.123	0.125	0.117	0.122	0.118	0.12
MPO_Rep024	0.12	0.121	0.114	0.12	0.122	0.122	0.119	0.121	0.118	0.12	0.12
MPO_Rep025	0.12	0.104	0.132	0.115	0.125	0.119	0.12	0.121	0.121	0.118	0.12
MPO_Rep026	0.142	0.122	0.126	0.126	0.122	0.126	0.119	0.118	0.12	0.121	0.119
MPO_Rep027	0.12	0.125	0.113	0.12	0.122	0.118	0.123	0.117	0.118	0.118	0.121
MPO_Rep028	0.103	0.12	0.119	0.123	0.124	0.122	0.122	0.122	0.121	0.12	0.117
MPO_Rep029	0.108	0.122	0.117	0.116	0.118	0.119	0.119	0.12	0.118	0.117	0.121
MPO_Rep030	0.115	0.118	0.129	0.119	0.116	0.121	0.118	0.118	0.122	0.12	0.118
MPO_Rep031	0.104	0.112	0.123	0.124	0.12	0.122	0.121	0.119	0.123	0.12	0.119
MPO_Rep032	0.103	0.107	0.13	0.119	0.121	0.125	0.119	0.12	0.123	0.121	0.119
MPO_Rep033	0.11	0.128	0.124	0.115	0.113	0.122	0.118	0.116	0.121	0.116	0.12
MPO_Rep034	0.113	0.121	0.131	0.115	0.115	0.12	0.12	0.119	0.12	0.121	0.119
MPO_Rep035	0.103	0.116	0.123	0.126	0.122	0.12	0.125	0.119	0.121	0.12	0.12
MPO_Rep036	0.103	0.127	0.124	0.116	0.121	0.12	0.122	0.117	0.119	0.121	0.12
MPO_Rep037	0.103	0.124	0.115	0.119	0.118	0.119	0.123	0.122	0.122	0.12	0.119
MPO_Rep038	0.105	0.117	0.129	0.12	0.125	0.117	0.119	0.117	0.122	0.12	0.121
MPO_Rep039	0.126	0.111	0.114	0.123	0.124	0.126	0.118	0.119	0.119	0.121	0.121
MPO_Rep040	0.135	0.124	0.11	0.123	0.12	0.118	0.112	0.122	0.122	0.123	0.119
MPO_Rep041	0.12	0.126	0.117	0.12	0.117	0.119	0.116	0.119	0.122	0.119	0.119
MPO_Rep042	0.118	0.122	0.118	0.117	0.12	0.117	0.118	0.122	0.121	0.121	0.121
MPO_Rep043	0.096	0.112	0.116	0.116	0.125	0.124	0.117	0.12	0.12	0.121	0.119
MPO_Rep044	0.11	0.13	0.115	0.123	0.12	0.114	0.115	0.121	0.121	0.12	0.119
MPO_Rep045	0.115	0.124	0.118	0.128	0.124	0.122	0.12	0.117	0.12	0.123	0.121
MPO_Rep046	0.103	0.119	0.123	0.127	0.119	0.121	0.12	0.12	0.122	0.119	0.12
MPO_Rep047	0.136	0.119	0.117	0.121	0.117	0.116	0.122	0.119	0.12	0.12	0.12
MPO_Rep048	0.12	0.126	0.118	0.122	0.118	0.113	0.122	0.12	0.122	0.117	0.121
MPO_Rep049	0.124	0.113	0.128	0.129	0.121	0.122	0.126	0.125	0.121	0.12	0.12
MPO_Rep050	0.103	0.12	0.118	0.116	0.116	0.124	0.12	0.119	0.122	0.121	0.119
MPO_Rep051	0.105	0.124	0.129	0.129	0.124	0.122	0.122	0.121	0.121	0.122	0.121
MPO_Rep052	0.098	0.117	0.123	0.12	0.121	0.118	0.122	0.119	0.121	0.122	0.117
MPO_Rep053	0.126	0.118	0.123	0.114	0.125	0.121	0.119	0.119	0.12	0.123	0.119
MPO_Rep054	0.109	0.127	0.128	0.112	0.121	0.12	0.122	0.117	0.116	0.122	0.121
MPO_Rep055	0.1	0.122	0.123	0.12	0.126	0.126	0.116	0.118	0.118	0.119	0.121
MPO_Rep056	0.136	0.107	0.117	0.12	0.114	0.119	0.122	0.118	0.122	0.122	0.117
MPO_Rep057	0.104	0.105	0.115	0.123	0.119	0.126	0.122	0.12	0.12	0.12	0.119
MPO_Rep058	0.125	0.12	0.123	0.114	0.119	0.121	0.121	0.125	0.117	0.119	0.119
MPO_Rep059	0.123	0.115	0.117	0.127	0.118	0.123	0.121	0.123	0.122	0.12	0.12
MPO_Rep060	0.104	0.119	0.118	0.118	0.126	0.122	0.118	0.121	0.12	0.119	0.119
MPO_Rep061	0.126	0.118	0.128	0.123	0.119	0.121	0.121	0.118	0.122	0.121	0.121
MPO_Rep062	0.097	0.118	0.117	0.12	0.115	0.116	0.119	0.12	0.118	0.119	0.12
MPO_Rep063	0.12	0.125	0.129	0.122	0.121	0.119	0.119	0.121	0.116	0.12	0.121
MPO_Rep064	0.123	0.113	0.122	0.117	0.122	0.12	0.125	0.117	0.123	0.117	0.121
MPO_Rep065	0.104	0.105	0.117	0.118	0.119	0.121	0.125	0.124	0.121	0.121	0.12
MPO_Rep066	0.115	0.111	0.118	0.125	0.116	0.126	0.122	0.123	0.121	0.118	0.119
MPO_Rep067	0.124	0.136	0.112	0.119	0.118	0.119	0.116	0.12	0.117	0.12	0.12
MPO_Rep068	0.103	0.127	0.125	0.124	0.116	0.12	0.117	0.122	0.118	0.12	0.12
MPO_Rep069	0.11	0.118	0.125	0.121	0.118	0.117	0.118	0.119	0.12	0.122	0.121
MPO_Rep070	0.127	0.12	0.115	0.126	0.117	0.115	0.123	0.121	0.119	0.118	0.121
MPO_Rep071	0.117	0.11	0.12	0.118	0.118	0.118	0.12	0.122	0.118	0.118	0.119
MPO_Rep072	0.111	0.116	0.127	0.115	0.111	0.12	0.122	0.121	0.119	0.121	0.118
MPO_Rep073	0.11	0.129	0.119	0.12	0.12	0.116	0.123	0.123	0.118	0.123	0.12
MPO_Rep074	0.108	0.12	0.118	0.134	0.127	0.121	0.115	0.118	0.118	0.12	0.119
MPO_Rep075	0.111	0.119	0.123	0.125	0.118	0.113	0.123	0.117	0.122	0.12	0.12
MPO_Rep076	0.117	0.117	0.125	0.125	0.126	0.123	0.12	0.122	0.12	0.122	0.12
MPO_Rep077	0.108	0.119	0.127	0.118	0.119	0.118	0.122	0.123	0.119	0.12	0.121
MPO_Rep078	0.11	0.126	0.124	0.121	0.125	0.119	0.118	0.121	0.115	0.118	0.12
MPO_Rep079	0.124	0.12	0.123	0.123	0.118	0.117	0.124	0.118	0.12	0.118	0.12
MPO_Rep080	0.124	0.118	0.121	0.114	0.125	0.117	0.12	0.115	0.12	0.117	0.12
MPO_Rep081	0.135	0.125	0.122	0.125	0.125	0.126	0.125	0.117	0.121	0.119	0.121
MPO_Rep082	0.127	0.109	0.114	0.122	0.129	0.12	0.119	0.123	0.119	0.12	0.119
