Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
PTP_Rep001	-0.097	0.12	0.046	0.09	0.148	0.123	0.099	0.116	0.131	0.121	0.096
PTP_Rep002	0.213	0.105	0.107	0.13	0.157	0.11	0.114	0.15	0.099	0.111	0.108
PTP_Rep003	0.023	0.096	0.153	0.095	0.111	0.088	0.095	0.104	0.122	0.107	0.104
PTP_Rep004	0.107	0.084	0.088	0.107	0.059	0.093	0.111	0.126	0.088	0.121	0.111
PTP_Rep005	-0.008	0.13	0.057	0.139	0.126	0.089	0.106	0.117	0.102	0.11	0.12
PTP_Rep006	0.052	0.123	0.158	0.104	0.119	0.147	0.094	0.091	0.116	0.113	0.1
PTP_Rep007	0.259	0.042	0.087	0.071	0.131	0.152	0.071	0.108	0.129	0.104	0.111
PTP_Rep008	0.132	0.117	0.111	0.03	0.176	0.106	0.089	0.093	0.103	0.115	0.11
PTP_Rep009	0.016	0.152	0.071	0.111	0.115	0.11	0.123	0.098	0.078	0.094	0.103
PTP_Rep010	0.052	0.085	0.039	0.067	0.142	0.154	0.117	0.102	0.113	0.113	0.109
PTP_Rep011	0.138	0.042	0.171	0.07	0.114	0.091	0.092	0.081	0.13	0.119	0.112
PTP_Rep012	0.228	0.086	0.093	0.1	0.122	0.116	0.098	0.109	0.095	0.116	0.118
PTP_Rep013	0.147	0.074	0.141	0.109	0.151	0.1	0.119	0.115	0.081	0.105	0.106
PTP_Rep014	0.175	0.059	0.062	0.123	0.109	0.117	0.112	0.119	0.094	0.108	0.1
PTP_Rep015	0.096	0.091	0.09	0.061	0.074	0.112	0.127	0.119	0.102	0.092	0.106
PTP_Rep016	0.189	0.115	0.077	0.073	0.076	0.106	0.109	0.129	0.098	0.1	0.103
PTP_Rep017	0.099	0.053	0.135	0.078	0.069	0.089	0.141	0.107	0.122	0.127	0.111
PTP_Rep018	0.005	0.032	0.098	0.07	0.123	0.08	0.119	0.099	0.102	0.1	0.105
PTP_Rep019	-0.005	0.109	0.113	0.084	0.121	0.073	0.135	0.127	0.099	0.108	0.118
PTP_Rep020	0.107	0.159	0.131	0.126	0.063	0.11	0.107	0.092	0.14	0.09	0.111
PTP_Rep021	0.293	0.11	0.098	0.136	0.119	0.151	0.116	0.131	0.135	0.105	0.102
PTP_Rep022	0.322	0.104	0.08	0.111	0.163	0.11	0.128	0.09	0.08	0.108	0.101
PTP_Rep023	0.155	0.141	0.119	0.027	0.095	0.122	0.081	0.111	0.105	0.103	0.108
PTP_Rep024	0.08	0.123	0.125	0.077	0.135	0.132	0.139	0.101	0.102	0.094	0.092
PTP_Rep025	0.155	0.014	0.144	0.137	0.133	0.146	0.093	0.078	0.105	0.101	0.121
PTP_Rep026	0.145	0.099	0.179	0.061	0.115	0.156	0.096	0.108	0.098	0.102	0.111
PTP_Rep027	0.213	0.193	0.175	0.021	0.104	0.135	0.091	0.099	0.127	0.105	0.093
PTP_Rep028	0.182	0.116	0.088	0.093	0.111	0.098	0.133	0.101	0.122	0.11	0.107
PTP_Rep029	-0.033	0.03	0.196	0.133	0.09	0.157	0.129	0.112	0.101	0.108	0.115
PTP_Rep030	0.119	0.14	0.047	0.091	0.11	0.141	0.092	0.099	0.131	0.106	0.113
PTP_Rep031	0.052	0.029	0.101	0.047	0.091	0.117	0.074	0.12	0.118	0.099	0.117
PTP_Rep032	0.224	0.145	0.128	0.047	0.098	0.105	0.116	0.077	0.094	0.118	0.099
PTP_Rep033	0.145	0.062	0.115	0.078	0.069	0.104	0.108	0.118	0.099	0.113	0.122
PTP_Rep034	0.168	0.139	0.103	0.118	0.119	0.103	0.119	0.112	0.104	0.105	0.104
PTP_Rep035	0.034	0.098	0.077	0.143	0.073	0.096	0.071	0.114	0.099	0.123	0.106
PTP_Rep036	0.051	0.115	0.119	0.068	0.083	0.142	0.089	0.13	0.111	0.072	0.093
PTP_Rep037	0.169	0.231	0.122	0.076	0.148	0.1	0.085	0.14	0.113	0.09	0.116
PTP_Rep038	0.18	0.102	0.078	0.243	0.132	0.081	0.099	0.083	0.07	0.114	0.108
PTP_Rep039	0.265	0.039	0.154	0.093	0.098	0.132	0.134	0.109	0.137	0.11	0.12
PTP_Rep040	0.06	0.202	0.111	0.091	0.124	0.112	0.093	0.118	0.105	0.116	0.11
PTP_Rep041	0.08	0.232	0.082	0.08	0.107	0.116	0.092	0.094	0.104	0.093	0.118
PTP_Rep042	0.213	0.199	0.078	0.083	0.133	0.157	0.105	0.102	0.145	0.123	0.109
PTP_Rep043	0.158	0.216	0.279	0.112	0.171	0.176	0.111	0.084	0.1	0.102	0.105
PTP_Rep044	0.198	0.1	0.069	0.084	0.108	0.118	0.096	0.14	0.125	0.115	0.112
PTP_Rep045	0.171	0.03	0.166	0.084	0.093	0.11	0.078	0.126	0.139	0.117	0.111
PTP_Rep046	0.238	0.161	0.077	0.084	0.133	0.151	0.123	0.114	0.1	0.105	0.12
PTP_Rep047	0.021	0.121	0.143	0.102	0.099	0.089	0.123	0.108	0.142	0.11	0.111
PTP_Rep048	0.154	0.032	0.067	0.112	0.14	0.087	0.113	0.113	0.113	0.102	0.11
PTP_Rep049	0.19	0.08	0.066	0.19	0.172	0.131	0.091	0.145	0.109	0.1	0.102
PTP_Rep050	0.107	0.141	0.09	0.054	0.136	0.062	0.098	0.099	0.101	0.111	0.118
PTP_Rep051	0.051	0.087	0.133	0.145	0.07	0.096	0.136	0.127	0.108	0.118	0.118
PTP_Rep052	0.209	0.085	0.147	0.052	0.084	0.103	0.115	0.114	0.123	0.108	0.097
PTP_Rep053	0.079	0.178	0.132	0.132	0.08	0.094	0.143	0.08	0.103	0.115	0.117
PTP_Rep054	0.169	0.065	0.143	0.088	0.096	0.078	0.124	0.141	0.115	0.1	0.11
PTP_Rep055	0.016	0.233	0.153	0.081	0.106	0.125	0.124	0.148	0.093	0.113	0.113
PTP_Rep056	0.293	0.12	0.039	0.16	0.119	0.11	0.118	0.128	0.131	0.12	0.105
PTP_Rep057	0.12	0.158	0.116	0.064	0.1	0.151	0.101	0.119	0.119	0.122	0.109
PTP_Rep058	0.218	0.104	0.063	0.062	0.083	0.118	0.091	0.107	0.118	0.094	0.112
PTP_Rep059	0.098	0.047	0.192	0.048	0.109	0.125	0.121	0.103	0.112	0.117	0.104
PTP_Rep060	0.117	0.009	0.205	0.152	0.129	0.099	0.103	0.077	0.111	0.131	0.107
PTP_Rep061	0.256	0.107	0.175	0.125	0.082	0.116	0.104	0.105	0.132	0.11	0.105
PTP_Rep062	0.069	0.071	0.174	0.13	0.087	0.073	0.106	0.1	0.101	0.088	0.12
PTP_Rep063	0.034	0.053	0.112	0.123	0.128	0.131	0.112	0.063	0.09	0.13	0.11
PTP_Rep064	0.05	0.202	0.145	0.057	0.078	0.136	0.113	0.101	0.107	0.109	0.11
PTP_Rep065	0.052	0.073	0.071	0.076	0.095	0.107	0.08	0.119	0.122	0.111	0.099
PTP_Rep066	0.103	0.089	0.162	0.094	0.081	0.074	0.103	0.109	0.1	0.102	0.112
PTP_Rep067	0.119	0.008	0.091	0.069	0.102	0.171	0.114	0.133	0.121	0.119	0.105
PTP_Rep068	0.076	0.177	0.043	0.145	0.109	0.101	0.097	0.112	0.102	0.091	0.102
PTP_Rep069	-0.033	0.092	0.126	0.069	0.138	0.048	0.115	0.117	0.115	0.114	0.096
PTP_Rep070	0.012	0.095	0.11	0.119	0.115	0.103	0.136	0.125	0.12	0.11	0.118
PTP_Rep071	0.118	-0.008	0.073	0.12	0.111	0.047	0.103	0.074	0.108	0.11	0.122
PTP_Rep072	0.133	0.092	0.141	0.091	0.132	0.139	0.104	0.1	0.095	0.085	0.098
PTP_Rep073	0.165	0.147	0.072	0.185	0.119	0.164	0.09	0.119	0.09	0.108	0.116
PTP_Rep074	0.293	0.055	0.052	0.161	0.119	0.128	0.105	0.106	0.095	0.113	0.117
PTP_Rep075	0.052	0.139	0.166	0.07	0.13	0.152	0.103	0.094	0.101	0.116	0.113
PTP_Rep076	0.205	0.042	0.137	0.172	0.091	0.132	0.121	0.092	0.098	0.095	0.117
PTP_Rep077	0.085	0.08	0.169	0.114	0.125	0.09	0.091	0.116	0.119	0.128	0.099
PTP_Rep078	0.051	0.154	0.091	0.111	0.093	0.085	0.098	0.113	0.103	0.081	0.119
PTP_Rep079	0.055	0.207	0.177	0.085	0.061	0.166	0.114	0.089	0.11	0.106	0.118
PTP_Rep080	0.228	0.18	0.048	0.058	0.174	0.179	0.116	0.108	0.116	0.092	0.113
PTP_Rep081	0.08	0.105	0.258	0.142	0.105	0.106	0.148	0.111	0.109	0.091	0.099
PTP_Rep082	0.171	0.065	0.119	0.115	0.071	0.086	0.096	0.106	0.101	0.107	0.093
PTP_Rep083	0.041	0.113	0.032	0.083	0.124	0.118	0.149	0.121	0.115	0.114	0.111
PTP_Rep084	0.322	0.154	0.145	0.103	0.08	0.128	0.086	0.123	0.11	0.111	0.103
PTP_Rep085	0.107	0.114	0.114	0.097	0.109	0.125	0.095	0.102	0.088	0.111	0.101
PTP_Rep086	0.043	0.04	0.101	0.161	0.115	0.101	0.121	0.089	0.129	0.118	0.108
PTP_Rep087	0.098	0.109	0.105	0.048	0.088	0.112	0.099	0.074	0.113	0.085	0.103
PTP_Rep088	-0.005	-0.002	0.099	0.19	0.108	0.131	0.106	0.131	0.084	0.118	0.09
