Population	Ho_02SubSamp	Ho_04SubSamp	Ho_06SubSamp	Ho_08SubSamp	Ho_10SubSamp	Ho_12SubSamp	Ho_14SubSamp	Ho_16SubSamp	Ho_18SubSamp	Ho_20SubSamp	Ho_22SubSamp
PTP_Rep001	0.056	0.047	0.054	0.058	0.045	0.049	0.052	0.051	0.048	0.05	0.051
PTP_Rep002	0.036	0.055	0.051	0.05	0.046	0.05	0.051	0.048	0.051	0.05	0.05
PTP_Rep003	0.06	0.049	0.048	0.051	0.05	0.049	0.052	0.052	0.05	0.051	0.05
PTP_Rep004	0.04	0.055	0.051	0.052	0.056	0.052	0.052	0.049	0.05	0.049	0.05
PTP_Rep005	0.044	0.046	0.052	0.048	0.049	0.051	0.052	0.047	0.051	0.051	0.049
PTP_Rep006	0.066	0.052	0.046	0.049	0.053	0.047	0.05	0.054	0.051	0.05	0.05
PTP_Rep007	0.034	0.06	0.048	0.052	0.047	0.047	0.055	0.049	0.048	0.051	0.05
PTP_Rep008	0.052	0.051	0.043	0.057	0.045	0.055	0.052	0.053	0.051	0.05	0.05
PTP_Rep009	0.054	0.049	0.055	0.049	0.051	0.051	0.047	0.049	0.052	0.052	0.051
PTP_Rep010	0.047	0.057	0.051	0.054	0.045	0.047	0.049	0.05	0.049	0.051	0.05
PTP_Rep011	0.04	0.059	0.045	0.052	0.049	0.053	0.053	0.051	0.048	0.048	0.05
PTP_Rep012	0.038	0.052	0.053	0.051	0.046	0.054	0.052	0.051	0.052	0.05	0.048
PTP_Rep013	0.04	0.048	0.044	0.052	0.046	0.05	0.049	0.05	0.051	0.051	0.051
PTP_Rep014	0.035	0.061	0.052	0.05	0.052	0.053	0.05	0.05	0.051	0.05	0.051
PTP_Rep015	0.042	0.053	0.056	0.057	0.05	0.049	0.047	0.051	0.052	0.051	0.051
PTP_Rep016	0.045	0.052	0.055	0.058	0.054	0.051	0.052	0.049	0.051	0.05	0.05
PTP_Rep017	0.047	0.057	0.048	0.053	0.054	0.054	0.049	0.05	0.047	0.048	0.049
PTP_Rep018	0.044	0.051	0.056	0.057	0.046	0.055	0.048	0.052	0.051	0.05	0.05
PTP_Rep019	0.049	0.05	0.047	0.054	0.051	0.052	0.046	0.047	0.052	0.051	0.05
PTP_Rep020	0.039	0.046	0.05	0.049	0.058	0.052	0.054	0.053	0.048	0.052	0.049
PTP_Rep021	0.032	0.051	0.054	0.048	0.049	0.044	0.05	0.05	0.047	0.051	0.051
PTP_Rep022	0.034	0.044	0.053	0.052	0.045	0.051	0.048	0.052	0.052	0.05	0.051
PTP_Rep023	0.04	0.047	0.05	0.059	0.049	0.05	0.05	0.052	0.05	0.051	0.05
PTP_Rep024	0.054	0.046	0.046	0.05	0.051	0.047	0.047	0.05	0.051	0.052	0.051
PTP_Rep025	0.037	0.058	0.046	0.048	0.047	0.047	0.052	0.054	0.049	0.05	0.049
PTP_Rep026	0.053	0.05	0.043	0.054	0.05	0.046	0.054	0.05	0.052	0.05	0.05
