Population	Hs_02SubSamp	Hs_04SubSamp	Hs_06SubSamp	Hs_08SubSamp	Hs_10SubSamp	Hs_12SubSamp	Hs_14SubSamp	Hs_16SubSamp	Hs_18SubSamp	Hs_20SubSamp	Hs_22SubSamp
PTP_Rep001	0.051	0.054	0.056	0.064	0.052	0.056	0.057	0.058	0.055	0.057	0.057
PTP_Rep002	0.046	0.061	0.057	0.058	0.055	0.056	0.058	0.057	0.057	0.057	0.056
PTP_Rep003	0.062	0.054	0.057	0.057	0.056	0.054	0.058	0.058	0.057	0.057	0.056
PTP_Rep004	0.045	0.06	0.056	0.058	0.059	0.057	0.058	0.056	0.055	0.056	0.056
PTP_Rep005	0.044	0.053	0.055	0.056	0.056	0.056	0.058	0.054	0.057	0.057	0.056
PTP_Rep006	0.07	0.059	0.054	0.054	0.06	0.055	0.056	0.059	0.058	0.057	0.056
PTP_Rep007	0.046	0.063	0.052	0.056	0.054	0.056	0.059	0.055	0.055	0.057	0.056
PTP_Rep008	0.06	0.058	0.048	0.059	0.055	0.061	0.057	0.059	0.057	0.057	0.056
PTP_Rep009	0.055	0.057	0.059	0.055	0.057	0.057	0.054	0.055	0.056	0.057	0.056
PTP_Rep010	0.05	0.062	0.053	0.058	0.053	0.055	0.055	0.055	0.055	0.058	0.056
PTP_Rep011	0.047	0.062	0.055	0.056	0.055	0.058	0.059	0.055	0.055	0.055	0.056
PTP_Rep012	0.049	0.057	0.058	0.057	0.053	0.061	0.058	0.058	0.057	0.056	0.055
PTP_Rep013	0.047	0.052	0.051	0.059	0.054	0.056	0.056	0.056	0.055	0.057	0.057
PTP_Rep014	0.043	0.065	0.055	0.057	0.059	0.06	0.056	0.057	0.056	0.056	0.057
PTP_Rep015	0.046	0.058	0.062	0.06	0.054	0.055	0.053	0.058	0.057	0.056	0.057
PTP_Rep016	0.056	0.058	0.06	0.063	0.058	0.057	0.058	0.056	0.056	0.056	0.056
PTP_Rep017	0.052	0.06	0.056	0.057	0.058	0.059	0.057	0.056	0.054	0.055	0.056
PTP_Rep018	0.044	0.052	0.062	0.061	0.052	0.06	0.055	0.057	0.057	0.056	0.055
PTP_Rep019	0.048	0.056	0.053	0.059	0.058	0.056	0.053	0.054	0.057	0.057	0.057
PTP_Rep020	0.043	0.054	0.058	0.056	0.062	0.059	0.061	0.058	0.056	0.057	0.055
PTP_Rep021	0.045	0.057	0.06	0.056	0.056	0.052	0.056	0.057	0.055	0.057	0.057
PTP_Rep022	0.05	0.049	0.058	0.058	0.053	0.057	0.055	0.057	0.057	0.056	0.057
PTP_Rep023	0.047	0.055	0.056	0.061	0.054	0.057	0.054	0.058	0.056	0.057	0.056
PTP_Rep024	0.058	0.052	0.053	0.055	0.059	0.054	0.055	0.055	0.057	0.058	0.056
PTP_Rep025	0.044	0.059	0.054	0.056	0.054	0.056	0.057	0.059	0.055	0.056	0.056
PTP_Rep026	0.061	0.055	0.053	0.057	0.057	0.055	0.059	0.056	0.058	0.056	0.056
PTP_Rep027	0.046	0.056	0.055	0.056	0.055	0.056	0.057	0.055	0.055	0.057	0.056
PTP_Rep028	0.057	0.058	0.06	0.055	0.057	0.058	0.055	0.057	0.055	0.057	0.056
PTP_Rep029	0.055	0.059	0.056	0.056	0.058	0.055	0.054	0.056	0.058	0.055	0.057
PTP_Rep030	0.057	0.055	0.062	0.057	0.054	0.055	0.06	0.055	0.057	0.057	0.055
PTP_Rep031	0.05	0.064	0.054	0.059	0.059	0.054	0.058	0.055	0.055	0.057	0.056
PTP_Rep032	0.043	0.054	0.057	0.056	0.059	0.057	0.054	0.058	0.056	0.057	0.056
PTP_Rep033	0.061	0.059	0.059	0.06	0.059	0.06	0.054	0.057	0.057	0.056	0.055
PTP_Rep034	0.054	0.056	0.055	0.057	0.058	0.058	0.055	0.057	0.056	0.055	0.056
PTP_Rep035	0.069	0.059	0.05	0.054	0.056	0.056	0.059	0.054	0.057	0.056	0.057
PTP_Rep036	0.05	0.053	0.052	0.054	0.058	0.055	0.059	0.056	0.057	0.057	0.056
PTP_Rep037	0.063	0.051	0.058	0.06	0.052	0.059	0.053	0.057	0.056	0.056	0.056
PTP_Rep038	0.049	0.048	0.055	0.052	0.055	0.059	0.057	0.057	0.056	0.057	0.056
PTP_Rep039	0.044	0.06	0.056	0.055	0.054	0.058	0.056	0.055	0.053	0.057	0.057
PTP_Rep040	0.043	0.052	0.054	0.062	0.055	0.054	0.057	0.056	0.057	0.057	0.056
PTP_Rep041	0.055	0.051	0.051	0.057	0.059	0.058	0.055	0.057	0.057	0.057	0.056
PTP_Rep042	0.046	0.059	0.051	0.056	0.055	0.053	0.06	0.059	0.055	0.055	0.057
PTP_Rep043	0.051	0.047	0.052	0.059	0.055	0.054	0.056	0.057	0.057	0.055	0.057
PTP_Rep044	0.047	0.057	0.057	0.054	0.054	0.054	0.056	0.057	0.055	0.056	0.056
PTP_Rep045	0.049	0.057	0.06	0.058	0.059	0.056	0.057	0.055	0.054	0.056	0.056
PTP_Rep046	0.052	0.058	0.051	0.051	0.059	0.059	0.057	0.056	0.058	0.057	0.055
