Population	Gis_02SubSamp	Gis_04SubSamp	Gis_06SubSamp	Gis_08SubSamp	Gis_10SubSamp	Gis_12SubSamp	Gis_14SubSamp	Gis_16SubSamp	Gis_18SubSamp	Gis_20SubSamp	Gis_22SubSamp
STT_Rep001	0.183	0.019	0.047	0.061	0.085	0.064	0.081	0.069	0.104	0.075	0.087
STT_Rep002	0.074	0.101	0.064	0.041	0.056	0.07	0.083	0.093	0.074	0.089	0.082
STT_Rep003	0.034	0.159	0.073	0.066	0.114	0.08	0.085	0.089	0.073	0.087	0.083
STT_Rep004	0.12	0.045	0.163	0.124	0.06	0.054	0.065	0.08	0.094	0.08	0.08
STT_Rep005	0.1	0.159	0.104	0.081	0.088	0.094	0.073	0.087	0.092	0.084	0.084
STT_Rep006	0.118	0.19	0.107	0.09	0.059	0.09	0.095	0.091	0.089	0.078	0.08
STT_Rep007	0.162	0.151	0.042	0.097	0.08	0.077	0.09	0.083	0.091	0.071	0.08
STT_Rep008	0.157	0.098	0.075	0.099	0.11	0.087	0.072	0.073	0.075	0.078	0.097
STT_Rep009	-0.015	0.07	0.058	0.095	0.095	0.088	0.089	0.07	0.096	0.074	0.082
STT_Rep010	0.176	0.035	0.027	0.087	0.082	0.07	0.069	0.085	0.073	0.075	0.087
STT_Rep011	0.114	0.142	0.145	0.066	0.083	0.075	0.081	0.092	0.082	0.093	0.081
STT_Rep012	0.064	0.083	0.099	0.109	0.139	0.077	0.055	0.096	0.064	0.085	0.084
STT_Rep013	0.186	0.06	0.045	0.105	0.077	0.062	0.063	0.072	0.085	0.071	0.088
STT_Rep014	0.201	-0.006	0.088	0.063	0.067	0.087	0.104	0.107	0.068	0.102	0.08
STT_Rep015	0.124	0.114	0.118	0.105	0.044	0.049	0.081	0.069	0.08	0.08	0.085
STT_Rep016	0.029	0.082	0.05	0.064	0.068	0.082	0.066	0.079	0.087	0.073	0.093
STT_Rep017	0.023	0.043	0.099	0.032	0.072	0.069	0.074	0.072	0.081	0.08	0.078
STT_Rep018	0.023	0.035	0.101	0.1	0.061	0.102	0.066	0.102	0.077	0.067	0.085
STT_Rep019	0.107	0.221	0.078	0.023	0.107	0.114	0.116	0.069	0.076	0.076	0.08
STT_Rep020	0.083	0.118	0.105	0.047	0.099	0.074	0.116	0.083	0.093	0.095	0.081
