Population	Hs_02SubSamp	Hs_04SubSamp	Hs_06SubSamp	Hs_08SubSamp	Hs_10SubSamp	Hs_12SubSamp	Hs_14SubSamp	Hs_16SubSamp	Hs_18SubSamp	Hs_20SubSamp	Hs_22SubSamp
STT_Rep001	0.108	0.128	0.125	0.129	0.122	0.133	0.125	0.125	0.124	0.127	0.125
STT_Rep002	0.127	0.124	0.132	0.135	0.133	0.125	0.126	0.122	0.125	0.125	0.126
STT_Rep003	0.115	0.113	0.13	0.128	0.118	0.125	0.127	0.125	0.127	0.123	0.126
STT_Rep004	0.125	0.13	0.118	0.12	0.129	0.129	0.127	0.123	0.124	0.125	0.125
STT_Rep005	0.14	0.119	0.124	0.131	0.122	0.119	0.127	0.125	0.126	0.124	0.127
STT_Rep006	0.122	0.107	0.123	0.128	0.124	0.127	0.122	0.123	0.124	0.127	0.126
STT_Rep007	0.116	0.114	0.134	0.123	0.125	0.125	0.124	0.126	0.125	0.128	0.125
STT_Rep008	0.106	0.125	0.131	0.121	0.116	0.123	0.125	0.13	0.124	0.125	0.123
STT_Rep009	0.146	0.12	0.127	0.125	0.12	0.125	0.125	0.128	0.125	0.126	0.127
STT_Rep010	0.108	0.134	0.133	0.129	0.122	0.126	0.13	0.126	0.127	0.127	0.126
STT_Rep011	0.139	0.114	0.115	0.127	0.122	0.128	0.122	0.123	0.127	0.124	0.126
STT_Rep012	0.118	0.123	0.119	0.123	0.118	0.131	0.133	0.121	0.127	0.124	0.124
STT_Rep013	0.104	0.132	0.127	0.122	0.128	0.13	0.132	0.126	0.124	0.128	0.125
STT_Rep014	0.102	0.137	0.122	0.121	0.127	0.125	0.122	0.119	0.127	0.123	0.124
STT_Rep015	0.117	0.122	0.12	0.127	0.127	0.131	0.126	0.127	0.124	0.126	0.126
STT_Rep016	0.142	0.117	0.133	0.126	0.131	0.128	0.128	0.128	0.126	0.127	0.124
STT_Rep017	0.129	0.137	0.125	0.133	0.124	0.129	0.126	0.125	0.126	0.125	0.127
STT_Rep018	0.122	0.133	0.116	0.119	0.128	0.125	0.129	0.121	0.126	0.128	0.125
STT_Rep019	0.114	0.105	0.12	0.135	0.121	0.126	0.12	0.127	0.129	0.128	0.125
STT_Rep020	0.11	0.116	0.119	0.135	0.12	0.127	0.121	0.126	0.123	0.125	0.126
STT_Rep021	0.103	0.124	0.123	0.132	0.132	0.128	0.129	0.127	0.126	0.127	0.124
STT_Rep022	0.134	0.134	0.134	0.127	0.124	0.124	0.123	0.124	0.123	0.124	0.127
STT_Rep023	0.124	0.127	0.126	0.126	0.128	0.126	0.127	0.13	0.122	0.127	0.125
STT_Rep024	0.127	0.124	0.119	0.123	0.123	0.121	0.125	0.131	0.125	0.125	0.124
STT_Rep025	0.102	0.131	0.126	0.132	0.124	0.133	0.127	0.129	0.129	0.128	0.127
STT_Rep026	0.135	0.129	0.127	0.128	0.124	0.127	0.128	0.126	0.123	0.126	0.124
STT_Rep027	0.112	0.113	0.13	0.118	0.131	0.132	0.126	0.129	0.125	0.125	0.124
STT_Rep028	0.109	0.133	0.119	0.124	0.124	0.126	0.127	0.128	0.125	0.128	0.127
STT_Rep029	0.129	0.105	0.124	0.12	0.126	0.117	0.126	0.128	0.127	0.123	0.126
