MPO_PTP_Fst_estimates	Subsampling_group
0.183706	x04SubSamp
0.171824	x04SubSamp
0.198021	x04SubSamp
0.185286	x04SubSamp
0.193162	x04SubSamp
0.19048	x04SubSamp
0.191014	x04SubSamp
0.189818	x04SubSamp
0.176986	x04SubSamp
0.196235	x04SubSamp
0.189793	x04SubSamp
0.20684	x04SubSamp
0.184436	x04SubSamp
0.187966	x04SubSamp
0.190713	x04SubSamp
0.177179	x04SubSamp
0.183057	x04SubSamp
0.207336	x04SubSamp
0.18924	x04SubSamp
0.186238	x04SubSamp
0.188976	x04SubSamp
0.222487	x04SubSamp
0.195975	x04SubSamp
0.197574	x04SubSamp
0.215023	x04SubSamp
0.193317	x04SubSamp
0.181987	x04SubSamp
0.19674	x04SubSamp
0.177279	x04SubSamp
0.176789	x04SubSamp
0.195197	x04SubSamp
0.198918	x04SubSamp
0.179128	x04SubSamp
0.176801	x04SubSamp
0.17603	x04SubSamp
0.184769	x04SubSamp
0.193285	x04SubSamp
0.193045	x04SubSamp
0.182876	x04SubSamp
0.200591	x04SubSamp
0.181103	x04SubSamp
0.177597	x04SubSamp
0.191998	x04SubSamp
0.200706	x04SubSamp
0.196911	x04SubSamp
0.200166	x04SubSamp
0.190532	x04SubSamp
0.186073	x04SubSamp
0.193389	x04SubSamp
0.193912	x04SubSamp
0.183523	x04SubSamp
0.182853	x04SubSamp
0.199074	x04SubSamp
0.186796	x04SubSamp
0.18753	x04SubSamp
0.20255	x04SubSamp
0.204911	x04SubSamp
0.173259	x04SubSamp
0.207193	x04SubSamp
0.194084	x04SubSamp
0.193062	x04SubSamp
0.198193	x04SubSamp
0.197513	x04SubSamp
0.185041	x04SubSamp
0.215059	x04SubSamp
0.191016	x04SubSamp
0.191632	x04SubSamp
0.194863	x04SubSamp
0.197472	x04SubSamp
0.187719	x04SubSamp
0.194792	x04SubSamp
0.18386	x04SubSamp
0.198232	x04SubSamp
0.195884	x04SubSamp
0.185525	x04SubSamp
0.196294	x04SubSamp
0.187663	x04SubSamp
0.197542	x04SubSamp
0.199877	x04SubSamp
0.181867	x04SubSamp
0.200181	x04SubSamp
0.190993	x04SubSamp
0.196701	x04SubSamp
0.187794	x04SubSamp
0.192188	x04SubSamp
0.200561	x04SubSamp
0.182446	x04SubSamp
0.194306	x04SubSamp
0.195742	x04SubSamp
0.193821	x04SubSamp
0.197052	x04SubSamp
0.185729	x04SubSamp
0.176479	x04SubSamp
0.19347	x04SubSamp
0.195308	x04SubSamp
0.20562	x04SubSamp
0.191023	x04SubSamp
0.167631	x04SubSamp
0.212942	x04SubSamp
0.185625	x04SubSamp
0.19181	x06SubSamp
0.20551	x06SubSamp
0.19627	x06SubSamp
0.195754	x06SubSamp
0.193938	x06SubSamp
0.184588	x06SubSamp
0.193939	x06SubSamp
0.186376	x06SubSamp
0.188204	x06SubSamp
0.199072	x06SubSamp
0.198517	x06SubSamp
0.189364	x06SubSamp
0.195968	x06SubSamp
0.194181	x06SubSamp
0.186487	x06SubSamp
0.190918	x06SubSamp
0.190087	x06SubSamp
0.183571	x06SubSamp
0.194248	x06SubSamp
0.190464	x06SubSamp
0.180212	x06SubSamp
0.186098	x06SubSamp
0.194812	x06SubSamp
0.192774	x06SubSamp
0.194222	x06SubSamp
0.200146	x06SubSamp
0.189305	x06SubSamp
0.192879	x06SubSamp
0.18903	x06SubSamp
0.192262	x06SubSamp
0.18783	x06SubSamp
0.198627	x06SubSamp
0.194523	x06SubSamp
0.194653	x06SubSamp
0.192061	x06SubSamp
0.187016	x06SubSamp
0.191502	x06SubSamp
0.200712	x06SubSamp
0.18169	x06SubSamp
0.200277	x06SubSamp
0.195601	x06SubSamp
0.186781	x06SubSamp
0.195958	x06SubSamp
0.196718	x06SubSamp
0.183817	x06SubSamp
0.197477	x06SubSamp
0.196169	x06SubSamp
0.198551	x06SubSamp
0.178471	x06SubSamp
0.213994	x06SubSamp
0.191248	x06SubSamp
0.185177	x06SubSamp
0.182024	x06SubSamp
0.188073	x06SubSamp
0.182846	x06SubSamp
0.187993	x06SubSamp
0.188836	x06SubSamp
0.183638	x06SubSamp
0.17828	x06SubSamp
0.184347	x06SubSamp
0.177413	x06SubSamp
0.188575	x06SubSamp
0.187592	x06SubSamp
0.188398	x06SubSamp
0.192023	x06SubSamp
0.186703	x06SubSamp
0.1832	x06SubSamp
0.206255	x06SubSamp
0.20592	x06SubSamp
0.18287	x06SubSamp
0.196456	x06SubSamp
0.185748	x06SubSamp
0.181759	x06SubSamp
0.186173	x06SubSamp
0.184144	x06SubSamp
0.184051	x06SubSamp
0.179575	x06SubSamp
0.195022	x06SubSamp
0.196555	x06SubSamp
0.205755	x06SubSamp
0.185311	x06SubSamp
0.192767	x06SubSamp
0.191595	x06SubSamp
0.183486	x06SubSamp
0.191316	x06SubSamp
0.200423	x06SubSamp
0.199839	x06SubSamp
0.186251	x06SubSamp
0.189746	x06SubSamp
0.186002	x06SubSamp
0.178592	x06SubSamp
0.192766	x06SubSamp
0.193688	x06SubSamp
0.190069	x06SubSamp
0.200061	x06SubSamp
0.186256	x06SubSamp
0.197041	x06SubSamp
0.187683	x06SubSamp
0.205543	x06SubSamp
0.195394	x06SubSamp
0.18314	x08SubSamp
0.179927	x08SubSamp
0.18897	x08SubSamp
0.189057	x08SubSamp
0.194482	x08SubSamp
0.190514	x08SubSamp
0.18993	x08SubSamp
0.192192	x08SubSamp
0.195869	x08SubSamp
0.197079	x08SubSamp
0.19091	x08SubSamp
0.187505	x08SubSamp
0.19378	x08SubSamp
0.197327	x08SubSamp
0.190912	x08SubSamp
0.187431	x08SubSamp
0.192507	x08SubSamp
0.184617	x08SubSamp
0.192843	x08SubSamp
0.188235	x08SubSamp
0.200085	x08SubSamp
0.18645	x08SubSamp
0.183203	x08SubSamp
0.190644	x08SubSamp
0.182964	x08SubSamp
0.184772	x08SubSamp
0.19946	x08SubSamp
0.197341	x08SubSamp
0.200032	x08SubSamp
0.198761	x08SubSamp
0.194466	x08SubSamp
0.186387	x08SubSamp
0.187149	x08SubSamp
0.19918	x08SubSamp
0.195504	x08SubSamp
0.193304	x08SubSamp
0.19562	x08SubSamp
0.188527	x08SubSamp
0.192477	x08SubSamp
0.181439	x08SubSamp
0.191661	x08SubSamp
0.190492	x08SubSamp
0.198353	x08SubSamp
0.191947	x08SubSamp
0.194421	x08SubSamp
0.190774	x08SubSamp
0.180953	x08SubSamp
0.190487	x08SubSamp
0.178589	x08SubSamp
0.190616	x08SubSamp
0.181293	x08SubSamp
0.186483	x08SubSamp
0.195135	x08SubSamp
0.191183	x08SubSamp
0.187199	x08SubSamp
0.185763	x08SubSamp
0.189921	x08SubSamp
0.198839	x08SubSamp
0.190917	x08SubSamp
0.197244	x08SubSamp
0.201866	x08SubSamp
0.189642	x08SubSamp
0.186794	x08SubSamp
0.192951	x08SubSamp
0.188825	x08SubSamp
0.179935	x08SubSamp
0.190473	x08SubSamp
0.190594	x08SubSamp
0.186771	x08SubSamp
0.186593	x08SubSamp
0.195896	x08SubSamp
0.203914	x08SubSamp
0.198628	x08SubSamp
0.190446	x08SubSamp
0.18589	x08SubSamp
0.185708	x08SubSamp
0.195464	x08SubSamp
0.191111	x08SubSamp
0.192757	x08SubSamp
0.196112	x08SubSamp
0.186208	x08SubSamp
0.190912	x08SubSamp
0.194755	x08SubSamp
0.187375	x08SubSamp
0.179786	x08SubSamp
0.198098	x08SubSamp
0.191468	x08SubSamp
0.1776	x08SubSamp
0.190128	x08SubSamp
0.194656	x08SubSamp
0.190852	x08SubSamp
0.188818	x08SubSamp
0.185473	x08SubSamp
0.186883	x08SubSamp
0.190246	x08SubSamp
0.197337	x08SubSamp
0.197162	x08SubSamp
0.198242	x08SubSamp
0.192449	x08SubSamp
0.195925	x08SubSamp
0.193881	x10SubSamp
0.190734	x10SubSamp
0.18791	x10SubSamp
0.191335	x10SubSamp
0.186064	x10SubSamp
0.187395	x10SubSamp
0.188178	x10SubSamp
0.189726	x10SubSamp
0.186286	x10SubSamp
0.191671	x10SubSamp
0.186899	x10SubSamp
0.192775	x10SubSamp
0.18886	x10SubSamp
0.189393	x10SubSamp
0.196097	x10SubSamp
0.194265	x10SubSamp
0.199376	x10SubSamp
0.192454	x10SubSamp
0.18758	x10SubSamp
0.192457	x10SubSamp
0.187299	x10SubSamp
0.194814	x10SubSamp
0.194353	x10SubSamp
0.187462	x10SubSamp
0.184034	x10SubSamp
0.189678	x10SubSamp
0.190765	x10SubSamp
0.184197	x10SubSamp
0.192921	x10SubSamp
0.190171	x10SubSamp
0.192803	x10SubSamp
0.191544	x10SubSamp
0.196861	x10SubSamp
0.191337	x10SubSamp
0.186407	x10SubSamp
0.196988	x10SubSamp
0.192148	x10SubSamp
0.194209	x10SubSamp
0.187693	x10SubSamp
0.181335	x10SubSamp
0.184399	x10SubSamp
0.187314	x10SubSamp
0.188783	x10SubSamp
0.181548	x10SubSamp
0.191671	x10SubSamp
0.188856	x10SubSamp
0.189876	x10SubSamp
0.194285	x10SubSamp
0.186365	x10SubSamp
0.190277	x10SubSamp
0.1877	x10SubSamp
0.187438	x10SubSamp
0.18744	x10SubSamp
0.185057	x10SubSamp
0.198017	x10SubSamp
0.194973	x10SubSamp
0.195977	x10SubSamp
0.190276	x10SubSamp
0.195875	x10SubSamp
0.183074	x10SubSamp
0.191262	x10SubSamp
0.181951	x10SubSamp
0.183255	x10SubSamp
0.194866	x10SubSamp
0.188905	x10SubSamp
0.183125	x10SubSamp
0.187994	x10SubSamp
0.191338	x10SubSamp
0.190988	x10SubSamp
0.192016	x10SubSamp
0.195747	x10SubSamp
0.188618	x10SubSamp
0.196831	x10SubSamp
0.188241	x10SubSamp
0.18786	x10SubSamp
0.194322	x10SubSamp
0.183553	x10SubSamp
0.185754	x10SubSamp
0.192324	x10SubSamp
0.194875	x10SubSamp
0.182326	x10SubSamp
0.189723	x10SubSamp
0.188052	x10SubSamp
0.196819	x10SubSamp
0.192486	x10SubSamp
0.189326	x10SubSamp
0.189844	x10SubSamp
0.195608	x10SubSamp
0.19458	x10SubSamp
0.191706	x10SubSamp
0.187445	x10SubSamp
0.184804	x10SubSamp
0.188633	x10SubSamp
0.19964	x10SubSamp
0.19039	x10SubSamp
0.1914	x10SubSamp
0.181584	x10SubSamp
0.196423	x10SubSamp
0.180552	x10SubSamp
0.186886	x10SubSamp
0.188969	x12SubSamp
0.180697	x12SubSamp
0.188302	x12SubSamp
0.197084	x12SubSamp
0.182864	x12SubSamp
0.191724	x12SubSamp
0.193508	x12SubSamp
0.189415	x12SubSamp
0.186266	x12SubSamp
0.187761	x12SubSamp
0.185158	x12SubSamp
0.188759	x12SubSamp
0.201121	x12SubSamp
0.189383	x12SubSamp
0.191489	x12SubSamp
0.189549	x12SubSamp
0.186754	x12SubSamp
0.181826	x12SubSamp
0.191067	x12SubSamp
0.18473	x12SubSamp
0.188219	x12SubSamp
0.196911	x12SubSamp
0.187681	x12SubSamp
0.184936	x12SubSamp
0.192725	x12SubSamp
0.187181	x12SubSamp
0.19318	x12SubSamp
0.188629	x12SubSamp
0.187437	x12SubSamp
0.189522	x12SubSamp
0.191581	x12SubSamp
0.192222	x12SubSamp
0.188504	x12SubSamp
0.19006	x12SubSamp
0.186709	x12SubSamp
0.187401	x12SubSamp
0.184934	x12SubSamp
0.186971	x12SubSamp
0.184412	x12SubSamp
0.193274	x12SubSamp
0.186182	x12SubSamp
0.190837	x12SubSamp
0.185566	x12SubSamp
0.188363	x12SubSamp
0.188181	x12SubSamp
0.184864	x12SubSamp
0.194468	x12SubSamp
0.195071	x12SubSamp
0.190853	x12SubSamp
0.191755	x12SubSamp
0.188771	x12SubSamp
0.190681	x12SubSamp
0.188683	x12SubSamp
0.188416	x12SubSamp
0.182997	x12SubSamp
0.191171	x12SubSamp
0.183935	x12SubSamp
0.190048	x12SubSamp
0.192718	x12SubSamp
0.184527	x12SubSamp
0.184641	x12SubSamp
0.19406	x12SubSamp
0.190559	x12SubSamp
0.195139	x12SubSamp
0.192261	x12SubSamp
0.192366	x12SubSamp
0.189558	x12SubSamp
0.188535	x12SubSamp
0.192809	x12SubSamp
0.194637	x12SubSamp
0.193746	x12SubSamp
0.185511	x12SubSamp
0.18787	x12SubSamp
0.183864	x12SubSamp
0.191966	x12SubSamp
0.184819	x12SubSamp
