STT_MPO_Fst_estimates	Subsampling_group
0.077663	x04SubSamp
0.051973	x04SubSamp
0.077064	x04SubSamp
0.059373	x04SubSamp
0.056961	x04SubSamp
0.059268	x04SubSamp
0.070459	x04SubSamp
0.075991	x04SubSamp
0.064814	x04SubSamp
0.069783	x04SubSamp
0.057735	x04SubSamp
0.070694	x04SubSamp
0.044483	x04SubSamp
0.075803	x04SubSamp
0.0681	x04SubSamp
0.048778	x04SubSamp
0.059366	x04SubSamp
0.06659	x04SubSamp
0.069821	x04SubSamp
0.057105	x04SubSamp
0.060145	x04SubSamp
0.079026	x04SubSamp
0.074552	x04SubSamp
0.067964	x04SubSamp
0.081263	x04SubSamp
0.055382	x04SubSamp
0.061938	x04SubSamp
0.064402	x04SubSamp
0.053893	x04SubSamp
0.051041	x04SubSamp
0.067344	x04SubSamp
0.069398	x04SubSamp
0.064567	x04SubSamp
0.04849	x04SubSamp
0.045917	x04SubSamp
0.06906	x04SubSamp
0.060351	x04SubSamp
0.055844	x04SubSamp
0.066588	x04SubSamp
0.07662	x04SubSamp
0.068133	x04SubSamp
0.062291	x04SubSamp
0.057754	x04SubSamp
0.08289	x04SubSamp
0.065262	x04SubSamp
0.078776	x04SubSamp
0.063869	x04SubSamp
0.078739	x04SubSamp
0.084069	x04SubSamp
0.059554	x04SubSamp
0.059816	x04SubSamp
0.051874	x04SubSamp
0.061066	x04SubSamp
0.065976	x04SubSamp
0.056556	x04SubSamp
0.063655	x04SubSamp
0.06015	x04SubSamp
0.046362	x04SubSamp
0.067172	x04SubSamp
0.064479	x04SubSamp
0.070684	x04SubSamp
0.055588	x04SubSamp
0.070718	x04SubSamp
0.053565	x04SubSamp
0.061512	x04SubSamp
0.066497	x04SubSamp
0.061263	x04SubSamp
0.060858	x04SubSamp
0.064714	x04SubSamp
0.058709	x04SubSamp
0.052284	x04SubSamp
0.057969	x04SubSamp
0.076417	x04SubSamp
0.069735	x04SubSamp
0.063358	x04SubSamp
0.070161	x04SubSamp
0.063939	x04SubSamp
0.067383	x04SubSamp
0.061397	x04SubSamp
0.05283	x04SubSamp
0.059192	x04SubSamp
0.065782	x04SubSamp
0.075714	x04SubSamp
0.055574	x04SubSamp
0.05454	x04SubSamp
0.076344	x04SubSamp
0.058955	x04SubSamp
0.07367	x04SubSamp
0.068265	x04SubSamp
0.061821	x04SubSamp
0.088795	x04SubSamp
0.059182	x04SubSamp
0.054642	x04SubSamp
0.061228	x04SubSamp
0.069135	x04SubSamp
0.055522	x04SubSamp
0.070552	x04SubSamp
0.05535	x04SubSamp
0.077219	x04SubSamp
0.065669	x04SubSamp
0.068513	x06SubSamp
0.08116	x06SubSamp
0.070117	x06SubSamp
0.069124	x06SubSamp
0.061053	x06SubSamp
0.059286	x06SubSamp
0.062292	x06SubSamp
0.065927	x06SubSamp
0.061533	x06SubSamp
0.069208	x06SubSamp
0.064471	x06SubSamp
0.060663	x06SubSamp
0.067314	x06SubSamp
0.065534	x06SubSamp
0.054898	x06SubSamp
0.066093	x06SubSamp
0.064666	x06SubSamp
0.058624	x06SubSamp
0.064995	x06SubSamp
0.062129	x06SubSamp
0.069821	x06SubSamp
0.059406	x06SubSamp
0.06345	x06SubSamp
0.063437	x06SubSamp
0.069444	x06SubSamp
0.072586	x06SubSamp
0.071314	x06SubSamp
0.058026	x06SubSamp
0.064795	x06SubSamp
0.063996	x06SubSamp
0.06376	x06SubSamp
0.080071	x06SubSamp
0.071403	x06SubSamp
0.061945	x06SubSamp
0.072413	x06SubSamp
0.058949	x06SubSamp
0.058516	x06SubSamp
0.076011	x06SubSamp
0.06519	x06SubSamp
0.057758	x06SubSamp
0.073274	x06SubSamp
0.055058	x06SubSamp
0.069671	x06SubSamp
0.060548	x06SubSamp
0.070955	x06SubSamp
0.060683	x06SubSamp
0.060582	x06SubSamp
0.060572	x06SubSamp
0.061055	x06SubSamp
0.07528	x06SubSamp
0.065834	x06SubSamp
0.060527	x06SubSamp
0.067729	x06SubSamp
0.060595	x06SubSamp
0.063459	x06SubSamp
0.055536	x06SubSamp
0.052242	x06SubSamp
0.062348	x06SubSamp
0.059236	x06SubSamp
0.060894	x06SubSamp
0.063391	x06SubSamp
0.067646	x06SubSamp
0.063936	x06SubSamp
0.06828	x06SubSamp
0.057624	x06SubSamp
0.059058	x06SubSamp
0.055169	x06SubSamp
0.069759	x06SubSamp
0.077183	x06SubSamp
0.063894	x06SubSamp
0.075089	x06SubSamp
0.055738	x06SubSamp
0.056461	x06SubSamp
0.065112	x06SubSamp
0.051156	x06SubSamp
0.056883	x06SubSamp
0.064003	x06SubSamp
0.076936	x06SubSamp
0.06636	x06SubSamp
0.076801	x06SubSamp
0.068936	x06SubSamp
0.057999	x06SubSamp
0.060755	x06SubSamp
0.068076	x06SubSamp
0.073011	x06SubSamp
0.06503	x06SubSamp
0.071614	x06SubSamp
0.065341	x06SubSamp
0.065601	x06SubSamp
0.06581	x06SubSamp
0.054733	x06SubSamp
0.066156	x06SubSamp
0.071567	x06SubSamp
0.063396	x06SubSamp
0.073918	x06SubSamp
0.072483	x06SubSamp
0.071374	x06SubSamp
0.072892	x06SubSamp
0.067663	x06SubSamp
0.064401	x06SubSamp
0.065137	x08SubSamp
0.060107	x08SubSamp
0.065702	x08SubSamp
0.067353	x08SubSamp
0.070932	x08SubSamp
0.063756	x08SubSamp
0.061633	x08SubSamp
0.059054	x08SubSamp
0.065997	x08SubSamp
0.058226	x08SubSamp
0.063009	x08SubSamp
0.067832	x08SubSamp
0.069342	x08SubSamp
0.065477	x08SubSamp
0.06498	x08SubSamp
0.075802	x08SubSamp
0.070894	x08SubSamp
0.060917	x08SubSamp
0.064939	x08SubSamp
0.063859	x08SubSamp
0.063866	x08SubSamp
0.055822	x08SubSamp
0.059944	x08SubSamp
0.065617	x08SubSamp
0.070565	x08SubSamp
0.06413	x08SubSamp
0.077808	x08SubSamp
0.071831	x08SubSamp
0.064373	x08SubSamp
0.066759	x08SubSamp
0.069933	x08SubSamp
0.058063	x08SubSamp
0.063994	x08SubSamp
0.064419	x08SubSamp
0.074985	x08SubSamp
0.068274	x08SubSamp
0.071331	x08SubSamp
0.063557	x08SubSamp
0.06614	x08SubSamp
0.06123	x08SubSamp
0.060204	x08SubSamp
0.065201	x08SubSamp
0.06852	x08SubSamp
0.065788	x08SubSamp
0.061527	x08SubSamp
0.063329	x08SubSamp
0.060715	x08SubSamp
0.064611	x08SubSamp
0.058116	x08SubSamp
0.069408	x08SubSamp
0.06432	x08SubSamp
0.061893	x08SubSamp
0.064176	x08SubSamp
0.062947	x08SubSamp
0.066701	x08SubSamp
0.06215	x08SubSamp
0.064917	x08SubSamp
0.067997	x08SubSamp
0.068465	x08SubSamp
0.062721	x08SubSamp
0.0656	x08SubSamp
0.069357	x08SubSamp
0.067032	x08SubSamp
0.062806	x08SubSamp
0.06614	x08SubSamp
0.062707	x08SubSamp
0.060574	x08SubSamp
0.067085	x08SubSamp
0.062721	x08SubSamp
0.062571	x08SubSamp
0.062468	x08SubSamp
0.067232	x08SubSamp
0.064807	x08SubSamp
0.066082	x08SubSamp
0.063199	x08SubSamp
0.068297	x08SubSamp
0.072675	x08SubSamp
0.065453	x08SubSamp
0.069617	x08SubSamp
0.061781	x08SubSamp
0.072738	x08SubSamp
0.062314	x08SubSamp
0.063544	x08SubSamp
0.06213	x08SubSamp
0.071761	x08SubSamp
0.070106	x08SubSamp
0.06233	x08SubSamp
0.065982	x08SubSamp
0.062344	x08SubSamp
0.066234	x08SubSamp
0.071204	x08SubSamp
0.066612	x08SubSamp
0.05492	x08SubSamp
0.060251	x08SubSamp
0.064487	x08SubSamp
0.067079	x08SubSamp
0.065575	x08SubSamp
0.064009	x08SubSamp
0.066951	x08SubSamp
0.065496	x08SubSamp
0.060918	x10SubSamp
0.064188	x10SubSamp
0.066589	x10SubSamp
0.062977	x10SubSamp
0.063248	x10SubSamp
0.066377	x10SubSamp
0.064432	x10SubSamp
0.066158	x10SubSamp
0.069979	x10SubSamp
0.066343	x10SubSamp
