STT_PTP_Fst_estimates	Subsampling_group
0.203359	x04SubSamp
0.187443	x04SubSamp
0.221871	x04SubSamp
0.202718	x04SubSamp
0.221026	x04SubSamp
0.213456	x04SubSamp
0.205556	x04SubSamp
0.199977	x04SubSamp
0.210048	x04SubSamp
0.203216	x04SubSamp
0.208443	x04SubSamp
0.210175	x04SubSamp
0.189467	x04SubSamp
0.191507	x04SubSamp
0.20142	x04SubSamp
0.202209	x04SubSamp
0.200474	x04SubSamp
0.202384	x04SubSamp
0.240378	x04SubSamp
0.199379	x04SubSamp
0.194214	x04SubSamp
0.203416	x04SubSamp
0.210879	x04SubSamp
0.217049	x04SubSamp
0.210125	x04SubSamp
0.200339	x04SubSamp
0.209813	x04SubSamp
0.195028	x04SubSamp
0.21954	x04SubSamp
0.201699	x04SubSamp
0.194081	x04SubSamp
0.23362	x04SubSamp
0.224349	x04SubSamp
0.190573	x04SubSamp
0.195295	x04SubSamp
0.205345	x04SubSamp
0.216685	x04SubSamp
0.216113	x04SubSamp
0.219576	x04SubSamp
0.211269	x04SubSamp
0.198892	x04SubSamp
0.186822	x04SubSamp
0.213601	x04SubSamp
0.210237	x04SubSamp
0.211542	x04SubSamp
0.224273	x04SubSamp
0.196434	x04SubSamp
0.212262	x04SubSamp
0.219556	x04SubSamp
0.201686	x04SubSamp
0.207704	x04SubSamp
0.19227	x04SubSamp
0.20655	x04SubSamp
0.204946	x04SubSamp
0.214155	x04SubSamp
0.200621	x04SubSamp
0.203014	x04SubSamp
0.184134	x04SubSamp
0.22143	x04SubSamp
0.225439	x04SubSamp
0.218615	x04SubSamp
0.204694	x04SubSamp
0.198831	x04SubSamp
0.18825	x04SubSamp
0.201756	x04SubSamp
0.198115	x04SubSamp
0.202841	x04SubSamp
0.196309	x04SubSamp
0.225437	x04SubSamp
0.198367	x04SubSamp
0.202867	x04SubSamp
0.196015	x04SubSamp
0.210109	x04SubSamp
0.198349	x04SubSamp
0.223004	x04SubSamp
0.202305	x04SubSamp
0.208196	x04SubSamp
0.21605	x04SubSamp
0.186769	x04SubSamp
0.167503	x04SubSamp
0.206245	x04SubSamp
0.202627	x04SubSamp
0.212182	x04SubSamp
0.191673	x04SubSamp
0.193754	x04SubSamp
0.197758	x04SubSamp
0.200715	x04SubSamp
0.223105	x04SubSamp
0.214228	x04SubSamp
0.19643	x04SubSamp
0.214181	x04SubSamp
0.205965	x04SubSamp
0.205825	x04SubSamp
0.196452	x04SubSamp
0.204645	x04SubSamp
0.20058	x04SubSamp
0.204336	x04SubSamp
0.199165	x04SubSamp
0.20408	x04SubSamp
0.200542	x04SubSamp
0.208766	x06SubSamp
0.19773	x06SubSamp
0.197104	x06SubSamp
0.212678	x06SubSamp
0.206496	x06SubSamp
0.212407	x06SubSamp
0.197847	x06SubSamp
0.205504	x06SubSamp
0.197518	x06SubSamp
0.200719	x06SubSamp
0.204895	x06SubSamp
0.204295	x06SubSamp
0.205825	x06SubSamp
0.209174	x06SubSamp
0.199883	x06SubSamp
0.201797	x06SubSamp
0.196047	x06SubSamp
0.202187	x06SubSamp
0.21293	x06SubSamp
0.19611	x06SubSamp
0.197764	x06SubSamp
0.196531	x06SubSamp
0.202492	x06SubSamp
0.210698	x06SubSamp
0.211266	x06SubSamp
0.199987	x06SubSamp
0.196883	x06SubSamp
0.215429	x06SubSamp
0.192923	x06SubSamp
0.201448	x06SubSamp
0.199619	x06SubSamp
0.213966	x06SubSamp
0.197482	x06SubSamp
0.201329	x06SubSamp
0.211543	x06SubSamp
0.212769	x06SubSamp
0.197906	x06SubSamp
0.220238	x06SubSamp
0.195901	x06SubSamp
0.208657	x06SubSamp
0.212057	x06SubSamp
0.205531	x06SubSamp
0.19496	x06SubSamp
0.202114	x06SubSamp
0.195904	x06SubSamp
0.218777	x06SubSamp
0.214281	x06SubSamp
0.208241	x06SubSamp
0.209467	x06SubSamp
0.207426	x06SubSamp
0.204853	x06SubSamp
0.183179	x06SubSamp
0.193948	x06SubSamp
0.211543	x06SubSamp
0.210096	x06SubSamp
0.192623	x06SubSamp
0.198164	x06SubSamp
0.200407	x06SubSamp
0.205242	x06SubSamp
0.203871	x06SubSamp
0.202259	x06SubSamp
0.193678	x06SubSamp
0.193449	x06SubSamp
0.188643	x06SubSamp
0.199727	x06SubSamp
0.189399	x06SubSamp
0.201734	x06SubSamp
0.209362	x06SubSamp
0.212277	x06SubSamp
0.210942	x06SubSamp
0.20331	x06SubSamp
0.198811	x06SubSamp
0.210141	x06SubSamp
0.195805	x06SubSamp
0.216482	x06SubSamp
0.219935	x06SubSamp
0.204604	x06SubSamp
0.192472	x06SubSamp
0.215053	x06SubSamp
0.212271	x06SubSamp
0.194067	x06SubSamp
0.189176	x06SubSamp
0.202622	x06SubSamp
