TGCP_MPO_Fst_estimates	Subsampling_group
0.153292	x04SubSamp
0.145516	x04SubSamp
0.184146	x04SubSamp
0.161654	x04SubSamp
0.166734	x04SubSamp
0.165336	x04SubSamp
0.176454	x04SubSamp
0.173488	x04SubSamp
0.166837	x04SubSamp
0.159873	x04SubSamp
0.174291	x04SubSamp
0.15397	x04SubSamp
0.153557	x04SubSamp
0.15545	x04SubSamp
0.174518	x04SubSamp
0.158193	x04SubSamp
0.160556	x04SubSamp
0.176818	x04SubSamp
0.158973	x04SubSamp
0.157955	x04SubSamp
0.168404	x04SubSamp
0.190785	x04SubSamp
0.178887	x04SubSamp
0.153195	x04SubSamp
0.164075	x04SubSamp
0.156577	x04SubSamp
0.181203	x04SubSamp
0.173739	x04SubSamp
0.145177	x04SubSamp
0.167797	x04SubSamp
0.162102	x04SubSamp
0.156898	x04SubSamp
0.154825	x04SubSamp
0.166679	x04SubSamp
0.158285	x04SubSamp
0.147179	x04SubSamp
0.168886	x04SubSamp
0.169135	x04SubSamp
0.181238	x04SubSamp
0.160933	x04SubSamp
0.174937	x04SubSamp
0.185839	x04SubSamp
0.155564	x04SubSamp
0.168036	x04SubSamp
0.167784	x04SubSamp
0.170592	x04SubSamp
0.148409	x04SubSamp
0.185167	x04SubSamp
0.160221	x04SubSamp
0.170678	x04SubSamp
0.181999	x04SubSamp
0.159581	x04SubSamp
0.159779	x04SubSamp
0.163227	x04SubSamp
0.158437	x04SubSamp
0.171658	x04SubSamp
0.167598	x04SubSamp
0.161598	x04SubSamp
0.156549	x04SubSamp
0.177097	x04SubSamp
0.176907	x04SubSamp
0.168159	x04SubSamp
0.178044	x04SubSamp
0.170872	x04SubSamp
0.172765	x04SubSamp
0.14367	x04SubSamp
0.164666	x04SubSamp
0.157149	x04SubSamp
0.160892	x04SubSamp
0.163213	x04SubSamp
0.159646	x04SubSamp
0.171942	x04SubSamp
0.165246	x04SubSamp
0.147475	x04SubSamp
0.167802	x04SubSamp
0.161061	x04SubSamp
0.152375	x04SubSamp
0.18232	x04SubSamp
0.160064	x04SubSamp
0.165563	x04SubSamp
0.173419	x04SubSamp
0.17471	x04SubSamp
0.190826	x04SubSamp
0.147983	x04SubSamp
0.176677	x04SubSamp
0.175784	x04SubSamp
0.176025	x04SubSamp
0.174288	x04SubSamp
0.174133	x04SubSamp
0.175666	x04SubSamp
0.185632	x04SubSamp
0.166417	x04SubSamp
0.168906	x04SubSamp
0.174586	x04SubSamp
0.156096	x04SubSamp
0.173903	x04SubSamp
0.168771	x04SubSamp
0.169921	x04SubSamp
0.160907	x04SubSamp
0.147175	x04SubSamp
0.171508	x06SubSamp
0.182743	x06SubSamp
0.167653	x06SubSamp
0.162794	x06SubSamp
0.178367	x06SubSamp
0.16994	x06SubSamp
0.170048	x06SubSamp
0.16684	x06SubSamp
0.16436	x06SubSamp
0.162997	x06SubSamp
0.170692	x06SubSamp
0.166039	x06SubSamp
0.170721	x06SubSamp
0.168956	x06SubSamp
0.168308	x06SubSamp
0.17088	x06SubSamp
0.161398	x06SubSamp
0.175125	x06SubSamp
0.157664	x06SubSamp
0.16967	x06SubSamp
0.158665	x06SubSamp
0.173155	x06SubSamp
0.18086	x06SubSamp
0.163966	x06SubSamp
0.1729	x06SubSamp
0.16898	x06SubSamp
0.174991	x06SubSamp
0.167377	x06SubSamp
0.161306	x06SubSamp
0.167945	x06SubSamp
0.160814	x06SubSamp
0.161181	x06SubSamp
0.182704	x06SubSamp
0.171219	x06SubSamp
0.163975	x06SubSamp
0.166057	x06SubSamp
0.173648	x06SubSamp
0.170224	x06SubSamp
0.165327	x06SubSamp
0.178764	x06SubSamp
0.191825	x06SubSamp
0.157451	x06SubSamp
0.171528	x06SubSamp
0.159864	x06SubSamp
0.156827	x06SubSamp
0.152862	x06SubSamp
0.17998	x06SubSamp
0.174698	x06SubSamp
0.168082	x06SubSamp
0.171856	x06SubSamp
0.172476	x06SubSamp
0.161868	x06SubSamp
0.16017	x06SubSamp
0.158923	x06SubSamp
0.169423	x06SubSamp
0.153984	x06SubSamp
0.172359	x06SubSamp
0.157761	x06SubSamp
0.164959	x06SubSamp
0.170094	x06SubSamp
0.163206	x06SubSamp
0.161421	x06SubSamp
0.178584	x06SubSamp
0.174555	x06SubSamp
0.183789	x06SubSamp
0.173966	x06SubSamp
0.171028	x06SubSamp
0.173659	x06SubSamp
0.168352	x06SubSamp
0.164739	x06SubSamp
0.179348	x06SubSamp
0.161002	x06SubSamp
0.157986	x06SubSamp
0.173407	x06SubSamp
0.175078	x06SubSamp
0.161314	x06SubSamp
0.165613	x06SubSamp
0.174311	x06SubSamp
0.154172	x06SubSamp
0.181362	x06SubSamp
0.16371	x06SubSamp
0.168262	x06SubSamp
0.163897	x06SubSamp
0.169861	x06SubSamp
0.159095	x06SubSamp
0.157265	x06SubSamp
0.158987	x06SubSamp
0.160088	x06SubSamp
0.162603	x06SubSamp
0.155222	x06SubSamp
0.157497	x06SubSamp
0.157182	x06SubSamp
0.170158	x06SubSamp
0.17544	x06SubSamp
0.165877	x06SubSamp
0.157116	x06SubSamp
0.163748	x06SubSamp
0.162293	x06SubSamp
0.162413	x06SubSamp
0.165461	x06SubSamp
0.171801	x08SubSamp
0.164998	x08SubSamp
0.156902	x08SubSamp
0.16929	x08SubSamp
0.167276	x08SubSamp
0.15988	x08SubSamp
0.165068	x08SubSamp
0.165894	x08SubSamp
0.1743	x08SubSamp
0.164829	x08SubSamp
0.166311	x08SubSamp
0.157247	x08SubSamp
0.166459	x08SubSamp
0.178118	x08SubSamp
0.161837	x08SubSamp
0.157857	x08SubSamp
0.167678	x08SubSamp
0.168115	x08SubSamp
0.160675	x08SubSamp
0.160072	x08SubSamp
0.151325	x08SubSamp
0.169501	x08SubSamp
0.166964	x08SubSamp
0.162382	x08SubSamp
0.165909	x08SubSamp
0.161894	x08SubSamp
0.173106	x08SubSamp
0.16645	x08SubSamp
0.173968	x08SubSamp
0.15667	x08SubSamp
0.171085	x08SubSamp
0.166464	x08SubSamp
0.167981	x08SubSamp
0.166262	x08SubSamp
0.178148	x08SubSamp
0.173546	x08SubSamp
0.169035	x08SubSamp
0.170934	x08SubSamp
0.154198	x08SubSamp
0.169835	x08SubSamp
0.165487	x08SubSamp
0.169919	x08SubSamp
0.162186	x08SubSamp
0.169566	x08SubSamp
0.167138	x08SubSamp
0.165958	x08SubSamp
0.165396	x08SubSamp
0.159727	x08SubSamp
0.163084	x08SubSamp
0.175593	x08SubSamp
0.170091	x08SubSamp
0.176587	x08SubSamp
0.175037	x08SubSamp
0.167392	x08SubSamp
0.172985	x08SubSamp
0.166472	x08SubSamp
0.176412	x08SubSamp
0.1719	x08SubSamp
0.169536	x08SubSamp
0.169918	x08SubSamp
0.163974	x08SubSamp
0.163963	x08SubSamp
0.163872	x08SubSamp
0.172065	x08SubSamp
0.170274	x08SubSamp
0.165223	x08SubSamp
0.166182	x08SubSamp
0.175459	x08SubSamp
0.159728	x08SubSamp
0.164038	x08SubSamp
0.166783	x08SubSamp
0.182359	x08SubSamp
0.161585	x08SubSamp
0.161193	x08SubSamp
0.159718	x08SubSamp
0.162585	x08SubSamp
0.168382	x08SubSamp
0.165929	x08SubSamp
0.163418	x08SubSamp
0.16744	x08SubSamp
0.169924	x08SubSamp
0.159174	x08SubSamp
0.165699	x08SubSamp
0.164926	x08SubSamp
0.165906	x08SubSamp
0.165109	x08SubSamp
0.17555	x08SubSamp
0.161561	x08SubSamp
0.159903	x08SubSamp
0.166339	x08SubSamp
0.168937	x08SubSamp
0.170792	x08SubSamp
0.158468	x08SubSamp
0.157879	x08SubSamp
0.169086	x08SubSamp
0.175507	x08SubSamp
0.177108	x08SubSamp
0.160111	x08SubSamp
0.169921	x08SubSamp
0.169697	x08SubSamp
0.171534	x10SubSamp
0.16994	x10SubSamp
0.170457	x10SubSamp
0.172348	x10SubSamp
0.168724	x10SubSamp
0.161539	x10SubSamp
0.170839	x10SubSamp
0.166873	x10SubSamp
0.165811	x10SubSamp
0.163769	x10SubSamp
0.16407	x10SubSamp
0.17255	x10SubSamp
0.166598	x10SubSamp
0.168273	x10SubSamp
0.166134	x10SubSamp
0.162095	x10SubSamp
0.170611	x10SubSamp
0.16732	x10SubSamp
0.166727	x10SubSamp
0.162358	x10SubSamp
0.168197	x10SubSamp
0.159338	x10SubSamp
0.166119	x10SubSamp
0.164354	x10SubSamp
0.171421	x10SubSamp
0.158294	x10SubSamp
0.164573	x10SubSamp
0.171104	x10SubSamp
0.167388	x10SubSamp
0.169768	x10SubSamp
0.16523	x10SubSamp
0.165248	x10SubSamp
0.165598	x10SubSamp
0.16784	x10SubSamp
0.154213	x10SubSamp
0.171817	x10SubSamp
0.168038	x10SubSamp
0.166653	x10SubSamp
0.16322	x10SubSamp
0.166018	x10SubSamp
0.163862	x10SubSamp
0.171722	x10SubSamp
0.171031	x10SubSamp
0.168659	x10SubSamp
0.168575	x10SubSamp
0.168422	x10SubSamp
0.168826	x10SubSamp
0.176515	x10SubSamp
0.165812	x10SubSamp
0.16885	x10SubSamp
0.164859	x10SubSamp
0.164588	x10SubSamp
0.162916	x10SubSamp
0.164992	x10SubSamp
0.169883	x10SubSamp
0.171898	x10SubSamp
0.161261	x10SubSamp
0.166348	x10SubSamp
0.16381	x10SubSamp
0.172127	x10SubSamp
0.164804	x10SubSamp
0.165537	x10SubSamp
0.164206	x10SubSamp
0.160651	x10SubSamp
0.170137	x10SubSamp
0.163095	x10SubSamp
0.166408	x10SubSamp
0.161389	x10SubSamp
0.166523	x10SubSamp
0.179109	x10SubSamp
0.168866	x10SubSamp
0.168566	x10SubSamp
0.170769	x10SubSamp
0.166003	x10SubSamp
0.159448	x10SubSamp
0.175367	x10SubSamp
0.163125	x10SubSamp
0.162291	x10SubSamp
0.167515	x10SubSamp
0.162955	x10SubSamp
0.164919	x10SubSamp
0.160421	x10SubSamp
0.17045	x10SubSamp
0.169711	x10SubSamp
0.166782	x10SubSamp
0.166776	x10SubSamp
0.166312	x10SubSamp
0.165621	x10SubSamp
0.171558	x10SubSamp
0.164534	x10SubSamp
0.161969	x10SubSamp
0.165234	x10SubSamp
0.16182	x10SubSamp
0.172124	x10SubSamp
0.171549	x10SubSamp
0.174294	x10SubSamp
0.169171	x10SubSamp
0.169973	x10SubSamp
0.171534	x10SubSamp
0.163993	x10SubSamp
0.163829	x12SubSamp
0.164183	x12SubSamp
0.168214	x12SubSamp
0.172861	x12SubSamp
0.164905	x12SubSamp
0.171244	x12SubSamp
0.165502	x12SubSamp
0.170287	x12SubSamp
0.168173	x12SubSamp
0.159032	x12SubSamp
0.164901	x12SubSamp
0.165515	x12SubSamp
0.171475	x12SubSamp
0.170427	x12SubSamp
0.165759	x12SubSamp
0.167701	x12SubSamp
0.163311	x12SubSamp
0.169136	x12SubSamp
0.165325	x12SubSamp
0.164614	x12SubSamp
0.171703	x12SubSamp
0.170318	x12SubSamp
0.168744	x12SubSamp
0.161254	x12SubSamp
0.169511	x12SubSamp
0.169589	x12SubSamp
0.166449	x12SubSamp
0.173396	x12SubSamp
0.156109	x12SubSamp
0.167412	x12SubSamp
0.163126	x12SubSamp
0.165634	x12SubSamp
0.164636	x12SubSamp
0.168955	x12SubSamp
0.162848	x12SubSamp
0.175033	x12SubSamp
0.166819	x12SubSamp
0.167415	x12SubSamp
0.162468	x12SubSamp
0.16308	x12SubSamp
0.165168	x12SubSamp
0.164732	x12SubSamp
0.16546	x12SubSamp
0.166072	x12SubSamp
0.165503	x12SubSamp
0.167969	x12SubSamp
0.166735	x12SubSamp
0.172099	x12SubSamp
0.16899	x12SubSamp
0.168598	x12SubSamp
0.166315	x12SubSamp
0.172584	x12SubSamp
0.166359	x12SubSamp
0.16005	x12SubSamp
0.162903	x12SubSamp
0.170724	x12SubSamp
0.162781	x12SubSamp
0.166268	x12SubSamp
0.169871	x12SubSamp
0.160243	x12SubSamp
0.160584	x12SubSamp
0.165486	x12SubSamp
0.167136	x12SubSamp
0.162795	x12SubSamp
0.166712	x12SubSamp
0.160254	x12SubSamp
0.161916	x12SubSamp
0.165645	x12SubSamp
0.164833	x12SubSamp
0.16938	x12SubSamp
0.162517	x12SubSamp
0.170472	x12SubSamp
0.167823	x12SubSamp
0.164325	x12SubSamp
0.168194	x12SubSamp
0.168627	x12SubSamp
0.16868	x12SubSamp
0.166559	x12SubSamp
0.167562	x12SubSamp
0.167171	x12SubSamp
0.164117	x12SubSamp
0.167643	x12SubSamp
0.159644	x12SubSamp
0.169192	x12SubSamp
0.168424	x12SubSamp
0.165486	x12SubSamp
0.167815	x12SubSamp
0.169293	x12SubSamp
0.165414	x12SubSamp
0.163251	x12SubSamp
0.166549	x12SubSamp
0.159467	x12SubSamp
0.162513	x12SubSamp
0.164187	x12SubSamp
0.165144	x12SubSamp
0.159387	x12SubSamp
