TGCP_PTP_Fst_estimates	Subsampling_group
0.17703	x04SubSamp
0.168991	x04SubSamp
0.20753	x04SubSamp
0.192732	x04SubSamp
0.191663	x04SubSamp
0.187305	x04SubSamp
0.171274	x04SubSamp
0.175675	x04SubSamp
0.18144	x04SubSamp
0.180417	x04SubSamp
0.204379	x04SubSamp
0.18738	x04SubSamp
0.177159	x04SubSamp
0.155406	x04SubSamp
0.177822	x04SubSamp
0.20014	x04SubSamp
0.174322	x04SubSamp
0.209856	x04SubSamp
0.194655	x04SubSamp
0.169834	x04SubSamp
0.170414	x04SubSamp
0.21075	x04SubSamp
0.183536	x04SubSamp
0.174675	x04SubSamp
0.172842	x04SubSamp
0.182059	x04SubSamp
0.18306	x04SubSamp
0.190076	x04SubSamp
0.178757	x04SubSamp
0.190949	x04SubSamp
0.182371	x04SubSamp
0.179337	x04SubSamp
0.178974	x04SubSamp
0.166402	x04SubSamp
0.149877	x04SubSamp
0.169646	x04SubSamp
0.205639	x04SubSamp
0.194662	x04SubSamp
0.198514	x04SubSamp
0.156047	x04SubSamp
0.193307	x04SubSamp
0.184668	x04SubSamp
0.165318	x04SubSamp
0.188016	x04SubSamp
0.198544	x04SubSamp
0.197736	x04SubSamp
0.174431	x04SubSamp
0.194879	x04SubSamp
0.188698	x04SubSamp
0.197964	x04SubSamp
0.20877	x04SubSamp
0.168802	x04SubSamp
0.186753	x04SubSamp
0.166442	x04SubSamp
0.183715	x04SubSamp
0.193209	x04SubSamp
0.213564	x04SubSamp
0.180998	x04SubSamp
0.202054	x04SubSamp
0.200312	x04SubSamp
0.197532	x04SubSamp
0.182015	x04SubSamp
0.197002	x04SubSamp
0.187581	x04SubSamp
0.196511	x04SubSamp
0.179616	x04SubSamp
0.190902	x04SubSamp
0.181712	x04SubSamp
0.206123	x04SubSamp
0.174158	x04SubSamp
0.174052	x04SubSamp
0.179272	x04SubSamp
0.198495	x04SubSamp
0.16819	x04SubSamp
0.208141	x04SubSamp
0.179047	x04SubSamp
0.179396	x04SubSamp
0.198849	x04SubSamp
0.195187	x04SubSamp
0.161386	x04SubSamp
0.174972	x04SubSamp
0.187454	x04SubSamp
0.225365	x04SubSamp
0.174316	x04SubSamp
0.183762	x04SubSamp
0.169302	x04SubSamp
0.196426	x04SubSamp
0.194717	x04SubSamp
0.218221	x04SubSamp
0.201885	x04SubSamp
0.205594	x04SubSamp
0.189491	x04SubSamp
0.185411	x04SubSamp
0.190839	x04SubSamp
0.167688	x04SubSamp
0.196505	x04SubSamp
0.180373	x04SubSamp
0.155043	x04SubSamp
0.175518	x04SubSamp
0.16967	x04SubSamp
0.195554	x06SubSamp
0.203061	x06SubSamp
0.184567	x06SubSamp
0.185743	x06SubSamp
0.193475	x06SubSamp
0.191655	x06SubSamp
0.198867	x06SubSamp
0.195029	x06SubSamp
0.180632	x06SubSamp
0.184778	x06SubSamp
0.192581	x06SubSamp
0.176992	x06SubSamp
0.178041	x06SubSamp
0.183545	x06SubSamp
0.179118	x06SubSamp
0.196158	x06SubSamp
0.189376	x06SubSamp
0.192638	x06SubSamp
0.179583	x06SubSamp
0.188099	x06SubSamp
0.169839	x06SubSamp
0.191427	x06SubSamp
0.191558	x06SubSamp
0.179396	x06SubSamp
0.18638	x06SubSamp
0.189744	x06SubSamp
0.184148	x06SubSamp
0.196215	x06SubSamp
0.177783	x06SubSamp
0.186557	x06SubSamp
0.181953	x06SubSamp
0.182248	x06SubSamp
0.196594	x06SubSamp
0.199149	x06SubSamp
0.182568	x06SubSamp
0.190411	x06SubSamp
0.201876	x06SubSamp
0.18875	x06SubSamp
0.166385	x06SubSamp
0.189537	x06SubSamp
0.202688	x06SubSamp
0.18284	x06SubSamp
0.167065	x06SubSamp
0.192642	x06SubSamp
0.168395	x06SubSamp
0.182611	x06SubSamp
0.190862	x06SubSamp
0.203135	x06SubSamp
0.193772	x06SubSamp
0.203293	x06SubSamp
0.187766	x06SubSamp
0.175193	x06SubSamp
0.15589	x06SubSamp
0.175244	x06SubSamp
0.196712	x06SubSamp
0.165164	x06SubSamp
0.204326	x06SubSamp
0.179816	x06SubSamp
0.181803	x06SubSamp
0.180598	x06SubSamp
0.170635	x06SubSamp
0.158183	x06SubSamp
0.184463	x06SubSamp
0.177274	x06SubSamp
0.206565	x06SubSamp
0.187661	x06SubSamp
0.189505	x06SubSamp
0.19498	x06SubSamp
0.201584	x06SubSamp
0.187587	x06SubSamp
0.18656	x06SubSamp
0.185449	x06SubSamp
0.171977	x06SubSamp
0.190499	x06SubSamp
0.203955	x06SubSamp
0.183479	x06SubSamp
0.181896	x06SubSamp
0.186653	x06SubSamp
0.175361	x06SubSamp
