TGCP_STT_Fst_estimates	Subsampling_group
0.17451	x04SubSamp
0.157164	x04SubSamp
0.161372	x04SubSamp
0.166831	x04SubSamp
0.16193	x04SubSamp
0.145834	x04SubSamp
0.181204	x04SubSamp
0.171937	x04SubSamp
0.183909	x04SubSamp
0.16528	x04SubSamp
0.171741	x04SubSamp
0.163703	x04SubSamp
0.149714	x04SubSamp
0.159727	x04SubSamp
0.159927	x04SubSamp
0.162579	x04SubSamp
0.158615	x04SubSamp
0.170158	x04SubSamp
0.168338	x04SubSamp
0.155896	x04SubSamp
0.153168	x04SubSamp
0.172279	x04SubSamp
0.187005	x04SubSamp
0.164802	x04SubSamp
0.169111	x04SubSamp
0.148851	x04SubSamp
0.194248	x04SubSamp
0.180694	x04SubSamp
0.175128	x04SubSamp
0.183016	x04SubSamp
0.160036	x04SubSamp
0.159621	x04SubSamp
0.160984	x04SubSamp
0.166122	x04SubSamp
0.163704	x04SubSamp
0.162434	x04SubSamp
0.179404	x04SubSamp
0.165761	x04SubSamp
0.175891	x04SubSamp
0.151184	x04SubSamp
0.169871	x04SubSamp
0.183653	x04SubSamp
0.16122	x04SubSamp
0.18214	x04SubSamp
0.16004	x04SubSamp
0.173151	x04SubSamp
0.150422	x04SubSamp
0.193146	x04SubSamp
0.171764	x04SubSamp
0.169897	x04SubSamp
0.173007	x04SubSamp
0.156925	x04SubSamp
0.16432	x04SubSamp
0.161353	x04SubSamp
0.172979	x04SubSamp
0.172991	x04SubSamp
0.160237	x04SubSamp
0.150875	x04SubSamp
0.163431	x04SubSamp
0.187455	x04SubSamp
0.172634	x04SubSamp
0.168389	x04SubSamp
0.173464	x04SubSamp
0.175714	x04SubSamp
0.176709	x04SubSamp
0.151234	x04SubSamp
0.165696	x04SubSamp
0.163449	x04SubSamp
0.180444	x04SubSamp
0.162202	x04SubSamp
0.156133	x04SubSamp
0.174857	x04SubSamp
0.162898	x04SubSamp
0.16921	x04SubSamp
0.175683	x04SubSamp
0.153126	x04SubSamp
0.152143	x04SubSamp
0.189221	x04SubSamp
0.154608	x04SubSamp
0.169996	x04SubSamp
0.167405	x04SubSamp
0.1705	x04SubSamp
0.175303	x04SubSamp
0.158115	x04SubSamp
0.165772	x04SubSamp
0.176616	x04SubSamp
0.174715	x04SubSamp
0.181875	x04SubSamp
0.182113	x04SubSamp
0.166902	x04SubSamp
0.188089	x04SubSamp
0.184404	x04SubSamp
0.176305	x04SubSamp
0.167641	x04SubSamp
0.162376	x04SubSamp
0.163588	x04SubSamp
0.17241	x04SubSamp
0.165103	x04SubSamp
0.163129	x04SubSamp
0.171222	x04SubSamp
0.177122	x06SubSamp
0.180918	x06SubSamp
0.165605	x06SubSamp
0.154924	x06SubSamp
0.173491	x06SubSamp
0.169893	x06SubSamp
0.171615	x06SubSamp
0.166962	x06SubSamp
0.167969	x06SubSamp
0.163999	x06SubSamp
0.173334	x06SubSamp
0.168714	x06SubSamp
0.172103	x06SubSamp
0.169014	x06SubSamp
0.169075	x06SubSamp
0.17991	x06SubSamp
0.163575	x06SubSamp
0.179239	x06SubSamp
0.163443	x06SubSamp
0.172049	x06SubSamp
0.155845	x06SubSamp
0.170281	x06SubSamp
0.172312	x06SubSamp
0.166154	x06SubSamp
0.178048	x06SubSamp
0.169134	x06SubSamp
0.185598	x06SubSamp
0.169593	x06SubSamp
0.162104	x06SubSamp
0.173721	x06SubSamp
0.161931	x06SubSamp
0.161257	x06SubSamp
0.173087	x06SubSamp
0.17147	x06SubSamp
0.171937	x06SubSamp
0.158776	x06SubSamp
0.16154	x06SubSamp
0.188913	x06SubSamp
0.169383	x06SubSamp
0.173068	x06SubSamp
0.184012	x06SubSamp
0.171823	x06SubSamp
0.157805	x06SubSamp
0.169468	x06SubSamp
0.15354	x06SubSamp
0.167688	x06SubSamp
0.172678	x06SubSamp
0.172914	x06SubSamp
0.175421	x06SubSamp
0.169718	x06SubSamp
0.165733	x06SubSamp
0.157862	x06SubSamp
0.161812	x06SubSamp
0.153121	x06SubSamp
0.173673	x06SubSamp
0.153167	x06SubSamp
0.172698	x06SubSamp
0.168881	x06SubSamp
0.166477	x06SubSamp
0.171789	x06SubSamp
0.172086	x06SubSamp
0.164751	x06SubSamp
0.172944	x06SubSamp
0.172731	x06SubSamp
