MPO_Gis_estimates	Subsampling_group
0.11	Gis_02SubSamp
0.157	Gis_02SubSamp
0.225	Gis_02SubSamp
0.017	Gis_02SubSamp
0.029	Gis_02SubSamp
0.259	Gis_02SubSamp
0.093	Gis_02SubSamp
0.076	Gis_02SubSamp
0.169	Gis_02SubSamp
0.184	Gis_02SubSamp
0.096	Gis_02SubSamp
0.058	Gis_02SubSamp
0.088	Gis_02SubSamp
0.146	Gis_02SubSamp
0.228	Gis_02SubSamp
0.257	Gis_02SubSamp
0.296	Gis_02SubSamp
0.08	Gis_02SubSamp
0.222	Gis_02SubSamp
0.151	Gis_02SubSamp
0.221	Gis_02SubSamp
0.146	Gis_02SubSamp
0.088	Gis_02SubSamp
0.096	Gis_02SubSamp
0.096	Gis_02SubSamp
-0.013	Gis_02SubSamp
0.1	Gis_02SubSamp
0.181	Gis_02SubSamp
-0.006	Gis_02SubSamp
0.193	Gis_02SubSamp
0.134	Gis_02SubSamp
0.255	Gis_02SubSamp
0.114	Gis_02SubSamp
0.177	Gis_02SubSamp
0.213	Gis_02SubSamp
0.151	Gis_02SubSamp
0.146	Gis_02SubSamp
0.214	Gis_02SubSamp
0.032	Gis_02SubSamp
0.071	Gis_02SubSamp
0.1	Gis_02SubSamp
0.061	Gis_02SubSamp
0.207	Gis_02SubSamp
0.106	Gis_02SubSamp
0.13	Gis_02SubSamp
0.213	Gis_02SubSamp
0.067	Gis_02SubSamp
0.1	Gis_02SubSamp
0.109	Gis_02SubSamp
0.181	Gis_02SubSamp
0.157	Gis_02SubSamp
0.166	Gis_02SubSamp
0.115	Gis_02SubSamp
0.142	Gis_02SubSamp
0.32	Gis_02SubSamp
0.076	Gis_02SubSamp
0.134	Gis_02SubSamp
0.029	Gis_02SubSamp
0.07	Gis_02SubSamp
0.29	Gis_02SubSamp
0.046	Gis_02SubSamp
0.3	Gis_02SubSamp
0.118	Gis_02SubSamp
0.088	Gis_02SubSamp
0.134	Gis_02SubSamp
0.087	Gis_02SubSamp
0.014	Gis_02SubSamp
0.151	Gis_02SubSamp
0.224	Gis_02SubSamp
0.019	Gis_02SubSamp
0.162	Gis_02SubSamp
0.253	Gis_02SubSamp
0.117	Gis_02SubSamp
0.198	Gis_02SubSamp
0.154	Gis_02SubSamp
0.163	Gis_02SubSamp
0.134	Gis_02SubSamp
0.114	Gis_02SubSamp
0.109	Gis_02SubSamp
0.109	Gis_02SubSamp
0.058	Gis_02SubSamp
0.053	Gis_02SubSamp
0.058	Gis_02SubSamp
0.111	Gis_02SubSamp
0.029	Gis_02SubSamp
0.147	Gis_02SubSamp
0.207	Gis_02SubSamp
0.328	Gis_02SubSamp
-0.05	Gis_02SubSamp
0.082	Gis_02SubSamp
0.206	Gis_02SubSamp
0.137	Gis_02SubSamp
0.123	Gis_02SubSamp
0.091	Gis_02SubSamp
0.028	Gis_02SubSamp
0.233	Gis_02SubSamp
0.222	Gis_02SubSamp
0.181	Gis_02SubSamp
0.182	Gis_02SubSamp
0.147	Gis_02SubSamp
0.058	Gis_04SubSamp
0.108	Gis_04SubSamp
0.105	Gis_04SubSamp
0.123	Gis_04SubSamp
0.099	Gis_04SubSamp
0.119	Gis_04SubSamp
0.127	Gis_04SubSamp
0.193	Gis_04SubSamp
0.115	Gis_04SubSamp
0.231	Gis_04SubSamp
0.089	Gis_04SubSamp
0.188	Gis_04SubSamp
0.212	Gis_04SubSamp
0.237	Gis_04SubSamp
0.102	Gis_04SubSamp
0.163	Gis_04SubSamp
0.07	Gis_04SubSamp
0.037	Gis_04SubSamp
0.145	Gis_04SubSamp
0.06	Gis_04SubSamp
0.102	Gis_04SubSamp
0.072	Gis_04SubSamp
0.153	Gis_04SubSamp
0.108	Gis_04SubSamp
0.201	Gis_04SubSamp
0.129	Gis_04SubSamp
0.067	Gis_04SubSamp
0.146	Gis_04SubSamp
0.087	Gis_04SubSamp
0.112	Gis_04SubSamp
0.11	Gis_04SubSamp
0.232	Gis_04SubSamp
0.101	Gis_04SubSamp
0.13	Gis_04SubSamp
0.093	Gis_04SubSamp
0.059	Gis_04SubSamp
0.164	Gis_04SubSamp
0.168	Gis_04SubSamp
0.131	Gis_04SubSamp
0.079	Gis_04SubSamp
0.097	Gis_04SubSamp
0.065	Gis_04SubSamp
0.165	Gis_04SubSamp
0.071	Gis_04SubSamp
0.119	Gis_04SubSamp
0.087	Gis_04SubSamp
0.142	Gis_04SubSamp
0.068	Gis_04SubSamp
0.162	Gis_04SubSamp
0.208	Gis_04SubSamp
0.109	Gis_04SubSamp
0.213	Gis_04SubSamp
0.122	Gis_04SubSamp
0.117	Gis_04SubSamp
0.076	Gis_04SubSamp
0.228	Gis_04SubSamp
0.215	Gis_04SubSamp
0.118	Gis_04SubSamp
0.172	Gis_04SubSamp
0.178	Gis_04SubSamp
0.168	Gis_04SubSamp
0.166	Gis_04SubSamp
0.048	Gis_04SubSamp
