MPO_Ho_estimates	Subsampling_group
0.097	Ho_02SubSamp
0.113	Ho_02SubSamp
0.085	Ho_02SubSamp
0.139	Ho_02SubSamp
0.12	Ho_02SubSamp
0.078	Ho_02SubSamp
0.096	Ho_02SubSamp
0.118	Ho_02SubSamp
0.087	Ho_02SubSamp
0.091	Ho_02SubSamp
0.107	Ho_02SubSamp
0.122	Ho_02SubSamp
0.112	Ho_02SubSamp
0.095	Ho_02SubSamp
0.073	Ho_02SubSamp
0.074	Ho_02SubSamp
0.069	Ho_02SubSamp
0.108	Ho_02SubSamp
0.079	Ho_02SubSamp
0.087	Ho_02SubSamp
0.079	Ho_02SubSamp
0.088	Ho_02SubSamp
0.112	Ho_02SubSamp
0.109	Ho_02SubSamp
0.109	Ho_02SubSamp
0.144	Ho_02SubSamp
0.108	Ho_02SubSamp
0.085	Ho_02SubSamp
0.108	Ho_02SubSamp
0.093	Ho_02SubSamp
0.09	Ho_02SubSamp
0.077	Ho_02SubSamp
0.098	Ho_02SubSamp
0.093	Ho_02SubSamp
0.081	Ho_02SubSamp
0.087	Ho_02SubSamp
0.088	Ho_02SubSamp
0.083	Ho_02SubSamp
0.122	Ho_02SubSamp
0.125	Ho_02SubSamp
0.108	Ho_02SubSamp
0.111	Ho_02SubSamp
0.076	Ho_02SubSamp
0.098	Ho_02SubSamp
0.1	Ho_02SubSamp
0.081	Ho_02SubSamp
0.127	Ho_02SubSamp
0.108	Ho_02SubSamp
0.11	Ho_02SubSamp
0.085	Ho_02SubSamp
0.089	Ho_02SubSamp
0.082	Ho_02SubSamp
0.112	Ho_02SubSamp
0.094	Ho_02SubSamp
0.068	Ho_02SubSamp
0.126	Ho_02SubSamp
0.09	Ho_02SubSamp
0.122	Ho_02SubSamp
0.114	Ho_02SubSamp
0.074	Ho_02SubSamp
0.12	Ho_02SubSamp
0.068	Ho_02SubSamp
0.106	Ho_02SubSamp
0.112	Ho_02SubSamp
0.09	Ho_02SubSamp
0.105	Ho_02SubSamp
0.122	Ho_02SubSamp
0.087	Ho_02SubSamp
0.085	Ho_02SubSamp
0.125	Ho_02SubSamp
0.098	Ho_02SubSamp
0.083	Ho_02SubSamp
0.097	Ho_02SubSamp
0.087	Ho_02SubSamp
0.094	Ho_02SubSamp
0.098	Ho_02SubSamp
0.093	Ho_02SubSamp
0.098	Ho_02SubSamp
0.11	Ho_02SubSamp
0.11	Ho_02SubSamp
0.127	Ho_02SubSamp
0.12	Ho_02SubSamp
0.108	Ho_02SubSamp
0.111	Ho_02SubSamp
0.122	Ho_02SubSamp
0.099	Ho_02SubSamp
0.076	Ho_02SubSamp
0.061	Ho_02SubSamp
0.125	Ho_02SubSamp
0.096	Ho_02SubSamp
0.082	Ho_02SubSamp
0.09	Ho_02SubSamp
0.102	Ho_02SubSamp
0.113	Ho_02SubSamp
0.129	Ho_02SubSamp
0.078	Ho_02SubSamp
0.079	Ho_02SubSamp
0.097	Ho_02SubSamp
0.082	Ho_02SubSamp
0.099	Ho_02SubSamp
0.122	Ho_04SubSamp
0.114	Ho_04SubSamp
0.107	Ho_04SubSamp
0.111	Ho_04SubSamp
0.11	Ho_04SubSamp
0.1	Ho_04SubSamp
0.096	Ho_04SubSamp
0.085	Ho_04SubSamp
0.106	Ho_04SubSamp
0.084	Ho_04SubSamp
0.113	Ho_04SubSamp
0.096	Ho_04SubSamp
0.092	Ho_04SubSamp
0.077	Ho_04SubSamp
0.106	Ho_04SubSamp
0.1	Ho_04SubSamp
0.12	Ho_04SubSamp
0.123	Ho_04SubSamp
0.107	Ho_04SubSamp
0.128	Ho_04SubSamp
0.114	Ho_04SubSamp
0.108	Ho_04SubSamp
0.095	Ho_04SubSamp
0.108	Ho_04SubSamp
0.083	Ho_04SubSamp
0.106	Ho_04SubSamp
0.117	Ho_04SubSamp
0.103	Ho_04SubSamp
0.112	Ho_04SubSamp
0.105	Ho_04SubSamp
0.1	Ho_04SubSamp
0.082	Ho_04SubSamp
0.115	Ho_04SubSamp
0.105	Ho_04SubSamp
0.105	Ho_04SubSamp
0.119	Ho_04SubSamp
0.104	Ho_04SubSamp
0.097	Ho_04SubSamp
0.097	Ho_04SubSamp
0.114	Ho_04SubSamp
0.114	Ho_04SubSamp
0.114	Ho_04SubSamp
0.094	Ho_04SubSamp
0.121	Ho_04SubSamp
0.109	Ho_04SubSamp
0.109	Ho_04SubSamp
0.102	Ho_04SubSamp
0.118	Ho_04SubSamp
0.094	Ho_04SubSamp
0.095	Ho_04SubSamp
0.111	Ho_04SubSamp
0.092	Ho_04SubSamp
0.103	Ho_04SubSamp
0.112	Ho_04SubSamp
0.112	Ho_04SubSamp
0.083	Ho_04SubSamp
0.082	Ho_04SubSamp
0.106	Ho_04SubSamp
0.095	Ho_04SubSamp
0.097	Ho_04SubSamp
0.098	Ho_04SubSamp
0.098	Ho_04SubSamp
0.119	Ho_04SubSamp
0.095	Ho_04SubSamp
0.077	Ho_04SubSamp
0.093	Ho_04SubSamp
0.127	Ho_04SubSamp
0.117	Ho_04SubSamp
0.103	Ho_04SubSamp
0.104	Ho_04SubSamp
0.085	Ho_04SubSamp
0.095	Ho_04SubSamp
0.117	Ho_04SubSamp
0.108	Ho_04SubSamp
0.107	Ho_04SubSamp
0.098	Ho_04SubSamp
0.103	Ho_04SubSamp
0.113	Ho_04SubSamp
0.109	Ho_04SubSamp
0.096	Ho_04SubSamp
0.114	Ho_04SubSamp
0.099	Ho_04SubSamp
0.113	Ho_04SubSamp
0.102	Ho_04SubSamp
0.087	Ho_04SubSamp
0.096	Ho_04SubSamp
0.104	Ho_04SubSamp
0.115	Ho_04SubSamp
0.114	Ho_04SubSamp
0.103	Ho_04SubSamp
0.121	Ho_04SubSamp
0.112	Ho_04SubSamp
0.116	Ho_04SubSamp
0.116	Ho_04SubSamp
0.089	Ho_04SubSamp
0.102	Ho_04SubSamp
0.112	Ho_04SubSamp
0.109	Ho_04SubSamp
0.093	Ho_04SubSamp
0.121	Ho_04SubSamp
0.109	Ho_06SubSamp
0.108	Ho_06SubSamp
0.096	Ho_06SubSamp
0.113	Ho_06SubSamp
0.099	Ho_06SubSamp
0.107	Ho_06SubSamp
0.105	Ho_06SubSamp
0.118	Ho_06SubSamp
0.098	Ho_06SubSamp
0.113	Ho_06SubSamp
0.106	Ho_06SubSamp
0.109	Ho_06SubSamp
0.111	Ho_06SubSamp
0.108	Ho_06SubSamp
0.108	Ho_06SubSamp
0.105	Ho_06SubSamp
0.112	Ho_06SubSamp
0.092	Ho_06SubSamp
0.108	Ho_06SubSamp
0.099	Ho_06SubSamp
0.114	Ho_06SubSamp
0.113	Ho_06SubSamp
0.098	Ho_06SubSamp
0.097	Ho_06SubSamp
0.12	Ho_06SubSamp
0.115	Ho_06SubSamp
0.095	Ho_06SubSamp
0.104	Ho_06SubSamp
0.103	Ho_06SubSamp
0.115	Ho_06SubSamp
0.112	Ho_06SubSamp
0.116	Ho_06SubSamp
0.11	Ho_06SubSamp
0.116	Ho_06SubSamp
0.113	Ho_06SubSamp
0.114	Ho_06SubSamp
0.097	Ho_06SubSamp
0.116	Ho_06SubSamp
0.1	Ho_06SubSamp
0.091	Ho_06SubSamp
0.1	Ho_06SubSamp
0.102	Ho_06SubSamp
0.097	Ho_06SubSamp
0.098	Ho_06SubSamp
0.106	Ho_06SubSamp
0.103	Ho_06SubSamp
