MPO_Hs_estimates	Subsampling_group
0.109	Hs_02SubSamp
0.134	Hs_02SubSamp
0.11	Hs_02SubSamp
0.141	Hs_02SubSamp
0.123	Hs_02SubSamp
0.105	Hs_02SubSamp
0.105	Hs_02SubSamp
0.127	Hs_02SubSamp
0.105	Hs_02SubSamp
0.112	Hs_02SubSamp
0.118	Hs_02SubSamp
0.129	Hs_02SubSamp
0.123	Hs_02SubSamp
0.111	Hs_02SubSamp
0.095	Hs_02SubSamp
0.099	Hs_02SubSamp
0.099	Hs_02SubSamp
0.117	Hs_02SubSamp
0.101	Hs_02SubSamp
0.102	Hs_02SubSamp
0.102	Hs_02SubSamp
0.103	Hs_02SubSamp
0.123	Hs_02SubSamp
0.12	Hs_02SubSamp
0.12	Hs_02SubSamp
0.142	Hs_02SubSamp
0.12	Hs_02SubSamp
0.103	Hs_02SubSamp
0.108	Hs_02SubSamp
0.115	Hs_02SubSamp
0.104	Hs_02SubSamp
0.103	Hs_02SubSamp
0.11	Hs_02SubSamp
0.113	Hs_02SubSamp
0.103	Hs_02SubSamp
0.103	Hs_02SubSamp
0.103	Hs_02SubSamp
0.105	Hs_02SubSamp
0.126	Hs_02SubSamp
0.135	Hs_02SubSamp
0.12	Hs_02SubSamp
0.118	Hs_02SubSamp
0.096	Hs_02SubSamp
0.11	Hs_02SubSamp
0.115	Hs_02SubSamp
0.103	Hs_02SubSamp
0.136	Hs_02SubSamp
0.12	Hs_02SubSamp
0.124	Hs_02SubSamp
0.103	Hs_02SubSamp
0.105	Hs_02SubSamp
0.098	Hs_02SubSamp
0.126	Hs_02SubSamp
0.109	Hs_02SubSamp
0.1	Hs_02SubSamp
0.136	Hs_02SubSamp
0.104	Hs_02SubSamp
0.125	Hs_02SubSamp
0.123	Hs_02SubSamp
0.104	Hs_02SubSamp
0.126	Hs_02SubSamp
0.097	Hs_02SubSamp
0.12	Hs_02SubSamp
0.123	Hs_02SubSamp
0.104	Hs_02SubSamp
0.115	Hs_02SubSamp
0.124	Hs_02SubSamp
0.103	Hs_02SubSamp
0.11	Hs_02SubSamp
0.127	Hs_02SubSamp
0.117	Hs_02SubSamp
0.111	Hs_02SubSamp
0.11	Hs_02SubSamp
0.108	Hs_02SubSamp
0.111	Hs_02SubSamp
0.117	Hs_02SubSamp
0.108	Hs_02SubSamp
0.11	Hs_02SubSamp
0.124	Hs_02SubSamp
0.124	Hs_02SubSamp
0.135	Hs_02SubSamp
0.127	Hs_02SubSamp
0.115	Hs_02SubSamp
0.125	Hs_02SubSamp
0.125	Hs_02SubSamp
0.116	Hs_02SubSamp
0.096	Hs_02SubSamp
0.091	Hs_02SubSamp
0.119	Hs_02SubSamp
0.105	Hs_02SubSamp
0.103	Hs_02SubSamp
0.104	Hs_02SubSamp
0.117	Hs_02SubSamp
0.125	Hs_02SubSamp
0.132	Hs_02SubSamp
0.101	Hs_02SubSamp
0.101	Hs_02SubSamp
0.119	Hs_02SubSamp
0.1	Hs_02SubSamp
0.116	Hs_02SubSamp
0.129	Hs_04SubSamp
0.128	Hs_04SubSamp
0.119	Hs_04SubSamp
0.127	Hs_04SubSamp
0.122	Hs_04SubSamp
0.114	Hs_04SubSamp
0.11	Hs_04SubSamp
0.106	Hs_04SubSamp
0.12	Hs_04SubSamp
0.109	Hs_04SubSamp
0.124	Hs_04SubSamp
0.119	Hs_04SubSamp
0.117	Hs_04SubSamp
0.101	Hs_04SubSamp
0.118	Hs_04SubSamp
0.12	Hs_04SubSamp
0.129	Hs_04SubSamp
0.128	Hs_04SubSamp
0.125	Hs_04SubSamp
0.136	Hs_04SubSamp
0.127	Hs_04SubSamp
0.117	Hs_04SubSamp
0.112	Hs_04SubSamp
0.121	Hs_04SubSamp
0.104	Hs_04SubSamp
0.122	Hs_04SubSamp
0.125	Hs_04SubSamp
0.12	Hs_04SubSamp
0.122	Hs_04SubSamp
0.118	Hs_04SubSamp
0.112	Hs_04SubSamp
0.107	Hs_04SubSamp
0.128	Hs_04SubSamp
0.121	Hs_04SubSamp
0.116	Hs_04SubSamp
0.127	Hs_04SubSamp
0.124	Hs_04SubSamp
0.117	Hs_04SubSamp
0.111	Hs_04SubSamp
0.124	Hs_04SubSamp
0.126	Hs_04SubSamp
0.122	Hs_04SubSamp
0.112	Hs_04SubSamp
0.13	Hs_04SubSamp
0.124	Hs_04SubSamp
0.119	Hs_04SubSamp
0.119	Hs_04SubSamp
0.126	Hs_04SubSamp
0.113	Hs_04SubSamp
0.12	Hs_04SubSamp
0.124	Hs_04SubSamp
0.117	Hs_04SubSamp
0.118	Hs_04SubSamp
0.127	Hs_04SubSamp
0.122	Hs_04SubSamp
0.107	Hs_04SubSamp
0.105	Hs_04SubSamp
0.12	Hs_04SubSamp
0.115	Hs_04SubSamp
0.119	Hs_04SubSamp
0.118	Hs_04SubSamp
0.118	Hs_04SubSamp
0.125	Hs_04SubSamp
0.113	Hs_04SubSamp
0.105	Hs_04SubSamp
0.111	Hs_04SubSamp
0.136	Hs_04SubSamp
0.127	Hs_04SubSamp
0.118	Hs_04SubSamp
0.12	Hs_04SubSamp
0.11	Hs_04SubSamp
0.116	Hs_04SubSamp
0.129	Hs_04SubSamp
0.12	Hs_04SubSamp
0.119	Hs_04SubSamp
0.117	Hs_04SubSamp
0.119	Hs_04SubSamp
0.126	Hs_04SubSamp
0.12	Hs_04SubSamp
0.118	Hs_04SubSamp
0.125	Hs_04SubSamp
0.109	Hs_04SubSamp
0.121	Hs_04SubSamp
0.117	Hs_04SubSamp
0.107	Hs_04SubSamp
0.114	Hs_04SubSamp
0.122	Hs_04SubSamp
0.122	Hs_04SubSamp
0.12	Hs_04SubSamp
0.118	Hs_04SubSamp
0.128	Hs_04SubSamp
0.123	Hs_04SubSamp
0.13	Hs_04SubSamp
0.122	Hs_04SubSamp
0.107	Hs_04SubSamp
0.116	Hs_04SubSamp
0.122	Hs_04SubSamp
0.121	Hs_04SubSamp
0.112	Hs_04SubSamp
0.127	Hs_04SubSamp
0.12	Hs_06SubSamp
0.12	Hs_06SubSamp
0.111	Hs_06SubSamp
0.123	Hs_06SubSamp
0.116	Hs_06SubSamp
0.123	Hs_06SubSamp
0.118	Hs_06SubSamp
0.126	Hs_06SubSamp
0.116	Hs_06SubSamp
0.122	Hs_06SubSamp
0.118	Hs_06SubSamp
0.124	Hs_06SubSamp
0.125	Hs_06SubSamp
0.121	Hs_06SubSamp
0.122	Hs_06SubSamp
0.117	Hs_06SubSamp
0.125	Hs_06SubSamp
0.111	Hs_06SubSamp
0.121	Hs_06SubSamp
0.117	Hs_06SubSamp
0.123	Hs_06SubSamp
0.123	Hs_06SubSamp
0.114	Hs_06SubSamp
0.114	Hs_06SubSamp
0.132	Hs_06SubSamp
0.126	Hs_06SubSamp
0.113	Hs_06SubSamp
0.119	Hs_06SubSamp
0.117	Hs_06SubSamp
0.129	Hs_06SubSamp
0.123	Hs_06SubSamp
0.13	Hs_06SubSamp
0.124	Hs_06SubSamp
0.131	Hs_06SubSamp
0.123	Hs_06SubSamp
0.124	Hs_06SubSamp
0.115	Hs_06SubSamp
0.129	Hs_06SubSamp
0.114	Hs_06SubSamp
0.11	Hs_06SubSamp
0.117	Hs_06SubSamp
0.118	Hs_06SubSamp
0.116	Hs_06SubSamp
0.115	Hs_06SubSamp
0.118	Hs_06SubSamp
0.123	Hs_06SubSamp
