PTP_Gis_estimates	Subsampling_group
-0.097	Gis_02SubSamp
0.213	Gis_02SubSamp
0.023	Gis_02SubSamp
0.107	Gis_02SubSamp
-0.008	Gis_02SubSamp
0.052	Gis_02SubSamp
0.259	Gis_02SubSamp
0.132	Gis_02SubSamp
0.016	Gis_02SubSamp
0.052	Gis_02SubSamp
0.138	Gis_02SubSamp
0.228	Gis_02SubSamp
0.147	Gis_02SubSamp
0.175	Gis_02SubSamp
0.096	Gis_02SubSamp
0.189	Gis_02SubSamp
0.099	Gis_02SubSamp
0.005	Gis_02SubSamp
-0.005	Gis_02SubSamp
0.107	Gis_02SubSamp
0.293	Gis_02SubSamp
0.322	Gis_02SubSamp
0.155	Gis_02SubSamp
0.08	Gis_02SubSamp
0.155	Gis_02SubSamp
0.145	Gis_02SubSamp
0.213	Gis_02SubSamp
0.182	Gis_02SubSamp
-0.033	Gis_02SubSamp
0.119	Gis_02SubSamp
0.052	Gis_02SubSamp
0.224	Gis_02SubSamp
0.145	Gis_02SubSamp
0.168	Gis_02SubSamp
0.034	Gis_02SubSamp
0.051	Gis_02SubSamp
0.169	Gis_02SubSamp
0.18	Gis_02SubSamp
0.265	Gis_02SubSamp
0.06	Gis_02SubSamp
0.08	Gis_02SubSamp
0.213	Gis_02SubSamp
0.158	Gis_02SubSamp
0.198	Gis_02SubSamp
0.171	Gis_02SubSamp
0.238	Gis_02SubSamp
0.021	Gis_02SubSamp
0.154	Gis_02SubSamp
0.19	Gis_02SubSamp
0.107	Gis_02SubSamp
0.051	Gis_02SubSamp
0.209	Gis_02SubSamp
0.079	Gis_02SubSamp
0.169	Gis_02SubSamp
0.016	Gis_02SubSamp
0.293	Gis_02SubSamp
0.12	Gis_02SubSamp
0.218	Gis_02SubSamp
0.098	Gis_02SubSamp
0.117	Gis_02SubSamp
0.256	Gis_02SubSamp
0.069	Gis_02SubSamp
0.034	Gis_02SubSamp
0.05	Gis_02SubSamp
0.052	Gis_02SubSamp
0.103	Gis_02SubSamp
0.119	Gis_02SubSamp
0.076	Gis_02SubSamp
-0.033	Gis_02SubSamp
0.012	Gis_02SubSamp
0.118	Gis_02SubSamp
0.133	Gis_02SubSamp
0.165	Gis_02SubSamp
0.293	Gis_02SubSamp
0.052	Gis_02SubSamp
0.205	Gis_02SubSamp
0.085	Gis_02SubSamp
0.051	Gis_02SubSamp
0.055	Gis_02SubSamp
0.228	Gis_02SubSamp
0.08	Gis_02SubSamp
0.171	Gis_02SubSamp
0.041	Gis_02SubSamp
0.322	Gis_02SubSamp
0.107	Gis_02SubSamp
0.043	Gis_02SubSamp
0.098	Gis_02SubSamp
-0.005	Gis_02SubSamp
0.111	Gis_02SubSamp
0.133	Gis_02SubSamp
0.219	Gis_02SubSamp
0.048	Gis_02SubSamp
0.022	Gis_02SubSamp
-0.004	Gis_02SubSamp
0.182	Gis_02SubSamp
0.18	Gis_02SubSamp
0.076	Gis_02SubSamp
0.148	Gis_02SubSamp
0.088	Gis_02SubSamp
0.313	Gis_02SubSamp
0.12	Gis_04SubSamp
0.105	Gis_04SubSamp
0.096	Gis_04SubSamp
0.084	Gis_04SubSamp
0.13	Gis_04SubSamp
0.123	Gis_04SubSamp
0.042	Gis_04SubSamp
0.117	Gis_04SubSamp
0.152	Gis_04SubSamp
0.085	Gis_04SubSamp
0.042	Gis_04SubSamp
0.086	Gis_04SubSamp
0.074	Gis_04SubSamp
0.059	Gis_04SubSamp
0.091	Gis_04SubSamp
0.115	Gis_04SubSamp
0.053	Gis_04SubSamp
0.032	Gis_04SubSamp
0.109	Gis_04SubSamp
0.159	Gis_04SubSamp
0.11	Gis_04SubSamp
0.104	Gis_04SubSamp
0.141	Gis_04SubSamp
0.123	Gis_04SubSamp
0.014	Gis_04SubSamp
0.099	Gis_04SubSamp
0.193	Gis_04SubSamp
0.116	Gis_04SubSamp
0.03	Gis_04SubSamp
0.14	Gis_04SubSamp
0.029	Gis_04SubSamp
0.145	Gis_04SubSamp
0.062	Gis_04SubSamp
0.139	Gis_04SubSamp
0.098	Gis_04SubSamp
0.115	Gis_04SubSamp
0.231	Gis_04SubSamp
0.102	Gis_04SubSamp
0.039	Gis_04SubSamp
0.202	Gis_04SubSamp
0.232	Gis_04SubSamp
0.199	Gis_04SubSamp
0.216	Gis_04SubSamp
0.1	Gis_04SubSamp
0.03	Gis_04SubSamp
0.161	Gis_04SubSamp
0.121	Gis_04SubSamp
0.032	Gis_04SubSamp
0.08	Gis_04SubSamp
0.141	Gis_04SubSamp
0.087	Gis_04SubSamp
0.085	Gis_04SubSamp
0.178	Gis_04SubSamp
0.065	Gis_04SubSamp
0.233	Gis_04SubSamp
0.12	Gis_04SubSamp
0.158	Gis_04SubSamp
0.104	Gis_04SubSamp
0.047	Gis_04SubSamp
0.009	Gis_04SubSamp
0.107	Gis_04SubSamp
0.071	Gis_04SubSamp
0.053	Gis_04SubSamp
0.202	Gis_04SubSamp
0.073	Gis_04SubSamp
0.089	Gis_04SubSamp
0.008	Gis_04SubSamp
0.177	Gis_04SubSamp
0.092	Gis_04SubSamp
0.095	Gis_04SubSamp
-0.008	Gis_04SubSamp
0.092	Gis_04SubSamp
0.147	Gis_04SubSamp
0.055	Gis_04SubSamp
0.139	Gis_04SubSamp
0.042	Gis_04SubSamp
0.08	Gis_04SubSamp
0.154	Gis_04SubSamp
0.207	Gis_04SubSamp
0.18	Gis_04SubSamp
0.105	Gis_04SubSamp
0.065	Gis_04SubSamp
0.113	Gis_04SubSamp
0.154	Gis_04SubSamp
0.114	Gis_04SubSamp
0.04	Gis_04SubSamp
0.109	Gis_04SubSamp
-0.002	Gis_04SubSamp
0.151	Gis_04SubSamp
0.098	Gis_04SubSamp
0.089	Gis_04SubSamp
0.109	Gis_04SubSamp
0.152	Gis_04SubSamp
0.202	Gis_04SubSamp
0.015	Gis_04SubSamp
0.198	Gis_04SubSamp
0.031	Gis_04SubSamp
0.195	Gis_04SubSamp
0.272	Gis_04SubSamp
0.133	Gis_04SubSamp
0.046	Gis_06SubSamp
0.107	Gis_06SubSamp
0.153	Gis_06SubSamp
0.088	Gis_06SubSamp
0.057	Gis_06SubSamp
0.158	Gis_06SubSamp
0.087	Gis_06SubSamp
0.111	Gis_06SubSamp
0.071	Gis_06SubSamp
0.039	Gis_06SubSamp
0.171	Gis_06SubSamp
0.093	Gis_06SubSamp
0.141	Gis_06SubSamp
0.062	Gis_06SubSamp
0.09	Gis_06SubSamp
0.077	Gis_06SubSamp
0.135	Gis_06SubSamp
0.098	Gis_06SubSamp
0.113	Gis_06SubSamp
0.131	Gis_06SubSamp
0.098	Gis_06SubSamp
0.08	Gis_06SubSamp
0.119	Gis_06SubSamp
0.125	Gis_06SubSamp
0.144	Gis_06SubSamp
0.179	Gis_06SubSamp
0.175	Gis_06SubSamp
0.088	Gis_06SubSamp
0.196	Gis_06SubSamp
0.047	Gis_06SubSamp
0.101	Gis_06SubSamp
0.128	Gis_06SubSamp
0.115	Gis_06SubSamp
0.103	Gis_06SubSamp
0.077	Gis_06SubSamp
0.119	Gis_06SubSamp
0.122	Gis_06SubSamp
0.078	Gis_06SubSamp
0.154	Gis_06SubSamp
0.111	Gis_06SubSamp
0.082	Gis_06SubSamp
0.078	Gis_06SubSamp
0.279	Gis_06SubSamp
0.069	Gis_06SubSamp
0.166	Gis_06SubSamp
0.077	Gis_06SubSamp
0.143	Gis_06SubSamp
0.067	Gis_06SubSamp
0.066	Gis_06SubSamp
0.09	Gis_06SubSamp
0.133	Gis_06SubSamp
0.147	Gis_06SubSamp
0.132	Gis_06SubSamp
0.143	Gis_06SubSamp
0.153	Gis_06SubSamp
0.039	Gis_06SubSamp
0.116	Gis_06SubSamp
0.063	Gis_06SubSamp
0.192	Gis_06SubSamp
0.205	Gis_06SubSamp
0.175	Gis_06SubSamp
0.174	Gis_06SubSamp
0.112	Gis_06SubSamp
0.145	Gis_06SubSamp
0.071	Gis_06SubSamp
0.162	Gis_06SubSamp
0.091	Gis_06SubSamp
0.043	Gis_06SubSamp
0.126	Gis_06SubSamp
0.11	Gis_06SubSamp
0.073	Gis_06SubSamp
0.141	Gis_06SubSamp
0.072	Gis_06SubSamp
0.052	Gis_06SubSamp
0.166	Gis_06SubSamp
0.137	Gis_06SubSamp
0.169	Gis_06SubSamp
0.091	Gis_06SubSamp
0.177	Gis_06SubSamp
0.048	Gis_06SubSamp
0.258	Gis_06SubSamp
0.119	Gis_06SubSamp
0.032	Gis_06SubSamp
0.145	Gis_06SubSamp
0.114	Gis_06SubSamp
0.101	Gis_06SubSamp
0.105	Gis_06SubSamp
0.099	Gis_06SubSamp
0.091	Gis_06SubSamp
0.105	Gis_06SubSamp
0.114	Gis_06SubSamp
0.087	Gis_06SubSamp
