PTP_Ho_estimates	Subsampling_group
0.056	Ho_02SubSamp
0.036	Ho_02SubSamp
0.06	Ho_02SubSamp
0.04	Ho_02SubSamp
0.044	Ho_02SubSamp
0.066	Ho_02SubSamp
0.034	Ho_02SubSamp
0.052	Ho_02SubSamp
0.054	Ho_02SubSamp
0.047	Ho_02SubSamp
0.04	Ho_02SubSamp
0.038	Ho_02SubSamp
0.04	Ho_02SubSamp
0.035	Ho_02SubSamp
0.042	Ho_02SubSamp
0.045	Ho_02SubSamp
0.047	Ho_02SubSamp
0.044	Ho_02SubSamp
0.049	Ho_02SubSamp
0.039	Ho_02SubSamp
0.032	Ho_02SubSamp
0.034	Ho_02SubSamp
0.04	Ho_02SubSamp
0.054	Ho_02SubSamp
0.037	Ho_02SubSamp
0.053	Ho_02SubSamp
0.036	Ho_02SubSamp
0.047	Ho_02SubSamp
0.057	Ho_02SubSamp
0.051	Ho_02SubSamp
0.047	Ho_02SubSamp
0.033	Ho_02SubSamp
0.053	Ho_02SubSamp
0.045	Ho_02SubSamp
0.067	Ho_02SubSamp
0.048	Ho_02SubSamp
0.052	Ho_02SubSamp
0.04	Ho_02SubSamp
0.033	Ho_02SubSamp
0.041	Ho_02SubSamp
0.05	Ho_02SubSamp
0.036	Ho_02SubSamp
0.043	Ho_02SubSamp
0.038	Ho_02SubSamp
0.041	Ho_02SubSamp
0.04	Ho_02SubSamp
0.063	Ho_02SubSamp
0.042	Ho_02SubSamp
0.048	Ho_02SubSamp
0.04	Ho_02SubSamp
0.048	Ho_02SubSamp
0.035	Ho_02SubSamp
0.049	Ho_02SubSamp
0.048	Ho_02SubSamp
0.054	Ho_02SubSamp
0.037	Ho_02SubSamp
0.05	Ho_02SubSamp
0.036	Ho_02SubSamp
0.051	Ho_02SubSamp
0.055	Ho_02SubSamp
0.035	Ho_02SubSamp
0.056	Ho_02SubSamp
0.067	Ho_02SubSamp
0.042	Ho_02SubSamp
0.047	Ho_02SubSamp
0.051	Ho_02SubSamp
0.051	Ho_02SubSamp
0.046	Ho_02SubSamp
0.057	Ho_02SubSamp
0.057	Ho_02SubSamp
0.044	Ho_02SubSamp
0.046	Ho_02SubSamp
0.05	Ho_02SubSamp
0.032	Ho_02SubSamp
0.047	Ho_02SubSamp
0.042	Ho_02SubSamp
0.057	Ho_02SubSamp
0.055	Ho_02SubSamp
0.063	Ho_02SubSamp
0.032	Ho_02SubSamp
0.05	Ho_02SubSamp
0.041	Ho_02SubSamp
0.065	Ho_02SubSamp
0.034	Ho_02SubSamp
0.05	Ho_02SubSamp
0.048	Ho_02SubSamp
0.044	Ho_02SubSamp
0.044	Ho_02SubSamp
0.049	Ho_02SubSamp
0.046	Ho_02SubSamp
0.04	Ho_02SubSamp
0.052	Ho_02SubSamp
0.067	Ho_02SubSamp
0.044	Ho_02SubSamp
0.047	Ho_02SubSamp
0.053	Ho_02SubSamp
0.046	Ho_02SubSamp
0.038	Ho_02SubSamp
0.043	Ho_02SubSamp
0.038	Ho_02SubSamp
0.047	Ho_04SubSamp
0.055	Ho_04SubSamp
0.049	Ho_04SubSamp
0.055	Ho_04SubSamp
0.046	Ho_04SubSamp
0.052	Ho_04SubSamp
0.06	Ho_04SubSamp
0.051	Ho_04SubSamp
0.049	Ho_04SubSamp
0.057	Ho_04SubSamp
0.059	Ho_04SubSamp
0.052	Ho_04SubSamp
0.048	Ho_04SubSamp
0.061	Ho_04SubSamp
0.053	Ho_04SubSamp
0.052	Ho_04SubSamp
0.057	Ho_04SubSamp
0.051	Ho_04SubSamp
0.05	Ho_04SubSamp
0.046	Ho_04SubSamp
0.051	Ho_04SubSamp
0.044	Ho_04SubSamp
0.047	Ho_04SubSamp
0.046	Ho_04SubSamp
0.058	Ho_04SubSamp
0.05	Ho_04SubSamp
0.045	Ho_04SubSamp
0.052	Ho_04SubSamp
0.058	Ho_04SubSamp
0.047	Ho_04SubSamp
0.062	Ho_04SubSamp
0.046	Ho_04SubSamp
0.056	Ho_04SubSamp
0.048	Ho_04SubSamp
0.053	Ho_04SubSamp
0.047	Ho_04SubSamp
0.039	Ho_04SubSamp
0.043	Ho_04SubSamp
0.058	Ho_04SubSamp
0.042	Ho_04SubSamp
0.039	Ho_04SubSamp
0.047	Ho_04SubSamp
0.036	Ho_04SubSamp
0.052	Ho_04SubSamp
0.055	Ho_04SubSamp
0.048	Ho_04SubSamp
0.053	Ho_04SubSamp
0.066	Ho_04SubSamp
0.059	Ho_04SubSamp
0.049	Ho_04SubSamp
0.057	Ho_04SubSamp
0.054	Ho_04SubSamp
0.044	Ho_04SubSamp
0.052	Ho_04SubSamp
0.043	Ho_04SubSamp
0.049	Ho_04SubSamp
0.043	Ho_04SubSamp
0.054	Ho_04SubSamp
0.055	Ho_04SubSamp
0.059	Ho_04SubSamp
0.055	Ho_04SubSamp
0.05	Ho_04SubSamp
0.06	Ho_04SubSamp
0.046	Ho_04SubSamp
0.041	Ho_04SubSamp
0.054	Ho_04SubSamp
0.056	Ho_04SubSamp
0.044	Ho_04SubSamp
0.041	Ho_04SubSamp
0.05	Ho_04SubSamp
0.06	Ho_04SubSamp
0.053	Ho_04SubSamp
0.047	Ho_04SubSamp
0.062	Ho_04SubSamp
0.043	Ho_04SubSamp
0.058	Ho_04SubSamp
0.051	Ho_04SubSamp
0.045	Ho_04SubSamp
0.043	Ho_04SubSamp
0.042	Ho_04SubSamp
0.046	Ho_04SubSamp
0.051	Ho_04SubSamp
0.049	Ho_04SubSamp
0.047	Ho_04SubSamp
0.053	Ho_04SubSamp
0.063	Ho_04SubSamp
0.05	Ho_04SubSamp
0.058	Ho_04SubSamp
0.042	Ho_04SubSamp
0.054	Ho_04SubSamp
0.048	Ho_04SubSamp
0.049	Ho_04SubSamp
0.045	Ho_04SubSamp
0.045	Ho_04SubSamp
0.064	Ho_04SubSamp
0.039	Ho_04SubSamp
0.061	Ho_04SubSamp
0.044	Ho_04SubSamp
0.039	Ho_04SubSamp
0.049	Ho_04SubSamp
0.054	Ho_06SubSamp
0.051	Ho_06SubSamp
0.048	Ho_06SubSamp
0.051	Ho_06SubSamp
0.052	Ho_06SubSamp
0.046	Ho_06SubSamp
0.048	Ho_06SubSamp
0.043	Ho_06SubSamp
0.055	Ho_06SubSamp
0.051	Ho_06SubSamp
0.045	Ho_06SubSamp
0.053	Ho_06SubSamp
0.044	Ho_06SubSamp
0.052	Ho_06SubSamp
0.056	Ho_06SubSamp
0.055	Ho_06SubSamp
0.048	Ho_06SubSamp
0.056	Ho_06SubSamp
0.047	Ho_06SubSamp
0.05	Ho_06SubSamp
0.054	Ho_06SubSamp
0.053	Ho_06SubSamp
0.05	Ho_06SubSamp
0.046	Ho_06SubSamp
0.046	Ho_06SubSamp
0.043	Ho_06SubSamp
0.045	Ho_06SubSamp
0.055	Ho_06SubSamp
0.045	Ho_06SubSamp
0.06	Ho_06SubSamp
0.048	Ho_06SubSamp
0.05	Ho_06SubSamp
0.052	Ho_06SubSamp
0.05	Ho_06SubSamp
0.046	Ho_06SubSamp
0.046	Ho_06SubSamp
0.051	Ho_06SubSamp
0.051	Ho_06SubSamp
0.048	Ho_06SubSamp
0.048	Ho_06SubSamp
0.047	Ho_06SubSamp
0.047	Ho_06SubSamp
0.038	Ho_06SubSamp
0.053	Ho_06SubSamp
0.05	Ho_06SubSamp
0.047	Ho_06SubSamp
0.051	Ho_06SubSamp
0.044	Ho_06SubSamp
0.052	Ho_06SubSamp
0.048	Ho_06SubSamp
0.051	Ho_06SubSamp
0.05	Ho_06SubSamp
0.056	Ho_06SubSamp
0.043	Ho_06SubSamp
0.045	Ho_06SubSamp
0.055	Ho_06SubSamp
0.048	Ho_06SubSamp
0.056	Ho_06SubSamp
0.042	Ho_06SubSamp
0.04	Ho_06SubSamp
0.045	Ho_06SubSamp
0.048	Ho_06SubSamp
0.05	Ho_06SubSamp
0.052	Ho_06SubSamp
0.056	Ho_06SubSamp
0.049	Ho_06SubSamp
0.051	Ho_06SubSamp
0.051	Ho_06SubSamp
0.05	Ho_06SubSamp
0.053	Ho_06SubSamp
0.054	Ho_06SubSamp
0.044	Ho_06SubSamp
0.055	Ho_06SubSamp
0.06	Ho_06SubSamp
0.044	Ho_06SubSamp
0.044	Ho_06SubSamp
0.049	Ho_06SubSamp
0.055	Ho_06SubSamp
0.043	Ho_06SubSamp
0.058	Ho_06SubSamp
0.039	Ho_06SubSamp
0.051	Ho_06SubSamp
0.061	Ho_06SubSamp
0.045	Ho_06SubSamp
0.055	Ho_06SubSamp
0.055	Ho_06SubSamp
0.047	Ho_06SubSamp
0.057	Ho_06SubSamp
0.057	Ho_06SubSamp
0.053	Ho_06SubSamp
0.052	Ho_06SubSamp
0.054	Ho_06SubSamp
0.051	Ho_06SubSamp
0.047	Ho_06SubSamp
0.046	Ho_06SubSamp
0.045	Ho_06SubSamp
0.044	Ho_06SubSamp
0.046	Ho_06SubSamp
