PTP_Hs_estimates	Subsampling_group
0.051	Hs_02SubSamp
0.046	Hs_02SubSamp
0.062	Hs_02SubSamp
0.045	Hs_02SubSamp
0.044	Hs_02SubSamp
0.07	Hs_02SubSamp
0.046	Hs_02SubSamp
0.06	Hs_02SubSamp
0.055	Hs_02SubSamp
0.05	Hs_02SubSamp
0.047	Hs_02SubSamp
0.049	Hs_02SubSamp
0.047	Hs_02SubSamp
0.043	Hs_02SubSamp
0.046	Hs_02SubSamp
0.056	Hs_02SubSamp
0.052	Hs_02SubSamp
0.044	Hs_02SubSamp
0.048	Hs_02SubSamp
0.043	Hs_02SubSamp
0.045	Hs_02SubSamp
0.05	Hs_02SubSamp
0.047	Hs_02SubSamp
0.058	Hs_02SubSamp
0.044	Hs_02SubSamp
0.061	Hs_02SubSamp
0.046	Hs_02SubSamp
0.057	Hs_02SubSamp
0.055	Hs_02SubSamp
0.057	Hs_02SubSamp
0.05	Hs_02SubSamp
0.043	Hs_02SubSamp
0.061	Hs_02SubSamp
0.054	Hs_02SubSamp
0.069	Hs_02SubSamp
0.05	Hs_02SubSamp
0.063	Hs_02SubSamp
0.049	Hs_02SubSamp
0.044	Hs_02SubSamp
0.043	Hs_02SubSamp
0.055	Hs_02SubSamp
0.046	Hs_02SubSamp
0.051	Hs_02SubSamp
0.047	Hs_02SubSamp
0.049	Hs_02SubSamp
0.052	Hs_02SubSamp
0.064	Hs_02SubSamp
0.05	Hs_02SubSamp
0.059	Hs_02SubSamp
0.045	Hs_02SubSamp
0.05	Hs_02SubSamp
0.045	Hs_02SubSamp
0.053	Hs_02SubSamp
0.058	Hs_02SubSamp
0.055	Hs_02SubSamp
0.052	Hs_02SubSamp
0.057	Hs_02SubSamp
0.046	Hs_02SubSamp
0.057	Hs_02SubSamp
0.062	Hs_02SubSamp
0.047	Hs_02SubSamp
0.06	Hs_02SubSamp
0.069	Hs_02SubSamp
0.044	Hs_02SubSamp
0.05	Hs_02SubSamp
0.057	Hs_02SubSamp
0.057	Hs_02SubSamp
0.05	Hs_02SubSamp
0.055	Hs_02SubSamp
0.058	Hs_02SubSamp
0.05	Hs_02SubSamp
0.053	Hs_02SubSamp
0.06	Hs_02SubSamp
0.045	Hs_02SubSamp
0.05	Hs_02SubSamp
0.053	Hs_02SubSamp
0.062	Hs_02SubSamp
0.058	Hs_02SubSamp
0.067	Hs_02SubSamp
0.042	Hs_02SubSamp
0.055	Hs_02SubSamp
0.049	Hs_02SubSamp
0.068	Hs_02SubSamp
0.05	Hs_02SubSamp
0.056	Hs_02SubSamp
0.051	Hs_02SubSamp
0.049	Hs_02SubSamp
0.044	Hs_02SubSamp
0.055	Hs_02SubSamp
0.053	Hs_02SubSamp
0.051	Hs_02SubSamp
0.055	Hs_02SubSamp
0.069	Hs_02SubSamp
0.044	Hs_02SubSamp
0.057	Hs_02SubSamp
0.065	Hs_02SubSamp
0.05	Hs_02SubSamp
0.045	Hs_02SubSamp
0.047	Hs_02SubSamp
0.055	Hs_02SubSamp
0.054	Hs_04SubSamp
0.061	Hs_04SubSamp
0.054	Hs_04SubSamp
0.06	Hs_04SubSamp
0.053	Hs_04SubSamp
0.059	Hs_04SubSamp
0.063	Hs_04SubSamp
0.058	Hs_04SubSamp
0.057	Hs_04SubSamp
0.062	Hs_04SubSamp
0.062	Hs_04SubSamp
0.057	Hs_04SubSamp
0.052	Hs_04SubSamp
0.065	Hs_04SubSamp
0.058	Hs_04SubSamp
0.058	Hs_04SubSamp
0.06	Hs_04SubSamp
0.052	Hs_04SubSamp
0.056	Hs_04SubSamp
0.054	Hs_04SubSamp
0.057	Hs_04SubSamp
0.049	Hs_04SubSamp
0.055	Hs_04SubSamp
0.052	Hs_04SubSamp
0.059	Hs_04SubSamp
0.055	Hs_04SubSamp
0.056	Hs_04SubSamp
0.058	Hs_04SubSamp
0.059	Hs_04SubSamp
0.055	Hs_04SubSamp
0.064	Hs_04SubSamp
0.054	Hs_04SubSamp
0.059	Hs_04SubSamp
0.056	Hs_04SubSamp
0.059	Hs_04SubSamp
0.053	Hs_04SubSamp
0.051	Hs_04SubSamp
0.048	Hs_04SubSamp
0.06	Hs_04SubSamp
0.052	Hs_04SubSamp
0.051	Hs_04SubSamp
0.059	Hs_04SubSamp
0.047	Hs_04SubSamp
0.057	Hs_04SubSamp
0.057	Hs_04SubSamp
0.058	Hs_04SubSamp
0.06	Hs_04SubSamp
0.068	Hs_04SubSamp
0.064	Hs_04SubSamp
0.057	Hs_04SubSamp
0.063	Hs_04SubSamp
0.059	Hs_04SubSamp
0.054	Hs_04SubSamp
0.056	Hs_04SubSamp
0.056	Hs_04SubSamp
0.055	Hs_04SubSamp
0.051	Hs_04SubSamp
0.061	Hs_04SubSamp
0.058	Hs_04SubSamp
0.059	Hs_04SubSamp
0.062	Hs_04SubSamp
0.054	Hs_04SubSamp
0.063	Hs_04SubSamp
0.058	Hs_04SubSamp
0.044	Hs_04SubSamp
0.059	Hs_04SubSamp
0.056	Hs_04SubSamp
0.054	Hs_04SubSamp
0.045	Hs_04SubSamp
0.055	Hs_04SubSamp
0.059	Hs_04SubSamp
0.059	Hs_04SubSamp
0.056	Hs_04SubSamp
0.066	Hs_04SubSamp
0.05	Hs_04SubSamp
0.06	Hs_04SubSamp
0.055	Hs_04SubSamp
0.054	Hs_04SubSamp
0.054	Hs_04SubSamp
0.052	Hs_04SubSamp
0.051	Hs_04SubSamp
0.055	Hs_04SubSamp
0.056	Hs_04SubSamp
0.055	Hs_04SubSamp
0.06	Hs_04SubSamp
0.066	Hs_04SubSamp
0.056	Hs_04SubSamp
0.058	Hs_04SubSamp
0.05	Hs_04SubSamp
0.059	Hs_04SubSamp
0.053	Hs_04SubSamp
0.056	Hs_04SubSamp
0.053	Hs_04SubSamp
0.057	Hs_04SubSamp
0.065	Hs_04SubSamp
0.048	Hs_04SubSamp
0.063	Hs_04SubSamp
0.055	Hs_04SubSamp
0.054	Hs_04SubSamp
0.057	Hs_04SubSamp
0.056	Hs_06SubSamp
0.057	Hs_06SubSamp
0.057	Hs_06SubSamp
0.056	Hs_06SubSamp
0.055	Hs_06SubSamp
0.054	Hs_06SubSamp
0.052	Hs_06SubSamp
0.048	Hs_06SubSamp
0.059	Hs_06SubSamp
0.053	Hs_06SubSamp
0.055	Hs_06SubSamp
0.058	Hs_06SubSamp
0.051	Hs_06SubSamp
0.055	Hs_06SubSamp
0.062	Hs_06SubSamp
0.06	Hs_06SubSamp
0.056	Hs_06SubSamp
0.062	Hs_06SubSamp
0.053	Hs_06SubSamp
0.058	Hs_06SubSamp
0.06	Hs_06SubSamp
0.058	Hs_06SubSamp
0.056	Hs_06SubSamp
0.053	Hs_06SubSamp
0.054	Hs_06SubSamp
0.053	Hs_06SubSamp
0.055	Hs_06SubSamp
0.06	Hs_06SubSamp
0.056	Hs_06SubSamp
0.062	Hs_06SubSamp
0.054	Hs_06SubSamp
0.057	Hs_06SubSamp
0.059	Hs_06SubSamp
0.055	Hs_06SubSamp
0.05	Hs_06SubSamp
0.052	Hs_06SubSamp
0.058	Hs_06SubSamp
0.055	Hs_06SubSamp
0.056	Hs_06SubSamp
0.054	Hs_06SubSamp
0.051	Hs_06SubSamp
0.051	Hs_06SubSamp
0.052	Hs_06SubSamp
0.057	Hs_06SubSamp
0.06	Hs_06SubSamp
0.051	Hs_06SubSamp
0.059	Hs_06SubSamp
0.047	Hs_06SubSamp
0.056	Hs_06SubSamp
0.052	Hs_06SubSamp
0.059	Hs_06SubSamp
0.059	Hs_06SubSamp
0.064	Hs_06SubSamp
0.05	Hs_06SubSamp
0.053	Hs_06SubSamp
0.057	Hs_06SubSamp
0.054	Hs_06SubSamp
0.059	Hs_06SubSamp
0.052	Hs_06SubSamp
0.051	Hs_06SubSamp
0.054	Hs_06SubSamp
0.058	Hs_06SubSamp
0.057	Hs_06SubSamp
0.06	Hs_06SubSamp
0.06	Hs_06SubSamp
0.058	Hs_06SubSamp
0.056	Hs_06SubSamp
0.053	Hs_06SubSamp
0.057	Hs_06SubSamp
0.06	Hs_06SubSamp
0.058	Hs_06SubSamp
0.051	Hs_06SubSamp
0.06	Hs_06SubSamp
0.063	Hs_06SubSamp
0.053	Hs_06SubSamp
0.051	Hs_06SubSamp
0.059	Hs_06SubSamp
0.06	Hs_06SubSamp
0.052	Hs_06SubSamp
0.061	Hs_06SubSamp
0.052	Hs_06SubSamp
0.058	Hs_06SubSamp
0.063	Hs_06SubSamp
0.052	Hs_06SubSamp
0.062	Hs_06SubSamp
0.061	Hs_06SubSamp
0.052	Hs_06SubSamp
0.064	Hs_06SubSamp
0.063	Hs_06SubSamp
0.06	Hs_06SubSamp
0.059	Hs_06SubSamp
0.059	Hs_06SubSamp
0.056	Hs_06SubSamp
0.055	Hs_06SubSamp
0.052	Hs_06SubSamp
0.055	Hs_06SubSamp
0.052	Hs_06SubSamp
0.052	Hs_06SubSamp
0.056	Hs_06SubSamp
0.053	Hs_06SubSamp
0.064	Hs_08SubSamp
0.058	Hs_08SubSamp
0.057	Hs_08SubSamp
0.058	Hs_08SubSamp
0.056	Hs_08SubSamp
0.054	Hs_08SubSamp
0.056	Hs_08SubSamp
0.059	Hs_08SubSamp
0.055	Hs_08SubSamp
0.058	Hs_08SubSamp
0.056	Hs_08SubSamp
0.057	Hs_08SubSamp
0.059	Hs_08SubSamp
0.057	Hs_08SubSamp
0.06	Hs_08SubSamp
0.063	Hs_08SubSamp
0.057	Hs_08SubSamp
0.061	Hs_08SubSamp
0.059	Hs_08SubSamp
0.056	Hs_08SubSamp
0.056	Hs_08SubSamp
0.058	Hs_08SubSamp
0.061	Hs_08SubSamp
0.055	Hs_08SubSamp
0.056	Hs_08SubSamp
0.057	Hs_08SubSamp
0.056	Hs_08SubSamp
0.055	Hs_08SubSamp
0.056	Hs_08SubSamp
0.057	Hs_08SubSamp
0.059	Hs_08SubSamp
0.056	Hs_08SubSamp
0.06	Hs_08SubSamp
0.057	Hs_08SubSamp
0.054	Hs_08SubSamp
0.054	Hs_08SubSamp
0.06	Hs_08SubSamp
0.052	Hs_08SubSamp
0.055	Hs_08SubSamp
0.062	Hs_08SubSamp
0.057	Hs_08SubSamp
0.056	Hs_08SubSamp
0.059	Hs_08SubSamp
0.054	Hs_08SubSamp
0.058	Hs_08SubSamp
0.051	Hs_08SubSamp
0.055	Hs_08SubSamp
0.057	Hs_08SubSamp
0.053	Hs_08SubSamp
0.064	Hs_08SubSamp
0.055	Hs_08SubSamp
0.063	Hs_08SubSamp
0.056	Hs_08SubSamp
0.06	Hs_08SubSamp
0.056	Hs_08SubSamp
0.055	Hs_08SubSamp
0.059	Hs_08SubSamp
0.059	Hs_08SubSamp
0.056	Hs_08SubSamp
0.051	Hs_08SubSamp
0.052	Hs_08SubSamp
0.054	Hs_08SubSamp
0.054	Hs_08SubSamp
0.057	Hs_08SubSamp
0.06	Hs_08SubSamp
0.06	Hs_08SubSamp
0.058	Hs_08SubSamp
0.056	Hs_08SubSamp
0.054	Hs_08SubSamp
0.057	Hs_08SubSamp
0.054	Hs_08SubSamp
0.055	Hs_08SubSamp
0.05	Hs_08SubSamp
0.053	Hs_08SubSamp
0.051	Hs_08SubSamp
0.055	Hs_08SubSamp
0.056	Hs_08SubSamp
0.056	Hs_08SubSamp
0.058	Hs_08SubSamp
0.06	Hs_08SubSamp
0.056	Hs_08SubSamp
0.054	Hs_08SubSamp
0.058	Hs_08SubSamp
0.06	Hs_08SubSamp
0.062	Hs_08SubSamp
0.052	Hs_08SubSamp
0.063	Hs_08SubSamp
0.055	Hs_08SubSamp
0.06	Hs_08SubSamp
0.056	Hs_08SubSamp
0.059	Hs_08SubSamp
0.057	Hs_08SubSamp
0.052	Hs_08SubSamp
0.061	Hs_08SubSamp
0.057	Hs_08SubSamp
0.053	Hs_08SubSamp
0.06	Hs_08SubSamp
0.054	Hs_08SubSamp
0.055	Hs_08SubSamp
0.058	Hs_08SubSamp
0.052	Hs_10SubSamp
0.055	Hs_10SubSamp
0.056	Hs_10SubSamp
0.059	Hs_10SubSamp
0.056	Hs_10SubSamp
0.06	Hs_10SubSamp
0.054	Hs_10SubSamp
0.055	Hs_10SubSamp
0.057	Hs_10SubSamp
0.053	Hs_10SubSamp
0.055	Hs_10SubSamp
0.053	Hs_10SubSamp
0.054	Hs_10SubSamp
0.059	Hs_10SubSamp
0.054	Hs_10SubSamp
0.058	Hs_10SubSamp
0.058	Hs_10SubSamp
0.052	Hs_10SubSamp
0.058	Hs_10SubSamp
0.062	Hs_10SubSamp
0.056	Hs_10SubSamp
0.053	Hs_10SubSamp
0.054	Hs_10SubSamp
0.059	Hs_10SubSamp
0.054	Hs_10SubSamp
0.057	Hs_10SubSamp
0.055	Hs_10SubSamp
0.057	Hs_10SubSamp
0.058	Hs_10SubSamp
0.054	Hs_10SubSamp
0.059	Hs_10SubSamp
0.059	Hs_10SubSamp
0.059	Hs_10SubSamp
0.058	Hs_10SubSamp
0.056	Hs_10SubSamp
0.058	Hs_10SubSamp
0.052	Hs_10SubSamp
0.055	Hs_10SubSamp
0.054	Hs_10SubSamp
0.055	Hs_10SubSamp
0.059	Hs_10SubSamp
0.055	Hs_10SubSamp
0.055	Hs_10SubSamp
0.054	Hs_10SubSamp
0.059	Hs_10SubSamp
0.059	Hs_10SubSamp
0.058	Hs_10SubSamp
0.055	Hs_10SubSamp
0.052	Hs_10SubSamp
0.054	Hs_10SubSamp
0.061	Hs_10SubSamp
0.056	Hs_10SubSamp
0.056	Hs_10SubSamp
0.054	Hs_10SubSamp
0.056	Hs_10SubSamp
0.054	Hs_10SubSamp
0.057	Hs_10SubSamp
0.058	Hs_10SubSamp
0.057	Hs_10SubSamp
0.059	Hs_10SubSamp
0.057	Hs_10SubSamp
0.057	Hs_10SubSamp
0.054	Hs_10SubSamp
0.056	Hs_10SubSamp
