STT_Gis_estimates	Subsampling_group
0.183	Gis_02SubSamp
0.074	Gis_02SubSamp
0.034	Gis_02SubSamp
0.12	Gis_02SubSamp
0.1	Gis_02SubSamp
0.118	Gis_02SubSamp
0.162	Gis_02SubSamp
0.157	Gis_02SubSamp
-0.015	Gis_02SubSamp
0.176	Gis_02SubSamp
0.114	Gis_02SubSamp
0.064	Gis_02SubSamp
0.186	Gis_02SubSamp
0.201	Gis_02SubSamp
0.124	Gis_02SubSamp
0.029	Gis_02SubSamp
0.023	Gis_02SubSamp
0.023	Gis_02SubSamp
0.107	Gis_02SubSamp
0.083	Gis_02SubSamp
0.146	Gis_02SubSamp
0.068	Gis_02SubSamp
0.114	Gis_02SubSamp
0.092	Gis_02SubSamp
0.201	Gis_02SubSamp
0.025	Gis_02SubSamp
0.177	Gis_02SubSamp
0.132	Gis_02SubSamp
0.041	Gis_02SubSamp
0.03	Gis_02SubSamp
0.1	Gis_02SubSamp
0.091	Gis_02SubSamp
0.064	Gis_02SubSamp
-0.05	Gis_02SubSamp
0.023	Gis_02SubSamp
0.097	Gis_02SubSamp
0.078	Gis_02SubSamp
0.042	Gis_02SubSamp
0.153	Gis_02SubSamp
0.028	Gis_02SubSamp
0.146	Gis_02SubSamp
0.056	Gis_02SubSamp
0.085	Gis_02SubSamp
0.059	Gis_02SubSamp
0.122	Gis_02SubSamp
0.069	Gis_02SubSamp
0.041	Gis_02SubSamp
0.041	Gis_02SubSamp
0.114	Gis_02SubSamp
0.125	Gis_02SubSamp
-0.005	Gis_02SubSamp
0.147	Gis_02SubSamp
-0.002	Gis_02SubSamp
0.046	Gis_02SubSamp
0.127	Gis_02SubSamp
0.034	Gis_02SubSamp
0.146	Gis_02SubSamp
-0.002	Gis_02SubSamp
0.059	Gis_02SubSamp
0.193	Gis_02SubSamp
0.193	Gis_02SubSamp
0.153	Gis_02SubSamp
0.025	Gis_02SubSamp
0.079	Gis_02SubSamp
0.072	Gis_02SubSamp
0.213	Gis_02SubSamp
0.072	Gis_02SubSamp
0.18	Gis_02SubSamp
0.055	Gis_02SubSamp
0.081	Gis_02SubSamp
0.051	Gis_02SubSamp
0.132	Gis_02SubSamp
0.176	Gis_02SubSamp
-0.042	Gis_02SubSamp
-0.007	Gis_02SubSamp
0.114	Gis_02SubSamp
0.079	Gis_02SubSamp
0.212	Gis_02SubSamp
0.198	Gis_02SubSamp
0.102	Gis_02SubSamp
-0.05	Gis_02SubSamp
0.077	Gis_02SubSamp
0.056	Gis_02SubSamp
-0.03	Gis_02SubSamp
0.198	Gis_02SubSamp
0.197	Gis_02SubSamp
0.047	Gis_02SubSamp
0.079	Gis_02SubSamp
0.094	Gis_02SubSamp
0.024	Gis_02SubSamp
0.097	Gis_02SubSamp
0.134	Gis_02SubSamp
0.084	Gis_02SubSamp
0.074	Gis_02SubSamp
0.158	Gis_02SubSamp
0.05	Gis_02SubSamp
0.118	Gis_02SubSamp
0.137	Gis_02SubSamp
0.101	Gis_02SubSamp
0.003	Gis_02SubSamp
0.019	Gis_04SubSamp
0.101	Gis_04SubSamp
0.159	Gis_04SubSamp
0.045	Gis_04SubSamp
0.159	Gis_04SubSamp
0.19	Gis_04SubSamp
0.151	Gis_04SubSamp
0.098	Gis_04SubSamp
0.07	Gis_04SubSamp
0.035	Gis_04SubSamp
0.142	Gis_04SubSamp
0.083	Gis_04SubSamp
0.06	Gis_04SubSamp
-0.006	Gis_04SubSamp
0.114	Gis_04SubSamp
0.082	Gis_04SubSamp
