STT_Ho_estimates	Subsampling_group
0.088	Ho_02SubSamp
0.117	Ho_02SubSamp
0.111	Ho_02SubSamp
0.11	Ho_02SubSamp
0.126	Ho_02SubSamp
0.108	Ho_02SubSamp
0.097	Ho_02SubSamp
0.09	Ho_02SubSamp
0.148	Ho_02SubSamp
0.089	Ho_02SubSamp
0.123	Ho_02SubSamp
0.11	Ho_02SubSamp
0.084	Ho_02SubSamp
0.081	Ho_02SubSamp
0.102	Ho_02SubSamp
0.138	Ho_02SubSamp
0.126	Ho_02SubSamp
0.119	Ho_02SubSamp
0.102	Ho_02SubSamp
0.101	Ho_02SubSamp
0.088	Ho_02SubSamp
0.125	Ho_02SubSamp
0.11	Ho_02SubSamp
0.115	Ho_02SubSamp
0.081	Ho_02SubSamp
0.132	Ho_02SubSamp
0.092	Ho_02SubSamp
0.095	Ho_02SubSamp
0.124	Ho_02SubSamp
0.116	Ho_02SubSamp
0.126	Ho_02SubSamp
0.115	Ho_02SubSamp
0.106	Ho_02SubSamp
0.156	Ho_02SubSamp
0.141	Ho_02SubSamp
0.093	Ho_02SubSamp
0.103	Ho_02SubSamp
0.119	Ho_02SubSamp
0.096	Ho_02SubSamp
0.129	Ho_02SubSamp
0.116	Ho_02SubSamp
0.124	Ho_02SubSamp
0.114	Ho_02SubSamp
0.113	Ho_02SubSamp
0.094	Ho_02SubSamp
0.113	Ho_02SubSamp
0.128	Ho_02SubSamp
0.124	Ho_02SubSamp
0.123	Ho_02SubSamp
0.11	Ho_02SubSamp
0.128	Ho_02SubSamp
0.094	Ho_02SubSamp
0.11	Ho_02SubSamp
0.145	Ho_02SubSamp
0.101	Ho_02SubSamp
0.12	Ho_02SubSamp
0.088	Ho_02SubSamp
0.152	Ho_02SubSamp
0.113	Ho_02SubSamp
0.085	Ho_02SubSamp
0.085	Ho_02SubSamp
0.1	Ho_02SubSamp
0.13	Ho_02SubSamp
0.11	Ho_02SubSamp
0.126	Ho_02SubSamp
0.081	Ho_02SubSamp
0.126	Ho_02SubSamp
0.09	Ho_02SubSamp
0.116	Ho_02SubSamp
0.112	Ho_02SubSamp
0.104	Ho_02SubSamp
0.095	Ho_02SubSamp
0.08	Ho_02SubSamp
0.148	Ho_02SubSamp
0.134	Ho_02SubSamp
0.123	Ho_02SubSamp
0.11	Ho_02SubSamp
0.084	Ho_02SubSamp
0.083	Ho_02SubSamp
0.105	Ho_02SubSamp
0.156	Ho_02SubSamp
0.126	Ho_02SubSamp
0.124	Ho_02SubSamp
0.137	Ho_02SubSamp
0.083	Ho_02SubSamp
0.08	Ho_02SubSamp
0.099	Ho_02SubSamp
0.11	Ho_02SubSamp
0.108	Ho_02SubSamp
0.128	Ho_02SubSamp
0.11	Ho_02SubSamp
0.086	Ho_02SubSamp
0.099	Ho_02SubSamp
0.117	Ho_02SubSamp
0.096	Ho_02SubSamp
0.141	Ho_02SubSamp
0.108	Ho_02SubSamp
0.094	Ho_02SubSamp
0.099	Ho_02SubSamp
0.128	Ho_02SubSamp
0.125	Ho_04SubSamp
0.112	Ho_04SubSamp
0.095	Ho_04SubSamp
0.124	Ho_04SubSamp
0.1	Ho_04SubSamp
0.086	Ho_04SubSamp
0.097	Ho_04SubSamp
0.113	Ho_04SubSamp
0.111	Ho_04SubSamp
0.13	Ho_04SubSamp
0.097	Ho_04SubSamp
0.113	Ho_04SubSamp
0.124	Ho_04SubSamp
0.137	Ho_04SubSamp
0.108	Ho_04SubSamp
0.107	Ho_04SubSamp
0.131	Ho_04SubSamp
0.128	Ho_04SubSamp
0.082	Ho_04SubSamp
0.102	Ho_04SubSamp
0.114	Ho_04SubSamp
0.131	Ho_04SubSamp
0.121	Ho_04SubSamp
0.113	Ho_04SubSamp
0.125	Ho_04SubSamp
0.114	Ho_04SubSamp
0.096	Ho_04SubSamp
0.125	Ho_04SubSamp
0.088	Ho_04SubSamp
0.109	Ho_04SubSamp
0.11	Ho_04SubSamp
0.092	Ho_04SubSamp
0.102	Ho_04SubSamp
0.098	Ho_04SubSamp
0.114	Ho_04SubSamp
0.108	Ho_04SubSamp
0.108	Ho_04SubSamp
0.104	Ho_04SubSamp
0.103	Ho_04SubSamp
0.12	Ho_04SubSamp
0.125	Ho_04SubSamp
0.118	Ho_04SubSamp
0.099	Ho_04SubSamp
0.135	Ho_04SubSamp
0.089	Ho_04SubSamp
0.104	Ho_04SubSamp
0.1	Ho_04SubSamp
0.114	Ho_04SubSamp
0.09	Ho_04SubSamp
0.111	Ho_04SubSamp
0.107	Ho_04SubSamp
0.124	Ho_04SubSamp
0.117	Ho_04SubSamp
0.137	Ho_04SubSamp
0.095	Ho_04SubSamp
0.125	Ho_04SubSamp
0.129	Ho_04SubSamp
0.102	Ho_04SubSamp
0.097	Ho_04SubSamp
0.111	Ho_04SubSamp
0.106	Ho_04SubSamp
0.12	Ho_04SubSamp
0.121	Ho_04SubSamp
0.125	Ho_04SubSamp
0.139	Ho_04SubSamp
0.127	Ho_04SubSamp
0.117	Ho_04SubSamp
0.11	Ho_04SubSamp
0.116	Ho_04SubSamp
0.097	Ho_04SubSamp
0.125	Ho_04SubSamp
0.126	Ho_04SubSamp
0.13	Ho_04SubSamp
0.124	Ho_04SubSamp
0.113	Ho_04SubSamp
0.112	Ho_04SubSamp
0.115	Ho_04SubSamp
0.114	Ho_04SubSamp
0.138	Ho_04SubSamp
0.129	Ho_04SubSamp
0.107	Ho_04SubSamp
0.122	Ho_04SubSamp
0.101	Ho_04SubSamp
0.126	Ho_04SubSamp
0.123	Ho_04SubSamp
0.117	Ho_04SubSamp
0.104	Ho_04SubSamp
0.108	Ho_04SubSamp
0.099	Ho_04SubSamp
0.11	Ho_04SubSamp
0.116	Ho_04SubSamp
0.126	Ho_04SubSamp
0.107	Ho_04SubSamp
0.116	Ho_04SubSamp
0.107	Ho_04SubSamp
