STT_Hs_estimates	Subsampling_group
0.108	Hs_02SubSamp
0.127	Hs_02SubSamp
0.115	Hs_02SubSamp
0.125	Hs_02SubSamp
0.14	Hs_02SubSamp
0.122	Hs_02SubSamp
0.116	Hs_02SubSamp
0.106	Hs_02SubSamp
0.146	Hs_02SubSamp
0.108	Hs_02SubSamp
0.139	Hs_02SubSamp
0.118	Hs_02SubSamp
0.104	Hs_02SubSamp
0.102	Hs_02SubSamp
0.117	Hs_02SubSamp
0.142	Hs_02SubSamp
0.129	Hs_02SubSamp
0.122	Hs_02SubSamp
0.114	Hs_02SubSamp
0.11	Hs_02SubSamp
0.103	Hs_02SubSamp
0.134	Hs_02SubSamp
0.124	Hs_02SubSamp
0.127	Hs_02SubSamp
0.102	Hs_02SubSamp
0.135	Hs_02SubSamp
0.112	Hs_02SubSamp
0.109	Hs_02SubSamp
0.129	Hs_02SubSamp
0.12	Hs_02SubSamp
0.14	Hs_02SubSamp
0.126	Hs_02SubSamp
0.114	Hs_02SubSamp
0.149	Hs_02SubSamp
0.144	Hs_02SubSamp
0.102	Hs_02SubSamp
0.111	Hs_02SubSamp
0.124	Hs_02SubSamp
0.114	Hs_02SubSamp
0.132	Hs_02SubSamp
0.136	Hs_02SubSamp
0.132	Hs_02SubSamp
0.125	Hs_02SubSamp
0.12	Hs_02SubSamp
0.107	Hs_02SubSamp
0.121	Hs_02SubSamp
0.134	Hs_02SubSamp
0.129	Hs_02SubSamp
0.139	Hs_02SubSamp
0.126	Hs_02SubSamp
0.128	Hs_02SubSamp
0.11	Hs_02SubSamp
0.11	Hs_02SubSamp
0.152	Hs_02SubSamp
0.115	Hs_02SubSamp
0.124	Hs_02SubSamp
0.103	Hs_02SubSamp
0.152	Hs_02SubSamp
0.12	Hs_02SubSamp
0.105	Hs_02SubSamp
0.105	Hs_02SubSamp
0.118	Hs_02SubSamp
0.134	Hs_02SubSamp
0.119	Hs_02SubSamp
0.136	Hs_02SubSamp
0.102	Hs_02SubSamp
0.136	Hs_02SubSamp
0.11	Hs_02SubSamp
0.123	Hs_02SubSamp
0.121	Hs_02SubSamp
0.11	Hs_02SubSamp
0.109	Hs_02SubSamp
0.097	Hs_02SubSamp
0.142	Hs_02SubSamp
0.133	Hs_02SubSamp
0.139	Hs_02SubSamp
0.119	Hs_02SubSamp
0.107	Hs_02SubSamp
0.104	Hs_02SubSamp
0.117	Hs_02SubSamp
0.149	Hs_02SubSamp
0.137	Hs_02SubSamp
0.132	Hs_02SubSamp
0.133	Hs_02SubSamp
0.104	Hs_02SubSamp
0.1	Hs_02SubSamp
0.104	Hs_02SubSamp
0.119	Hs_02SubSamp
0.119	Hs_02SubSamp
0.131	Hs_02SubSamp
0.122	Hs_02SubSamp
0.099	Hs_02SubSamp
0.108	Hs_02SubSamp
0.127	Hs_02SubSamp
0.115	Hs_02SubSamp
0.148	Hs_02SubSamp
0.122	Hs_02SubSamp
0.108	Hs_02SubSamp
0.11	Hs_02SubSamp
0.128	Hs_02SubSamp
0.128	Hs_04SubSamp
0.124	Hs_04SubSamp
0.113	Hs_04SubSamp
0.13	Hs_04SubSamp
0.119	Hs_04SubSamp
0.107	Hs_04SubSamp
0.114	Hs_04SubSamp
0.125	Hs_04SubSamp
0.12	Hs_04SubSamp
0.134	Hs_04SubSamp
0.114	Hs_04SubSamp
0.123	Hs_04SubSamp
0.132	Hs_04SubSamp
0.137	Hs_04SubSamp
0.122	Hs_04SubSamp
0.117	Hs_04SubSamp
0.137	Hs_04SubSamp
0.133	Hs_04SubSamp
0.105	Hs_04SubSamp
0.116	Hs_04SubSamp
0.124	Hs_04SubSamp
0.134	Hs_04SubSamp
0.127	Hs_04SubSamp
0.124	Hs_04SubSamp
0.131	Hs_04SubSamp
0.129	Hs_04SubSamp
0.113	Hs_04SubSamp
0.133	Hs_04SubSamp
0.105	Hs_04SubSamp
0.122	Hs_04SubSamp
0.126	Hs_04SubSamp
0.112	Hs_04SubSamp
0.112	Hs_04SubSamp
0.114	Hs_04SubSamp
0.124	Hs_04SubSamp
0.119	Hs_04SubSamp
0.12	Hs_04SubSamp
0.115	Hs_04SubSamp
0.117	Hs_04SubSamp
0.124	Hs_04SubSamp
