TGCP_Gis_estimates	Subsampling_group
-0.003	Gis_02SubSamp
0.051	Gis_02SubSamp
-0.059	Gis_02SubSamp
0.044	Gis_02SubSamp
-0.003	Gis_02SubSamp
-0.034	Gis_02SubSamp
0.078	Gis_02SubSamp
-0.024	Gis_02SubSamp
-0.02	Gis_02SubSamp
0.028	Gis_02SubSamp
0.072	Gis_02SubSamp
-0.033	Gis_02SubSamp
-0.027	Gis_02SubSamp
0.013	Gis_02SubSamp
-0.029	Gis_02SubSamp
0.087	Gis_02SubSamp
-0.036	Gis_02SubSamp
-0.007	Gis_02SubSamp
0.048	Gis_02SubSamp
0.028	Gis_02SubSamp
0.023	Gis_02SubSamp
0.034	Gis_02SubSamp
0.05	Gis_02SubSamp
0.047	Gis_02SubSamp
-0.001	Gis_02SubSamp
0.07	Gis_02SubSamp
0.036	Gis_02SubSamp
-0.06	Gis_02SubSamp
0.04	Gis_02SubSamp
0.017	Gis_02SubSamp
0.037	Gis_02SubSamp
0.003	Gis_02SubSamp
0.038	Gis_02SubSamp
0.022	Gis_02SubSamp
-0.014	Gis_02SubSamp
0.022	Gis_02SubSamp
-0.04	Gis_02SubSamp
0.011	Gis_02SubSamp
-0.023	Gis_02SubSamp
-0.006	Gis_02SubSamp
-0.012	Gis_02SubSamp
-0.005	Gis_02SubSamp
-0.001	Gis_02SubSamp
-0.022	Gis_02SubSamp
0.04	Gis_02SubSamp
0.028	Gis_02SubSamp
0.01	Gis_02SubSamp
-0.074	Gis_02SubSamp
0.079	Gis_02SubSamp
0.074	Gis_02SubSamp
-0.005	Gis_02SubSamp
0.013	Gis_02SubSamp
-0.064	Gis_02SubSamp
0	Gis_02SubSamp
0.051	Gis_02SubSamp
0.047	Gis_02SubSamp
-0.022	Gis_02SubSamp
0.041	Gis_02SubSamp
0.043	Gis_02SubSamp
-0.064	Gis_02SubSamp
0.037	Gis_02SubSamp
0.019	Gis_02SubSamp
-0.035	Gis_02SubSamp
-0.033	Gis_02SubSamp
0.014	Gis_02SubSamp
0.033	Gis_02SubSamp
0.069	Gis_02SubSamp
0.006	Gis_02SubSamp
-0.031	Gis_02SubSamp
-0.048	Gis_02SubSamp
-0.083	Gis_02SubSamp
0.019	Gis_02SubSamp
-0.009	Gis_02SubSamp
-0.008	Gis_02SubSamp
-0.008	Gis_02SubSamp
0.041	Gis_02SubSamp
0.047	Gis_02SubSamp
0.027	Gis_02SubSamp
0.001	Gis_02SubSamp
0.035	Gis_02SubSamp
0.041	Gis_02SubSamp
0.079	Gis_02SubSamp
-0.023	Gis_02SubSamp
-0.041	Gis_02SubSamp
0.053	Gis_02SubSamp
0.086	Gis_02SubSamp
0.041	Gis_02SubSamp
0.054	Gis_02SubSamp
-0.057	Gis_02SubSamp
-0.027	Gis_02SubSamp
-0.04	Gis_02SubSamp
0.086	Gis_02SubSamp
0.032	Gis_02SubSamp
0.038	Gis_02SubSamp
-0.066	Gis_02SubSamp
-0.086	Gis_02SubSamp
-0.064	Gis_02SubSamp
0.002	Gis_02SubSamp
-0.012	Gis_02SubSamp
0.016	Gis_02SubSamp
0	Gis_04SubSamp
0.067	Gis_04SubSamp
0.02	Gis_04SubSamp
0.014	Gis_04SubSamp
0.031	Gis_04SubSamp
-0.027	Gis_04SubSamp
0.019	Gis_04SubSamp
-0.027	Gis_04SubSamp
-0.009	Gis_04SubSamp
-0.009	Gis_04SubSamp
-0.01	Gis_04SubSamp
0.032	Gis_04SubSamp
0.023	Gis_04SubSamp
-0.005	Gis_04SubSamp
0	Gis_04SubSamp
0.022	Gis_04SubSamp
0.051	Gis_04SubSamp
-0.01	Gis_04SubSamp
0.005	Gis_04SubSamp
0.068	Gis_04SubSamp
0.012	Gis_04SubSamp
0.008	Gis_04SubSamp
0.004	Gis_04SubSamp
0.036	Gis_04SubSamp
0	Gis_04SubSamp
0.024	Gis_04SubSamp
0	Gis_04SubSamp
0.018	Gis_04SubSamp
0.014	Gis_04SubSamp
-0.017	Gis_04SubSamp
0.006	Gis_04SubSamp
0.052	Gis_04SubSamp
0.034	Gis_04SubSamp
0.002	Gis_04SubSamp
-0.013	Gis_04SubSamp
0.062	Gis_04SubSamp
0.025	Gis_04SubSamp
-0.011	Gis_04SubSamp
0.005	Gis_04SubSamp
-0.003	Gis_04SubSamp
0.003	Gis_04SubSamp
-0.045	Gis_04SubSamp
0.011	Gis_04SubSamp
-0.029	Gis_04SubSamp
0.013	Gis_04SubSamp
0.024	Gis_04SubSamp
0.023	Gis_04SubSamp
-0.013	Gis_04SubSamp
-0.006	Gis_04SubSamp
0.027	Gis_04SubSamp
-0.021	Gis_04SubSamp
0.012	Gis_04SubSamp
0.015	Gis_04SubSamp
0.034	Gis_04SubSamp
-0.02	Gis_04SubSamp
-0.018	Gis_04SubSamp
0.037	Gis_04SubSamp
0.005	Gis_04SubSamp
0.002	Gis_04SubSamp
-0.056	Gis_04SubSamp
-0.011	Gis_04SubSamp
-0.012	Gis_04SubSamp
0.034	Gis_04SubSamp
-0.024	Gis_04SubSamp
-0.033	Gis_04SubSamp
0.063	Gis_04SubSamp
-0.007	Gis_04SubSamp
0.02	Gis_04SubSamp
0.053	Gis_04SubSamp
-0.001	Gis_04SubSamp
-0.011	Gis_04SubSamp
0.026	Gis_04SubSamp
0.019	Gis_04SubSamp
0.011	Gis_04SubSamp
0.03	Gis_04SubSamp
0.055	Gis_04SubSamp
0.048	Gis_04SubSamp
-0.007	Gis_04SubSamp
-0.011	Gis_04SubSamp
-0.003	Gis_04SubSamp
0.024	Gis_04SubSamp
-0.033	Gis_04SubSamp
-0.018	Gis_04SubSamp
0.008	Gis_04SubSamp
-0.002	Gis_04SubSamp
0.015	Gis_04SubSamp
0.011	Gis_04SubSamp
