TGCP_Ho_estimates	Subsampling_group
0.142	Ho_02SubSamp
0.145	Ho_02SubSamp
0.16	Ho_02SubSamp
0.152	Ho_02SubSamp
0.149	Ho_02SubSamp
0.159	Ho_02SubSamp
0.142	Ho_02SubSamp
0.147	Ho_02SubSamp
0.149	Ho_02SubSamp
0.149	Ho_02SubSamp
0.142	Ho_02SubSamp
0.163	Ho_02SubSamp
0.166	Ho_02SubSamp
0.139	Ho_02SubSamp
0.164	Ho_02SubSamp
0.142	Ho_02SubSamp
0.157	Ho_02SubSamp
0.159	Ho_02SubSamp
0.145	Ho_02SubSamp
0.149	Ho_02SubSamp
0.133	Ho_02SubSamp
0.159	Ho_02SubSamp
0.147	Ho_02SubSamp
0.15	Ho_02SubSamp
0.161	Ho_02SubSamp
0.168	Ho_02SubSamp
0.147	Ho_02SubSamp
0.164	Ho_02SubSamp
0.147	Ho_02SubSamp
0.142	Ho_02SubSamp
0.134	Ho_02SubSamp
0.164	Ho_02SubSamp
0.146	Ho_02SubSamp
0.157	Ho_02SubSamp
0.18	Ho_02SubSamp
0.157	Ho_02SubSamp
0.148	Ho_02SubSamp
0.148	Ho_02SubSamp
0.144	Ho_02SubSamp
0.154	Ho_02SubSamp
0.15	Ho_02SubSamp
0.146	Ho_02SubSamp
0.161	Ho_02SubSamp
0.155	Ho_02SubSamp
0.135	Ho_02SubSamp
0.149	Ho_02SubSamp
0.151	Ho_02SubSamp
0.156	Ho_02SubSamp
0.154	Ho_02SubSamp
0.155	Ho_02SubSamp
0.149	Ho_02SubSamp
0.15	Ho_02SubSamp
0.154	Ho_02SubSamp
0.159	Ho_02SubSamp
0.156	Ho_02SubSamp
0.143	Ho_02SubSamp
0.146	Ho_02SubSamp
0.145	Ho_02SubSamp
0.146	Ho_02SubSamp
0.154	Ho_02SubSamp
0.142	Ho_02SubSamp
0.149	Ho_02SubSamp
0.161	Ho_02SubSamp
0.163	Ho_02SubSamp
0.146	Ho_02SubSamp
0.141	Ho_02SubSamp
0.164	Ho_02SubSamp
0.151	Ho_02SubSamp
0.142	Ho_02SubSamp
0.166	Ho_02SubSamp
0.145	Ho_02SubSamp
0.152	Ho_02SubSamp
0.15	Ho_02SubSamp
0.139	Ho_02SubSamp
0.139	Ho_02SubSamp
0.144	Ho_02SubSamp
0.15	Ho_02SubSamp
0.148	Ho_02SubSamp
0.154	Ho_02SubSamp
0.144	Ho_02SubSamp
0.144	Ho_02SubSamp
0.151	Ho_02SubSamp
0.144	Ho_02SubSamp
0.168	Ho_02SubSamp
0.151	Ho_02SubSamp
0.136	Ho_02SubSamp
0.144	Ho_02SubSamp
0.151	Ho_02SubSamp
0.16	Ho_02SubSamp
0.166	Ho_02SubSamp
0.139	Ho_02SubSamp
0.136	Ho_02SubSamp
0.143	Ho_02SubSamp
0.146	Ho_02SubSamp
0.166	Ho_02SubSamp
0.147	Ho_02SubSamp
0.154	Ho_02SubSamp
0.144	Ho_02SubSamp
0.148	Ho_02SubSamp
0.15	Ho_02SubSamp
0.15	Ho_04SubSamp
0.141	Ho_04SubSamp
0.158	Ho_04SubSamp
0.147	Ho_04SubSamp
0.159	Ho_04SubSamp
0.165	Ho_04SubSamp
0.151	Ho_04SubSamp
0.155	Ho_04SubSamp
0.158	Ho_04SubSamp
0.158	Ho_04SubSamp
0.151	Ho_04SubSamp
0.152	Ho_04SubSamp
0.151	Ho_04SubSamp
0.16	Ho_04SubSamp
0.157	Ho_04SubSamp
0.155	Ho_04SubSamp
0.155	Ho_04SubSamp
