TGCP_Hs_estimates	Subsampling_group
0.141	Hs_02SubSamp
0.152	Hs_02SubSamp
0.151	Hs_02SubSamp
0.159	Hs_02SubSamp
0.148	Hs_02SubSamp
0.153	Hs_02SubSamp
0.154	Hs_02SubSamp
0.144	Hs_02SubSamp
0.146	Hs_02SubSamp
0.153	Hs_02SubSamp
0.153	Hs_02SubSamp
0.158	Hs_02SubSamp
0.161	Hs_02SubSamp
0.141	Hs_02SubSamp
0.16	Hs_02SubSamp
0.155	Hs_02SubSamp
0.151	Hs_02SubSamp
0.158	Hs_02SubSamp
0.152	Hs_02SubSamp
0.153	Hs_02SubSamp
0.136	Hs_02SubSamp
0.165	Hs_02SubSamp
0.155	Hs_02SubSamp
0.157	Hs_02SubSamp
0.161	Hs_02SubSamp
0.18	Hs_02SubSamp
0.153	Hs_02SubSamp
0.155	Hs_02SubSamp
0.153	Hs_02SubSamp
0.145	Hs_02SubSamp
0.139	Hs_02SubSamp
0.164	Hs_02SubSamp
0.151	Hs_02SubSamp
0.16	Hs_02SubSamp
0.178	Hs_02SubSamp
0.16	Hs_02SubSamp
0.143	Hs_02SubSamp
0.15	Hs_02SubSamp
0.141	Hs_02SubSamp
0.153	Hs_02SubSamp
0.148	Hs_02SubSamp
0.146	Hs_02SubSamp
0.161	Hs_02SubSamp
0.151	Hs_02SubSamp
0.141	Hs_02SubSamp
0.153	Hs_02SubSamp
0.153	Hs_02SubSamp
0.145	Hs_02SubSamp
0.167	Hs_02SubSamp
0.167	Hs_02SubSamp
0.148	Hs_02SubSamp
0.152	Hs_02SubSamp
0.145	Hs_02SubSamp
0.159	Hs_02SubSamp
0.164	Hs_02SubSamp
0.15	Hs_02SubSamp
0.143	Hs_02SubSamp
0.151	Hs_02SubSamp
0.152	Hs_02SubSamp
0.145	Hs_02SubSamp
0.148	Hs_02SubSamp
0.152	Hs_02SubSamp
0.155	Hs_02SubSamp
0.157	Hs_02SubSamp
0.148	Hs_02SubSamp
0.146	Hs_02SubSamp
0.176	Hs_02SubSamp
0.152	Hs_02SubSamp
0.138	Hs_02SubSamp
0.158	Hs_02SubSamp
0.134	Hs_02SubSamp
0.155	Hs_02SubSamp
0.149	Hs_02SubSamp
0.138	Hs_02SubSamp
0.138	Hs_02SubSamp
0.15	Hs_02SubSamp
0.157	Hs_02SubSamp
0.152	Hs_02SubSamp
0.155	Hs_02SubSamp
0.15	Hs_02SubSamp
0.15	Hs_02SubSamp
0.164	Hs_02SubSamp
0.141	Hs_02SubSamp
0.162	Hs_02SubSamp
0.16	Hs_02SubSamp
0.149	Hs_02SubSamp
0.15	Hs_02SubSamp
0.159	Hs_02SubSamp
0.151	Hs_02SubSamp
0.161	Hs_02SubSamp
0.134	Hs_02SubSamp
0.149	Hs_02SubSamp
0.147	Hs_02SubSamp
0.151	Hs_02SubSamp
0.155	Hs_02SubSamp
0.136	Hs_02SubSamp
0.145	Hs_02SubSamp
0.144	Hs_02SubSamp
0.146	Hs_02SubSamp
0.152	Hs_02SubSamp
0.15	Hs_04SubSamp
0.151	Hs_04SubSamp
0.161	Hs_04SubSamp
0.149	Hs_04SubSamp
0.164	Hs_04SubSamp
0.16	Hs_04SubSamp
0.154	Hs_04SubSamp
0.151	Hs_04SubSamp
0.156	Hs_04SubSamp
0.157	Hs_04SubSamp
0.15	Hs_04SubSamp
0.157	Hs_04SubSamp
0.154	Hs_04SubSamp
0.16	Hs_04SubSamp
0.157	Hs_04SubSamp
0.159	Hs_04SubSamp
0.164	Hs_04SubSamp
0.148	Hs_04SubSamp
0.16	Hs_04SubSamp
0.15	Hs_04SubSamp
0.15	Hs_04SubSamp
0.154	Hs_04SubSamp
0.155	Hs_04SubSamp
0.167	Hs_04SubSamp
0.16	Hs_04SubSamp
0.162	Hs_04SubSamp
0.149	Hs_04SubSamp
0.153	Hs_04SubSamp
0.162	Hs_04SubSamp
0.149	Hs_04SubSamp
0.149	Hs_04SubSamp
0.165	Hs_04SubSamp
0.161	Hs_04SubSamp
0.162	Hs_04SubSamp
0.164	Hs_04SubSamp
0.158	Hs_04SubSamp
0.157	Hs_04SubSamp
0.154	Hs_04SubSamp
0.153	Hs_04SubSamp
0.162	Hs_04SubSamp
0.151	Hs_04SubSamp
0.152	Hs_04SubSamp
0.157	Hs_04SubSamp
0.15	Hs_04SubSamp
0.151	Hs_04SubSamp
0.15	Hs_04SubSamp
0.162	Hs_04SubSamp
0.151	Hs_04SubSamp
0.15	Hs_04SubSamp
0.15	Hs_04SubSamp
0.155	Hs_04SubSamp
0.162	Hs_04SubSamp
0.164	Hs_04SubSamp
0.161	Hs_04SubSamp
0.153	Hs_04SubSamp
0.152	Hs_04SubSamp
0.154	Hs_04SubSamp
0.15	Hs_04SubSamp
0.158	Hs_04SubSamp
0.162	Hs_04SubSamp
0.151	Hs_04SubSamp
0.16	Hs_04SubSamp
0.156	Hs_04SubSamp
0.142	Hs_04SubSamp
0.161	Hs_04SubSamp
0.158	Hs_04SubSamp
0.158	Hs_04SubSamp
0.164	Hs_04SubSamp
0.16	Hs_04SubSamp
0.155	Hs_04SubSamp
0.151	Hs_04SubSamp
0.15	Hs_04SubSamp
0.159	Hs_04SubSamp
0.163	Hs_04SubSamp
0.156	Hs_04SubSamp
0.162	Hs_04SubSamp
0.167	Hs_04SubSamp
0.151	Hs_04SubSamp
0.167	Hs_04SubSamp
0.155	Hs_04SubSamp
0.163	Hs_04SubSamp
0.155	Hs_04SubSamp
0.139	Hs_04SubSamp
0.169	Hs_04SubSamp
0.152	Hs_04SubSamp
0.166	Hs_04SubSamp
0.148	Hs_04SubSamp
0.15	Hs_04SubSamp
0.15	Hs_04SubSamp
0.154	Hs_04SubSamp
0.152	Hs_04SubSamp
0.16	Hs_04SubSamp
0.153	Hs_04SubSamp
0.155	Hs_04SubSamp
0.149	Hs_04SubSamp
0.152	Hs_04SubSamp
0.149	Hs_04SubSamp
0.158	Hs_04SubSamp
0.156	Hs_04SubSamp
0.167	Hs_04SubSamp
0.15	Hs_06SubSamp
0.153	Hs_06SubSamp
0.149	Hs_06SubSamp
0.16	Hs_06SubSamp
0.151	Hs_06SubSamp
0.158	Hs_06SubSamp
0.148	Hs_06SubSamp
0.154	Hs_06SubSamp
0.158	Hs_06SubSamp
0.163	Hs_06SubSamp
0.155	Hs_06SubSamp
0.15	Hs_06SubSamp
0.161	Hs_06SubSamp
0.153	Hs_06SubSamp
0.149	Hs_06SubSamp
0.155	Hs_06SubSamp
0.157	Hs_06SubSamp
0.154	Hs_06SubSamp
0.158	Hs_06SubSamp
0.156	Hs_06SubSamp
0.153	Hs_06SubSamp
0.162	Hs_06SubSamp
0.155	Hs_06SubSamp
0.163	Hs_06SubSamp
0.15	Hs_06SubSamp
0.154	Hs_06SubSamp
0.148	Hs_06SubSamp
0.161	Hs_06SubSamp
0.16	Hs_06SubSamp
0.153	Hs_06SubSamp
0.152	Hs_06SubSamp
0.157	Hs_06SubSamp
0.155	Hs_06SubSamp
0.154	Hs_06SubSamp
0.157	Hs_06SubSamp
0.16	Hs_06SubSamp
0.152	Hs_06SubSamp
0.153	Hs_06SubSamp
0.158	Hs_06SubSamp
0.155	Hs_06SubSamp
0.151	Hs_06SubSamp
0.157	Hs_06SubSamp
0.157	Hs_06SubSamp
0.158	Hs_06SubSamp
0.16	Hs_06SubSamp
0.162	Hs_06SubSamp
0.157	Hs_06SubSamp
0.162	Hs_06SubSamp
0.156	Hs_06SubSamp
0.154	Hs_06SubSamp
0.159	Hs_06SubSamp
0.151	Hs_06SubSamp
0.162	Hs_06SubSamp
0.157	Hs_06SubSamp
0.155	Hs_06SubSamp
0.167	Hs_06SubSamp
0.157	Hs_06SubSamp
0.156	Hs_06SubSamp
0.156	Hs_06SubSamp
0.158	Hs_06SubSamp
0.158	Hs_06SubSamp
0.159	Hs_06SubSamp
0.148	Hs_06SubSamp
0.152	Hs_06SubSamp
0.148	Hs_06SubSamp
0.153	Hs_06SubSamp
0.15	Hs_06SubSamp
0.149	Hs_06SubSamp
0.154	Hs_06SubSamp
0.152	Hs_06SubSamp
0.15	Hs_06SubSamp
0.158	Hs_06SubSamp
0.156	Hs_06SubSamp
0.159	Hs_06SubSamp
0.151	Hs_06SubSamp
0.149	Hs_06SubSamp
0.154	Hs_06SubSamp
0.156	Hs_06SubSamp
0.157	Hs_06SubSamp
0.154	Hs_06SubSamp
0.157	Hs_06SubSamp
0.155	Hs_06SubSamp
0.154	Hs_06SubSamp
0.158	Hs_06SubSamp
0.167	Hs_06SubSamp
0.16	Hs_06SubSamp
0.152	Hs_06SubSamp
0.16	Hs_06SubSamp
0.149	Hs_06SubSamp
0.163	Hs_06SubSamp
0.161	Hs_06SubSamp
0.156	Hs_06SubSamp
0.154	Hs_06SubSamp
0.153	Hs_06SubSamp
0.15	Hs_06SubSamp
0.154	Hs_06SubSamp
0.152	Hs_06SubSamp
0.152	Hs_06SubSamp
0.158	Hs_06SubSamp
0.161	Hs_06SubSamp
0.155	Hs_08SubSamp
0.155	Hs_08SubSamp
0.165	Hs_08SubSamp
0.164	Hs_08SubSamp
0.158	Hs_08SubSamp
0.157	Hs_08SubSamp
0.152	Hs_08SubSamp
0.16	Hs_08SubSamp
0.154	Hs_08SubSamp
0.154	Hs_08SubSamp
0.155	Hs_08SubSamp
0.159	Hs_08SubSamp
0.157	Hs_08SubSamp
0.155	Hs_08SubSamp
0.155	Hs_08SubSamp
0.158	Hs_08SubSamp
0.152	Hs_08SubSamp
0.157	Hs_08SubSamp
0.148	Hs_08SubSamp
0.166	Hs_08SubSamp
0.158	Hs_08SubSamp
0.153	Hs_08SubSamp
0.152	Hs_08SubSamp
0.151	Hs_08SubSamp
0.157	Hs_08SubSamp
0.158	Hs_08SubSamp
0.155	Hs_08SubSamp
0.162	Hs_08SubSamp
0.158	Hs_08SubSamp
0.156	Hs_08SubSamp
0.159	Hs_08SubSamp
0.158	Hs_08SubSamp
0.15	Hs_08SubSamp
0.161	Hs_08SubSamp
0.159	Hs_08SubSamp
0.156	Hs_08SubSamp
0.155	Hs_08SubSamp
0.153	Hs_08SubSamp
0.162	Hs_08SubSamp
0.158	Hs_08SubSamp
0.156	Hs_08SubSamp
0.153	Hs_08SubSamp
0.156	Hs_08SubSamp
0.151	Hs_08SubSamp
0.154	Hs_08SubSamp
0.156	Hs_08SubSamp
0.16	Hs_08SubSamp
0.158	Hs_08SubSamp
0.155	Hs_08SubSamp
0.152	Hs_08SubSamp
0.151	Hs_08SubSamp
0.152	Hs_08SubSamp
0.153	Hs_08SubSamp
0.159	Hs_08SubSamp
0.161	Hs_08SubSamp
0.151	Hs_08SubSamp
0.158	Hs_08SubSamp
0.157	Hs_08SubSamp
0.152	Hs_08SubSamp
0.156	Hs_08SubSamp
0.159	Hs_08SubSamp
0.157	Hs_08SubSamp
0.154	Hs_08SubSamp
0.153	Hs_08SubSamp
0.157	Hs_08SubSamp
