Subsampling.group,MPO.PTP.Fst.estimates
4,0.183706
4,0.171824
4,0.198021
4,0.185286
4,0.193162
4,0.19048
4,0.191014
4,0.189818
4,0.176986
4,0.196235
4,0.189793
4,0.20684
4,0.184436
4,0.187966
4,0.190713
4,0.177179
4,0.183057
4,0.207336
4,0.18924
4,0.186238
4,0.188976
4,0.222487
4,0.195975
4,0.197574
4,0.215023
4,0.193317
4,0.181987
4,0.19674
4,0.177279
4,0.176789
4,0.195197
4,0.198918
4,0.179128
4,0.176801
4,0.17603
4,0.184769
4,0.193285
4,0.193045
4,0.182876
4,0.200591
4,0.181103
4,0.177597
4,0.191998
4,0.200706
4,0.196911
4,0.200166
4,0.190532
4,0.186073
4,0.193389
4,0.193912
4,0.183523
4,0.182853
4,0.199074
4,0.186796
4,0.18753
4,0.20255
4,0.204911
4,0.173259
4,0.207193
4,0.194084
4,0.193062
4,0.198193
4,0.197513
4,0.185041
4,0.215059
4,0.191016
4,0.191632
4,0.194863
4,0.197472
4,0.187719
4,0.194792
4,0.18386
4,0.198232
4,0.195884
4,0.185525
4,0.196294
4,0.187663
4,0.197542
4,0.199877
4,0.181867
4,0.200181
4,0.190993
4,0.196701
4,0.187794
4,0.192188
4,0.200561
4,0.182446
4,0.194306
4,0.195742
4,0.193821
4,0.197052
4,0.185729
4,0.176479
4,0.19347
4,0.195308
4,0.20562
4,0.191023
4,0.167631
4,0.212942
4,0.185625
6,0.19181
6,0.20551
6,0.19627
6,0.195754
6,0.193938
6,0.184588
6,0.193939
6,0.186376
6,0.188204
6,0.199072
6,0.198517
6,0.189364
6,0.195968
6,0.194181
6,0.186487
6,0.190918
6,0.190087
6,0.183571
6,0.194248
6,0.190464
6,0.180212
6,0.186098
6,0.194812
6,0.192774
6,0.194222
6,0.200146
6,0.189305
6,0.192879
6,0.18903
6,0.192262
6,0.18783
6,0.198627
6,0.194523
6,0.194653
6,0.192061
6,0.187016
6,0.191502
6,0.200712
6,0.18169
6,0.200277
6,0.195601
6,0.186781
6,0.195958
6,0.196718
6,0.183817
6,0.197477
6,0.196169
6,0.198551
6,0.178471
6,0.213994
6,0.191248
6,0.185177
6,0.182024
6,0.188073
6,0.182846
6,0.187993
6,0.188836
6,0.183638
6,0.17828
6,0.184347
6,0.177413
6,0.188575
6,0.187592
6,0.188398
6,0.192023
6,0.186703
6,0.1832
6,0.206255
6,0.20592
6,0.18287
6,0.196456
6,0.185748
6,0.181759
6,0.186173
6,0.184144
6,0.184051
6,0.179575
6,0.195022
6,0.196555
6,0.205755
6,0.185311
6,0.192767
6,0.191595
6,0.183486
6,0.191316
6,0.200423
6,0.199839
6,0.186251
6,0.189746
6,0.186002
6,0.178592
6,0.192766
6,0.193688
6,0.190069
6,0.200061
6,0.186256
6,0.197041
6,0.187683
6,0.205543
6,0.195394
8,0.18314
8,0.179927
8,0.18897
8,0.189057
8,0.194482
8,0.190514
8,0.18993
8,0.192192
8,0.195869
8,0.197079
8,0.19091
8,0.187505
8,0.19378
8,0.197327
8,0.190912
8,0.187431
8,0.192507
8,0.184617
8,0.192843
8,0.188235
8,0.200085
8,0.18645
8,0.183203
8,0.190644
8,0.182964
8,0.184772
8,0.19946
8,0.197341
8,0.200032
8,0.198761
8,0.194466
8,0.186387
8,0.187149
8,0.19918
8,0.195504
8,0.193304
8,0.19562
8,0.188527
8,0.192477
8,0.181439
8,0.191661
8,0.190492
8,0.198353
8,0.191947
8,0.194421
8,0.190774
8,0.180953
8,0.190487
8,0.178589
8,0.190616
8,0.181293
8,0.186483
8,0.195135
8,0.191183
8,0.187199
8,0.185763
8,0.189921
8,0.198839
8,0.190917
8,0.197244
8,0.201866
8,0.189642
8,0.186794
8,0.192951
8,0.188825
8,0.179935
8,0.190473
8,0.190594
8,0.186771
8,0.186593
8,0.195896
8,0.203914
8,0.198628
8,0.190446
8,0.18589
8,0.185708
8,0.195464
8,0.191111
8,0.192757
8,0.196112
8,0.186208
8,0.190912
8,0.194755
8,0.187375
8,0.179786
8,0.198098
8,0.191468
8,0.1776
8,0.190128
8,0.194656
8,0.190852
8,0.188818
8,0.185473
8,0.186883
8,0.190246
8,0.197337
8,0.197162
8,0.198242
8,0.192449
8,0.195925
10,0.193881
10,0.190734
10,0.18791
10,0.191335
10,0.186064
10,0.187395
10,0.188178
10,0.189726
10,0.186286
10,0.191671
10,0.186899
10,0.192775
10,0.18886
10,0.189393
10,0.196097
10,0.194265
10,0.199376
10,0.192454
10,0.18758
10,0.192457
10,0.187299
10,0.194814
10,0.194353
10,0.187462
10,0.184034
10,0.189678
10,0.190765
10,0.184197
10,0.192921
10,0.190171
10,0.192803
10,0.191544
10,0.196861
10,0.191337
10,0.186407
10,0.196988
10,0.192148
10,0.194209
10,0.187693
10,0.181335
10,0.184399
10,0.187314
10,0.188783
10,0.181548
10,0.191671
10,0.188856
10,0.189876
10,0.194285
10,0.186365
