Subsampling.group,STT.MPO.Fst.estimates
4,0.077663
4,0.051973
4,0.077064
4,0.059373
4,0.056961
4,0.059268
4,0.070459
4,0.075991
4,0.064814
4,0.069783
4,0.057735
4,0.070694
4,0.044483
4,0.075803
4,0.0681
4,0.048778
4,0.059366
4,0.06659
4,0.069821
4,0.057105
4,0.060145
4,0.079026
4,0.074552
4,0.067964
4,0.081263
4,0.055382
4,0.061938
4,0.064402
4,0.053893
4,0.051041
4,0.067344
4,0.069398
4,0.064567
4,0.04849
4,0.045917
4,0.06906
4,0.060351
4,0.055844
4,0.066588
4,0.07662
4,0.068133
4,0.062291
4,0.057754
4,0.08289
4,0.065262
4,0.078776
4,0.063869
4,0.078739
4,0.084069
4,0.059554
4,0.059816
4,0.051874
4,0.061066
4,0.065976
4,0.056556
4,0.063655
4,0.06015
4,0.046362
4,0.067172
4,0.064479
4,0.070684
4,0.055588
4,0.070718
4,0.053565
4,0.061512
4,0.066497
4,0.061263
4,0.060858
4,0.064714
4,0.058709
4,0.052284
4,0.057969
4,0.076417
4,0.069735
4,0.063358
4,0.070161
4,0.063939
4,0.067383
4,0.061397
4,0.05283
4,0.059192
4,0.065782
4,0.075714
4,0.055574
4,0.05454
4,0.076344
4,0.058955
4,0.07367
4,0.068265
4,0.061821
4,0.088795
4,0.059182
4,0.054642
4,0.061228
4,0.069135
4,0.055522
4,0.070552
4,0.05535
4,0.077219
4,0.065669
6,0.068513
6,0.08116
6,0.070117
6,0.069124
6,0.061053
6,0.059286
6,0.062292
6,0.065927
6,0.061533
6,0.069208
6,0.064471
6,0.060663
6,0.067314
6,0.065534
6,0.054898
6,0.066093
6,0.064666
6,0.058624
6,0.064995
6,0.062129
6,0.069821
6,0.059406
6,0.06345
6,0.063437
6,0.069444
6,0.072586
6,0.071314
6,0.058026
6,0.064795
6,0.063996
6,0.06376
6,0.080071
6,0.071403
6,0.061945
6,0.072413
6,0.058949
6,0.058516
6,0.076011
6,0.06519
6,0.057758
6,0.073274
6,0.055058
6,0.069671
6,0.060548
6,0.070955
6,0.060683
6,0.060582
6,0.060572
6,0.061055
6,0.07528
6,0.065834
6,0.060527
6,0.067729
6,0.060595
6,0.063459
6,0.055536
6,0.052242
6,0.062348
6,0.059236
6,0.060894
6,0.063391
6,0.067646
6,0.063936
6,0.06828
6,0.057624
6,0.059058
6,0.055169
6,0.069759
6,0.077183
6,0.063894
6,0.075089
6,0.055738
6,0.056461
6,0.065112
6,0.051156
6,0.056883
6,0.064003
6,0.076936
6,0.06636
6,0.076801
6,0.068936
6,0.057999
6,0.060755
6,0.068076
6,0.073011
6,0.06503
6,0.071614
6,0.065341
6,0.065601
6,0.06581
6,0.054733
6,0.066156
6,0.071567
6,0.063396
6,0.073918
6,0.072483
6,0.071374
6,0.072892
6,0.067663
6,0.064401
8,0.065137
8,0.060107
8,0.065702
8,0.067353
8,0.070932
8,0.063756
8,0.061633
8,0.059054
8,0.065997
8,0.058226
8,0.063009
8,0.067832
8,0.069342
8,0.065477
8,0.06498
8,0.075802
8,0.070894
8,0.060917
8,0.064939
8,0.063859
8,0.063866
8,0.055822
8,0.059944
8,0.065617
8,0.070565
8,0.06413
8,0.077808
8,0.071831
8,0.064373
8,0.066759
8,0.069933
8,0.058063
8,0.063994
8,0.064419
8,0.074985
8,0.068274
8,0.071331
8,0.063557
8,0.06614
8,0.06123
8,0.060204
8,0.065201
8,0.06852
8,0.065788
8,0.061527
8,0.063329
8,0.060715
8,0.064611
8,0.058116
8,0.069408
8,0.06432
8,0.061893
8,0.064176
8,0.062947
8,0.066701
8,0.06215
8,0.064917
8,0.067997
8,0.068465
8,0.062721
8,0.0656
8,0.069357
8,0.067032
8,0.062806
8,0.06614
8,0.062707
8,0.060574
8,0.067085
8,0.062721
8,0.062571
8,0.062468
8,0.067232
8,0.064807
8,0.066082
8,0.063199
8,0.068297
8,0.072675
8,0.065453
8,0.069617
8,0.061781
8,0.072738
8,0.062314
8,0.063544
8,0.06213
8,0.071761
8,0.070106
8,0.06233
8,0.065982
8,0.062344
8,0.066234
8,0.071204
8,0.066612
8,0.05492
8,0.060251
8,0.064487
8,0.067079
8,0.065575
8,0.064009
8,0.066951
8,0.065496
10,0.060918
10,0.064188
10,0.066589
10,0.062977
10,0.063248
10,0.066377
10,0.064432
10,0.066158
10,0.069979
10,0.066343
10,0.0656
10,0.063003
10,0.061907
10,0.068769
10,0.060892
10,0.058924
10,0.065799
10,0.063436
10,0.069189
10,0.064575
10,0.06422
10,0.066166
10,0.061434
10,0.071714
10,0.064918
10,0.061769
10,0.066596
10,0.070318
10,0.061315
10,0.062121
10,0.066193
10,0.062016
10,0.066631
10,0.067857
10,0.066489
10,0.064151
10,0.05885
10,0.070186
10,0.067704
10,0.059232
10,0.057166
10,0.060222
10,0.068192
10,0.059335
10,0.067462
10,0.068303
10,0.066728
10,0.073306
10,0.063617
10,0.060512
10,0.066091
10,0.06262
10,0.067992
10,0.058416
10,0.066358
10,0.061025
10,0.062096
10,0.063886
10,0.069791
10,0.06193
10,0.067896
10,0.060642
10,0.063532
10,0.067307
10,0.063505
10,0.060955
10,0.065367
10,0.061931
10,0.065822
10,0.066849
10,0.066866
10,0.06152
10,0.063884
10,0.072332
10,0.063508
10,0.069214
10,0.054138
10,0.059783
10,0.064622
10,0.064694
10,0.063833
10,0.070661
10,0.058526
10,0.069981
10,0.064747
10,0.058214
10,0.069345
10,0.067253
10,0.059418
10,0.070551
10,0.064314
10,0.063832
10,0.063065
10,0.070248
10,0.06714
10,0.067411
10,0.063113
10,0.070838
10,0.061989
10,0.065238
12,0.062327
12,0.063238
12,0.064842
12,0.061992
12,0.05879
12,0.060556
12,0.068213
12,0.067621
12,0.062599
12,0.062031
12,0.068239
12,0.064894
12,0.073228
12,0.061066
12,0.065066
12,0.063203
12,0.065688
12,0.067011
12,0.0613
12,0.05821
12,0.066188
12,0.069291
12,0.066539
12,0.063683
12,0.067483
12,0.068676
12,0.065773
12,0.063705
12,0.065913
12,0.061616
12,0.066632
12,0.06254
12,0.065391
12,0.066802
12,0.061239
12,0.067789
12,0.064729
12,0.062134
12,0.06373
12,0.067059
12,0.065903
12,0.060572
12,0.060393
12,0.06157
12,0.062733
12,0.065615
12,0.066073
12,0.066608
12,0.064599
12,0.067865
12,0.066682
12,0.065676
12,0.063943
12,0.059853
12,0.066274
12,0.0659
12,0.064105
12,0.071759
12,0.068147
12,0.060374
12,0.063153
12,0.064409
12,0.064275
12,0.061249
12,0.06444
12,0.068649
12,0.067263
12,0.060988
12,0.060623
12,0.068519
12,0.063514
12,0.066496
12,0.0609
12,0.064519
12,0.067914
12,0.065885
12,0.060834
12,0.065986
12,0.0636
12,0.063326
12,0.067432
12,0.061242
12,0.06342
12,0.065882
12,0.068715
12,0.065824
12,0.065072
12,0.060567
12,0.064033
12,0.064925
12,0.064356
12,0.065804
12,0.064339
12,0.070694
12,0.067676
12,0.058567
12,0.060119
12,0.065431
12,0.070562
12,0.065993
14,0.065968
14,0.065106
14,0.066065
14,0.066046
14,0.060109
14,0.067948
14,0.066972
14,0.068415
14,0.068194
14,0.065931
14,0.063699
14,0.06633
14,0.062066
14,0.065183
14,0.065563
14,0.064065
14,0.06311
14,0.068146
14,0.065509
14,0.066341
14,0.067862
14,0.069013
14,0.061576
14,0.064243
14,0.067388
14,0.062413
14,0.064049
14,0.066636
14,0.063531
14,0.064132
14,0.065944
14,0.061879
14,0.063764
14,0.065716
14,0.066866
14,0.064621
14,0.068916
14,0.065578
14,0.06267
14,0.067049
14,0.066553
14,0.069473
14,0.063749
14,0.065077
14,0.064581
14,0.060479
14,0.060925
14,0.062374
14,0.066195
14,0.062793
14,0.062608
14,0.067232
14,0.0645
14,0.065386
14,0.067239
14,0.06647
14,0.067225
14,0.067152
14,0.061751
14,0.059632
14,0.064061
14,0.066554
14,0.065684
14,0.06511
14,0.062
14,0.064488
14,0.060836
14,0.060845
14,0.060648
14,0.061845
14,0.069955
14,0.063469
14,0.064427
14,0.062976
14,0.066106
14,0.063425
14,0.065249
14,0.060429
14,0.063838
14,0.068188
14,0.067371
14,0.069085
14,0.066546
14,0.062073
14,0.062332
14,0.061812
14,0.06704
14,0.063998
14,0.060748
14,0.065901
14,0.067908
14,0.064818
14,0.0659
14,0.067198
14,0.064424
14,0.060076
14,0.064671
14,0.065068
14,0.066171
14,0.063743
16,0.06305
16,0.066412
16,0.062003
16,0.063608
16,0.065627
16,0.065631
16,0.064516
16,0.063668
16,0.065705
16,0.068757
16,0.06388
16,0.066164
16,0.067136
16,0.065948
16,0.064116
16,0.060907
16,0.064162
16,0.063588
16,0.062384
16,0.069975
16,0.063398
16,0.062743
16,0.062602
16,0.063781
16,0.062529
16,0.067584
16,0.063598
16,0.063694
16,0.063214
16,0.064284
16,0.064294
16,0.06133
16,0.063947
16,0.065555
16,0.065096
16,0.062963
16,0.066578
16,0.065019
16,0.063186
16,0.062491
16,0.063671
16,0.064727
16,0.063248
16,0.06481
16,0.060611
16,0.064894
16,0.068033
16,0.065262
16,0.067307
16,0.061878
16,0.065904
16,0.063832
16,0.061419
16,0.063674
16,0.063696
16,0.063223
16,0.065231
16,0.064743
16,0.061724
16,0.062098
16,0.064019
16,0.067281
16,0.065093
16,0.062115
16,0.065117
16,0.065876
16,0.060635
16,0.06149
16,0.064694
16,0.063306
16,0.064864
16,0.06013
16,0.062433
16,0.070033
16,0.061583
16,0.064958
16,0.064527
16,0.066346
16,0.062671
16,0.06371
16,0.066591
16,0.063359
16,0.065022
16,0.065651
16,0.06421
16,0.067984
16,0.066785
16,0.064065
16,0.066506
16,0.066534
16,0.063249
16,0.061807
16,0.064927
16,0.066255
16,0.060317
16,0.062628
16,0.065651
16,0.069773
16,0.062403
16,0.063883
18,0.062502
18,0.062021
18,0.063522
18,0.065459
18,0.06413
18,0.067717
18,0.063097
18,0.062542
18,0.067169
18,0.066943
18,0.065557
18,0.065152
18,0.063863
18,0.064482
18,0.064806
18,0.063098
18,0.065343
18,0.064086
18,0.064114
18,0.063458
18,0.067784
18,0.062661
18,0.066034
18,0.065557
18,0.065942
18,0.065905
18,0.061359
18,0.065136
18,0.062161
18,0.067629
18,0.064065
18,0.066749
18,0.062902
18,0.066522
18,0.062948
18,0.062308
18,0.064762
18,0.066053
18,0.065425
18,0.066381
18,0.065894
18,0.064576
18,0.064676
18,0.064147
18,0.064946
18,0.067675
18,0.063211
18,0.063767
18,0.067098
18,0.065327
18,0.064617
18,0.065877
