Subsampling.group,STT.PTP.Fst.estimates
4,0.203359
4,0.187443
4,0.221871
4,0.202718
4,0.221026
4,0.213456
4,0.205556
4,0.199977
4,0.210048
4,0.203216
4,0.208443
4,0.210175
4,0.189467
4,0.191507
4,0.20142
4,0.202209
4,0.200474
4,0.202384
4,0.240378
4,0.199379
4,0.194214
4,0.203416
4,0.210879
4,0.217049
4,0.210125
4,0.200339
4,0.209813
4,0.195028
4,0.21954
4,0.201699
4,0.194081
4,0.23362
4,0.224349
4,0.190573
4,0.195295
4,0.205345
4,0.216685
4,0.216113
4,0.219576
4,0.211269
4,0.198892
4,0.186822
4,0.213601
4,0.210237
4,0.211542
4,0.224273
4,0.196434
4,0.212262
4,0.219556
4,0.201686
4,0.207704
4,0.19227
4,0.20655
4,0.204946
4,0.214155
4,0.200621
4,0.203014
4,0.184134
4,0.22143
4,0.225439
4,0.218615
4,0.204694
4,0.198831
4,0.18825
4,0.201756
4,0.198115
4,0.202841
4,0.196309
4,0.225437
4,0.198367
4,0.202867
4,0.196015
4,0.210109
4,0.198349
4,0.223004
4,0.202305
4,0.208196
4,0.21605
4,0.186769
4,0.167503
4,0.206245
4,0.202627
4,0.212182
4,0.191673
4,0.193754
4,0.197758
4,0.200715
4,0.223105
4,0.214228
4,0.19643
4,0.214181
4,0.205965
4,0.205825
4,0.196452
4,0.204645
4,0.20058
4,0.204336
4,0.199165
4,0.20408
4,0.200542
6,0.208766
6,0.19773
6,0.197104
6,0.212678
6,0.206496
6,0.212407
6,0.197847
6,0.205504
6,0.197518
6,0.200719
6,0.204895
6,0.204295
6,0.205825
6,0.209174
6,0.199883
6,0.201797
6,0.196047
6,0.202187
6,0.21293
6,0.19611
6,0.197764
6,0.196531
6,0.202492
6,0.210698
6,0.211266
6,0.199987
6,0.196883
6,0.215429
6,0.192923
6,0.201448
6,0.199619
6,0.213966
6,0.197482
6,0.201329
6,0.211543
6,0.212769
6,0.197906
6,0.220238
6,0.195901
6,0.208657
6,0.212057
6,0.205531
6,0.19496
6,0.202114
6,0.195904
6,0.218777
6,0.214281
6,0.208241
6,0.209467
6,0.207426
6,0.204853
6,0.183179
6,0.193948
6,0.211543
6,0.210096
6,0.192623
6,0.198164
6,0.200407
6,0.205242
6,0.203871
6,0.202259
6,0.193678
6,0.193449
6,0.188643
6,0.199727
6,0.189399
6,0.201734
6,0.209362
6,0.212277
6,0.210942
6,0.20331
6,0.198811
6,0.210141
6,0.195805
6,0.216482
6,0.219935
6,0.204604
6,0.192472
6,0.215053
6,0.212271
6,0.194067
6,0.189176
6,0.202622
6,0.195513
6,0.205998
6,0.210944
6,0.206095
6,0.210512
6,0.201093
6,0.204094
6,0.197307
6,0.211619
6,0.208764
6,0.209267
6,0.201461
6,0.192317
6,0.205819
6,0.20561
6,0.205548
6,0.208588
8,0.199147
8,0.194161
8,0.203642
8,0.206039
8,0.204371
8,0.198227
8,0.204299
8,0.205583
8,0.201042
8,0.198184
8,0.209195
8,0.206927
8,0.206586
8,0.207198
8,0.199741
8,0.206798
8,0.198798
8,0.205155
8,0.196812
8,0.199858
8,0.201449
8,0.198587
8,0.208057
8,0.211755
8,0.197321
8,0.202412
8,0.217324
8,0.217295
8,0.209632
8,0.198847
8,0.207088
8,0.20261
8,0.2116
8,0.200959
8,0.194725
8,0.21651
8,0.214073
8,0.204189
8,0.204307
8,0.19143
8,0.202538
8,0.198704
8,0.196755
8,0.200441
8,0.194029
8,0.208695
8,0.200458
8,0.203458
8,0.197331
8,0.19982
8,0.197802
8,0.195344
8,0.204784
8,0.197884
8,0.201331
8,0.206556
8,0.197624
8,0.206056
8,0.206646
8,0.198502
8,0.214542
8,0.206708
8,0.207879
8,0.203511
8,0.196978
8,0.193579
8,0.206699
8,0.205151
8,0.20791
8,0.206803
8,0.206475
8,0.201875
8,0.207311
8,0.205701
8,0.209897
8,0.207127
8,0.196557
8,0.207422
8,0.20726
8,0.203038
8,0.207958
8,0.20802
8,0.194293
8,0.193935
8,0.190225
8,0.204966
8,0.194189
8,0.203279
8,0.20071
8,0.201474
8,0.208672
8,0.20264
8,0.199575
8,0.196923
8,0.191004
8,0.208975
8,0.203717
8,0.204635
8,0.212607
8,0.202588
10,0.202153
10,0.199002
10,0.21312
10,0.197515
10,0.20913
10,0.199815
10,0.207921
10,0.215188
10,0.207621
10,0.207786
10,0.207523
10,0.201963
10,0.201509
10,0.198357
10,0.205729
10,0.194298
10,0.207047
10,0.207332
10,0.208025
10,0.203343
10,0.195582
10,0.206753
10,0.204257
10,0.203552
10,0.206601
10,0.198648
10,0.20102
10,0.206091
10,0.201468
10,0.200214
10,0.199576
10,0.203801
10,0.200001
10,0.204743
10,0.207982
10,0.20033
10,0.200625
10,0.20558
10,0.202282
10,0.20518
10,0.202216
10,0.196595
10,0.199924
10,0.20095
10,0.195668
10,0.201065
10,0.204086
10,0.209187
10,0.207854
10,0.204257
10,0.201276
10,0.213478
10,0.203092
10,0.195522
10,0.202221
10,0.200496
10,0.209415
10,0.207463
10,0.202287
10,0.190278
10,0.206381
10,0.206353
10,0.20369
10,0.206407
10,0.197667
10,0.20421
10,0.199817
10,0.205321
10,0.207743
10,0.20058
10,0.200497
10,0.200797
10,0.199538
10,0.208368
10,0.205996
10,0.212011
10,0.199472
10,0.202815
10,0.217249
10,0.204902
10,0.198243
10,0.210295
10,0.198027
10,0.199228
10,0.204895
10,0.199049
10,0.211989
10,0.206661
10,0.200686
10,0.19682
10,0.204622
10,0.202553
10,0.19963
10,0.209586
10,0.204336
10,0.196871
10,0.19712
10,0.211074
10,0.19583
10,0.200575
12,0.194678
12,0.201254
12,0.203651
12,0.203503
12,0.207167
12,0.199264
12,0.205811
12,0.201606
12,0.206052
12,0.205238
12,0.204255
12,0.195767
12,0.202373
12,0.200229
12,0.198514
12,0.1995
12,0.201791
12,0.201615
12,0.205871
12,0.200657
12,0.20268
12,0.204848
12,0.202825
12,0.210559
12,0.201716
12,0.199164
12,0.198082
12,0.199528
12,0.206867
12,0.196059
12,0.201342
12,0.202905
12,0.206448
12,0.200577
12,0.198664
12,0.198328
12,0.203507
12,0.20351
12,0.200812
12,0.206784
12,0.206906
12,0.198637
12,0.201157
12,0.202838
12,0.201366
12,0.20254
12,0.201584
12,0.204906
12,0.20364
12,0.210063
12,0.206137
12,0.201452
12,0.202815
12,0.200943
12,0.203779
12,0.201775
12,0.198673
12,0.20711
12,0.209022
12,0.201659
12,0.202647
12,0.210751
12,0.203569
12,0.203143
12,0.205371
12,0.206608
12,0.203854
12,0.207402
12,0.204054
12,0.19904
12,0.203183
12,0.205125
12,0.20083
12,0.204779
12,0.205657
12,0.202591
12,0.203147
12,0.20055
12,0.209091
12,0.203319
12,0.206216
12,0.203853
12,0.204676
12,0.198823
12,0.205086
12,0.203996
12,0.206616
12,0.200872
12,0.207791
12,0.203521
12,0.200333
12,0.209701
12,0.205331
12,0.212277
12,0.200946
12,0.205218
12,0.201613
12,0.202211
12,0.207079
12,0.211446
14,0.200936
14,0.202502
14,0.199917
14,0.20006
14,0.200168
14,0.206804
14,0.202139
14,0.206691
14,0.20353
14,0.200201
14,0.205092
14,0.198897
14,0.201237
14,0.203256
14,0.201352
14,0.200039
14,0.199464
14,0.199314
14,0.203752
14,0.20236
14,0.201085
14,0.204308
14,0.203275
14,0.202116
14,0.200397
14,0.195463
14,0.204249
14,0.20183
14,0.2075
14,0.205499
14,0.199406
14,0.206308
14,0.20261
14,0.204207
14,0.20396
14,0.204308
14,0.20683
14,0.198183
14,0.202791
14,0.204838
14,0.203413
14,0.201249
14,0.201107
14,0.200341
14,0.20866
14,0.202054
14,0.200889
14,0.204696
14,0.198734
14,0.199516
14,0.194983
14,0.200173
14,0.198522
14,0.199944
14,0.203268
14,0.201201
14,0.20326
14,0.205022
14,0.198859
14,0.204927
14,0.199629
14,0.201141
14,0.201406
14,0.204359
14,0.200423
14,0.20718
14,0.199154
14,0.206141
14,0.19976
14,0.202346
14,0.20687
14,0.206972
14,0.198458
14,0.200591
14,0.200872
14,0.203264
14,0.20458
14,0.198067
14,0.197346
14,0.203941
14,0.20693
14,0.201747
14,0.202479
14,0.201063
14,0.197972
14,0.204214
14,0.202539
14,0.205274
14,0.200567
14,0.200501
14,0.203444
14,0.204338
14,0.202751
14,0.201505
14,0.200664
14,0.202826
14,0.201774
14,0.200806
14,0.200591
14,0.204903
16,0.200773
16,0.202833
16,0.200781
16,0.202351
16,0.202576
16,0.20274
16,0.206449
16,0.199632
16,0.203181
16,0.203457
16,0.206669
16,0.206224
16,0.206833
16,0.203971
16,0.199185
16,0.200102
16,0.205019
16,0.206603
16,0.203264
16,0.202118
16,0.200082
16,0.202166
16,0.198167
16,0.20007
16,0.203931
16,0.202793
16,0.201834
16,0.201266
16,0.201533
16,0.203923
16,0.203397
16,0.198763
16,0.200114
16,0.204442
16,0.204933
16,0.197994
16,0.202417
16,0.20633
16,0.201953
16,0.201589
16,0.201378
16,0.203092
16,0.199495
16,0.199146
16,0.203433
16,0.204479
16,0.20445
16,0.206164
16,0.20321
16,0.200652
16,0.203079
16,0.20213
16,0.19775
16,0.202308
16,0.200903
16,0.203788
16,0.202958
16,0.200999
16,0.198837
16,0.202191
16,0.202406
16,0.199334
16,0.200687
16,0.207027
16,0.205812
16,0.201935
16,0.200146
16,0.202767
16,0.203783
16,0.199992
16,0.205248
16,0.200814
16,0.203246
16,0.201268
16,0.204883
16,0.201265
16,0.199669
16,0.203471
16,0.201625
16,0.207306
16,0.206029
16,0.200969
16,0.200928
16,0.198178
16,0.203411
16,0.207098
16,0.201717
16,0.200614
16,0.201483
16,0.203056
16,0.200411
16,0.202204
16,0.200035
16,0.19995
16,0.201604
16,0.200967
16,0.201581
