Subsampling.group,TGCP.MPO.Fst.estimates
4,0.153292
4,0.145516
4,0.184146
4,0.161654
4,0.166734
4,0.165336
4,0.176454
4,0.173488
4,0.166837
4,0.159873
4,0.174291
4,0.15397
4,0.153557
4,0.15545
4,0.174518
4,0.158193
4,0.160556
4,0.176818
4,0.158973
4,0.157955
4,0.168404
4,0.190785
4,0.178887
4,0.153195
4,0.164075
4,0.156577
4,0.181203
4,0.173739
4,0.145177
4,0.167797
4,0.162102
4,0.156898
4,0.154825
4,0.166679
4,0.158285
4,0.147179
4,0.168886
4,0.169135
4,0.181238
4,0.160933
4,0.174937
4,0.185839
4,0.155564
4,0.168036
4,0.167784
4,0.170592
4,0.148409
4,0.185167
4,0.160221
4,0.170678
4,0.181999
4,0.159581
4,0.159779
4,0.163227
4,0.158437
4,0.171658
4,0.167598
4,0.161598
4,0.156549
4,0.177097
4,0.176907
4,0.168159
4,0.178044
4,0.170872
4,0.172765
4,0.14367
4,0.164666
4,0.157149
4,0.160892
4,0.163213
4,0.159646
4,0.171942
4,0.165246
4,0.147475
4,0.167802
4,0.161061
4,0.152375
4,0.18232
4,0.160064
4,0.165563
4,0.173419
4,0.17471
4,0.190826
4,0.147983
4,0.176677
4,0.175784
4,0.176025
4,0.174288
4,0.174133
4,0.175666
4,0.185632
4,0.166417
4,0.168906
4,0.174586
4,0.156096
4,0.173903
4,0.168771
4,0.169921
4,0.160907
4,0.147175
6,0.171508
6,0.182743
6,0.167653
6,0.162794
6,0.178367
6,0.16994
6,0.170048
6,0.16684
6,0.16436
6,0.162997
6,0.170692
6,0.166039
6,0.170721
6,0.168956
6,0.168308
6,0.17088
6,0.161398
6,0.175125
6,0.157664
6,0.16967
6,0.158665
6,0.173155
6,0.18086
6,0.163966
6,0.1729
6,0.16898
6,0.174991
6,0.167377
6,0.161306
6,0.167945
6,0.160814
6,0.161181
6,0.182704
6,0.171219
6,0.163975
6,0.166057
6,0.173648
6,0.170224
6,0.165327
6,0.178764
6,0.191825
6,0.157451
6,0.171528
6,0.159864
6,0.156827
6,0.152862
6,0.17998
6,0.174698
6,0.168082
6,0.171856
6,0.172476
6,0.161868
6,0.16017
6,0.158923
6,0.169423
6,0.153984
6,0.172359
6,0.157761
6,0.164959
6,0.170094
6,0.163206
6,0.161421
6,0.178584
6,0.174555
6,0.183789
6,0.173966
6,0.171028
6,0.173659
6,0.168352
6,0.164739
6,0.179348
6,0.161002
6,0.157986
6,0.173407
6,0.175078
6,0.161314
6,0.165613
6,0.174311
6,0.154172
6,0.181362
6,0.16371
6,0.168262
6,0.163897
6,0.169861
6,0.159095
6,0.157265
6,0.158987
6,0.160088
6,0.162603
6,0.155222
6,0.157497
6,0.157182
6,0.170158
6,0.17544
6,0.165877
6,0.157116
6,0.163748
6,0.162293
6,0.162413
6,0.165461
8,0.171801
8,0.164998
8,0.156902
8,0.16929
8,0.167276
8,0.15988
8,0.165068
8,0.165894
8,0.1743
8,0.164829
8,0.166311
8,0.157247
8,0.166459
8,0.178118
8,0.161837
8,0.157857
8,0.167678
8,0.168115
8,0.160675
8,0.160072
8,0.151325
8,0.169501
8,0.166964
8,0.162382
8,0.165909
8,0.161894
8,0.173106
8,0.16645
8,0.173968
8,0.15667
8,0.171085
8,0.166464
8,0.167981
8,0.166262
8,0.178148
8,0.173546
8,0.169035
8,0.170934
8,0.154198
8,0.169835
8,0.165487
8,0.169919
8,0.162186
8,0.169566
8,0.167138
8,0.165958
8,0.165396
8,0.159727
8,0.163084
8,0.175593
8,0.170091
8,0.176587
8,0.175037
8,0.167392
8,0.172985
8,0.166472
8,0.176412
8,0.1719
8,0.169536
8,0.169918
8,0.163974
8,0.163963
8,0.163872
8,0.172065
8,0.170274
8,0.165223
8,0.166182
8,0.175459
8,0.159728
8,0.164038
8,0.166783
8,0.182359
8,0.161585
8,0.161193
8,0.159718
8,0.162585
8,0.168382
8,0.165929
8,0.163418
8,0.16744
8,0.169924
8,0.159174
8,0.165699
8,0.164926
8,0.165906
8,0.165109
8,0.17555
8,0.161561
8,0.159903
8,0.166339
8,0.168937
8,0.170792
8,0.158468
8,0.157879
8,0.169086
8,0.175507
8,0.177108
8,0.160111
8,0.169921
8,0.169697
10,0.171534
10,0.16994
10,0.170457
10,0.172348
10,0.168724
10,0.161539
10,0.170839
10,0.166873
10,0.165811
10,0.163769
10,0.16407
10,0.17255
10,0.166598
10,0.168273
10,0.166134
10,0.162095
10,0.170611
10,0.16732
10,0.166727
10,0.162358
10,0.168197
10,0.159338
10,0.166119
10,0.164354
10,0.171421
10,0.158294
10,0.164573
10,0.171104
10,0.167388
10,0.169768
10,0.16523
10,0.165248
10,0.165598
10,0.16784
10,0.154213
10,0.171817
10,0.168038
10,0.166653
10,0.16322
10,0.166018
10,0.163862
10,0.171722
10,0.171031
10,0.168659
10,0.168575
10,0.168422
10,0.168826
10,0.176515
10,0.165812
10,0.16885
10,0.164859
10,0.164588
10,0.162916
10,0.164992
10,0.169883
10,0.171898
10,0.161261
10,0.166348
10,0.16381
10,0.172127
10,0.164804
10,0.165537
10,0.164206
10,0.160651
10,0.170137
10,0.163095
10,0.166408
10,0.161389
10,0.166523
10,0.179109
10,0.168866
10,0.168566
10,0.170769
10,0.166003
10,0.159448
10,0.175367
10,0.163125
10,0.162291
10,0.167515
10,0.162955
10,0.164919
10,0.160421
10,0.17045
10,0.169711
10,0.166782
10,0.166776
10,0.166312
10,0.165621
10,0.171558
10,0.164534
10,0.161969
10,0.165234
10,0.16182
10,0.172124
10,0.171549
10,0.174294
10,0.169171
10,0.169973
10,0.171534
10,0.163993
12,0.163829
12,0.164183
12,0.168214
12,0.172861
12,0.164905
12,0.171244
12,0.165502
12,0.170287
12,0.168173
12,0.159032
12,0.164901
12,0.165515
12,0.171475
12,0.170427
12,0.165759
12,0.167701
12,0.163311
12,0.169136
12,0.165325
12,0.164614
12,0.171703
12,0.170318
12,0.168744
12,0.161254
12,0.169511
12,0.169589
12,0.166449
12,0.173396
12,0.156109
12,0.167412
12,0.163126
12,0.165634
12,0.164636
12,0.168955
12,0.162848
12,0.175033
12,0.166819
12,0.167415
12,0.162468
12,0.16308
12,0.165168
12,0.164732
12,0.16546
12,0.166072
12,0.165503
12,0.167969
12,0.166735
12,0.172099
12,0.16899
12,0.168598
12,0.166315
12,0.172584
12,0.166359
12,0.16005
12,0.162903
12,0.170724
12,0.162781
12,0.166268
12,0.169871
12,0.160243
12,0.160584
12,0.165486
12,0.167136
12,0.162795
12,0.166712
12,0.160254
12,0.161916
12,0.165645
12,0.164833
12,0.16938
12,0.162517
12,0.170472
12,0.167823
12,0.164325
12,0.168194
12,0.168627
12,0.16868
12,0.166559
12,0.167562
12,0.167171
12,0.164117
12,0.167643
12,0.159644
12,0.169192
12,0.168424
12,0.165486
12,0.167815
12,0.169293
12,0.165414
12,0.163251
12,0.166549
12,0.159467
12,0.162513
12,0.164187
12,0.165144
12,0.159387
12,0.161375
12,0.168239
12,0.168596
12,0.167513
14,0.169264
14,0.168483
14,0.171073
14,0.173442
14,0.166862
14,0.167015
14,0.164647
14,0.174773
14,0.170253
14,0.16423
14,0.164528
14,0.171368
14,0.16763
14,0.168938
14,0.169419
14,0.163291
14,0.168862
14,0.164368
14,0.166425
14,0.167287
14,0.163982
14,0.166519
14,0.164381
14,0.164886
14,0.168224
14,0.1741
14,0.165478
14,0.161957
14,0.167607
14,0.167567
14,0.163818
14,0.161273
14,0.165698
14,0.166269
14,0.168989
14,0.168658
14,0.162822
14,0.165347
14,0.167185
14,0.167772
14,0.170042
14,0.169297
14,0.171471
14,0.163997
14,0.16589
14,0.16595
14,0.160497
14,0.163111
14,0.167868
14,0.16128
14,0.168605
14,0.16999
14,0.16851
14,0.16568
14,0.168524
14,0.166556
14,0.165949
14,0.169172
14,0.166876
14,0.167946
14,0.16675
14,0.168517
14,0.165106
14,0.164773
14,0.16761
14,0.165493
14,0.167791
14,0.16505
14,0.168631
14,0.161341
14,0.172728
14,0.165246
14,0.165276
14,0.16938
14,0.167499
14,0.170946
14,0.165368
14,0.165936
14,0.164537
14,0.168402
14,0.164761
14,0.173041
14,0.167496
14,0.165191
14,0.166516
14,0.167579
14,0.170296
14,0.167151
14,0.163496
14,0.165288
14,0.167353
14,0.164824
14,0.159308
14,0.163916
14,0.169856
14,0.162789
14,0.166271
14,0.167921
14,0.164052
14,0.164745
16,0.166753
16,0.164043
16,0.168266
16,0.168462
16,0.166226
16,0.166736
16,0.167933
16,0.166835
16,0.164315
16,0.168078
16,0.167321
16,0.170215
16,0.167993
16,0.164424
16,0.170788
16,0.1635
16,0.16929
16,0.165958
16,0.16663
16,0.168208
16,0.167997
16,0.164956
16,0.164018
16,0.167027
16,0.164907
16,0.1681
16,0.167659
16,0.167445
16,0.167933
16,0.164144
16,0.166328
16,0.165586
16,0.166943
16,0.165975
16,0.166693
16,0.166666
16,0.16642
16,0.163501
16,0.164269
16,0.167958
16,0.169774
16,0.168518
16,0.171651
16,0.167833
16,0.167607
16,0.169462
16,0.168923
16,0.163528
16,0.166188
16,0.164169
16,0.168099
16,0.166082
16,0.170187
16,0.166225
16,0.166552
16,0.166796
16,0.16903
16,0.165616
16,0.161602
16,0.165126
16,0.165385
16,0.169597
16,0.166199
16,0.167581
16,0.169479
16,0.168089
16,0.164465
16,0.168053
16,0.167361
16,0.167649
16,0.167757
16,0.170705
16,0.169646
16,0.171033
16,0.166749
16,0.167428
16,0.167717
16,0.16918
16,0.165112
16,0.166801
16,0.168033
16,0.169263
16,0.172188
16,0.170723
16,0.165772
16,0.170979
16,0.167323
16,0.164573
16,0.169583
16,0.167841
16,0.167901
16,0.163477
16,0.167656
16,0.170127
16,0.170231
16,0.166354
16,0.162291
16,0.167891
16,0.164589
16,0.165542
18,0.168444
18,0.165203
18,0.165285
18,0.167222
18,0.166257
18,0.165913
18,0.167687
18,0.164656
18,0.170313
18,0.165234
18,0.16601
18,0.165513
18,0.166429
18,0.166136
18,0.168411
18,0.167212
18,0.16801
18,0.165579
18,0.168154
18,0.166142
18,0.167083
18,0.16983
18,0.165445
18,0.167507
18,0.166664
18,0.171916
18,0.17016
18,0.167145
18,0.165579
18,0.166321
18,0.163273
18,0.169085
18,0.165262
18,0.166168
