Subsampling.group,TGCP.PTP.Fst.estimates
4,0.17703
4,0.168991
4,0.20753
4,0.192732
4,0.191663
4,0.187305
4,0.171274
4,0.175675
4,0.18144
4,0.180417
4,0.204379
4,0.18738
4,0.177159
4,0.155406
4,0.177822
4,0.20014
4,0.174322
4,0.209856
4,0.194655
4,0.169834
4,0.170414
4,0.21075
4,0.183536
4,0.174675
4,0.172842
4,0.182059
4,0.18306
4,0.190076
4,0.178757
4,0.190949
4,0.182371
4,0.179337
4,0.178974
4,0.166402
4,0.149877
4,0.169646
4,0.205639
4,0.194662
4,0.198514
4,0.156047
4,0.193307
4,0.184668
4,0.165318
4,0.188016
4,0.198544
4,0.197736
4,0.174431
4,0.194879
4,0.188698
4,0.197964
4,0.20877
4,0.168802
4,0.186753
4,0.166442
4,0.183715
4,0.193209
4,0.213564
4,0.180998
4,0.202054
4,0.200312
4,0.197532
4,0.182015
4,0.197002
4,0.187581
4,0.196511
4,0.179616
4,0.190902
4,0.181712
4,0.206123
4,0.174158
4,0.174052
4,0.179272
4,0.198495
4,0.16819
4,0.208141
4,0.179047
4,0.179396
4,0.198849
4,0.195187
4,0.161386
4,0.174972
4,0.187454
4,0.225365
4,0.174316
4,0.183762
4,0.169302
4,0.196426
4,0.194717
4,0.218221
4,0.201885
4,0.205594
4,0.189491
4,0.185411
4,0.190839
4,0.167688
4,0.196505
4,0.180373
4,0.155043
4,0.175518
4,0.16967
6,0.195554
6,0.203061
6,0.184567
6,0.185743
6,0.193475
6,0.191655
6,0.198867
6,0.195029
6,0.180632
6,0.184778
6,0.192581
6,0.176992
6,0.178041
6,0.183545
6,0.179118
6,0.196158
6,0.189376
6,0.192638
6,0.179583
6,0.188099
6,0.169839
6,0.191427
6,0.191558
6,0.179396
6,0.18638
6,0.189744
6,0.184148
6,0.196215
6,0.177783
6,0.186557
6,0.181953
6,0.182248
6,0.196594
6,0.199149
6,0.182568
6,0.190411
6,0.201876
6,0.18875
6,0.166385
6,0.189537
6,0.202688
6,0.18284
6,0.167065
6,0.192642
6,0.168395
6,0.182611
6,0.190862
6,0.203135
6,0.193772
6,0.203293
6,0.187766
6,0.175193
6,0.15589
6,0.175244
6,0.196712
6,0.165164
6,0.204326
6,0.179816
6,0.181803
6,0.180598
6,0.170635
6,0.158183
6,0.184463
6,0.177274
6,0.206565
6,0.187661
6,0.189505
6,0.19498
6,0.201584
6,0.187587
6,0.18656
6,0.185449
6,0.171977
6,0.190499
6,0.203955
6,0.183479
6,0.181896
6,0.186653
6,0.175361
6,0.182963
6,0.171514
6,0.196818
6,0.189683
6,0.183858
6,0.174088
6,0.174645
6,0.182826
6,0.171701
6,0.180399
6,0.187763
6,0.179152
6,0.176145
6,0.186079
6,0.208488
6,0.182232
6,0.17596
6,0.180332
6,0.184196
6,0.191539
6,0.186065
8,0.181906
8,0.183781
8,0.175779
8,0.176988
8,0.186766
8,0.178844
8,0.183634
8,0.179785
8,0.193079
8,0.182433
8,0.197009
8,0.183119
8,0.168876
8,0.189781
8,0.174244
8,0.171072
8,0.191682
8,0.190362
8,0.184605
8,0.174888
8,0.184741
8,0.182624
8,0.185639
8,0.188068
8,0.176075
8,0.190895
8,0.187864
8,0.180658
8,0.193244
8,0.186538
8,0.17811
8,0.191234
8,0.181369
8,0.180267
8,0.186978
8,0.201419
8,0.184925
8,0.183578
8,0.18258
8,0.172999
8,0.175124
8,0.197387
8,0.182564
8,0.188385
8,0.187439
8,0.200031
8,0.177528
8,0.186277
8,0.180384
8,0.18922
8,0.17291
8,0.192035
8,0.204051
8,0.176316
8,0.178198
8,0.185195
8,0.176258
8,0.187082
8,0.185916
8,0.184316
8,0.182442
8,0.179019
8,0.188284
8,0.201821
8,0.182601
8,0.181294
8,0.182654
8,0.185338
8,0.185251
8,0.186695
8,0.197655
8,0.197932
8,0.181151
8,0.194065
8,0.180606
8,0.179804
8,0.184584
8,0.194301
8,0.186375
8,0.186928
8,0.182546
8,0.197317
8,0.189152
8,0.177926
8,0.16636
8,0.179273
8,0.18887
8,0.184959
8,0.175603
8,0.178152
8,0.173507
8,0.186085
8,0.189083
8,0.174567
8,0.180837
8,0.202461
8,0.178237
8,0.188955
8,0.192504
8,0.185647
10,0.183638
10,0.186845
10,0.186807
10,0.186391
10,0.190919
10,0.180603
10,0.190335
10,0.185022
10,0.184154
10,0.183049
10,0.178817
10,0.194611
10,0.188969
10,0.183375
10,0.192241
10,0.173481
10,0.191786
10,0.19783
10,0.18779
10,0.176509
10,0.180289
10,0.181755
10,0.187335
10,0.176313
10,0.190572
10,0.172555
10,0.186641
10,0.191499
10,0.17925
10,0.196874
10,0.183691
10,0.188337
10,0.183207
10,0.183724
10,0.181293
10,0.191806
10,0.191813
10,0.191422
10,0.184153
10,0.193893
10,0.183703
10,0.184056
10,0.185044
10,0.184865
10,0.178171
10,0.18243
10,0.187409
10,0.19375
10,0.190317
10,0.184985
10,0.177946
10,0.192972
10,0.183028
10,0.183056
10,0.192268
10,0.192388
10,0.189813
10,0.188404
10,0.178376
10,0.187915
10,0.185614
10,0.188509
10,0.183605
10,0.18198
10,0.185319
10,0.183196
10,0.184038
10,0.185431
10,0.190846
10,0.182544
10,0.189218
10,0.186252
10,0.198952
10,0.191223
10,0.182514
10,0.201478
10,0.181729
10,0.194173
10,0.190957
10,0.185291
10,0.184986
10,0.189626
10,0.200561
10,0.186071
10,0.189719
10,0.174271
10,0.189658
10,0.180702
10,0.191216
10,0.180461
10,0.181827
10,0.17883
10,0.185555
10,0.196415
10,0.190045
10,0.179391
10,0.192407
10,0.192346
10,0.183813
10,0.184933
12,0.184631
12,0.189326
12,0.186428
12,0.196454
12,0.183956
12,0.189267
12,0.185146
12,0.17885
12,0.188655
12,0.190811
12,0.190486
12,0.182515
12,0.18776
12,0.189815
12,0.189578
12,0.182939
12,0.193214
12,0.188741
12,0.192006
12,0.185185
12,0.192265
12,0.191749
12,0.18366
12,0.187047
12,0.185805
12,0.180874
12,0.188593
12,0.190757
12,0.173688
12,0.193157
12,0.184571
12,0.192824
12,0.182595
12,0.191096
12,0.180336
12,0.190813
12,0.184198
12,0.185087
12,0.184214
12,0.18719
12,0.185142
12,0.180518
12,0.190546
12,0.181778
12,0.184157
12,0.182199
12,0.187335
12,0.186246
12,0.18725
12,0.188088
12,0.188319
12,0.194703
12,0.181094
12,0.181516
12,0.182475
12,0.189338
12,0.182981
12,0.186092
12,0.193889
12,0.180089
12,0.184952
12,0.189743
12,0.188731
12,0.188921
12,0.186834
12,0.182609
12,0.182742
12,0.185049
12,0.185837
12,0.184692
12,0.183253
12,0.19243
12,0.186173
12,0.188163
12,0.190235
12,0.191657
12,0.191349
12,0.185394
12,0.187091
12,0.195062
12,0.184222
12,0.184242
12,0.186181
12,0.179992
12,0.187147
12,0.183707
12,0.183613
12,0.186207
12,0.182273
12,0.188407
12,0.183854
12,0.17941
12,0.183966
12,0.185133
12,0.184305
12,0.185161
12,0.181325
12,0.19385
12,0.187574
12,0.190722
14,0.185139
14,0.184911
14,0.182426
14,0.186755
14,0.187077
14,0.179565
14,0.179443
14,0.191651
14,0.189782
14,0.180745
14,0.182014
14,0.182311
14,0.189542
14,0.186573
14,0.191394
14,0.185386
14,0.189298
14,0.182212
14,0.184831
14,0.180326
14,0.185315
14,0.180563
14,0.192873
14,0.184681
14,0.185533
14,0.188429
